secteur,valeur,date,heure
"Nord",70,"2023-06-06",11
"Ouest",86,"2023-06-06",11
"Centre-ville",64,"2023-06-06",10
"Est",45,"2023-06-06",10
"Nord",68,"2023-06-06",10
"Ouest",79,"2023-06-06",10
"Centre-ville",46,"2023-06-06",9
"Est",48,"2023-06-06",9
"Nord",62,"2023-06-06",9
"Ouest",57,"2023-06-06",9
"Centre-ville",25,"2023-06-06",8
"Est",40,"2023-06-06",8
"Nord",48,"2023-06-06",8
"Ouest",35,"2023-06-06",8
"Centre-ville",24,"2023-06-06",7
"Est",31,"2023-06-06",7
"Nord",36,"2023-06-06",7
"Ouest",41,"2023-06-06",7
"Centre-ville",28,"2023-06-06",6
"Est",33,"2023-06-06",6
"Nord",43,"2023-06-06",6
"Ouest",63,"2023-06-06",6
"Centre-ville",45,"2023-06-06",5
"Est",54,"2023-06-06",5
"Nord",62,"2023-06-06",5
"Ouest",89,"2023-06-06",5
"Centre-ville",88,"2023-06-06",4
"Est",87,"2023-06-06",4
"Nord",89,"2023-06-06",4
"Ouest",105,"2023-06-06",4
"Centre-ville",123,"2023-06-06",3
"Est",108,"2023-06-06",3
"Nord",110,"2023-06-06",3
"Ouest",103,"2023-06-06",3
"Centre-ville",132,"2023-06-06",2
"Est",122,"2023-06-06",2
"Nord",119,"2023-06-06",2
"Ouest",88,"2023-06-06",2
"Centre-ville",105,"2023-06-06",1
"Est",110,"2023-06-06",1
"Nord",102,"2023-06-06",1
"Ouest",68,"2023-06-06",1
"Centre-ville",78,"2023-06-06",0
"Est",85,"2023-06-06",0
"Nord",75,"2023-06-06",0
"Ouest",53,"2023-06-06",0
"Centre-ville",56,"2023-06-05",23
"Est",60,"2023-06-05",23
"Nord",46,"2023-06-05",23
"Ouest",40,"2023-06-05",23
"Centre-ville",38,"2023-06-05",22
"Est",41,"2023-06-05",22
"Nord",32,"2023-06-05",22
"Ouest",33,"2023-06-05",22
"Centre-ville",31,"2023-06-05",21
"Est",37,"2023-06-05",21
"Nord",27,"2023-06-05",21
"Ouest",28,"2023-06-05",21
"Centre-ville",37,"2023-06-05",20
"Est",41,"2023-06-05",20
"Nord",28,"2023-06-05",20
"Ouest",27,"2023-06-05",20
"Centre-ville",50,"2023-06-05",19
"Est",52,"2023-06-05",19
"Nord",39,"2023-06-05",19
"Ouest",32,"2023-06-05",19
"Centre-ville",59,"2023-06-05",18
"Est",58,"2023-06-05",18
"Nord",56,"2023-06-05",18
"Ouest",49,"2023-06-05",18
"Centre-ville",60,"2023-06-05",17
"Est",60,"2023-06-05",17
"Nord",63,"2023-06-05",17
"Ouest",61,"2023-06-05",17
"Centre-ville",49,"2023-06-05",16
"Est",52,"2023-06-05",16
"Nord",55,"2023-06-05",16
"Ouest",54,"2023-06-05",16
"Centre-ville",37,"2023-06-05",15
"Est",43,"2023-06-05",15
"Nord",39,"2023-06-05",15
"Ouest",36,"2023-06-05",15
"Centre-ville",25,"2023-06-05",14
"Est",30,"2023-06-05",14
"Nord",28,"2023-06-05",14
"Ouest",27,"2023-06-05",14
"Centre-ville",20,"2023-06-05",13
"Est",22,"2023-06-05",13
"Nord",21,"2023-06-05",13
"Ouest",23,"2023-06-05",13
"Centre-ville",19,"2023-06-05",12
"Est",19,"2023-06-05",12
"Nord",19,"2023-06-05",12
"Ouest",21,"2023-06-05",12
"Centre-ville",18,"2023-06-05",11
"Est",18,"2023-06-05",11
"Nord",17,"2023-06-05",11
"Ouest",18,"2023-06-05",11
"Centre-ville",16,"2023-06-05",10
"Est",17,"2023-06-05",10
"Nord",16,"2023-06-05",10
"Ouest",18,"2023-06-05",10
"Centre-ville",16,"2023-06-05",9
"Est",18,"2023-06-05",9
"Nord",16,"2023-06-05",9
"Ouest",16,"2023-06-05",9
"Centre-ville",17,"2023-06-05",8
"Est",18,"2023-06-05",8
"Nord",21,"2023-06-05",8
"Ouest",16,"2023-06-05",8
"Centre-ville",15,"2023-06-05",7
"Est",14,"2023-06-05",7
"Nord",20,"2023-06-05",7
"Ouest",12,"2023-06-05",7
"Centre-ville",11,"2023-06-05",6
"Est",12,"2023-06-05",6
"Nord",13,"2023-06-05",6
"Ouest",11,"2023-06-05",6
"Centre-ville",10,"2023-06-05",5
"Est",11,"2023-06-05",5
"Nord",11,"2023-06-05",5
"Ouest",10,"2023-06-05",5
"Centre-ville",10,"2023-06-05",4
"Est",10,"2023-06-05",4
"Nord",11,"2023-06-05",4
"Ouest",10,"2023-06-05",4
"Centre-ville",11,"2023-06-05",3
"Nord",23,"2022-02-07",9
"Ouest",25,"2022-02-07",9
"Centre-ville",17,"2022-02-07",8
"Est",26,"2022-02-07",8
"Nord",21,"2022-02-07",8
"Ouest",24,"2022-02-07",8
"Centre-ville",17,"2022-02-07",7
"Est",24,"2022-02-07",7
"Nord",23,"2022-02-07",7
"Ouest",27,"2022-02-07",7
"Centre-ville",19,"2022-02-07",6
"Est",23,"2022-02-07",6
"Nord",29,"2022-02-07",6
"Ouest",27,"2022-02-07",6
"Centre-ville",19,"2022-02-07",5
"Est",23,"2022-02-07",5
"Nord",32,"2022-02-07",5
"Ouest",28,"2022-02-07",5
"Centre-ville",20,"2022-02-07",4
"Est",24,"2022-02-07",4
"Nord",33,"2022-02-07",4
"Ouest",28,"2022-02-07",4
"Centre-ville",20,"2022-02-07",3
"Est",24,"2022-02-07",3
"Nord",34,"2022-02-07",3
"Ouest",30,"2022-02-07",3
"Centre-ville",25,"2022-02-07",2
"Est",27,"2022-02-07",2
"Nord",35,"2022-02-07",2
"Ouest",30,"2022-02-07",2
"Centre-ville",29,"2022-02-07",1
"Est",29,"2022-02-07",1
"Nord",36,"2022-02-07",1
"Ouest",31,"2022-02-07",1
"Centre-ville",30,"2022-02-07",0
"Est",30,"2022-02-07",0
"Nord",37,"2022-02-07",0
"Ouest",31,"2022-02-07",0
"Centre-ville",30,"2022-02-06",23
"Est",31,"2022-02-06",23
"Nord",35,"2022-02-06",23
"Ouest",30,"2022-02-06",23
"Centre-ville",28,"2022-02-06",22
"Est",30,"2022-02-06",22
"Nord",31,"2022-02-06",22
"Ouest",28,"2022-02-06",22
"Centre-ville",23,"2022-02-06",21
"Est",29,"2022-02-06",21
"Nord",26,"2022-02-06",21
"Ouest",26,"2022-02-06",21
"Centre-ville",16,"2022-02-06",20
"Est",24,"2022-02-06",20
"Nord",18,"2022-02-06",20
"Ouest",21,"2022-02-06",20
"Centre-ville",21,"2022-02-06",19
"Est",19,"2022-02-06",19
"Nord",15,"2022-02-06",19
"Ouest",19,"2022-02-06",19
"Centre-ville",23,"2022-02-06",18
"Est",23,"2022-02-06",18
"Nord",19,"2022-02-06",18
"Ouest",20,"2022-02-06",18
"Centre-ville",23,"2022-02-06",17
"Est",24,"2022-02-06",17
"Nord",20,"2022-02-06",17
"Ouest",23,"2022-02-06",17
"Centre-ville",24,"2022-02-06",16
"Est",22,"2022-02-06",16
"Nord",21,"2022-02-06",16
"Ouest",24,"2022-02-06",16
"Centre-ville",24,"2022-02-06",15
"Est",24,"2022-02-06",15
"Nord",23,"2022-02-06",15
"Ouest",23,"2022-02-06",15
"Centre-ville",24,"2022-02-06",14
"Est",24,"2022-02-06",14
"Nord",24,"2022-02-06",14
"Ouest",24,"2022-02-06",14
"Centre-ville",24,"2022-02-06",13
"Est",21,"2022-02-06",13
"Nord",23,"2022-02-06",13
"Ouest",24,"2022-02-06",13
"Centre-ville",23,"2022-02-06",12
"Est",21,"2022-02-06",12
"Nord",22,"2022-02-06",12
"Ouest",22,"2022-02-06",12
"Centre-ville",22,"2022-02-06",11
"Est",23,"2022-02-06",11
"Nord",20,"2022-02-06",11
"Ouest",21,"2022-02-06",11
"Centre-ville",20,"2022-02-06",10
"Est",22,"2022-02-06",10
"Nord",18,"2022-02-06",10
"Ouest",20,"2022-02-06",10
"Centre-ville",19,"2022-02-06",9
"Est",20,"2022-02-06",9
"Nord",16,"2022-02-06",9
"Ouest",13,"2022-02-06",9
"Centre-ville",17,"2022-02-06",8
"Est",18,"2022-02-06",8
"Nord",18,"2022-02-06",8
"Ouest",12,"2022-02-06",8
"Centre-ville",20,"2022-02-06",7
"Est",18,"2022-02-06",7
"Nord",20,"2022-02-06",7
"Ouest",12,"2022-02-06",7
"Centre-ville",23,"2022-02-06",6
"Est",21,"2022-02-06",6
"Nord",20,"2022-02-06",6
"Ouest",14,"2022-02-06",6
"Centre-ville",20,"2022-02-06",5
"Est",22,"2022-02-06",5
"Nord",19,"2022-02-06",5
"Ouest",14,"2022-02-06",5
"Centre-ville",18,"2022-02-06",4
"Est",21,"2022-02-06",4
"Nord",19,"2022-02-06",4
"Ouest",13,"2022-02-06",4
"Centre-ville",16,"2022-02-06",3
"Est",19,"2022-02-06",3
"Nord",19,"2022-02-06",3
"Ouest",16,"2022-02-06",3
"Centre-ville",15,"2022-02-06",2
"Est",20,"2022-02-06",2
"Nord",20,"2022-02-06",2
"Ouest",13,"2022-02-06",2
"Centre-ville",16,"2022-02-06",1
"Est",21,"2022-02-06",1
"Nord",20,"2022-02-06",1
"Ouest",16,"2022-02-06",1
"Centre-ville",16,"2022-02-06",0
"Est",22,"2022-02-06",0
"Nord",19,"2022-02-06",0
"Ouest",15,"2022-02-06",0
"Centre-ville",15,"2022-02-05",23
"Est",21,"2022-02-05",23
"Nord",19,"2022-02-05",23
"Ouest",17,"2022-02-05",23
"Centre-ville",14,"2022-02-05",22
"Est",20,"2022-02-05",22
"Nord",18,"2022-02-05",22
"Ouest",18,"2022-02-05",22
"Centre-ville",15,"2022-02-05",21
"Est",18,"2022-02-05",21
"Nord",18,"2022-02-05",21
"Ouest",19,"2022-02-05",21
"Centre-ville",17,"2022-02-05",20
"Est",18,"2022-02-05",20
"Nord",16,"2022-02-05",20
"Ouest",19,"2022-02-05",20
"Centre-ville",19,"2022-02-05",19
"Est",20,"2022-02-05",19
"Nord",20,"2022-02-05",19
"Ouest",20,"2022-02-05",19
"Centre-ville",20,"2022-02-05",18
"Est",21,"2022-02-05",18
"Nord",20,"2022-02-05",18
"Ouest",22,"2022-02-05",18
"Centre-ville",21,"2022-02-05",17
"Est",20,"2022-02-05",17
"Nord",21,"2022-02-05",17
"Ouest",23,"2022-02-05",17
"Centre-ville",21,"2022-02-05",16
"Est",22,"2022-02-05",16
"Nord",22,"2022-02-05",16
"Ouest",23,"2022-02-05",16
"Centre-ville",21,"2022-02-05",15
"Est",21,"2022-02-05",15
"Nord",22,"2022-02-05",15
"Ouest",23,"2022-02-05",15
"Centre-ville",21,"2022-02-05",14
"Est",21,"2022-02-05",14
"Nord",21,"2022-02-05",14
"Ouest",22,"2022-02-05",14
"Centre-ville",20,"2022-02-05",13
"Est",21,"2022-02-05",13
"Nord",20,"2022-02-05",13
"Ouest",22,"2022-02-05",13
"Centre-ville",19,"2022-02-05",12
"Est",20,"2022-02-05",12
"Nord",19,"2022-02-05",12
"Ouest",21,"2022-02-05",12
"Centre-ville",19,"2022-02-05",11
"Est",20,"2022-02-05",11
"Nord",18,"2022-02-05",11
"Ouest",21,"2022-02-05",11
"Centre-ville",18,"2022-02-05",10
"Est",20,"2022-02-05",10
"Nord",18,"2022-02-05",10
"Ouest",20,"2022-02-05",10
"Centre-ville",16,"2022-02-05",9
"Est",15,"2022-02-05",9
"Nord",17,"2022-02-05",9
"Ouest",19,"2022-02-05",9
"Centre-ville",15,"2022-02-05",8
"Est",14,"2022-02-05",8
"Nord",16,"2022-02-05",8
"Ouest",18,"2022-02-05",8
"Centre-ville",13,"2022-02-05",7
"Est",14,"2022-02-05",7
"Nord",14,"2022-02-05",7
"Ouest",16,"2022-02-05",7
"Centre-ville",12,"2022-02-05",6
"Est",14,"2022-02-05",6
"Nord",14,"2022-02-05",6
"Ouest",17,"2022-02-05",6
"Centre-ville",16,"2022-02-05",5
"Est",16,"2022-02-05",5
"Nord",14,"2022-02-05",5
"Ouest",18,"2022-02-05",5
"Centre-ville",16,"2022-02-05",4
"Est",17,"2022-02-05",4
"Nord",14,"2022-02-05",4
"Ouest",18,"2022-02-05",4
"Centre-ville",17,"2022-02-05",3
"Est",17,"2022-02-05",3
"Nord",16,"2022-02-05",3
"Ouest",18,"2022-02-05",3
"Centre-ville",17,"2022-02-05",2
"Est",17,"2022-02-05",2
"Nord",17,"2022-02-05",2
"Centre-ville",20,"2024-12-19",12
"Est",22,"2024-12-19",12
"Nord",20,"2024-12-19",12
"Ouest",21,"2024-12-19",12
"Centre-ville",95,"2023-07-01",0
"Est",83,"2023-07-01",0
"Nord",67,"2023-07-01",0
"Ouest",57,"2023-07-01",0
"Centre-ville",96,"2023-06-30",23
"Est",83,"2023-06-30",23
"Nord",64,"2023-06-30",23
"Ouest",62,"2023-06-30",23
"Centre-ville",86,"2023-06-30",22
"Est",81,"2023-06-30",22
"Nord",61,"2023-06-30",22
"Ouest",64,"2023-06-30",22
"Centre-ville",81,"2023-06-30",21
"Est",81,"2023-06-30",21
"Nord",60,"2023-06-30",21
"Ouest",65,"2023-06-30",21
"Centre-ville",67,"2023-06-30",20
"Est",80,"2023-06-30",20
"Nord",62,"2023-06-30",20
"Ouest",66,"2023-06-30",20
"Centre-ville",54,"2023-06-30",19
"Est",74,"2023-06-30",19
"Nord",55,"2023-06-30",19
"Ouest",66,"2023-06-30",19
"Centre-ville",48,"2023-06-30",18
"Est",72,"2023-06-30",18
"Nord",55,"2023-06-30",18
"Ouest",65,"2023-06-30",18
"Centre-ville",52,"2023-06-30",17
"Est",74,"2023-06-30",17
"Nord",56,"2023-06-30",17
"Ouest",60,"2023-06-30",17
"Centre-ville",65,"2023-06-30",16
"Est",82,"2023-06-30",16
"Nord",55,"2023-06-30",16
"Ouest",55,"2023-06-30",16
"Centre-ville",78,"2023-06-30",15
"Est",89,"2023-06-30",15
"Nord",64,"2023-06-30",15
"Ouest",59,"2023-06-30",15
"Centre-ville",92,"2023-06-30",14
"Est",93,"2023-06-30",14
"Nord",78,"2023-06-30",14
"Ouest",69,"2023-06-30",14
"Centre-ville",106,"2023-06-30",13
"Est",94,"2023-06-30",13
"Nord",93,"2023-06-30",13
"Ouest",81,"2023-06-30",13
"Centre-ville",109,"2023-06-30",12
"Est",90,"2023-06-30",12
"Nord",98,"2023-06-30",12
"Ouest",82,"2023-06-30",12
"Centre-ville",109,"2023-06-30",11
"Est",88,"2023-06-30",11
"Nord",95,"2023-06-30",11
"Ouest",81,"2023-06-30",11
"Centre-ville",103,"2023-06-30",10
"Est",85,"2023-06-30",10
"Nord",89,"2023-06-30",10
"Ouest",78,"2023-06-30",10
"Centre-ville",98,"2023-06-30",9
"Est",84,"2023-06-30",9
"Nord",87,"2023-06-30",9
"Ouest",75,"2023-06-30",9
"Centre-ville",92,"2023-06-30",8
"Est",84,"2023-06-30",8
"Nord",91,"2023-06-30",8
"Ouest",73,"2023-06-30",8
"Centre-ville",91,"2023-06-30",7
"Est",85,"2023-06-30",7
"Nord",95,"2023-06-30",7
"Ouest",71,"2023-06-30",7
"Centre-ville",88,"2023-06-30",6
"Est",80,"2023-06-30",6
"Nord",96,"2023-06-30",6
"Ouest",72,"2023-06-30",6
"Centre-ville",75,"2023-06-30",5
"Est",63,"2023-06-30",5
"Nord",85,"2023-06-30",5
"Ouest",73,"2023-06-30",5
"Centre-ville",58,"2023-06-30",4
"Est",44,"2023-06-30",4
"Nord",65,"2023-06-30",4
"Ouest",75,"2023-06-30",4
"Centre-ville",42,"2023-06-30",3
"Est",35,"2023-06-30",3
"Nord",46,"2023-06-30",3
"Ouest",65,"2023-06-30",3
"Centre-ville",40,"2023-06-30",2
"Est",38,"2023-06-30",2
"Nord",41,"2023-06-30",2
"Ouest",51,"2023-06-30",2
"Centre-ville",42,"2023-06-30",1
"Est",41,"2023-06-30",1
"Nord",43,"2023-06-30",1
"Ouest",40,"2023-06-30",1
"Centre-ville",45,"2023-06-30",0
"Est",46,"2023-06-30",0
"Nord",44,"2023-06-30",0
"Ouest",41,"2023-06-30",0
"Centre-ville",49,"2023-06-29",23
"Est",44,"2023-06-29",23
"Nord",41,"2023-06-29",23
"Ouest",39,"2023-06-29",23
"Centre-ville",42,"2023-06-29",22
"Est",34,"2023-06-29",22
"Nord",32,"2023-06-29",22
"Ouest",32,"2023-06-29",22
"Centre-ville",31,"2023-06-29",21
"Est",21,"2023-06-29",21
"Nord",22,"2023-06-29",21
"Ouest",23,"2023-06-29",21
"Centre-ville",21,"2023-06-29",20
"Est",14,"2023-06-29",20
"Nord",18,"2023-06-29",20
"Ouest",20,"2023-06-29",20
"Centre-ville",22,"2023-06-29",19
"Est",12,"2023-06-29",19
"Nord",17,"2023-06-29",19
"Ouest",23,"2023-06-29",19
"Centre-ville",27,"2023-06-29",18
"Est",12,"2023-06-29",18
"Nord",17,"2023-06-29",18
"Ouest",26,"2023-06-29",18
"Centre-ville",29,"2023-06-29",17
"Est",11,"2023-06-29",17
"Nord",16,"2023-06-29",17
"Ouest",30,"2023-06-29",17
"Centre-ville",29,"2023-06-29",16
"Est",11,"2023-06-29",16
"Nord",13,"2023-06-29",16
"Ouest",33,"2023-06-29",16
"Centre-ville",38,"2023-06-29",15
"Est",11,"2023-06-29",15
"Nord",11,"2023-06-29",15
"Ouest",36,"2023-06-29",15
"Centre-ville",45,"2023-06-29",14
"Est",11,"2023-06-29",14
"Nord",15,"2023-06-29",14
"Ouest",37,"2023-06-29",14
"Centre-ville",55,"2023-06-29",13
"Est",14,"2023-06-29",13
"Nord",24,"2023-06-29",13
"Ouest",41,"2023-06-29",13
"Centre-ville",54,"2023-06-29",12
"Est",21,"2023-06-29",12
"Nord",32,"2023-06-29",12
"Ouest",48,"2023-06-29",12
"Centre-ville",59,"2023-06-29",11
"Est",29,"2023-06-29",11
"Nord",37,"2023-06-29",11
"Ouest",51,"2023-06-29",11
"Centre-ville",57,"2023-06-29",10
"Est",31,"2023-06-29",10
"Nord",41,"2023-06-29",10
"Ouest",51,"2023-06-29",10
"Centre-ville",57,"2023-06-29",9
"Est",28,"2023-06-29",9
"Nord",39,"2023-06-29",9
"Ouest",47,"2023-06-29",9
"Centre-ville",54,"2023-06-29",8
"Est",26,"2023-06-29",8
"Nord",36,"2023-06-29",8
"Ouest",44,"2023-06-29",8
"Centre-ville",52,"2023-06-29",7
"Est",22,"2023-06-29",7
"Nord",34,"2023-06-29",7
"Ouest",41,"2023-06-29",7
"Centre-ville",50,"2023-06-29",6
"Est",23,"2023-06-29",6
"Nord",34,"2023-06-29",6
"Ouest",38,"2023-06-29",6
"Centre-ville",46,"2023-06-29",5
"Est",24,"2023-06-29",5
"Nord",32,"2023-06-29",5
"Ouest",37,"2023-06-29",5
"Centre-ville",45,"2023-06-29",4
"Est",27,"2023-06-29",4
"Nord",31,"2023-06-29",4
"Ouest",36,"2023-06-29",4
"Centre-ville",47,"2023-06-29",3
"Est",31,"2023-06-29",3
"Nord",33,"2023-06-29",3
"Ouest",34,"2023-06-29",3
"Centre-ville",44,"2023-06-29",2
"Est",32,"2023-06-29",2
"Nord",34,"2023-06-29",2
"Ouest",30,"2023-06-29",2
"Centre-ville",40,"2023-06-29",1
"Est",31,"2023-06-29",1
"Nord",32,"2023-06-29",1
"Ouest",26,"2023-06-29",1
"Centre-ville",36,"2023-06-29",0
"Est",28,"2023-06-29",0
"Nord",28,"2023-06-29",0
"Ouest",23,"2023-06-29",0
"Centre-ville",34,"2023-06-28",23
"Est",25,"2023-06-28",23
"Nord",28,"2023-06-28",23
"Ouest",21,"2023-06-28",23
"Centre-ville",30,"2023-06-28",22
"Est",21,"2023-06-28",22
"Nord",26,"2023-06-28",22
"Ouest",18,"2023-06-28",22
"Centre-ville",25,"2023-06-28",21
"Est",19,"2023-06-28",21
"Nord",21,"2023-06-28",21
"Ouest",14,"2023-06-28",21
"Centre-ville",22,"2023-06-28",20
"Est",16,"2023-06-28",20
"Nord",16,"2023-06-28",20
"Ouest",11,"2023-06-28",20
"Centre-ville",20,"2023-06-28",19
"Est",16,"2023-06-28",19
"Nord",16,"2023-06-28",19
"Ouest",9,"2023-06-28",19
"Centre-ville",21,"2023-06-28",18
"Est",16,"2023-06-28",18
"Nord",19,"2023-06-28",18
"Ouest",8,"2023-06-28",18
"Centre-ville",20,"2023-06-28",17
"Est",17,"2023-06-28",17
"Nord",20,"2023-06-28",17
"Ouest",8,"2023-06-28",17
"Centre-ville",20,"2023-06-28",16
"Est",17,"2023-06-28",16
"Nord",20,"2023-06-28",16
"Ouest",8,"2023-06-28",16
"Centre-ville",20,"2023-06-28",15
"Est",17,"2023-06-28",15
"Nord",20,"2023-06-28",15
"Ouest",10,"2023-06-28",15
"Centre-ville",19,"2023-06-28",14
"Est",21,"2023-06-28",14
"Nord",21,"2023-06-28",14
"Ouest",11,"2023-06-28",14
"Centre-ville",16,"2023-06-28",13
"Est",18,"2023-06-28",13
"Nord",21,"2023-06-28",13
"Ouest",13,"2023-06-28",13
"Centre-ville",15,"2023-06-28",12
"Est",19,"2023-06-28",12
"Nord",17,"2023-06-28",12
"Ouest",15,"2023-06-28",12
"Centre-ville",19,"2023-06-28",11
"Est",20,"2023-06-28",11
"Nord",19,"2023-06-28",11
"Ouest",16,"2023-06-28",11
"Centre-ville",19,"2023-06-28",10
"Est",18,"2023-06-28",10
"Nord",19,"2023-06-28",10
"Ouest",19,"2023-06-28",10
"Centre-ville",16,"2023-06-28",9
"Est",18,"2023-06-28",9
"Nord",19,"2023-06-28",9
"Ouest",20,"2023-06-28",9
"Centre-ville",17,"2023-06-28",8
"Est",16,"2023-06-28",8
"Nord",16,"2023-06-28",8
"Ouest",14,"2023-06-28",8
"Centre-ville",14,"2023-06-28",7
"Est",11,"2023-06-28",7
"Nord",12,"2023-06-28",7
"Ouest",11,"2023-06-28",7
"Centre-ville",14,"2023-06-28",6
"Est",11,"2023-06-28",6
"Nord",12,"2023-06-28",6
"Ouest",13,"2023-06-28",6
"Centre-ville",14,"2023-06-28",5
"Est",10,"2023-06-28",5
"Nord",12,"2023-06-28",5
"Ouest",12,"2023-06-28",5
"Centre-ville",14,"2023-06-28",4
"Est",10,"2023-06-28",4
"Nord",13,"2023-06-28",4
"Ouest",14,"2023-06-28",4
"Centre-ville",14,"2023-06-28",3
"Est",14,"2023-06-28",3
"Nord",18,"2023-06-28",3
"Ouest",17,"2023-06-28",3
"Centre-ville",19,"2023-06-28",2
"Est",14,"2023-06-28",2
"Nord",19,"2023-06-28",2
"Ouest",22,"2023-06-28",2
"Centre-ville",22,"2023-06-28",1
"Est",15,"2023-06-28",1
"Nord",17,"2023-06-28",1
"Ouest",26,"2023-06-28",1
"Centre-ville",21,"2023-06-28",0
"Est",19,"2023-06-28",0
"Nord",18,"2023-06-28",0
"Ouest",28,"2023-06-28",0
"Centre-ville",21,"2023-06-27",23
"Est",22,"2023-06-27",23
"Nord",20,"2023-06-27",23
"Ouest",19,"2023-06-27",23
"Centre-ville",21,"2023-06-27",22
"Est",24,"2023-06-27",22
"Nord",21,"2023-06-27",22
"Ouest",19,"2023-06-27",22
"Centre-ville",23,"2023-06-27",21
"Est",25,"2023-06-27",21
"Nord",21,"2023-06-27",21
"Ouest",20,"2023-06-27",21
"Centre-ville",24,"2023-06-27",20
"Est",25,"2023-06-27",20
"Nord",23,"2023-06-27",20
"Ouest",23,"2023-06-27",20
"Centre-ville",25,"2023-06-27",19
"Est",27,"2023-06-27",19
"Nord",24,"2023-06-27",19
"Ouest",24,"2023-06-27",19
"Centre-ville",25,"2023-06-27",18
"Est",26,"2023-06-27",18
"Nord",25,"2023-06-27",18
"Ouest",26,"2023-06-27",18
"Centre-ville",24,"2023-06-27",17
"Est",24,"2023-06-27",17
"Nord",24,"2023-06-27",17
"Ouest",24,"2023-06-27",17
"Centre-ville",26,"2023-06-27",16
"Est",27,"2023-06-27",16
"Nord",26,"2023-06-27",16
"Ouest",24,"2023-06-27",16
"Centre-ville",28,"2023-06-27",15
"Est",28,"2023-06-27",15
"Nord",27,"2023-06-27",15
"Ouest",27,"2023-06-27",15
"Centre-ville",27,"2023-06-27",14
"Est",29,"2023-06-27",14
"Nord",29,"2023-06-27",14
"Ouest",29,"2023-06-27",14
"Centre-ville",27,"2023-06-27",13
"Est",29,"2023-06-27",13
"Nord",28,"2023-06-27",13
"Ouest",30,"2023-06-27",13
"Centre-ville",24,"2022-02-10",14
"Est",21,"2022-02-10",14
"Nord",25,"2022-02-10",14
"Ouest",26,"2022-02-10",14
"Centre-ville",23,"2022-02-10",13
"Est",25,"2022-02-10",13
