secteur,valeur,date,heure
"Nord",21,"2025-01-18",1
"Ouest",16,"2025-01-18",1
"Centre-ville",24,"2025-01-18",0
"Est",25,"2025-01-18",0
"Nord",18,"2025-01-18",0
"Ouest",16,"2025-01-18",0
"Centre-ville",23,"2025-01-17",23
"Est",24,"2025-01-17",23
"Nord",19,"2025-01-17",23
"Ouest",15,"2025-01-17",23
"Centre-ville",24,"2025-01-17",22
"Est",26,"2025-01-17",22
"Nord",22,"2025-01-17",22
"Ouest",19,"2025-01-17",22
"Centre-ville",26,"2025-01-17",21
"Est",29,"2025-01-17",21
"Nord",27,"2025-01-17",21
"Ouest",26,"2025-01-17",21
"Centre-ville",28,"2025-01-17",20
"Est",32,"2025-01-17",20
"Nord",32,"2025-01-17",20
"Ouest",32,"2025-01-17",20
"Centre-ville",30,"2025-01-17",19
"Est",33,"2025-01-17",19
"Nord",34,"2025-01-17",19
"Ouest",32,"2025-01-17",19
"Centre-ville",30,"2025-01-17",18
"Est",33,"2025-01-17",18
"Nord",34,"2025-01-17",18
"Ouest",31,"2025-01-17",18
"Centre-ville",31,"2025-01-17",17
"Est",33,"2025-01-17",17
"Nord",33,"2025-01-17",17
"Ouest",30,"2025-01-17",17
"Centre-ville",29,"2025-01-17",16
"Est",33,"2025-01-17",16
"Nord",31,"2025-01-17",16
"Ouest",29,"2025-01-17",16
"Centre-ville",29,"2025-01-17",15
"Est",34,"2025-01-17",15
"Nord",30,"2025-01-17",15
"Ouest",27,"2025-01-17",15
"Centre-ville",28,"2025-01-17",14
"Est",35,"2025-01-17",14
"Nord",30,"2025-01-17",14
"Ouest",26,"2025-01-17",14
"Centre-ville",27,"2025-01-17",13
"Est",34,"2025-01-17",13
"Nord",29,"2025-01-17",13
"Ouest",25,"2025-01-17",13
"Centre-ville",26,"2025-01-17",12
"Est",31,"2025-01-17",12
"Nord",29,"2025-01-17",12
"Ouest",24,"2025-01-17",12
"Centre-ville",25,"2025-01-17",11
"Est",29,"2025-01-17",11
"Nord",28,"2025-01-17",11
"Ouest",23,"2025-01-17",11
"Centre-ville",24,"2025-01-17",10
"Est",27,"2025-01-17",10
"Nord",26,"2025-01-17",10
"Ouest",23,"2025-01-17",10
"Centre-ville",23,"2025-01-17",9
"Est",29,"2025-01-17",9
"Nord",26,"2025-01-17",9
"Ouest",25,"2025-01-17",9
"Centre-ville",26,"2025-01-17",8
"Est",32,"2025-01-17",8
"Nord",31,"2025-01-17",8
"Ouest",28,"2025-01-17",8
"Centre-ville",29,"2025-01-17",7
"Est",37,"2025-01-17",7
"Nord",37,"2025-01-17",7
"Ouest",33,"2025-01-17",7
"Centre-ville",32,"2025-01-17",6
"Est",39,"2025-01-17",6
"Nord",41,"2025-01-17",6
"Ouest",38,"2025-01-17",6
"Centre-ville",35,"2025-01-17",5
"Est",39,"2025-01-17",5
"Nord",40,"2025-01-17",5
"Ouest",43,"2025-01-17",5
"Centre-ville",34,"2025-01-17",4
"Est",38,"2025-01-17",4
"Nord",38,"2025-01-17",4
"Ouest",44,"2025-01-17",4
"Centre-ville",33,"2025-01-17",3
"Est",36,"2025-01-17",3
"Nord",37,"2025-01-17",3
"Ouest",42,"2025-01-17",3
"Centre-ville",31,"2025-01-17",2
"Est",33,"2025-01-17",2
"Nord",36,"2025-01-17",2
"Ouest",40,"2025-01-17",2
"Centre-ville",30,"2025-01-17",1
"Est",30,"2025-01-17",1
"Nord",34,"2025-01-17",1
"Ouest",38,"2025-01-17",1
"Centre-ville",27,"2025-01-17",0
"Est",27,"2025-01-17",0
"Nord",31,"2025-01-17",0
"Ouest",35,"2025-01-17",0
"Centre-ville",24,"2025-01-16",23
"Est",25,"2025-01-16",23
"Nord",29,"2025-01-16",23
"Ouest",31,"2025-01-16",23
"Centre-ville",20,"2025-01-16",22
"Est",23,"2025-01-16",22
"Nord",26,"2025-01-16",22
"Ouest",24,"2025-01-16",22
"Centre-ville",18,"2025-01-16",21
"Est",21,"2025-01-16",21
"Nord",24,"2025-01-16",21
"Ouest",18,"2025-01-16",21
"Centre-ville",14,"2025-01-16",20
"Est",18,"2025-01-16",20
"Nord",21,"2025-01-16",20
"Ouest",19,"2025-01-16",20
"Centre-ville",15,"2025-01-16",19
"Est",17,"2025-01-16",19
"Nord",17,"2025-01-16",19
"Ouest",19,"2025-01-16",19
"Centre-ville",18,"2025-01-16",18
"Est",17,"2025-01-16",18
"Nord",14,"2025-01-16",18
"Ouest",19,"2025-01-16",18
"Centre-ville",18,"2025-01-16",17
"Est",20,"2025-01-16",17
"Nord",16,"2025-01-16",17
"Ouest",18,"2025-01-16",17
"Centre-ville",19,"2025-01-16",16
"Est",19,"2025-01-16",16
"Nord",15,"2025-01-16",16
"Ouest",21,"2025-01-16",16
"Centre-ville",21,"2025-01-16",15
"Est",18,"2025-01-16",15
"Nord",15,"2025-01-16",15
"Ouest",21,"2025-01-16",15
"Centre-ville",20,"2025-01-16",14
"Est",19,"2025-01-16",14
"Nord",17,"2025-01-16",14
"Ouest",21,"2025-01-16",14
"Centre-ville",21,"2025-01-16",13
"Est",20,"2025-01-16",13
"Nord",9,"2025-01-16",13
"Ouest",22,"2025-01-16",13
"Est",21,"2025-01-12",16
"Nord",20,"2025-01-12",16
"Ouest",24,"2025-01-12",16
"Centre-ville",22,"2025-01-12",15
"Est",23,"2025-01-12",15
"Nord",21,"2025-01-12",15
"Ouest",24,"2025-01-12",15
"Centre-ville",20,"2025-01-12",14
"Est",23,"2025-01-12",14
"Nord",20,"2025-01-12",14
"Ouest",23,"2025-01-12",14
"Centre-ville",20,"2025-01-12",13
"Est",22,"2025-01-12",13
"Nord",20,"2025-01-12",13
"Ouest",23,"2025-01-12",13
"Centre-ville",20,"2025-01-12",12
"Est",19,"2025-01-12",12
"Nord",19,"2025-01-12",12
"Ouest",23,"2025-01-12",12
"Centre-ville",19,"2025-01-12",11
"Est",17,"2025-01-12",11
"Nord",17,"2025-01-12",11
"Ouest",22,"2025-01-12",11
"Centre-ville",18,"2025-01-12",10
"Est",17,"2025-01-12",10
"Nord",17,"2025-01-12",10
"Ouest",22,"2025-01-12",10
"Centre-ville",17,"2025-01-12",9
"Est",16,"2025-01-12",9
"Nord",16,"2025-01-12",9
"Ouest",22,"2025-01-12",9
"Centre-ville",17,"2025-01-12",8
"Est",17,"2025-01-12",8
"Nord",16,"2025-01-12",8
"Ouest",22,"2025-01-12",8
"Centre-ville",18,"2025-01-12",7
"Est",18,"2025-01-12",7
"Nord",18,"2025-01-12",7
"Ouest",22,"2025-01-12",7
"Centre-ville",19,"2025-01-12",6
"Est",18,"2025-01-12",6
"Nord",18,"2025-01-12",6
"Ouest",22,"2025-01-12",6
"Centre-ville",19,"2025-01-12",5
"Est",18,"2025-01-12",5
"Nord",19,"2025-01-12",5
"Ouest",22,"2025-01-12",5
"Centre-ville",20,"2025-01-12",4
"Est",23,"2025-01-12",4
"Nord",20,"2025-01-12",4
"Ouest",23,"2025-01-12",4
"Centre-ville",19,"2025-01-12",3
"Est",31,"2025-01-12",3
"Nord",21,"2025-01-12",3
"Ouest",24,"2025-01-12",3
"Centre-ville",26,"2025-01-12",2
"Est",34,"2025-01-12",2
"Nord",20,"2025-01-12",2
"Ouest",25,"2025-01-12",2
"Centre-ville",34,"2025-01-12",1
"Est",37,"2025-01-12",1
"Nord",17,"2025-01-12",1
"Ouest",24,"2025-01-12",1
"Centre-ville",36,"2025-01-12",0
"Est",39,"2025-01-12",0
"Nord",16,"2025-01-12",0
"Ouest",22,"2025-01-12",0
"Centre-ville",27,"2025-01-11",23
"Est",32,"2025-01-11",23
"Nord",19,"2025-01-11",23
"Ouest",23,"2025-01-11",23
"Centre-ville",19,"2025-01-11",22
"Est",26,"2025-01-11",22
"Nord",20,"2025-01-11",22
"Ouest",23,"2025-01-11",22
"Centre-ville",17,"2025-01-11",21
"Est",20,"2025-01-11",21
"Nord",17,"2025-01-11",21
"Ouest",22,"2025-01-11",21
"Centre-ville",17,"2025-01-11",20
"Est",16,"2025-01-11",20
"Nord",14,"2025-01-11",20
"Ouest",23,"2025-01-11",20
"Centre-ville",14,"2025-01-11",19
"Est",15,"2025-01-11",19
"Nord",14,"2025-01-11",19
"Ouest",22,"2025-01-11",19
"Centre-ville",13,"2025-01-11",18
"Est",14,"2025-01-11",18
"Nord",15,"2025-01-11",18
"Ouest",21,"2025-01-11",18
"Centre-ville",15,"2025-01-11",17
"Est",17,"2025-01-11",17
"Nord",16,"2025-01-11",17
"Ouest",20,"2025-01-11",17
"Centre-ville",17,"2025-01-11",16
"Est",18,"2025-01-11",16
"Nord",17,"2025-01-11",16
"Ouest",19,"2025-01-11",16
"Centre-ville",19,"2025-01-11",15
"Est",18,"2025-01-11",15
"Nord",16,"2025-01-11",15
"Ouest",19,"2025-01-11",15
"Centre-ville",21,"2025-01-11",14
"Est",17,"2025-01-11",14
"Nord",16,"2025-01-11",14
"Ouest",19,"2025-01-11",14
"Centre-ville",22,"2025-01-11",13
"Est",17,"2025-01-11",13
"Nord",17,"2025-01-11",13
"Ouest",19,"2025-01-11",13
"Centre-ville",21,"2025-01-11",12
"Est",18,"2025-01-11",12
"Nord",15,"2025-01-11",12
"Ouest",18,"2025-01-11",12
"Centre-ville",18,"2025-01-11",11
"Est",18,"2025-01-11",11
"Nord",15,"2025-01-11",11
"Ouest",17,"2025-01-11",11
"Centre-ville",16,"2025-01-11",10
"Est",19,"2025-01-11",10
"Nord",13,"2025-01-11",10
"Ouest",16,"2025-01-11",10
"Centre-ville",15,"2025-01-11",9
"Est",18,"2025-01-11",9
"Nord",15,"2025-01-11",9
"Ouest",16,"2025-01-11",9
"Centre-ville",14,"2025-01-11",8
"Est",18,"2025-01-11",8
"Nord",15,"2025-01-11",8
"Ouest",15,"2025-01-11",8
"Centre-ville",15,"2025-01-11",7
"Est",16,"2025-01-11",7
"Nord",15,"2025-01-11",7
"Ouest",16,"2025-01-11",7
"Centre-ville",14,"2025-01-11",6
"Est",17,"2025-01-11",6
"Nord",15,"2025-01-11",6
"Ouest",19,"2025-01-11",6
"Centre-ville",14,"2025-01-11",5
"Est",17,"2025-01-11",5
"Nord",16,"2025-01-11",5
"Ouest",19,"2025-01-11",5
"Centre-ville",18,"2025-01-11",4
"Est",17,"2025-01-11",4
"Nord",15,"2025-01-11",4
"Ouest",19,"2025-01-11",4
"Centre-ville",21,"2025-01-11",3
"Est",17,"2025-01-11",3
"Nord",18,"2025-01-11",3
"Ouest",19,"2025-01-11",3
"Centre-ville",22,"2025-01-11",2
"Est",15,"2025-01-11",2
"Nord",17,"2025-01-11",2
"Ouest",20,"2025-01-11",2
"Centre-ville",20,"2025-01-11",1
"Est",15,"2025-01-11",1
"Nord",17,"2025-01-11",1
"Ouest",20,"2025-01-11",1
"Centre-ville",17,"2025-01-11",0
"Est",16,"2025-01-11",0
"Nord",16,"2025-01-11",0
"Ouest",22,"2025-01-11",0
"Centre-ville",16,"2025-01-10",23
"Est",18,"2025-01-10",23
"Nord",16,"2025-01-10",23
"Ouest",22,"2025-01-10",23
"Centre-ville",16,"2025-01-10",22
"Est",18,"2025-01-10",22
"Nord",17,"2025-01-10",22
"Ouest",22,"2025-01-10",22
"Centre-ville",16,"2025-01-10",21
"Est",19,"2025-01-10",21
"Nord",16,"2025-01-10",21
"Ouest",21,"2025-01-10",21
"Centre-ville",16,"2025-01-10",20
"Est",19,"2025-01-10",20
"Nord",17,"2025-01-10",20
"Ouest",22,"2025-01-10",20
"Centre-ville",18,"2025-01-10",19
"Est",18,"2025-01-10",19
"Nord",18,"2025-01-10",19
"Ouest",20,"2025-01-10",19
"Centre-ville",15,"2025-01-10",18
"Est",19,"2025-01-10",18
"Nord",17,"2025-01-10",18
"Ouest",21,"2025-01-10",18
"Centre-ville",19,"2025-01-10",17
"Est",19,"2025-01-10",17
"Nord",17,"2025-01-10",17
"Ouest",22,"2025-01-10",17
"Centre-ville",20,"2025-01-10",16
"Est",21,"2025-01-10",16
"Nord",19,"2025-01-10",16
"Ouest",22,"2025-01-10",16
"Centre-ville",20,"2025-01-10",15
"Est",21,"2025-01-10",15
"Nord",19,"2025-01-10",15
"Ouest",22,"2025-01-10",15
"Centre-ville",19,"2025-01-10",14
"Est",21,"2025-01-10",14
"Nord",20,"2025-01-10",14
"Ouest",21,"2025-01-10",14
"Centre-ville",20,"2025-01-10",13
"Est",21,"2025-01-10",13
"Nord",19,"2025-01-10",13
"Ouest",21,"2025-01-10",13
"Centre-ville",19,"2025-01-10",12
"Est",21,"2025-01-10",12
"Nord",19,"2025-01-10",12
"Ouest",21,"2025-01-10",12
"Centre-ville",18,"2025-01-10",11
"Est",21,"2025-01-10",11
"Nord",19,"2025-01-10",11
"Ouest",21,"2025-01-10",11
"Centre-ville",18,"2025-01-10",10
"Est",19,"2025-01-10",10
"Nord",19,"2025-01-10",10
"Ouest",20,"2025-01-10",10
"Centre-ville",16,"2025-01-10",9
"Est",18,"2025-01-10",9
"Centre-ville",20,"2025-01-16",12
"Est",18,"2025-01-16",12
"Nord",16,"2025-01-16",12
"Ouest",22,"2025-01-16",12
"Centre-ville",19,"2025-01-16",11
"Est",16,"2025-01-16",11
"Nord",11,"2025-01-16",11
"Ouest",20,"2025-01-16",11
"Centre-ville",15,"2025-01-16",10
"Est",13,"2025-01-16",10
"Nord",11,"2025-01-16",10
"Ouest",17,"2025-01-16",10
"Centre-ville",11,"2025-01-16",9
"Est",12,"2025-01-16",9
"Nord",12,"2025-01-16",9
"Ouest",13,"2025-01-16",9
"Centre-ville",9,"2025-01-16",8
"Est",12,"2025-01-16",8
"Nord",11,"2025-01-16",8
"Ouest",9,"2025-01-16",8
"Centre-ville",10,"2025-01-16",7
"Est",11,"2025-01-16",7
"Nord",11,"2025-01-16",7
"Ouest",10,"2025-01-16",7
"Centre-ville",14,"2025-01-16",6
"Est",11,"2025-01-16",6
"Nord",10,"2025-01-16",6
"Ouest",13,"2025-01-16",6
"Centre-ville",11,"2025-01-16",5
"Est",10,"2025-01-16",5
"Nord",10,"2025-01-16",5
"Ouest",13,"2025-01-16",5
"Centre-ville",13,"2025-01-16",4
"Est",9,"2025-01-16",4
"Nord",10,"2025-01-16",4
"Ouest",12,"2025-01-16",4
"Centre-ville",12,"2025-01-16",3
"Est",10,"2025-01-16",3
"Nord",11,"2025-01-16",3
"Ouest",8,"2025-01-16",3
"Centre-ville",17,"2025-01-16",2
"Est",12,"2025-01-16",2
"Nord",11,"2025-01-16",2
"Ouest",9,"2025-01-16",2
"Centre-ville",12,"2025-01-16",1
"Est",13,"2025-01-16",1
"Nord",11,"2025-01-16",1
"Ouest",12,"2025-01-16",1
"Centre-ville",11,"2025-01-16",0
"Est",15,"2025-01-16",0
"Nord",13,"2025-01-16",0
"Ouest",14,"2025-01-16",0
"Centre-ville",15,"2025-01-15",23
"Est",15,"2025-01-15",23
"Nord",13,"2025-01-15",23
"Ouest",13,"2025-01-15",23
"Centre-ville",16,"2025-01-15",22
"Est",16,"2025-01-15",22
"Nord",13,"2025-01-15",22
"Ouest",12,"2025-01-15",22
"Centre-ville",15,"2025-01-15",21
"Est",17,"2025-01-15",21
"Nord",15,"2025-01-15",21
"Ouest",16,"2025-01-15",21
"Centre-ville",15,"2025-01-15",20
"Est",16,"2025-01-15",20
"Nord",16,"2025-01-15",20
"Ouest",16,"2025-01-15",20
"Centre-ville",17,"2025-01-15",19
"Est",19,"2025-01-15",19
"Nord",16,"2025-01-15",19
"Ouest",16,"2025-01-15",19
"Centre-ville",17,"2025-01-15",18
"Est",20,"2025-01-15",18
"Nord",17,"2025-01-15",18
"Ouest",18,"2025-01-15",18
"Centre-ville",17,"2025-01-15",17
"Est",22,"2025-01-15",17
"Nord",17,"2025-01-15",17
"Ouest",19,"2025-01-15",17
"Centre-ville",18,"2025-01-15",16
"Est",22,"2025-01-15",16
"Nord",19,"2025-01-15",16
"Ouest",20,"2025-01-15",16
"Centre-ville",18,"2025-01-15",15
"Est",21,"2025-01-15",15
"Nord",18,"2025-01-15",15
"Ouest",22,"2025-01-15",15
"Centre-ville",18,"2025-01-15",14
"Est",21,"2025-01-15",14
"Nord",19,"2025-01-15",14
"Ouest",21,"2025-01-15",14
"Centre-ville",18,"2025-01-15",13
"Est",20,"2025-01-15",13
"Nord",18,"2025-01-15",13
"Ouest",20,"2025-01-15",13
"Centre-ville",16,"2025-01-15",12
"Est",19,"2025-01-15",12
"Nord",18,"2025-01-15",12
"Ouest",19,"2025-01-15",12
"Centre-ville",16,"2025-01-15",11
"Est",17,"2025-01-15",11
"Nord",14,"2025-01-15",11
"Ouest",19,"2025-01-15",11
"Centre-ville",16,"2025-01-15",10
"Est",17,"2025-01-15",10
"Nord",15,"2025-01-15",10
"Ouest",19,"2025-01-15",10
"Centre-ville",16,"2025-01-15",9
"Est",17,"2025-01-15",9
"Nord",15,"2025-01-15",9
"Ouest",20,"2025-01-15",9
"Centre-ville",16,"2025-01-15",8
"Est",18,"2025-01-15",8
"Nord",15,"2025-01-15",8
"Ouest",20,"2025-01-15",8
"Centre-ville",18,"2025-01-15",7
"Est",19,"2025-01-15",7
"Nord",18,"2025-01-15",7
"Ouest",21,"2025-01-15",7
"Centre-ville",19,"2025-01-15",6
"Est",20,"2025-01-15",6
"Nord",19,"2025-01-15",6
"Ouest",21,"2025-01-15",6
"Centre-ville",18,"2025-01-15",5
"Est",21,"2025-01-15",5
"Nord",19,"2025-01-15",5
"Ouest",21,"2025-01-15",5
"Centre-ville",20,"2025-01-15",4
"Est",22,"2025-01-15",4
"Nord",20,"2025-01-15",4
"Ouest",22,"2025-01-15",4
"Centre-ville",19,"2025-01-15",3
"Est",23,"2025-01-15",3
"Nord",19,"2025-01-15",3
"Ouest",22,"2025-01-15",3
"Centre-ville",18,"2025-01-15",2
"Est",22,"2025-01-15",2
"Nord",19,"2025-01-15",2
"Ouest",21,"2025-01-15",2
"Centre-ville",19,"2025-01-15",1
"Est",22,"2025-01-15",1
"Nord",18,"2025-01-15",1
"Ouest",20,"2025-01-15",1
"Centre-ville",18,"2025-01-15",0
"Est",22,"2025-01-15",0
"Nord",18,"2025-01-15",0
"Ouest",19,"2025-01-15",0
"Centre-ville",17,"2025-01-14",23
"Est",22,"2025-01-14",23
"Nord",17,"2025-01-14",23
"Ouest",19,"2025-01-14",23
"Centre-ville",13,"2025-01-14",22
"Est",15,"2025-01-14",22
"Nord",13,"2025-01-14",22
"Ouest",18,"2025-01-14",22
"Centre-ville",14,"2025-01-14",21
"Est",14,"2025-01-14",21
"Nord",13,"2025-01-14",21
"Ouest",15,"2025-01-14",21
"Centre-ville",15,"2025-01-14",20
"Est",15,"2025-01-14",20
"Nord",14,"2025-01-14",20
"Ouest",15,"2025-01-14",20
"Centre-ville",15,"2025-01-14",19
"Est",17,"2025-01-14",19
"Nord",15,"2025-01-14",19
"Ouest",18,"2025-01-14",19
"Centre-ville",16,"2025-01-14",18
"Est",17,"2025-01-14",18
"Nord",15,"2025-01-14",18
"Ouest",19,"2025-01-14",18
"Centre-ville",16,"2025-01-14",17
"Est",17,"2025-01-14",17
"Nord",16,"2025-01-14",17
"Ouest",20,"2025-01-14",17
"Centre-ville",17,"2025-01-14",16
"Est",17,"2025-01-14",16
"Nord",16,"2025-01-14",16
"Ouest",20,"2025-01-14",16
"Centre-ville",18,"2025-01-14",15
"Est",18,"2025-01-14",15
"Nord",16,"2025-01-14",15
"Ouest",20,"2025-01-14",15
"Centre-ville",18,"2025-01-14",14
"Est",19,"2025-01-14",14
"Nord",17,"2025-01-14",14
"Ouest",21,"2025-01-14",14
"Centre-ville",18,"2025-01-14",13
"Est",18,"2025-01-14",13
"Nord",17,"2025-01-14",13
"Ouest",21,"2025-01-14",13
"Centre-ville",18,"2025-01-14",12
"Est",19,"2025-01-14",12
"Nord",18,"2025-01-14",12
"Ouest",20,"2025-01-14",12
"Centre-ville",18,"2025-01-14",11
"Est",18,"2025-01-14",11
"Nord",17,"2025-01-14",11
"Ouest",20,"2025-01-14",11
"Centre-ville",17,"2025-01-14",10
"Est",17,"2025-01-14",10
"Nord",18,"2025-01-14",10
"Ouest",21,"2025-01-14",10
"Centre-ville",17,"2025-01-14",9
"Est",18,"2025-01-14",9
"Nord",16,"2025-01-14",9
