"Désignation","Membre ","Titre ","Arrondissement/ville liée","Parti"
"Commission sur les finances et l’administration","Lisa CHRISTENSEN","Membre","Rivière-des-Praires - Pointe-aux-Trembles","Projet Montréal - Équipe Valérie Plante"
"Commission sur les finances et l’administration","Richard GUAY","Membre","Rivière-des-Praires - Pointe-aux-Trembles","Ensemble Montréal"
"Commission sur les finances et l’administration","Pierre LESSARD-BLAIS","Membre","Mercier - Hochelaga-Maisonneuve","Projet Montréal - Équipe Valérie Plante"
"Commission sur les finances et l’administration","Marie-Andrée MAUGER","Membre","Verdun","Projet Montréal - Équipe Valérie Plante"
"Commission sur les finances et l’administration","Sophie MAUZEROLLE","Membre","Ville-Marie","Projet Montréal - Équipe Valérie Plante"
"Commission sur les finances et l’administration","Marie PLOURDE","Membre","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission sur les finances et l’administration","Philipe TOMLINSON","Membre","Outremont","Projet Montréal - Équipe Valérie Plante"
"Commission sur les finances et l’administration","Alain VAILLANCOURT","Membre","Le Sud-Ouest","Projet Montréal - Équipe Valérie Plante"
"Commission sur l'inspecteur général ","Manon BARBE","Présidente","LaSalle ","Équipe Barbe Team"
"Commission sur l'inspecteur général ","Michel GIBSON","Vice-président","Kirkland",
"Commission sur l'inspecteur général ","Marie-Andrée MAUGER","Vice-présidente","Verdun","Projet Montréal - Équipe Valérie Plante"
"Commission sur l'inspecteur général ","Christine BLACK","Vice-présidente","Montréal-Nord","Ensemble Montréal"
"Commission sur l'inspecteur général ","Mitchell BROWNSTEIN","Membre","Côte Saint-Luc",
"Commission sur l'inspecteur général ","Alan DESOUSA","Membre","Saint-Laurent","Ensemble Montréal"
"Commission sur l'inspecteur général ","Pierre LESSARD-BLAIS","Membre","Mercier – Hochelaga-Maisonneuve","Projet Montréal - Équipe Valérie Plante"
"Commission sur l'inspecteur général ","Nathalie PIERRE-ANTOINE","Membre","Rivière-des-Praires - Pointe-aux-Trembles","Ensemble Montréal"
"Commission sur l'inspecteur général ","Robert SAMOSZEWSKI","Membre","L'Île-Bizard - Sainte-Geneviève","Projet Montréal - Équipe Valérie Plante"
"Commission sur l'inspecteur général ","Yves SARAULT","Membre","L'Île-Bizard - Sainte-Geneviève","Projet Montréal - Équipe Valérie Plante"
"Commission sur l'inspecteur général ","Alain VAILLANCOURT","Membre","Le Sud-Ouest","Projet Montréal - Équipe Valérie Plante"
"Commission sur l'inspecteur général ","Fanny MAGINI","Membre","Outremont","Projet Montréal - Équipe Valérie Plante"
"Commission de la présidence du conseil","Suzie MIRON","Présidente","Mercier – Hochelaga-Maisonneuve","Projet Montréal - Équipe Valérie Plante"
"Commission de la présidence du conseil","François LIMOGES","Vice-président","Rosemont - La Petite-Patrie","Projet Montréal - Équipe Valérie Plante"
"Commission de la présidence du conseil","Chantal ROSSI","Vice-rpésidente","Montréal-Nord","Ensemble Montréal"
"Commission de la présidence du conseil","Sterling DOWNEY","Membre","Verdun","Projet Montréal - Équipe Valérie Plante"
"Commission de la présidence du conseil","Andrée HÉNAULT","Membre","Anjou","Équipe Anjou"
"Commission de la présidence du conseil","Normand MARINACCI","Membre","L'Île-Bizard - Sainte-Geneviève","Projet Montréal - Équipe Valérie Plante"
"Commission de la présidence du conseil","Peter MCQUEEN","Membre","Côte-des-Neiges – Notre-Dame-de-Grâce","Projet Montréal - Équipe Valérie Plante"
"Commission de la présidence du conseil","Marianne GIGUÈRE","Membre","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission de la présidence du conseil","Marie-Josée PARENT","Membre","Verdun","Projet Montréal - Équipe Valérie Plante"
"Commission de la présidence du conseil","Aref SALEM","Membre","Saint-Laurent","Ensemble Montréal"
"Commission de la présidence du conseil","Lise ZARAC","Membre","LaSalle","Équipe Barbe Team"
"Commission sur le schéma d'aménagement et de développement de Montréal","Pierre LESSARD-BLAIS","Président","Mercier - Hochelaga-Maisonneuve","Projet Montréal - Équipe Valérie Plante"
"Commission sur le schéma d'aménagement et de développement de Montréal","Paola HAWA","Vice-présidente","Sainte-Anne-de-Bellevue",
"Commission sur le schéma d'aménagement et de développement de Montréal","Christine GOSSELIN","Membre","Rosemont - La Petite-Patrie","Projet Montréal - Équipe Valérie Plante"
"Commission sur le schéma d'aménagement et de développement de Montréal","Nathalie GOULET","Membre","Ahuntsic-Cartierville","Projet Montréal - Équipe Valérie Plante"
"Commission sur le schéma d'aménagement et de développement de Montréal","Christina SMITH","Membre","Westmount",
"Commission sur le schéma d'aménagement et de développement de Montréal","Philipe TOMLINSON","Membre","Outremont","Projet Montréal - Équipe Valérie Plante"
"Commission de la sécurité publique","Alex NORRIS","Président","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission de la sécurité publique","Philippe ROY","Vice-président","Mont-Royal",
"Commission de la sécurité publique","Abdelhaq SARI","Vice-président","Montréal-Nord","Ensemble Montréal"
"Commission de la sécurité publique","John BELVEDERE","Membre","Pointe-Claire",
"Commission de la sécurité publique","Josefina BLANCO","Membre","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission de la sécurité publique","Michèle FLANNERY","Membre","Lachine","Projet Montréal - Équipe Valérie Plante"
"Commission de la sécurité publique","Cathy WONG","Membre","Ville-Marie","Projet Montréal - Équipe Valérie Plante"
"Commission de la sécurité publique","Jacques MERCIER","Représentant","Gouvernement du Québec",
"Commission de la sécurité publique","Younes BOUKALA","Membre","Lachine","Projet Montréal - Équipe Valérie Plante"
"Commission sur le transport et les travaux publics","Marie PLOURDE","Présidente","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission sur le transport et les travaux publics","Michel GIBSON","Vice-président","Kirkland",
"Commission sur le transport et les travaux publics","Aref SALEM","Vice-président","Saint-Laurent","Ensemble Montréal"
"Commission sur le transport et les travaux publics","Maeva VILAIN","Membre","Le Plateau-Mont-Royal","Projet Montréal - Équipe Valérie Plante"
"Commission sur le transport et les travaux publics","Lisa CHRISTENSEN","Membre","Rivière-des-Praires – Pointe-aux-Trembles","Projet Montréal - Équipe Valérie Plante"
"Commission sur le transport et les travaux publics","Mindy POLLAK","Membre ","Outremont","Projet Montréal - Équipe Valérie Plante"
"Commission sur le transport et les travaux publics","Paola HAWA","Membre","Sainte-Anne-de-Bellevue",
"Commission sur le transport et les travaux publics","Sophie THIÉBAUT","Membre","Le Sud-Ouest","Projet Montréal - Équipe Valérie Plante"
"Commission sur le transport et les travaux publics","Pierre L'HEUREUX","Membre","Verdun","Ensemble Montréal"
"Commission sur le transport et les travaux publics","Peter MCQUEEN","Membre","Côte-des-Neiges - Notre-Dame-de-Grâce","Projet Montréal - Équipe Valérie Plante"
"Commission sur le transport et les travaux publics","Hadrien PARIZEAU","Membre","Ahuntsic-Cartierville","Indépendant"
