organisme,type_cr,specialite_regroupement,niveau_classe,categorie,internes,vacants,externes
Minist̬re de la Culture et des Communications,CRTI,Programmation,C.N.,Technicien,1,0,0
Minist̬re de la Culture et des Communications,CRTI,S̩curit̩ de l'information,Exp.,Professionnel,1,0,0
Minist̬re de la Culture et des Communications,CRTI,S̩curit̩ de l'information,St.,Professionnel,1,0,0
Minist̬re de la Culture et des Communications,CRTI,Soutien aux utilisateurs,C.N.,Technicien,2,0,0
Minist̬re de la Culture et des Communications,CRTI,Soutien aux utilisateurs,,Professionnel,0,0,3
Minist̬re de la Culture et des Communications,CRTI,Technologie de l'information,,Personnel d'encadrement,3,0,0
Minist̬re de la Culture et des Communications,CRTI,T̩l̩communications,St.,Professionnel,1,0,0
Minist̬re de la Culture et des Communications,Hors CRTI,Pilotage,Exp.,Professionnel,1,0,0
Minist̬re de la Culture et des Communications,Hors CRTI,Pilotage,St.,Professionnel,3,0,0
Minist̬re de la Culture et des Communications,Hors CRTI,Soutien aux utilisateurs,C.N.,Technicien,2,0,0
Conseil du patrimoine culturel du Qu̩bec,,,,,0,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Administration de donn̩es,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Administration de donn̩es,St.,Professionnel,0,1,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse d'affaires,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse d'affaires,St.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,St.,Professionnel,16,2,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture de processus,,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture de r̩seaux / T̩l̩communications,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture de s̩curit̩,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture d'entreprise,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture d'infrastructures technologiques,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture d'int̩gration d'applications,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture d'int̩gration d'applications,,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture fonctionnelle,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture fonctionnelle,,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Architecture organique,,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Formation TI,C.P.,Technicien,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Gestion de projet,Em.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Gestion de projet,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Gestion de projet,St.,Professionnel,0,1,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Gestion de projet,,Professionnel,0,0,2
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Gestion de projets (PCO) / Planification-suivi-contr̫le,St.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,St.,Professionnel,8,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Intelligence d'affaires,,Professionnel,0,0,1
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Programmation,C.P.,Technicien,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Programmation,,Professionnel,0,0,3
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Secr̩tariat g̩n̩ral,,Personnel de bureau,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,S̩curit̩ de l'information,St.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Soutien aux utilisateurs,C.P.,Technicien,6,0,0
Biblioth̬que et Archives nationales du Qu̩bec,CRTI,Technologie de l'information,,Personnel d'encadrement,5,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Analyse d'affaires,St.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Analyse en d̩veloppement de syst̬me,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Infrastructures technologiques & g̩n̩ral,C.N.,Technicien,5,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Infrastructures technologiques & g̩n̩ral,C.P.,Technicien,2,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Intelligence d'affaires,St.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Pilotage,Exp.,Professionnel,2,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,C.N.,Technicien,3,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,Exp.,Professionnel,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,St.,Professionnel,2,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Technologie de l'information,,Personnel d'encadrement,1,0,0
Biblioth̬que et Archives nationales du Qu̩bec,Hors CRTI,Web et m̩dias sociaux,St.,Professionnel,1,0,0
Conseil des arts et des lettres du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,St.,Professionnel,2,0,0
Conseil des arts et des lettres du Qu̩bec,CRTI,Architecture fonctionnelle,Exp.,Professionnel,1,0,0
Conseil des arts et des lettres du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,St.,Professionnel,2,0,0
Conseil des arts et des lettres du Qu̩bec,CRTI,S̩curit̩ de l'information,Exp.,Professionnel,1,0,0
Conseil des arts et des lettres du Qu̩bec,CRTI,Technologie de l'information,,Personnel d'encadrement,1,0,0
Conseil des arts et des lettres du Qu̩bec,Hors CRTI,Pilotage,St.,Professionnel,1,0,0
Conseil des arts et des lettres du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,C.N.,Technicien,1,0,0
Conservatoire de musique et d'art dramatique du Qu̩bec,CRTI,Analyse d'affaires,St.,Professionnel,1,0,0
Conservatoire de musique et d'art dramatique du Qu̩bec,CRTI,Gestion de projet,St.,Professionnel,0,1,0
Conservatoire de musique et d'art dramatique du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,,Professionnel,0,0,1
Conservatoire de musique et d'art dramatique du Qu̩bec,CRTI,Soutien aux utilisateurs,C.N.,Technicien,1,0,0
Conservatoire de musique et d'art dramatique du Qu̩bec,CRTI,Technologie de l'information,,Personnel d'encadrement,1,0,0
Conservatoire de musique et d'art dramatique du Qu̩bec,Hors CRTI,Architecture d'infrastructures technologiques,,Professionnel,0,0,1
Conservatoire de musique et d'art dramatique du Qu̩bec,Hors CRTI,Gestion de projet,,Professionnel,0,0,1
Conservatoire de musique et d'art dramatique du Qu̩bec,Hors CRTI,Infrastructures technologiques & g̩n̩ral,,Professionnel,0,0,1
Conservatoire de musique et d'art dramatique du Qu̩bec,Hors CRTI,Soutien aux utilisateurs,,Technicien,0,0,1
Conservatoire de musique et d'art dramatique du Qu̩bec,Hors CRTI,Soutien de projet,St.,Professionnel,1,0,0
Mus̩e d'Art contemporain de Montr̩al,CRTI,Architecture de r̩seaux / T̩l̩communications,,Professionnel,0,0,1
Mus̩e d'Art contemporain de Montr̩al,CRTI,Gestion de projet,St.,Professionnel,1,0,0
Mus̩e d'Art contemporain de Montr̩al,CRTI,Infrastructures technologiques & g̩n̩ral,C.P.,Technicien,0,1,0
Mus̩e d'Art contemporain de Montr̩al,CRTI,Infrastructures technologiques & g̩n̩ral,,Professionnel,0,0,1
Mus̩e d'Art contemporain de Montr̩al,CRTI,Soutien aux utilisateurs,C.N.,Technicien,1,0,0
Mus̩e d'Art contemporain de Montr̩al,Hors CRTI,Programmation,St.,Professionnel,1,0,0
Mus̩e d'Art contemporain de Montr̩al,Hors CRTI,Web et m̩dias sociaux,St.,Professionnel,1,0,0
Mus̩e d'Art contemporain de Montr̩al,Hors CRTI,Web et m̩dias sociaux,,Professionnel,0,0,1
Mus̩e de la Civilisation,CRTI,Administration de donn̩es,C.N.,Technicien,1,0,0
Mus̩e de la Civilisation,CRTI,Administration g̩n̩rale,,Personnel de bureau,1,0,0
Mus̩e de la Civilisation,CRTI,Analyse en d̩veloppement de syst̬me,St.,Professionnel,1,0,0
Mus̩e de la Civilisation,CRTI,Architecture de r̩seaux / T̩l̩communications,St.,Professionnel,1,0,0
Mus̩e de la Civilisation,CRTI,Gestion de projet,St.,Professionnel,8,0,0
Mus̩e de la Civilisation,CRTI,Infrastructures technologiques & g̩n̩ral,C.N.,Technicien,1,0,0
Mus̩e de la Civilisation,CRTI,Pilotage,C.P.,Technicien,1,0,0
Mus̩e de la Civilisation,CRTI,Programmation,C.N.,Technicien,5,0,0
Mus̩e de la Civilisation,CRTI,Secr̩tariat g̩n̩ral,,Personnel de bureau,1,0,0
Mus̩e de la Civilisation,CRTI,Soutien aux utilisateurs,C.N.,Technicien,3,0,0
Mus̩e de la Civilisation,CRTI,Technologie de l'information,,Personnel d'encadrement,2,0,0
Mus̩e de la Civilisation,CRTI,T̩l̩communications,C.N.,Technicien,1,0,0
Mus̩e de la Civilisation,CRTI,Web et m̩dias sociaux,C.N.,Technicien,1,0,0
Mus̩e de la Civilisation,CRTI,Web et m̩dias sociaux,St.,Professionnel,1,0,0
Mus̩e national des beaux-arts du Qu̩bec,CRTI,Analyse d'affaires,St.,Professionnel,1,0,0
Mus̩e national des beaux-arts du Qu̩bec,CRTI,Soutien aux utilisateurs,C.P.,Technicien,3,0,0
Soci̩t̩ de d̩veloppement des entreprises culturelles,CRTI,Analyse d'affaires,Exp.,Professionnel,1,0,0
Soci̩t̩ de d̩veloppement des entreprises culturelles,CRTI,Analyse d'affaires,St.,Professionnel,1,0,0
Soci̩t̩ de d̩veloppement des entreprises culturelles,CRTI,Architecture de donn̩es et d'information,Exp.,Professionnel,1,0,0
Soci̩t̩ de d̩veloppement des entreprises culturelles,CRTI,Infrastructures technologiques & g̩n̩ral,St.,Professionnel,1,0,0
Soci̩t̩ de d̩veloppement des entreprises culturelles,CRTI,Programmation,St.,Professionnel,1,0,0
Soci̩t̩ de d̩veloppement des entreprises culturelles,CRTI,Soutien aux utilisateurs,C.N.,Technicien,3,0,0
Soci̩t̩ de d̩veloppement des entreprises culturelles,CRTI,Soutien aux utilisateurs,St.,Professionnel,1,0,0
Soci̩t̩ de d̩veloppement des entreprises culturelles,CRTI,Technologie de l'information,,Personnel d'encadrement,1,0,0
Soci̩t̩ de la Place des Arts de Montr̩al,CRTI,Infrastructures technologiques & g̩n̩ral,C.P.,Technicien,1,0,0
Soci̩t̩ de la Place des Arts de Montr̩al,CRTI,Infrastructures technologiques & g̩n̩ral,Exp. C.E.,Professionnel,1,0,0
Soci̩t̩ de la Place des Arts de Montr̩al,CRTI,Soutien aux utilisateurs,C.N.,Technicien,2,0,0
Soci̩t̩ de la Place des Arts de Montr̩al,CRTI,Technologie de l'information,,Personnel d'encadrement,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Administration de donn̩es,C.N.,Technicien,2,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Administration g̩n̩rale,St.,Professionnel,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Administration g̩n̩rale,,Personnel de bureau,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Analyse d'affaires,St.,Professionnel,4,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Analyse d'affaires,,Professionnel,0,0,1
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Architecture de donn̩es et d'information,St.,Professionnel,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Architecture de r̩seaux / T̩l̩communications,Exp.,Professionnel,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Architecture d'infrastructures technologiques,Exp.,Professionnel,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Gestion de projet,St.,Professionnel,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Gestion de projet,,Professionnel,0,0,1
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,St.,Professionnel,3,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Infrastructures technologiques & g̩n̩ral,,Professionnel,0,0,1
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Programmation,Exp.,Professionnel,4,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Programmation,St.,Professionnel,3,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Programmation,,Professionnel,0,0,4
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Soutien aux utilisateurs,C.N.,Technicien,3,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Soutien aux utilisateurs,C.P.C.E.,Technicien,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,Technologie de l'information,,Personnel d'encadrement,4,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,CRTI,T̩l̩communications,St.,Professionnel,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,Hors CRTI,Gestion de projet,Exp.,Professionnel,2,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,Hors CRTI,Intelligence d'affaires,Exp.,Professionnel,1,0,0
Soci̩t̩ de t̩l̩diffusion du Qu̩bec,Hors CRTI,Web et m̩dias sociaux,St.,Professionnel,3,0,0
Soci̩t̩ du Grand Th̢̩tre de Qu̩bec,Hors CRTI,Analyse en d̩veloppement de syst̬me,Exp.,Professionnel,1,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Administration g̩n̩rale,C.N.,Technicien,1,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Analyse en d̩veloppement de syst̬me,Exp. C.E.,Professionnel,1,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Analyse en d̩veloppement de syst̬me,St.,Professionnel,6,1,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Analyse en d̩veloppement de syst̬me,,Professionnel,0,0,1
Minist̬re des Relations internationales et de la Francophonie,CRTI,Conseil strat̩gique,St.,Professionnel,1,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Gestion de projet,St.,Professionnel,1,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Infrastructures technologiques & g̩n̩ral,C.N.,Technicien,1,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Infrastructures technologiques & g̩n̩ral,Exp. C.E.,Professionnel,1,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Infrastructures technologiques & g̩n̩ral,St.,Professionnel,2,1,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Intelligence d'affaires,St.,Professionnel,1,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Programmation,C.N.,Technicien,2,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,S̩curit̩ de l'information,St.,Professionnel,2,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Soutien aux utilisateurs,C.N.,Technicien,7,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Soutien aux utilisateurs,Exp. C.E.,Professionnel,1,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Soutien aux utilisateurs,St.,Professionnel,3,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,Technologie de l'information,,Personnel d'encadrement,2,0,0
Minist̬re des Relations internationales et de la Francophonie,CRTI,T̩l̩communications,St.,Professionnel,1,0,0
Office Qu̩bec-Monde pour la jeunesse,CRTI,Gestion de projet,Exp. C.E.,Professionnel,1,0,0
Office Qu̩bec-Monde pour la jeunesse,CRTI,Programmation,St.,Professionnel,0,1,0
Office Qu̩bec-Monde pour la jeunesse,CRTI,Soutien aux utilisateurs,C.P.,Technicien,1,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Administration g̩n̩rale,C.N.,Technicien,3,1,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Administration g̩n̩rale,Exp.,Professionnel,0,1,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Analyse d'affaires,St.,Professionnel,2,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Analyse en d̩veloppement de syst̬me,Exp. C.E.,Professionnel,2,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Analyse en d̩veloppement de syst̬me,St.,Professionnel,9,4,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Analyse en d̩veloppement de syst̬me,,Professionnel,0,0,1
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Architecture d'affaires,Exp.,Professionnel,1,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Architecture de donn̩es et d'information,St.,Professionnel,1,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Architecture de donn̩es et d'information,,Professionnel,0,0,1
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Architecture d'infrastructures technologiques,St.,Professionnel,1,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Architecture fonctionnelle,Exp.,Professionnel,4,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Architecture fonctionnelle,St.,Professionnel,1,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Architecture organique,Exp.,Professionnel,3,1,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Architecture organique,St.,Professionnel,2,1,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Architecture organique,,Professionnel,0,0,7
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Conseil strat̩gique,St.,Professionnel,1,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Conseil strat̩gique,,Professionnel,0,0,1
Minist̬re des Affaires municipales et de l'Habitation,CRTI,G̩omatique,C.N.,Technicien,2,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,G̩omatique,Exp.,Professionnel,1,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,G̩omatique,St.,Professionnel,4,1,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Gestion de projets (PCO) / Planification-suivi-contr̫le,St.,Professionnel,0,1,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Programmation,St.,Professionnel,15,2,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Programmation,,Professionnel,0,0,11
Minist̬re des Affaires municipales et de l'Habitation,CRTI,S̩curit̩ de l'information,St.,Professionnel,1,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Soutien aux utilisateurs,C.N.,Technicien,2,1,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Soutien aux utilisateurs,Exp.,Professionnel,1,0,0
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Soutien de projet,,Professionnel,0,0,2
Minist̬re des Affaires municipales et de l'Habitation,CRTI,Technologie de l'information,,Personnel d'encadrement,4,0,0
Minist̬re des Affaires municipales et de l'Habitation,Hors CRTI,Analyse d'affaires,St.,Professionnel,4,0,0
Minist̬re des Affaires municipales et de l'Habitation,Hors CRTI,Pilotage,Exp.,Professionnel,2,0,0
Minist̬re des Affaires municipales et de l'Habitation,Hors CRTI,Pilotage,St.,Professionnel,5,3,0
R̩gie du b̢timent du Qu̩bec,CRTI,Administration de donn̩es,St.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Administration de donn̩es,,Professionnel,0,0,2
R̩gie du b̢timent du Qu̩bec,CRTI,Administration g̩n̩rale,C.N.,Technicien,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Analyse d'affaires,Exp. C.E.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Analyse d'affaires,,Professionnel,0,0,2
R̩gie du b̢timent du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,St.,Professionnel,2,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Analyse en d̩veloppement de syst̬me,,Professionnel,0,0,2
R̩gie du b̢timent du Qu̩bec,CRTI,Architecture d'affaires,Exp.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Architecture d'affaires,,Professionnel,0,0,2
R̩gie du b̢timent du Qu̩bec,CRTI,Architecture de donn̩es et d'information,Exp.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Architecture de processus,,Professionnel,0,0,1
R̩gie du b̢timent du Qu̩bec,CRTI,Architecture d'entreprise,,Professionnel,0,0,1
R̩gie du b̢timent du Qu̩bec,CRTI,Architecture fonctionnelle,Exp.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Architecture fonctionnelle,,Professionnel,0,0,2
R̩gie du b̢timent du Qu̩bec,CRTI,Architecture organique,Exp.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Formation TI,,Professionnel,0,0,1
R̩gie du b̢timent du Qu̩bec,CRTI,Gestion de projet,Exp. C.E.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Gestion de projet,St.,Professionnel,2,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Gestion de projet,,Professionnel,0,0,5
R̩gie du b̢timent du Qu̩bec,CRTI,Gestion de projets (PCO) / Planification-suivi-contr̫le,,Professionnel,0,0,1
R̩gie du b̢timent du Qu̩bec,CRTI,Information de gestion,St.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Pilotage,Exp. C.E.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Pilotage,St.,Professionnel,3,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Pilotage,,Professionnel,0,0,4
R̩gie du b̢timent du Qu̩bec,CRTI,Programmation,St.,Professionnel,4,1,0
R̩gie du b̢timent du Qu̩bec,CRTI,Programmation,,Professionnel,0,0,7
R̩gie du b̢timent du Qu̩bec,CRTI,S̩curit̩ de l'information,St.,Professionnel,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Soutien de projet,C.N.,Technicien,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Technologie de l'information,,Personnel d'encadrement,1,0,0
R̩gie du b̢timent du Qu̩bec,CRTI,Web et m̩dias sociaux,,Professionnel,0,0,2
