ï»¿Organisme,Categorie_de_specialite,Domaine,Secteur,Specialite,Interne,Poste_vacant,Externe
MFFP,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
MFFP,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MFFP,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MFFP,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
MFFP,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MFFP,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MJQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,1,0,0
MJQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,1,1,0
MJQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,1,0,0
MJQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,7,2,0
MJQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,1,1,0
MJQ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MIDI,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,1,0
MIDI,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MIDI,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,1,0,0
MIDI,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,2,0,0
MIDI,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,1,0,0
MIDI,TI,Personnel_encadrement,Technologies_de_information,Autres,1,0,0
MRIF,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
MRIF,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MRIF,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MRIF,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
MRIF,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MRIF,TI,Personnel_encadrement,Technologies_de_information,Autres,1,0,0
MSP,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
MSP,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MSP,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MSP,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,4,1,0
MSP,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MSP,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MSSS,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,9,1,0
MSSS,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,3,0,0
MSSS,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,2,0,0
MSSS,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,12,0,0
MSSS,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
MSSS,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
MTESS,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,8,0,0
MTESS,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
MTESS,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
MTESS,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,3,0,0
MTESS,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,3,0,0
MTESS,TI,Personnel_encadrement,Technologies_de_information,Autres,6,1,0
MTMDET,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
MTMDET,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,2,0,0
MTMDET,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,1,0
MTMDET,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
MTMDET,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,1,0,0
MTMDET,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
OPC,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
OPC,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
OPC,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
OPC,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
OPC,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
OPC,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
OPHQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
OPHQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
OPHQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
OPHQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
OPHQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
OPHQ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
OPQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
OPQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
OPQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
OPQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
OPQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
OPQ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
OQLF,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
OQLF,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
OQLF,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
OQLF,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,1,0,0
OQLF,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
OQLF,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
RACJ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,0,0,0
RACJ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,0,0,0
RACJ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,0,0,0
RACJ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,0,0,0
RACJ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,0,0,0
RACJ,TI,Personnel_encadrement,Technologies_de_information,Autres,0,0,0
RAMQ,TI,Personnel_encadrement,Technologies_de_information,Developpement_application,6,0,0
RAMQ,TI,Personnel_encadrement,Technologies_de_information,Infrastructure_technologique,4,1,0
RAMQ,TI,Personnel_encadrement,Technologies_de_information,Soutien_aux_utilisateurs,2,0,0
RAMQ,TI,Personnel_encadrement,Technologies_de_information,Informatique-generale,5,1,0
RAMQ,TI,Personnel_encadrement,Technologies_de_information,Gestion_de_projet,1,0,0
