id_dis,arr_1,arr_2,ID_TRC,id_stt,sens_releve,date_releve,type_dis,configuration,codification,longueur,geometry
1061,Lachine,,1604748.0,,N-S,2023-12-17,glissiere,droite,GR/BC,2,"LINESTRING Z (-73.71900168177828 45.453148835411916 0, -73.7189958454216 45.45312739414972 0)"
1062,Lachine,,1604748.0,,N-S,2023-12-17,glissiere,droite,GR/BC,2,"LINESTRING Z (-73.71902004634174 45.45319965078985 0, -73.71901369380707 45.45317770313759 0)"
1063,Lachine,,1604748.0,,N-S,2023-12-17,glissiere,droite,GR/BC,2,"LINESTRING Z (-73.71903926597305 45.4532698743141 0, -73.71903293229049 45.4532487759514 0)"
1064,Lachine,,1604748.0,,N-S,2023-12-17,glissiere,droite,GR/BC,2,"LINESTRING Z (-73.71905203591353 45.453302235468506 0, -73.7190430066346 45.45328168218654 0)"
1065,Lachine,,1604748.0,,N-S,2023-12-17,glissiere,droite,GR/BC,2,"LINESTRING Z (-73.71906389520409 45.45335036368077 29.99, -73.71905614520102 45.45333000591388 29.97)"
1066,Saint-Laurent,,4008001.0,,E-O,2023-11-15,glissiere,gauche,GR/BC,10,"LINESTRING Z (-73.75535825792372 45.479036714903984 32.5008489253984, -73.75539016935949 45.47908026996134 32.681075345424, -73.75544455723708 45.4790698571699 32.5131069235445)"
1073,Saint-Laurent,,1010059.0,,O-E,2023-11-16,glissiere,droite,GSR/W/B,17,"LINESTRING Z (-73.76644738979313 45.487439439664826 27.2894629481778, -73.76638590932929 45.487466957279835 27.2978014062155, -73.76632586385396 45.487495559629096 27.3356551119781, -73.76626118617492 45.48752570397054 27.4288471191919)"
1074,Saint-Laurent,Dorval,1010059.0,,E-O,2023-11-16,glissiere,droite,GSR/W/B,37,"LINESTRING Z (-73.76621395328831 45.48795700955606 27.8748144102262, -73.76621693501893 45.487942995190465 28.149114133237, -73.76622475887352 45.48793171915793 28.2211371295213, -73.76623522182412 45.48792025494095 28.1258703751127, -73.76624597198641 45.4879095694029 28.0215170452825, -73.76625974575933 45.487899212773186 27.957671717762, -73.76627187040901 45.4878894258839 28.0078454708358, -73.76628540196306 45.48787851097527 28.1381637383339, -73.76629817366337 45.487870229094135 27.9116495902621, -73.7663126899158 45.48786097503635 27.8596079443407, -73.76632505402684 45.48785201654881 27.8563546091294, -73.7663436257116 45.48783796812786 27.7925837114772, -73.76636423846783 45.487825254684495 27.7248845091078, -73.76638221460819 45.48781396156689 27.6277963419323, -73.76639867548444 45.487802623367486 27.712072928711, -73.76641243433048 45.4877928345641 27.6509773708827, -73.76643545713347 45.48777998091794 27.7530978633822, -73.76646055220716 45.48776563865828 27.5306710013993, -73.76650387238358 45.48773879449032 27.418685112001, -73.76653522767637 45.4877231291517 27.3250864020104)"
1079,Saint-Laurent,,1010059.0,,S-N,2023-11-16,glissiere,gauche,GSR/W/BE,36,"LINESTRING Z (-73.76584085849737 45.488682756260566 27.757199999992736, -73.76587265105488 45.488805154486194 27.457468912750826, -73.7658846766643 45.48888526157315 27.327999999994063, -73.76586479843033 45.48900736861208 26.95909999999276)"
1080,Saint-Laurent,,1010059.0,,E-O,2023-11-16,glissiere,gauche,GSR/W/BE,66,"LINESTRING Z (-73.76434087670843 45.48832932814709 33.2956418804076, -73.76439040256113 45.48831577522915 33.2663339550003, -73.7644353098927 45.48830207138574 33.1532100563947, -73.76448118456786 45.48829108628975 33.099163186638, -73.76452411274731 45.48827578359234 32.9524833481922, -73.76456898881789 45.488261936957414 32.8779425150008, -73.76461373032018 45.48824776450733 32.7497539662502, -73.76465923815833 45.48823556299166 32.5533299925626, -73.76470313510099 45.488221088339834 32.3529109520763, -73.76474823468574 45.48820774119744 32.1806274318717, -73.76479375634958 45.4881957236623 32.0364381414817, -73.76483830091699 45.488182099557406 31.8973640110566, -73.76488229224685 45.488168009623784 31.7193281125996, -73.76494939011553 45.48814801936434 31.4564571250505, -73.76499460749025 45.488134750860965 31.3147119670961, -73.76504016249639 45.48812279682079 31.0923835380529, -73.76511397032156 45.48810241339147 30.9614672529835)"
1082,Pierrefonds-Roxboro,Dollard-des-Ormeaux,1609645.0,,S-N,2024-03-26,glissiere,droite,GR/BC,71,"LINESTRING Z (-73.7866022076199 45.503599245111836 24.27, -73.78652798602185 45.50378041337213 23.90700000000652, -73.78648542798423 45.50387117951866 23.624200000005658, -73.7864104583204 45.504051754810284 23.786699999996927, -73.78634241183005 45.50421312180978 23.97)"
1083,Pierrefonds-Roxboro,,1609646.0,,N-S,2023-11-17,glissiere,droite,GR/BC,30,"LINESTRING Z (-73.78675012183731 45.503942021847685 23.9396214449461, -73.78664753200694 45.50420085667597 24.0506408381151)"
1084,Lachine,Dorval,1604811.0,81-05550,S-N,2023-12-17,glissiere,droite,GR/BC,33,"LINESTRING Z (-73.72449988750664 45.46087962300851 32.3585877807189, -73.72480509983812 45.46066861640364 32.708891248274)"
1085,Saint-Laurent,,4015876.0,,O-E,2023-11-16,glissiere,droite,GSR/W/AE,19,"LINESTRING Z (-73.76564113525131 45.48941630920378 25.834400000007008, -73.76558687729656 45.489423210167416 25.92840000000433, -73.76544313592449 45.48944106970572 26.215500000005704, -73.765402813214 45.48944424519265 26.240600000004633)"
1086,Saint-Laurent,Dorval,4015876.0,,O-E,2023-11-16,glissiere,gauche,GR/BC,207,"LINESTRING Z (-73.76693323825891 45.48942724459076 25.3032368140536, -73.7661209028014 45.489478329746085 25.2612358833026, -73.76526201654129 45.4895303384496 26.1284447019302, -73.7642916442132 45.489589366773295 28.7196096720457)"
1087,Saint-Laurent,,4015876.0,,O-E,2023-11-16,glissiere,gauche,GR/BC,31,"LINESTRING Z (-73.7655302303971 45.48936190285871 26.47509999999602, -73.7654020039983 45.489404932186254 26.703999999997905, -73.76531649798903 45.489429348347656 26.841599999999744, -73.76516514741323 45.48945884450423 26.750499999994645)"
1090,Lachine,Dorval,1604817.0,81-05550,S-N,2023-12-17,glissiere,mediane,GR/BC,196,"LINESTRING Z (-73.72513384615219 45.4605647283505 31.86130000000412, -73.72507978543912 45.46060806518414 31.698999999993248, -73.72502478097815 45.46064520920454 31.7841999999946, -73.72497037881679 45.46068425022997 31.79989999999816, -73.72491538544553 45.460721727003076 31.861000000004424, -73.72482683127745 45.46078648642574 31.85109999999986, -73.7246233565625 45.460933630555715 31.78519999999844, -73.72431289328462 45.461155862526525 32.02580000000307, -73.72426487973283 45.461188769069246 32.30569999999716, -73.72417153624397 45.46125514076274 32.373300000006566, -73.72378869699273 45.46151575258016 0, -73.72334061935811 45.46180101364822 31.945000000006985)"
1091,Saint-Laurent,Dorval,4016727.0,,E-O,2023-11-16,glissiere,gauche,GSR/W/BE,46,"LINESTRING Z (-73.76481616103165 45.49000664360621 27.360100000005332, -73.76493746166447 45.48999865955573 26.972899999993388, -73.76505837838731 45.489991139657654 26.722500000003492, -73.76515575786674 45.489984421227824 26.469100000002072, -73.76527698418056 45.48997746104697 26.24770000000717, -73.76534961309274 45.48997180102856 26.108300000007148, -73.76539803010161 45.489968612292415 26.1149155028527)"
1092,Saint-Laurent,,4015876.0,,O-E,2023-11-16,glissiere,droite,GR/BC,163,"LINESTRING Z (-73.76540264619143 45.489444312980716 26.221000000005006, -73.76409848836829 45.48952410258004 29.128700000001118, -73.76339628187607 45.489544886231606 30.437200000000303, -73.76334434824929 45.489546649672604 30.518800000005285, -73.76331896250504 45.48954697840882 30.594200000006822)"
1093,Saint-Laurent,Dorval,4016727.0,,E-O,2023-11-16,glissiere,droite,GSR/W/BE,42,"LINESTRING Z (-73.76492136677584 45.49012651117694 27.59, -73.76545441704322 45.49008913587827 26.464000000007218)"
1094,Saint-Laurent,,1010059.0,81-05485,N-S,2023-11-16,glissiere,gauche,GR/BC,54,"LINESTRING Z (-73.7632607529932 45.48916173919128 36.9046253737142, -73.76344613478314 45.48892974062577 36.1896944018874, -73.76356912216268 45.488807140862384 36.29014005405, -73.7636290915424 45.48875120360002 35.9998590927506)"
