ï»¿ID,MUNICIPALITE,MODELE,COULEUR,MISEAJOUR,LONGITUDE,LATITUDE,DATEENTRETIEN,PRESSIONDYNAMIQUE
,60013,McAvity M67,Rouge,2019-03-25,-73.46312887253228,45.7249177762831,2023-10-17,38
,60013,Concord D67M,Rouge,2018-04-13,-73.46156580791508,45.72447536660096,2023-10-17,48
,60013,Concord D67M,Rouge,2019-03-25,-73.46022544489063,45.72364855898769,2023-10-17,48
,60013,AVK Model 27-80,Rouge,2022-12-01,-73.46103348765534,45.72295003177416,2023-10-17,40
,60013,AVK Model 27-80,Rouge,2022-12-01,-73.45927884976479,45.72441821941422,2023-10-17,50
,60013,AVK Model 27-80,Rouge,2019-12-17,-73.46172131505861,45.72638159852084,2023-10-17,34
,60013,McAvity M59M,Rouge,2018-04-13,-73.46294066293677,45.726914138010876,2023-10-17,8
,60013,McAvity M67,Rouge,2018-04-13,-73.45833928173182,45.72590816949982,2023-10-17,34
,60013,AVK Model 27-80,Rouge,2019-03-25,-73.45966133304572,45.72642748880204,2023-10-17,44
,60013,AVK Model 27-80,Rouge,2019-03-25,-73.45871124567716,45.727456312686265,2023-10-17,44
,60013,AVK Model 27-80,Rouge,2019-03-25,-73.46151601803608,45.7278880472389,2023-10-17,36
,60013,Concord D67M,Rouge,2018-04-13,-73.46218975269657,45.72755465393983,2023-10-17,44
,60013,McAvity M67,Rouge,2019-09-03,-73.45742502559222,45.72764430396712,2023-10-17,34
,60013,McAvity M59M,Rouge,2019-08-22,-73.4621192181924,45.728990946334704,2023-10-17,50
,60013,McAvity M59M,Rouge,2019-03-25,-73.46002538718817,45.72995983009295,2023-10-17,10
,60013,McAvity M59M,Rouge,2019-12-17,-73.45792221944455,45.72921966012775,2023-10-17,10
,60013,McAvity M67 Brigadier,Rouge,2018-04-13,-73.45969146089786,45.729003389574146,2023-10-17,10
,60013,McAvity M59M,Rouge,2018-04-13,-73.45726740280617,45.730119790249155,2023-10-17,44
,60013,McAvity M59M,Rouge,2018-04-13,-73.46029320476455,45.73099039241332,2023-10-17,50
,60013,McAvity M59M,Rouge,2018-04-13,-73.46204658379122,45.731757092913234,2023-10-17,46
,60013,McAvity M67,Rouge,2018-04-13,-73.46356054558542,45.73234755312446,2023-10-17,46
,60013,McAvity M59M,Rouge,2018-04-13,-73.4653437004573,45.73131553458647,2023-10-17,24
,60013,Concord D67M,Rouge,2019-12-12,-73.46389149075887,45.73163261411669,2023-10-17,26
,60013,McAvity M59M,Rouge,2019-12-12,-73.46239516383784,45.73095618499181,2023-10-17,26
,60013,McAvity M67 Brigadier,Rouge,2018-08-21,-73.46181047109651,45.72973207032706,2023-10-17,50
,60013,McAvity M59M,Rouge,2019-04-12,-73.46394384184673,45.729893060989255,2023-10-17,30
,60013,McAvity M59M,Rouge,2019-12-11,-73.46468108011865,45.72921743393755,2023-10-17,40
,60013,AVK Model 27-80,Rouge,2019-04-15,-73.46517421808262,45.72863300458707,2023-10-17,40
,60013,McAvity M59M,Rouge,2019-04-15,-73.46676011975434,45.72822676922385,2023-10-17,16
,60013,McAvity M59M,Rouge,2019-12-11,-73.46627730855026,45.727422371950965,2023-10-17,38
,60013,Concord D67M,Rouge,2019-04-15,-73.46775083845603,45.728982127167015,2023-10-17,48
,60013,Concord D67M,Rouge,2018-04-13,-73.46560156677002,45.72684397529891,2023-10-17,52
,60013,McAvity M59M,Rouge,2021-03-02,-73.46645495669549,45.724615969080354,2023-10-17,50
,60013,AVK Model 27-80,Rouge,2019-12-10,-73.46746127846363,45.725971666118575,2023-10-17,52
,60013,McAvity M67,Rouge,2019-12-10,-73.46751502091458,45.724733119964334,2023-10-17,52
,60013,AVK Model 27-80,Rouge,2019-01-22,-73.46868562438104,45.72558094660631,2023-10-17,48
