,,"Terres en vues ","Présence autochtone, 24e édition.",,40 000 $
,,"Vues d'Afrique","30e Festival international de cinéma Vues d'Afrique",,25 000 $
,,,"Sous-Total",,700 000 $
"Soutien aux festivals et aux événements culturels -Volet 2 : budget de moins de 500 000 $",,"Nom de l'organisme ","Événements",,"Montant octroyé"
,,"Bach Académie  ","Festival Bach de Montréal - 9e édition",,12 500 $
,,"Casteliers "," Les trois jours de Casteliers - 10e édition",,15 000 $
,,"Centre de production et d'exposition Eastern Bloc ",,,5 000 $
,,"Danse Imédia O.S.B.L. ","13e Festival Quartiers Danses",,7 500 $
,,"Diffusions gaies et lesbiennes du Québec / Image + Nation  ","28e Festival international cinéma LGBT Montréal ",,12 500 $
,,"Festival BD de Montréal - 4e édition",,,10 000 $
,,"Festival de théâtre de rue de Lachine - 8e édition",,,10 000 $
,,"Festival du Jamais Lu - 14e édition",,,15 000 $
,,"Festival interculturel du conte - 13e biennale",,,10 000 $
,,"Les Escales Improbables de Montréal - 12e édition",,,15 000 $
,,"Les Filles Électriques ","4e Festival Phénomena ",,15 000 $
,,"L'OFF Festival de jazz de Montréal - 16e édition",,,14 500 $
,,"Maison de la poésie ","16e Festival de la poésie",,12 500 $
,,"Montréal Baroque inc. ","13e Festival Montréal Baroque",,12 500 $
,,"OFFTA (Le) ","OFFTA - 9e édition",,7 500 $
,,"Société des Arts Libres et Actuels ","15e Festival Suoni Per Il Popolo",,15 000 $
,,"Société pour la promotion de la danse traditionnelle québécoise / ","La Grande Rencontre - 23e édition",,10 000 $
,,"Théâtre MainLine ","25e Festival St-Ambroise Fringe Montréal ",,15 000 $
,,"Viva! Art Action Montréal - 5e édition",,,5 000 $
,,,"Sous-Total",,219 500 $
"Soutien à la diversité des expressions culturelles  - Festivals et événements",,"Nom de l'organisme ","Événements",,"Montant octroyé"
,,"Alchimie, Créations et culture",,,"15 000 $"
,,"Arc-en-ciel d'Afrique",,,"3 000 $"
,,"Association de la Communauté noire de CDN",,,"1 000 $"
,,"Association culturelle St-Volodymyr de Montréal",,,"4 500 $"
,,"Association des jeunes de la Petite-Bourgogne",,,"3 500 $"
,,"Association Rocade",,,"1 000 $"
,,"Carrefour de liaison et d’aide multiethnique (CLAM)",,,"1 000 $"
,,"Carrefour socioculturel du Centre Afrika ",,,"5 000 $"
,,"Centre africain de développement et d’entraide (CADE)",,,"1 000 $"
,,"Centre culturel Kabir",,,"1 000 $"
,,"Centre international de documentation et d'information haïtienne, caraïbéenne et afro-canadienne (CIDIHCA)",,,"1 000 $"
