,,"Ville-Marie","Les escales improbables de Montréal","431,57 $",,,,,,,,,,,
,,"Ville-Marie","Les films de l'autre","1 105,07 $",,,,,,,,,,,
,,"Ville-Marie","Les francofolies de Montréal inc.","5 358,01 $",,,,,,,,,,,
,,"Ville-Marie","Les productions Ondinnok inc.","2 455,50 $",,,,,,,,,,,
,,"Ville-Marie","Les rendez-vous du cinéma québécois","2 608,80 $",,,,,,,,,,,
,,"Ville-Marie","L'illusion, théâtre de marionnettes","609,88 $",,,,,,,,,,,
,,"Ville-Marie","Lock-danseurs inc. / LA LA LA Human Steps","793,60 $",,,,,,,,,,,
,,"Ville-Marie","L'oeil vif / les films du 3marsS","1 233,20 $",,,,,,,,,,,
,,"Ville-Marie","Montréal danse","1 969,62 $",,,,,,,,,,,
,,"Ville-Marie","Musée des beaux-arts de Montréal","7 500,00 $",,,,,,,,,,,
,,"Ville-Marie","Omnibus, le corps du théâtre","3 720,01 $",,,,,,,,,,,
,,"Ville-Marie","Omnibus, le corps du théâtre","862,86 $",,,,,,,,,,,
,,"Ville-Marie","Opéra de Montréal","7 500,00 $",,,,,,,,,,,
,,"Ville-Marie","Optica - un centre au service de l'art contemporain","2 873,26 $",,,,,,,,,,,
,,"Ville-Marie","Orchestre métropolitain du grand Montréal","3 239,67 $",,,,,,,,,,,
,,"Ville-Marie","Perte de signal","1 426,65 $",,,,,,,,,,,
,,"Ville-Marie","Productions Traquen'art inc","1 130,88 $",,,,,,,,,,,
,,"Ville-Marie","Regroupement des artistes en arts visuels du Québec, R.A.A.V.","1 946,30 $",,,,,,,,,,,
,,"Ville-Marie","Répercussion théâtre","353,66 $",,,,,,,,,,,
,,"Ville-Marie","Revue d'art contemporain ETC inc.","1 872,06 $",,,,,,,,,,,
,,"Ville-Marie","Société de développement des périodiques culturels québécois (SODEP)","1 108,45 $",,,,,,,,,,,
,,"Ville-Marie","Société de promotion et de diffusion des arts et de la culture (S.P.D.A.C.) inc.","536,67 $",,,,,,,,,,,
,,"Ville-Marie","Société musicale André-Turp","1 490,64 $",,,,,,,,,,,
,,"Ville-Marie","Studio 303","3 057,52 $",,,,,,,,,,,
,,"Ville-Marie","Tangente inc.","993,84 $",,,,,,,,,,,
,,"Ville-Marie","Tangente inc.","2 080,08 $",,,,,,,,,,,
,,"Ville-Marie","Tenon mortaise, compagnie de théâtre-danse","327,59 $",,,,,,,,,,,
,,"Ville-Marie","Théâtre Momentum","876,51 $",,,,,,,,,,,
,,"Ville-Marie","Théâtre Momentum","593,04 $",,,,,,,,,,,
,,"Ville-Marie","Théâtre sans domicile fixe","400,62 $",,,,,,,,,,,
,,"Ville-Marie","Théâtre UBU inc.","3 494,07 $",,,,,,,,,,,
,,"Ville-Marie","Vitrine culturelle de Montréal","2 957,64 $",,,,,,,,,,,
,,"Ville-Marie","Vues d'Afrique","2 070,72 $",,,,,,,,,,,
,,,"Sous-total Ville-Marie","187 508,74 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Café l'Artère coopérative de solidarité","2 294,96 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Centre de production et d'exposition Eastern Bloc","2 920,80 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Centre des métiers du cuir de Montréal","1 359,89 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Conseil du loisir scientifique de la région métropolitaine","2 078,35 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Dynamo théâtre inc.","1 223,72 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Espace culturel Centre Nord","3 791,42 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Le corrid'art/The Long Haul","5 636,65 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Maison de la poésie","940,58 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Société pour la promotion de la danse traditionnelle québécoise","1 655,28 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Théatre bouches décousues","980,01 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Théâtre de l'oeil inc.","3 155,31 $",,,,,,,,,,,
,,"Villeray–Saint-Michel–Parc-Extension","Théâtre longue vue la suite (LV2)","595,83 $",,,,,,,,,,,
,,,"Sous-total Villeray–Saint-Michel–Parc-Extension","26 632,80 $",,,,,,,,,,,
,,"11 arrondissements ","Grand total aide financière aux OBNL locataires","530 573,63 $",,,,,,,,,,,
,,"Nom de l'organisme","Titre du projet","Montant octroyé",,,,,,,,,,,
"Ententes de partenariat","*","Comité musique Maisonneuve","Petits Bonheurs - Activité de médiation ","25 000,00 $",,,,,,,,,,,
,,"Association montréalaise pour le développement des loisirs des tout-petits","Services d'animation pour les groupes de tout-petits et de formation en loisir pour les intervenants de la petite enfance ","16 600,00 $",,,,,,,,,,,
,,"Bureau du cinéma et de la télévision du Québec (BCTQ)","Soutenir la mission de BCTQ notamment au niveau de la promotion internationale ","100 000,00 $",,,,,,,,,,,
,,"Association montréalaise des arts et traditions populaires","Organisation et animation des danses folkloriques en plein air sur le mont Royal ","5 000,00 $",,,,,,,,,,,
,"*","Collectif d'animation urbaine L'Autre Montréal","Plan d'action 2008-2010 du Collectif d'animation urbaine L'autre Montréal  ","20 000,00 $",,,,,,,,,,,
,,"Culture Montréal ","Entente de partenariat triennale 2011-2013","80 000,00 $",,,,,,,,,,,
,"*","Institut de l'événement - Montréal - IDÉ","Réalisation de son plan d'action triennal axé prioritairement sur le développement de la relève en gestion et diretion d'événements","75 000,00 $",,,,,,,,,,,
,,"MAI (Montréal, arts interculturels)","Entente de partenariat pour le développement des pratiques interculturelles  ","200 000,00 $",,,,,,,,,,,
,"*","MAI (Montréal, arts interculturels)","Activités de mentorat auprès des organismes et des artistes de la diversité culturelle (Prolongation)","150 000,00 $",,,,,,,,,,,
,"*","Maison québécoise du théâtre pour l'enfance et la jeunesse (La Maison Théâtre)","Découvertes théâtrales ","25 000,00 $",,,,,,,,,,,
,"*","Musique Multi-Montréal","Activités d'accompagnement professionnel pour les artistes des musiques du monde ","25 000,00 $",,,,,,,,,,,
,,"Orchestre Symphnique de Montréal ","Démocratiser l'accès à la culture et appui au rayonnement international de Montréal métropole culturelle  ","100 000,00 $",,,,,,,,,,,
,,"Segal Center for Performing Arts","Appui des activités de la saison 2011-2012 du Centre et développement d'un partenariat avec l'Arrondissement de Côte-des-Neiges--Notre-Dame-de-Grâce","50 000,00 $",,,,,,,,,,,
,"*","Société des directeurs des musées montréalais (SDMM)","Plan d'action  ","160 000,00 $",,,,,,,,,,,
,,"Bibliothèque et centre d'informatique Atwater ","Aide au fonctionnement","20 700,00 $",,,,,,,,,,,
,,"Montreal Children's Library, succursale Atwater  ","Aide au fonctionnement","31 700,00 $",,,,,,,,,,,
,,"Pointe-à-Callière, Musée d'histoire et d'archéologie de Montréal ","Aide au fonctionnement","4 640 000,00 $",,,,,,,,,,,
,"*","Société du Château Dufresne","Plan d'action triennal  ","90 000,00 $",,,,,,,,,,,
,"*","Tourisme Montréal","Développement du tourisme culturel 2011-2012","140 000,00 $",,,,,,,,,,,
,,"Société des arts technologiquesv (SAT)","Diffusion des arts numériques auprès des citoyens","50 000,00 $",,,,,,,,,,,
,,"18 organismes","Sous-total","6 004 000,00 $",,,,,,,,,,,
,,"Nom de l'organisme","Titre du projet","Montant octroyé",,,,,,,,,,,
"Soutien hors programme","*","Montréal en histoire ","Cité Mémoire - Phase 1","75 000,00 $",,,,,,,,,,,
,,"AlterGo ","Animation culturelle lors de la Journée des partenaires dans le cadre du Défi sportid athlètes handicapés","2 000,00 $",,,,,,,,,,,
,"*","Culture Montréal ","Colloque Cosmopolitisme, jeunesse et environnement numérique","25 000,00 $",,,,,,,,,,,
,,"Société des directeurs des musées montréalais (SDMM)","Activités de célébrations du 25e anniversaire","25 000,00 $",,,,,,,,,,,
,,"4 organismes","Sous-total","127 000,00 $",,,,,,,,,,,
,,"Nom de l'organisme","Titre du projet","Montant octroyé",,,,,,,,,,,
"Ententes de partenariats en culture à partir de la Stratégie de développement économique 
«Imaginer - Réaliser Montréal 2025 » entre la Ville et le MAMROT",,"Cité des arts du Cirque (TOHU)","MONTRÉAL COMPLÈTEMENT CIRQUE ","500 000,00 $",,,,,,,,,,,
,,"Collectif de festivals montréalais","Collectif de 11 festivals montréalais  ","250 000,00 $",,,,,,,,,,,
,,"Festival canadien des films du monde","Festival des Films du Monde ","150 000,00 $",,,,,,,,,,,
,,"Festival International de Jazz de Montréal inc.","Festival International de Jazz de Montréal  ","500 000,00 $",,,,,,,,,,,
,,"Festival Juste pour rire / Just For Laughs","Festival Juste pour rire  ","500 000,00 $",,,,,,,,,,,
,,"Festival Montréal en Lumière inc.","Festival Montréal en lumière   ","250 000,00 $",,,,,,,,,,,
,,"Festival TransAmériques inc.","Festival TransAmériques  ","250 000,00 $",,,,,,,,,,,
,,"Le Grand Charivari","Le Grand Charivari  ","250 000,00 $",,,,,,,,,,,
,,"Les FrancoFolies de Montréal Inc.","FrancoFolies de Montréal","250 000,00 $",,,,,,,,,,,
,,"Partenariat du Quartier des spectacles","Plan lumière du Quartier des spectacles (plan triennal)","2 500 000,00 $",,,,,,,,,,,
,,"Partenariat du Quartier des spectacles","Programmation d'activités culturelles - année 2011","3 210 000,00 $",,,,,,,,,,,
,,"Partenariat du Quartier des spectacles","Réalisation d'un plan d'affaires","1 160 000,00 $",,,,,,,,,,,
,,"Montréal, métropole culturelle ","Entente triennale 2010-2012 (Phase 2 de 3)","366 000,00 $",,,,,,,,,,,
,,"Centre du Cinéma Parallèle ","Procéder à l'acquisition des salles de cinéma d'eXcentris","2 750 000,00 $",,,,,,,,,,,
,,"Société de la Salle Jean-Grimaldi","Pour les travaux d'aménagements et d'agrandissement de la salle de spectacle (Phase 1 de 3)","500 000,00 $",,,,,,,,,,,
,,"La Vitrine culturelle ","Aménagement dans le 2-22 et développement technologique","400 000,00 $",,,,,,,,,,,
,,"La Vitrine culturelle ","Entente triennale 2010-2012 (Phase 2 de 3)","300 000,00 $",,,,,,,,,,,
,,"15 organismes et partenaires","Sous-total","14 086 000,00 $",,,,,,,,,,,
,,"Nom du prix ou de la bourse ","Nom du lauréat","Bourse octroyée",,,,,,,,,,,
"Prix et bourses décernés ",,"Grand Prix du livre de Montréal ","Élise Turcotte pour son roman GUYANA - Leméac Éditeur
","15 000,00 $",,,,,,,,,,,
,,"Prix Jacques-Cartier du roman de langue française (Centre Jacques-Cartier)","Catherine Mavrikakis pour son roman Les derniers jours de Smokey Nelson -édition Héliotrope - bourse décernée dans le cadre du Grand Prix du livre de Montréal. La bourse de 10 000 $ est octroyée par le Centre Jacques-Cartier de Lyon.

",,,,,,,,,,,,
,,"Prix François-Houdé - métiers d'art***
","Jessica Beauchemin, lauréate 2011


","5 000,00 $",,,,,,,,,,,
,,"Prix Pierre-Ayot - arts visuels***","Olivia Boudreau, lauréate 2011","5 000,00 $",,,,,,,,,,,
,,"Prix Louis-Comtois - arts visuels***","Marie-Claude Bouthillier, lauréate 2011
","7 500,00 $",,,,,,,,,,,
,,"Prix Paul-Buisonneau - Contribution au développement du théâtre amateur - organisme","Pierre Vaillant
","300,00 $",,,,,,,,,,,
,,"Prix Accès culture***","Théâtre Motus pour Pour en finir avec... Cyrano","Tournée",,,,,,,,,,,
,,"Prix Janine-Sutto - catégorie organisme","Compagnon de Montréal","1 000,00 $",,,,,,,,,,,
,,"Prix Janine-Sutto - catégorie individu","Geneviève Morin-Dupont","500,00 $",,,,,,,,,,,
,,"Finale régionale Secondaire en Spectacles - bourse pour participer au camp en chanson de Petite-Vallée","Bourse pour participer au camp en chanson de Petite-Vallée","1 500,00 $",,,,,,,,,,,
,,"Formation pour la relève en loisir culturel - bourse aux finissants","Bourses de participation","5 700,00 $",,,,,,,,,,,
,,"Prix du livre jeunesse des bibliothèques de Montréal ","Andrée Poulin pour Miss Pissenlit - Éditions Québec Amérique ","5 000,00 $",,,,,,,,,,,
,,"13 prix et bourses ","Sous-total prix et bourses","46 500,00 $",,,,,,,,,,,
"*** : En plus de la bourse, ces prix comportent d'autres avantages en services (réalisation d'une exposition des lauréats, acquisition d'œuvres d'art, tournée, cachet, etc,)",,,,,,,,,,,,,,,
,,,"Grand total culture - Direction de la culture et du patrimoine - année 2011","27 545 900,72 $",,,,,,,,,,,
