ï»¿objectid,MUNICIPALITE,ID,NOM,adresse,secteur,TYPE,superficie
63,36033,751-214-00,Espace vert 18e Rue/12e Avenue,18e Rue / 12e Avenue,Grand-MÃ¨re,Espace vert,1616
66,36033,751-222-00,Parc du Rocher,"100, 5e Avenue",Grand-MÃ¨re,Parc,2303
68,36033,751-605-00,Parc du Lac-Montclair,Rue du Lac-Montclair / Chemin des Bouleaux,Saint-GÃ©rard-des-Laurentides,Parc,788
69,36033,751-318-00,Espace vert Place Richelieu,Place Richelieu,Shawinigan-Sud,Espace vert,1865
70,36033,751-317-00,Espace vert Alfred-Desrochers,Avenue Graziella-Dumaine / Rue Alfred-Desrochers,Shawinigan-Sud,Espace vert,2345
74,36033,751-102-00,Parc Saint-Maurice,Avenue Broadway,Shawinigan,Parc,37710
13,36033,751-115-00,Parc de la RiviÃ¨re-Shawinigan,Rue Trudel,Shawinigan,Parc,273333
23,36033,751-125-00,Parc Tom-Pouce,Avenue de Nicolet / 51e Rue,Shawinigan,Parc,927
24,36033,751-131-00,Parc de Belgoville,Rue de Belgoville / Rue Ãmile-Jacob,Shawinigan,Parc,9148
25,36033,751-114-00,Parc du Beau-Rivage,Avenue du Beau-Rivage,Shawinigan,Parc,14827
26,36033,751-130-00,Espace vert Hamilton,Promenade du Saint-Maurice,Shawinigan,Espace vert,3783
27,36033,751-126-00,Parc du Domaine-du-Havre,Rue EugÃ¨ne-Dumas,Shawinigan,Parc,975
28,36033,751-121-00,Espace vert Aldred,35e Rue / Avenue St-Louis,Shawinigan,Espace vert,2292
29,36033,751-103-00,Parc Trois-L,Rue Viger / Avenue Laval,Shawinigan,Parc,27884
76,36033,751-225-00,Parc Petit-Canada,7e rue,Grand-MÃ¨re,Parc,3333
78,36033,751-132-00,Parc Terrasse-des-Rapides,77e Rue,Shawinigan,Parc,4028
30,36033,751-305-00,Parc Boisvert,128e Rue / 110e Avenue,Shawinigan-Sud,Parc,6909
31,36033,751-309-00,Parc J.-Ãmile-HÃ©bert,103e Avenue /  115e Rue,Shawinigan-Sud,Parc,1042
32,36033,751-306-00,Parc du Clair-Val,136e Rue / 106e Avenue,Shawinigan-Sud,Parc,3742
33,36033,751-602-00,Parc Bellefeuille,rue Bellefeuille,Saint-GÃ©rard-des-Laurentides,Parc,983
34,36033,751-405-00,Parc Guillaume-Tell,206e Rue,Saint-Georges-de-Champlain,Parc,1319
35,36033,751-406-00,Parc Cendrillon,211e Rue,Saint-Georges-de-Champlain,Parc,725
37,36033,751-403-00,Parc Gervais,207e Avenue,Saint-Georges-de-Champlain,Parc,23801
39,36033,751-314-00,Parc Saint-Michel,Rue Ovila-Demontigny,Shawinigan-Sud,Parc,6648
43,36033,751-311-00,Parc Lord,Rue Pierre Lord,Shawinigan-Sud,Parc,3793
44,36033,751-302-00,Parc Jacob,Avenue du Capitaine-Veilleux / Avenue d'Almaville,Shawinigan-Sud,Parc,4944
45,36033,751-310-00,Parc du BoisÃ©,Rue des Sources / Avenue Jourdain,Shawinigan-Sud,Parc,5430
46,36033,751-308-00,Parc du Petit-Poucet,132e Rue / 104e Avenue,Shawinigan-Sud,Parc,1012
48,36033,751-123-00,Parc Glenada,Rue Foucher,Shawinigan,Parc,2472
49,36033,751-118-00,Espace vert Notre-Dame,Rue Notre-Dame / Avenue St-Marc,Shawinigan,Espace vert,478
73,36033,751-205-00,Parc AndrÃ©-Huard,18e Avenue,Grand-MÃ¨re,Parc,3057
95,36033,751-301-00,Parc Val-Mauricie,Rue de Val-Mauricie / Rue Antoinette-J.-Goulet,Shawinigan-Sud,Parc,530985
22,36033,751-106-00,Parc Lafond,Avenue de la Mauricie,Shawinigan,Parc,10391
50,36033,751-107-00,Espace vert Eymard,Boulevard St-Sacrement / Boulevard des HÃªtres / Rue Julien-Eymard,Shawinigan,Espace vert,2271
51,36033,751-127-00,Espace vert HÃ´tel de ville,Avenue des CÃ¨dres,Shawinigan,Espace vert,1687
52,36033,751-120-00,Parc Jean-Claude-LÃ©garÃ©,Avenue Georges / Rue Notre-Dame,Shawinigan,Parc,1522
94,36033,751-112-00,Place du MarchÃ©,5e rue de la Pointe,Shawinigan,Espace vert,1305
96,36033,751-226-00,Espace vert 25e rue/10e Avenue,25e rue et 10e Avenue,Grand-MÃ¨re,Espace vert,9150
97,36033,751-134-00,Espace vert Van Bruyssel,Escalier Rue des Ãrables / Rue Cascade,Shawinigan,Espace vert,856
98,36033,751-315-00,Parc Lambert,105e avenue,Shawinigan-Sud,Espace vert,1660
7,36033,751-501-00,Espace vert Chemin des rapides des HÃªtres,Chemin des rapides des HÃªtres,Lac-Ã -la-Tortue,Espace vert,13360
10,36033,751-504-00,Parc de la Plage-IdÃ©ale,Avenue du Tour-du-Lac,Lac-Ã -la-Tortue,Parc,31492
18,36033,751-201-00,Parc Frank-Gauthier,"1201, 3e Avenue",Grand-MÃ¨re,Parc,31661
19,36033,751-502-00,Parc Alphonse-TrÃ©panier,"171, rue des Loisirs",Lac-Ã -la-Tortue,Parc,14604
21,36033,751-401-00,Parc Paul-AndrÃ©-Potvin,200e Avenue / 209e Rue,Saint-Georges-de-Champlain,Parc,16983
53,36033,751-129-00,Espace vert Summit,Rue Summit,Shawinigan,Espace vert,4658
54,36033,751-108-00,Parc Maurice-Beaudoin,Avenue de la Station,Shawinigan,Parc,5464
56,36033,751-208-00,Parc Sainte-Flore,"3531, rue Riopelle",Grand-MÃ¨re,Parc,29918
8,36033,751-402-00,Parc de la RiviÃ¨re-Noire,214e Rue,Saint-Georges-de-Champlain,Parc,118395
11,36033,751-407-00,Parc des Jardins-Saint-Georges,215e Rue,Saint-Georges-de-Champlain,Parc,3965
16,36033,751-105-00,Parc AndrÃ©-Yvon-Perreault,Rue des CoopÃ©rants,Shawinigan,Parc,5461
17,36033,751-216-00,Espace vert de la CarriÃ¨re,"2101, 4e Rue",Grand-MÃ¨re,Espace vert,15229
71,36033,751-503-00,Parc Eddy-Rivard,Rue Vachon / Chemin de la Vigilance,Lac-Ã -la-Tortue,Parc,332
109,36033,751-319-00,Parc de l'horloge du MillÃ©naire,105e Avenue,Shawinigan-Sud,Espace vert,265
99,36033,751-316-00,Espace vert dâAlmaville,Avenue du Capitaine-Veilleux,Shawinigan-Sud,Espace vert,569
100,36033,751-227-00,Parc des Papetiers,"99, avenue Chahoon",Grand-MÃ¨re,Parc,21425
101,36033,751-505-00,Parc de la PoudriÃ¨re,Rue de la PoudriÃ¨re,Lac-Ã -la-Tortue,Parc,2203
12,36033,751-113-00,Parc de l'Ãle-Melville,Avenue Melville,Shawinigan,Parc,1329107
2,36033,751-104-00,Parc Bellevue,Avenue BeauprÃ©,Shawinigan,Parc,29888
3,36033,751-604-00,Parc du Passant,Chemin de Saint-GÃ©rard / Chemin Principal,Saint-GÃ©rard-des-Laurentides,Parc,2226
4,36033,751-122-00,Espace vert Augustin-Lambert,Boulevard des HÃªtres / Avenue du CollÃ¨ge / Avenue Jean-Paul-NoÃ«l,Shawinigan,Espace vert,3347
5,36033,751-124-00,Parc Saint-Jean,Rue Notre-Dame / Avenue Laurier,Shawinigan,Parc,4659
6,36033,751-701-00,Parc du Grand-Orme,Rue MÃ©thot,Saint-Jean-des-Piles,Parc,4968
86,36033,751-203-00,Parc du Domaine-LaflÃ¨che,18e Avenue / 10e Rue,Grand-MÃ¨re,Parc,54097
72,36033,751-117-00,Espace vert Guillemette,Rue Guillemette,Shawinigan,Espace vert,4664
92,36033,751-110-00,Complexe sportif RenÃ©-Perron,Avenue Albert-Tessier,Shawinigan,,19025
93,36033,751-110-00,Complexe sportif RenÃ©-Perron,Avenue Albert-Tessier,Shawinigan,,11648
85,36033,751-218-00,Parc de la Rive-du-Golf,Chemin de la GlaciÃ¨re / Rive du Golf,Grand-MÃ¨re,Parc,1801
88,36033,751-217-00,Parc Chahoon,"621, 3e Avenue / 7e Rue",Grand-MÃ¨re,Parc,3346
89,36033,751-210-00,Parc Hooper,1ere Avenue / Rue Hooper,Grand-MÃ¨re,Parc,11524
90,36033,751-204-00,Parc Alphonse-Desaulniers,"219, 201e Rue",Grand-MÃ¨re,Parc,10509
91,36033,751-110-00,Complexe sportif RenÃ©-Perron,Avenue Albert-Tessier,Shawinigan,,8373
102,36033,751-320-00,Parc Suzanne-Langevin,Rue Suzanne-Langevin,Shawinigan-Sud,Parc,3999
104,36033,,Parc Wellie-Robitaille,Avenue Joseph-Beaumier,Shawinigan-Sud,Parc,9847
103,36033,751-206-00,Parc du Centenaire-de-Grand-MÃ¨re,"401, avenue de Grand-MÃ¨re",Grand-MÃ¨re,Parc,2715
75,36033,751-603-00,Parc Lafayette,Rue Lafayette,Saint-GÃ©rard-des-Laurentides,Parc,15780
77,36033,751-213-00,Espace vert rue du Lac-Bournival,Rue du Lac-Bournival / Chemin de Sainte-Flore,Grand-MÃ¨re,Espace vert,3546
79,36033,751-207-00,Parc Saint-Jean-Baptiste,"1221, avenue de Grand-MÃ¨re",Grand-MÃ¨re,Parc,7297
80,36033,751-703-00,Parc des Piles,Rue Morin,Saint-Jean-des-Piles,Parc,7309
81,36033,751-211-00,Parc de la Gare-de-Grand-MÃ¨re,Chemin du Grand-Nord / Impasse de la Halte,Grand-MÃ¨re,Parc,696
83,36033,751-209-00,Parc Jacques-Marcotte,"102, avenue du Plateau",Grand-MÃ¨re,Parc,2582
