Année,Secteur,N° de référence du GPC,Portée,Catégorie,Sous-catégorie,Activité,Description,CO2,CH4,N2O,Total en t éq.CO2,CO2(b),Qualité données
2015,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gasoil,Consommation de fioul léger pour le chauffage résidentiel,151224,36,98,151358,0,M
2015,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Bois ou déchets de bois,Consommation de bois de chauffage pour le chauffage résidentiel,0,13326,3231,16557,139041,M
2015,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Propane,Consommation de propane (et autres combustibles),22797,10,484,23291,0,L
2015,Sources fixes,I.1.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Électricité,Consommation d'électricité,0,0,0,6802,0,H
2015,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gaz naturel,Consommation de gaz naturel pour le chauffage,1389339,667,7524,1397531,0,H
2015,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gasoil,Consommation de fioul léger pour le chauffage,230489,54,773,231317,0,M
2015,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre,Consommation de fioul lourd pour le chauffage,4677,2,28,4707,0,M
2015,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Propane,Consommation de propane,129147,51,2744,131942,0,L
2015,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Institutionnel,Boues d'épuration,Incinération des boues d'épuration pour le chauffage,22906,105,56465,79476,105518,H
2015,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre biogaz,Consommation de gaz naturel renouvelable,0,0,0,0,0,H
2015,Sources fixes,I.2.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Électricité,Consommation d'électricité,0,0,0,6605,0,H
2015,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Gaz naturel,Consommation de gaz naturel pour le chauffage,253571,122,1295,254988,0,H
2015,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Autre,Émissions déclarées au gouvernement,850464,630,4331,855425,12324,H
2015,Sources fixes,I.3.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Industrie non spécifiée (1.A.2.m),Électricité,Toutes les industries,0,0,0,2092,0,H
2015,Sources fixes,I.4.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Autres industries énergétiques (1.A.1.c.ii),Autre,Tous les combustibles fossiles consommés,1205941,46,4989,1210975,0,H
2015,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Pétrole,Autre,"Émissions fugitives de distribution de gaz naturel, production pétrolière et torchère",94535,1927,1779,98241,0,M
2016,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gaz naturel,Consommation de gaz naturel pour le chauffage résidentiel,768852,369,4164,773385,0,H
2016,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gasoil,Consommation de fioul léger pour le chauffage résidentiel,164221,39,107,164366,0,M
2016,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Bois ou déchets de bois,Consommation de bois de chauffage pour le chauffage résidentiel,0,12241,2968,15209,127723,M
2016,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Propane,Consommation de propane (et autres combustibles),24183,11,514,24707,0,L
2016,Sources fixes,I.1.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Électricité,Consommation d'électricité,0,0,0,6644,0,H
2016,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gaz naturel,Consommation de gaz naturel pour le chauffage,1390585,668,7531,1398784,0,H
2016,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gasoil,Consommation de fioul léger pour le chauffage,185357,44,622,186023,0,M
2016,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre,Consommation de fioul lourd pour le chauffage,7005,3,42,7051,0,M
2016,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Propane,Consommation de propane,134126,53,2849,137028,0,L
2016,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Institutionnel,Boues d'épuration,Incinération des boues d'épuration pour le chauffage,21741,100,53640,75481,100372,H
2016,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre biogaz,Consommation de gaz naturel renouvelable,0,0,0,0,0,H
2016,Sources fixes,I.2.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Électricité,Consommation d'électricité,0,0,0,6389,0,H
2016,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Gaz naturel,Consommation de gaz naturel pour le chauffage,277508,133,1417,279059,0,H
2016,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Autre,Émissions déclarées au gouvernement,867040,1023,4405,872469,9124,H
2016,Sources fixes,I.3.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Industrie non spécifiée (1.A.2.m),Électricité,Toutes les industries,0,0,0,2013,0,H
2016,Sources fixes,I.4.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Autres industries énergétiques (1.A.1.c.ii),Autre,Tous les combustibles fossiles consommés,1165285,43,4963,1170292,0,H
2016,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Pétrole,Autre,"Émissions fugitives de distribution de gaz naturel, production pétrolière et torchère",82571,3951,1782,88304,0,M
2017,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gaz naturel,Consommation de gaz naturel pour le chauffage résidentiel,805098,387,4360,809845,0,H
2017,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gasoil,Consommation de fioul léger pour le chauffage résidentiel,123587,29,80,123697,0,M
2017,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Bois ou déchets de bois,Consommation de bois de chauffage pour le chauffage résidentiel,0,11583,2808,14392,120859,M
2017,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Propane,Consommation de propane (et autres combustibles),22863,10,486,23359,0,L
2017,Sources fixes,I.1.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Électricité,Consommation d'électricité,0,0,0,6699,0,H
2017,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gaz naturel,Consommation de gaz naturel pour le chauffage,1342616,645,7271,1350532,0,H
2017,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gasoil,Consommation de fioul léger pour le chauffage,199844,47,671,200562,0,M
2017,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre,Consommation de fioul lourd pour le chauffage,13885,6,84,13975,0,M
2017,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Propane,Consommation de propane,124403,49,2643,127095,0,L
2017,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Institutionnel,Boues d'épuration,Incinération des boues d'épuration pour le chauffage,23515,109,58706,82330,109806,H
2017,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre biogaz,Consommation de gaz naturel renouvelable,0,0,0,0,0,H
2017,Sources fixes,I.2.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Électricité,Consommation d'électricité,0,0,0,6381,0,H
2017,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Gaz naturel,Consommation de gaz naturel pour le chauffage,436587,210,2229,439026,0,H
2017,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Autre,Émissions déclarées au gouvernement,860341,1235,4519,866095,7372,H
2017,Sources fixes,I.3.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Industrie non spécifiée (1.A.2.m),Électricité,Toutes les industries,0,0,0,2022,0,H
2017,Sources fixes,I.4.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Autres industries énergétiques (1.A.1.c.ii),Autre,Tous les combustibles fossiles consommés,1237802,61,5145,1243007,0,H
2017,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Pétrole,Autre,"Émissions fugitives de distribution de gaz naturel, production pétrolière et torchère",117508,10201,1281,128990,0,M
2018,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gaz naturel,Consommation de gaz naturel pour le chauffage résidentiel,776947,373,4208,781528,0,H
2018,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gasoil,Consommation de fioul léger pour le chauffage résidentiel,119876,28,78,119983,0,M
2018,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Bois ou déchets de bois,Consommation de bois de chauffage pour le chauffage résidentiel,0,12320,2987,15307,128546,M
2018,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Propane,Consommation de propane (et autres combustibles),24514,11,521,25045,0,L
2018,Sources fixes,I.1.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Électricité,Consommation d'électricité,0,0,0,7108,0,H
2018,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gaz naturel,Consommation de gaz naturel pour le chauffage,1348648,648,7304,1356600,0,H
2018,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gasoil,Consommation de fioul léger pour le chauffage,200403,47,672,201123,0,M
2018,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre,Consommation de fioul lourd pour le chauffage,6962,3,42,7007,0,M
2018,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Propane,Consommation de propane,133295,53,2832,136180,0,L
2018,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Institutionnel,Boues d'épuration,Incinération des boues d'épuration pour le chauffage,24757,176,53044,77977,123666,H
2018,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre biogaz,Consommation de gaz naturel renouvelable,0,1,10,11,1912,H
2018,Sources fixes,I.2.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Électricité,Consommation d'électricité,0,0,0,6603,0,H
2018,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Gaz naturel,Consommation de gaz naturel pour le chauffage,836927,402,4274,841602,0,H
2018,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Autre,Émissions déclarées au gouvernement,740553,1143,3667,745364,3765,H
2018,Sources fixes,I.3.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Industrie non spécifiée (1.A.2.m),Électricité,Toutes les industries,0,0,0,2042,0,H
2018,Sources fixes,I.4.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Autres industries énergétiques (1.A.1.c.ii),Autre,Tous les combustibles fossiles consommés,928230,9075,3920,941224,0,H
2018,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Pétrole,Autre,"Émissions fugitives de distribution de gaz naturel, production pétrolière et torchère",297596,19741,549,317886,0,M
2019,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gaz naturel,Consommation de gaz naturel pour le chauffage résidentiel,777955,374,4213,782542,0,H
2019,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gasoil,Consommation de fioul léger pour le chauffage résidentiel,113514,27,74,113614,0,M
2019,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Bois ou déchets de bois,Consommation de bois de chauffage pour le chauffage résidentiel,0,12565,3046,15611,131099,M
2019,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Propane,Consommation de propane (et autres combustibles),26123,12,555,26689,0,L
2019,Sources fixes,I.1.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Électricité,Consommation d'électricité,0,0,0,7170,0,H
2019,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gaz naturel,Consommation de gaz naturel pour le chauffage,1354818,651,7337,1362806,0,H
2019,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gasoil,Consommation de fioul léger pour le chauffage,258037,61,866,258963,0,M
2019,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre,Consommation de fioul lourd pour le chauffage,9244,4,56,9304,0,M
2019,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Propane,Consommation de propane,139552,55,2965,142572,0,L
2019,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Institutionnel,Boues d'épuration,Incinération des boues d'épuration pour le chauffage,25262,141,54344,79747,110514,H
2019,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre biogaz,Consommation de gaz naturel renouvelable,0,1,12,13,2281,H
2019,Sources fixes,I.2.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Électricité,Consommation d'électricité,0,0,0,6589,0,H
2019,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Gaz naturel,Consommation de gaz naturel pour le chauffage,956250,459,4883,961592,0,H
2019,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Autre,Émissions déclarées au gouvernement,681446,1227,3444,686117,5673,H
2019,Sources fixes,I.3.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Industrie non spécifiée (1.A.2.m),Électricité,Toutes les industries,0,0,0,2001,0,H
2019,Sources fixes,I.4.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Autres industries énergétiques (1.A.1.c.ii),Autre,Tous les combustibles fossiles consommés,872484,305,3643,876432,0,H
2019,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Pétrole,Autre,"Émissions fugitives de distribution de gaz naturel, production pétrolière et torchère",314683,20566,582,335831,0,M
2020,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gaz naturel,Consommation de gaz naturel pour le chauffage résidentiel,800138,384,4333,804856,0,H
2020,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gasoil,Consommation de fioul léger pour le chauffage résidentiel,73510,17,48,73575,0,M
2020,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Bois ou déchets de bois,Consommation de bois de chauffage pour le chauffage résidentiel,0,13624,3303,16927,142149,M
2020,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Propane,Consommation de propane (et autres combustibles),19652,9,417,20078,0,L
2020,Sources fixes,I.1.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Électricité,Consommation d'électricité,0,0,0,6862,0,H
2020,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gaz naturel,Consommation de gaz naturel pour le chauffage,1295841,622,7018,1303482,0,H
2020,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gasoil,Consommation de fioul léger pour le chauffage,30974,7,104,31085,0,M
2020,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre,Consommation de fioul lourd pour le chauffage,4420,2,27,4449,0,M
2020,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Propane,Consommation de propane,105445,42,2240,107727,0,L
2020,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Institutionnel,Boues d'épuration,Incinération des boues d'épuration pour le chauffage,24547,148,54961,79656,97622,H
2020,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre biogaz,Consommation de gaz naturel renouvelable,0,1,14,16,2654,H
2020,Sources fixes,I.2.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Électricité,Consommation d'électricité,0,0,0,6075,0,H
2020,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Gaz naturel,Consommation de gaz naturel pour le chauffage,912979,439,4662,918079,0,H
2020,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Autre,Émissions déclarées au gouvernement,524073,304,2436,526813,3688,H
2020,Sources fixes,I.3.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Industrie non spécifiée (1.A.2.m),Électricité,Toutes les industries,0,0,0,1930,0,H
2020,Sources fixes,I.4.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Autres industries énergétiques (1.A.1.c.ii),Autre,Tous les combustibles fossiles consommés,860832,169,3751,864752,0,H
2020,Sources fixes,I.8.1,1,Émissions provenant d'émissions fugitives à l'intérieur des limites de la ville,Pétrole,Autre,"Émissions fugitives de distribution de gaz naturel, production pétrolière et torchère",251381,22397,492,274270,0,M
2021,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gaz naturel,Consommation de gaz naturel pour le chauffage résidentiel,799308,384,4329,804021,0,H
2021,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Gasoil,Consommation de fioul léger pour le chauffage résidentiel,64927,15,42,64985,0,M
2021,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Bois ou déchets de bois,Consommation de bois de chauffage pour le chauffage résidentiel,0,12717,3083,15800,132687,M
2021,Sources fixes,I.1.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Propane,Consommation de propane (et autres combustibles),19145,9,407,19560,0,L
2021,Sources fixes,I.1.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Résidentiel (1.A.4.b),Électricité,Consommation d'électricité,0,0,0,8126,0,H
2021,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gaz naturel,Consommation de gaz naturel pour le chauffage,1257402,604,6810,1264816,0,H
2021,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Gasoil,Consommation de fioul léger pour le chauffage,30647,7,103,30757,0,M
2021,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre,Consommation de fioul lourd pour le chauffage,4351,2,26,4379,0,M
2021,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Propane,Consommation de propane,103766,41,2204,106011,0,L
2021,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Institutionnel,Boues d'épuration,Incinération des boues d'épuration pour le chauffage,24808,179,54038,79025,97173,H
2021,Sources fixes,I.2.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Autre biogaz,Consommation de gaz naturel renouvelable,0,2,21,23,3856,H
2021,Sources fixes,I.2.2,2,Émissions provenant de l'énergie fournie par le réseau consommée à l'intérieur des limites de la ville,Commercial / Institutionnel (I.A.4.a),Électricité,Consommation d'électricité,0,0,0,7488,0,H
2021,Sources fixes,I.3.1,1,Émissions provenant de la combustion de carburant à l'intérieur des limites de la ville,Industries manufacturières et construction (1.A.2),Gaz naturel,Consommation de gaz naturel pour le chauffage,995626,478,5084,1001188,0,H
