NOM_CLIENT_PARTENAIRE,NOM_CORPORATION_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE ET RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,URL_WEB,LONGITUDE,LATITUDE
Musée des Abénakis,Société historique d'Odanak,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","108, rue Waban-Aki",Odanak,17,Centre-du-Québec,Québec,Canada,J0G 1H0, http://www.museedesabenakis.ca ,-72.820152909284417,46.073282387461539
Musée des beaux-arts de Mont-Saint-Hilaire,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","150, rue du Centre-Civique",Mont-Saint-Hilaire,16,Montérégie,Québec,Canada,J3H 5Z5,http://www.mbamsh.qc.ca/,-73.190273285219959,45.565576970572117
Musée des beaux-arts de Montréal,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1379-1380, rue Sherbrooke Ouest",Montréal,6,Montréal,Québec,Canada,H3G 2T9,http://www.mbam.qc.ca/fr,-73.580561314574666,45.498957856149701
Musée des beaux-arts de Sherbrooke,Musée des beaux-arts de Sherbrooke inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","241, rue Dufferin",Sherbrooke ,5,Estrie,Québec,Canada,J1H 4M3, http://www.mbas.qc.ca ,-71.894665616217026,45.405097301697367
Musée des Hospitalières de l'Hôtel-Dieu de Montréal,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","201, avenue des Pins Ouest",Montréal ,6,Montréal,Québec,Canada,H2W 1R5,http://www.museedeshospitalieres.qc.ca/,-73.576068121055457,45.514181777352874
Musée des maîtres et artisans du Québec,Le Musée des maîtres et artisans du Québec,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","615, avenue Sainte-Croix, arrondissement de Saint-Laurent",Montréal ,6,Montréal,Québec,Canada,H4L 3X6,http://www.mmaq.qc.ca/,-73.672908514479275,45.512294762685883
Musée des Religions du monde,"Musée d'histoire, d'ethnographie et d'art religieux de Nicolet","Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,"Histoire,ethnologie et archéologie","Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","900, boulevard Louis-Fréchette",Nicolet,17,Centre-du-Québec,Québec,Canada,J3T 1V5, http://www.museedesreligions.qc.ca ,-72.609776815774282,46.232658032528839
Musée des Ursulines de Québec,Province du Québec de l'Union canadienne des moniales de l'ordre de Sainte-Ursule,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","12, rue Donnacona",Québec ,3,Québec,Québec,Canada,G1R 3Y7,http://www.museedesursulines.com/,-71.208262576805168,46.811961723796877
Musée des Ursulines de Trois-Rivières,Musée des Ursulines de Trois-Rivières inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","734, rue des Ursulines",Trois-Rivières ,4,Mauricie,Québec,Canada,G9A 5B5,http://www.musee-ursulines.qc.ca/,-72.537165612488295,46.344798306371544
Musée du Bas-Saint-Laurent,Musée du Bas-Saint-Laurent,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","300, rue Saint-Pierre C.P. 1598",Rivière-du-Loup ,1,Bas Saint-Laurent,Québec,Canada,G5R 3V3,http://www.mbsl.qc.ca,-69.545257544854437,47.829129097164319
Musée du Bronze d'Inverness,Musée du bronze d'Inverness - Centre d'interprétation de la fonderie d'art,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1760, rue Dublin",Inverness,17,Centre-du-Québec,Québec,Canada,G0S 1K0,http://www.museedubronze.com/,-71.526274733753894,46.261777294794278
Musée du Centre commémoratif de l'Holocauste à Montréal,Le Centre commémoratif de l'Holocauste à Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","5151, chemin de la Côte Ste-Catherine",Montréal ,6,Montréal,Québec,Canada,H3W 1M6,http://www.mhmc.ca/fr/index.html,-73.63679437519157,45.489213146988504
Musée du Château Dufresne / Musée Dufresne Nicheri,Société du Château Dufresne inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2929, avenue Jeanne-D'Arc",Montréal ,6,Montréal,Québec,Canada,H1W 3W2,http://www.chateaudufresne.com/,-73.553443532606025,45.553417081465682
Musée du Château Ramezay,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,"Histoire,ethnologie et archéologie","Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","280, rue Notre-Dame Est",Montréal ,6,Montréal,Québec,Canada,H2Y 1C5,http://www.chateauramezay.qc.ca/,-73.553251834779331,45.508737097709599
Musée du Fjord,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Sciences naturelles et environnementales,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","3346, boulevard de la Grande Baie Sud",Saguenay Arr. La Baie ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G7B 1G2, http://www.museedufjord.com ,-70.853956940289038,48.317565814653761
Musée du Haut-Richelieu,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","182, rue Jacques-Cartier Nord",Saint-Jean-sur-Richelieu,16,Montérégie,Québec,Canada,J3B 7W3,http://www.museeduhaut-richelieu.com/,-73.254154337059219,45.305333017831018
Musée Laurier,La Société du Musée Laurier inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","16, rue Laurier Ouest",Victoriaville,17,Centre-du-Québec,Québec,Canada,G6P 6P3, http://www.museelaurier.com ,-71.914988795770768,46.037240084382987
Musée Louis-Hémon,Musée Louis-Hémon inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","700, route Maria-Chapdelaine",Péribonka ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G0W 2G0, http://www.museelh.ca/accueil/accueil.php ,-71.985358987273273,48.741314371579712
Musée Marguerite-Bourgeoys,Corporation de la Chapelle Notre-Dame-De-Bon-Secours et du Musée Marguerite-Bourgeoys,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","400, rue Saint-Paul Est",Montréal ,6,Montréal,Québec,Canada,H2Y 1H4,http://www.marguerite-bourgeoys.com/,-73.551051648849523,45.509871912126577
Musée maritime de Charlevoix,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","305, rue de l'Église",Saint-Joseph-de-la Rive ,3,Québec,Québec,Canada,G0A 3Y0, http://www.musee-maritime-charlevoix.com ,-70.363548817494191,47.457305850581022
Musée maritime du Québec,Musée maritime du Québec inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","55, chemin des Pionniers Est",L'Islet,12,Chaudière-Appalaches,Québec,Canada,G0R 2B0, http://www.mmq.qc.ca ,-70.371140925134171,47.128531218902907
Musée Marius-Barbeau,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","139, rue Sainte-Christine",Saint-Joseph-de-Beauce,12,Chaudière-Appalaches,Québec,Canada,G0S 2V0, http://www.museemariusbarbeau.com ,-70.882316725307774,46.31136071907067
Musée McCord Stewart,Le Musée McCord d'histoire canadienne,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Muséologie/multiple,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","690, rue Sherbrooke Ouest",Montréal ,6,Montréal,Québec,Canada,H3A 1E9,"http://www.musee-mccord.qc.ca/fr
http://www.stewart-museum.org/fr",-73.573466674560038,45.504325716948458
Musée minéralogique de Malartic,Musée minéralogique de Malartic,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Sciences naturelles et environnementales,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","650, rue de la Paix, C.P. 4227     ",Malartic,8,Abitibi-Témiscamingue,Québec,Canada,J0Y 1Z0, http://www.museemalartic.qc.ca ,-78.122281474364527,48.133502881238705
Musée minéralogique et minier de Thetford Mines,Musée minéralogique et minier de Thetford Mines,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Sciences et technologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","711, boulevard Frontenac Ouest",Thetford Mines,12,Chaudière-Appalaches,Québec,Canada,G6G 7Y8, http://www.museemineralogique.com ,-71.325645193100357,46.096033361858005
Musée Missisquoi,Société d'histoire de Missisquoi,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2, rue River (C.P. 186)",Stanbridge East,16,Montérégie,Québec,Canada,J0J 2H0, http://museemissisquoi.ca ,-72.915193261227145,45.121011542879884
Musée national des beaux-arts du Québec,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","179, Grande-Allée Ouest",Québec   ,3,Québec,Québec,Canada,G1R 2H1,http://www.mnba.qc.ca/,-71.224979554482502,46.800819071622918
Musée Pierre-Boucher,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","858, rue Laviolette",Trois-Rivières ,4,Mauricie,Québec,Canada,G9A 5J1,http://www.museepierreboucher.com/,-72.544761961815794,46.349071139417532
Musée québécois de culture populaire,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","200, rue Laviolette",Trois-Rivières ,4,Mauricie,Québec,Canada,G9A 6L5, http://www.culturepop.qc.ca ,-72.539832191711682,46.344936250674991
Musée québécois de l'agriculture et de l'alimentation (Musée François-Pilote),Musée François-Pilote,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire ethonologie et archéologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","100, 4e Avenue",La Pocatière ,1,Bas Saint-Laurent,Québec,Canada,G0R 1Z0,http://www.mqaa.ca,-70.0427027,47.3669821
Musée Redpath,Université McGill,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","859, rue Sherbrooke Ouest",Montréal ,6,Montréal,Québec,Canada,H3A 2K6,http://www.mcgill.ca/redpath/,-73.57689745102806,45.505187282479923
Musée régional de Kamouraska,Le Musée régional de Kamouraska inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","69, avenue Morel C.P. 99",Kamouraska ,1,Bas Saint-Laurent,Québec,Canada,G0L 1M0,http://www.kamouraska.ca/histoire/le-musee/,-69.868366704029569,47.566126900929632
Musée régional de la Côte-Nord,Musée régional de la Côte-Nord inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","500, boulevard Laure",Sept-Îles,9,Côte-Nord,Québec,Canada,G4R 1X7, http://www.mrcn.qc.ca ,-66.375621056163595,50.213908933134547
Musée régional de Rimouski,La Corporation du Musée régional de Rimouski inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Centre d'exposition,Arts,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","35, rue Saint-Germain Ouest",Rimouski ,1,Bas Saint-Laurent,Québec,Canada,G5L 4B4, http://www.museerimouski.qc.ca ,-68.529100661002502,48.450440993255448
Musée régional de Vaudreuil-Soulanges,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Musée,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","431, avenue Saint-Charles",Vaudreuil-Dorion,16,Montérégie,Québec,Canada,J7V 2N3, http://www.mrvs.qc.ca ,-74.027002938103436,45.400343546083349
Parc de l'aventure basque en Amérique,Centre international du Loisir culturel de Trois-Pistoles,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","66, rue du Parc",Trois-Pistoles,1,Bas Saint-Laurent,Québec,Canada,G0L 4K0,,-69.184036525673449,48.126780816638465
Parc historique de la Poudrière de Windsor,Parc historique de la Poudrière de Windsor,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","342, rue Saint-Georges",Windsor ,5,Estrie,Québec,Canada,J1S 2Z5,http://www.poudriere-windsor.com/,-71.990851756972432,45.577451964029116
Parc maritime de Saint-Laurent-de-l'Île-d'Orléans,"Corporation du Parc maritime de Saint-Laurent, I.O.","Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","120, chemin de la Chalouperie",Saint-Laurent-de-l'Ïle-d'Orléans ,3,Québec,Québec,Canada,G0A 3Z0, http://www.parcmaritime.ca/ ,-71.013677938752977,46.859084555380107
Patrimoine de Berthier (Chapelle des Cuthbert),Corporation du patrimoine de Berthier,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","750, rue Lambert",Berthierville,14,Lanaudière,Québec,Canada,J0K 1A0,http://www.lachapelledescuthbert.com/,-73.187463499517264,46.084066123133695
Phare historique de Pointe-des-Monts,Corporation de promotion et de développement du site du phare historique de Pointe-des-Monts,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,"Histoire,ethnologie et archéologie","Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1830, chemin du Vieux Phare",Baie-Trinité,9,Côte-Nord,Québec,Canada,G0H 1A0,http://tourismecote-nord.com/membres/culture-et-decouverte/musees-et-centres-dinterpretation/phare-de-pointe-des-monts/,-67.321356154327574,49.407863591367217
Planétarium de Montréal,Ville de Montréal,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1000,rue Saint-Jacques",Montréal ,6,Montréal,Québec,Canada,H1V 3V4,http://espacepourlavie.ca/planetarium?lang=fr,-73.564071786910475,45.496170424623884
"Plein sud, centre d'exposition en art actuel à Longueuil","Plein Sud, centre d'exposition et d'animation en art actuel à Longueuil","Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","150, rue De Gentilly Est,  Local D-0626",Longueuil,16,Montérégie,Québec,Canada,J4H 4A9, http://www.plein-sud.org ,-73.493943684212297,45.535942518806515
"Pointe-à-Callière, musée d'archéologie et d'histoire de Montréal",Société du musée d'archéologie et d'histoire de Montréal  Pointe-à-Callière,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Musée,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","350, place Royale",Montréal ,6,Montréal,Québec,Canada,H2Y 3Y5,http://www.pacmusee.qc.ca/,-73.554172269916322,45.502600925196262
"Pointe-du-Buisson, Musée québécois d'archéologie",Parc archéologique de la Pointe-du-Buisson inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Archéologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","333, rue Émond","Beauharnois, secteur Melocheville",16,Montérégie,Québec,Canada,J0S 1J0, http://www.pointedubuisson.com ,-73.966051407182547,45.315340356379842
Poste Chauvin,Municipalité du village de Tadoussac,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","157, rue Bord-de-l'Eau",Tadoussac,9,Côte-Nord,Québec,Canada,G0T 2A0,http://parcmarin.qc.ca/page_details/poste-de-traite-chauvin/,-69.716671537524064,48.140816076127528
Salle Alfred-Pellan,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1395, boulevard de la Concorde Ouest",Laval,13,Laval,Québec,Canada,H7N 5W1,https://www.laval.ca/maisondesarts/Pages/Fr/expositions.aspx,-73.716537812665024,45.558675162254914
SBC Galerie d'art contemporain ,SBC Galerie d'art contemporain,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Centre d'exposition,Muséologie/multiple,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","372, rue Sainte-Catherine Ouest, Espace 507",Montréal ,6,Montréal,Québec,Canada,H3B 1A2,http://www.sbcgallery.ca/,-73.567115567800101,45.505607993702661
Site historique de l'île-des-Moulins,Société de développement culturel de Terrebonne,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","866, rue St-Pierre",Terrebonne,14,Lanaudière,Québec,Canada,J6W 1E5, http://www.ile-des-moulins.qc.ca ,-73.635496385922522,45.692153016716588
Site historique de la Maison Lamontagne ,Société rimouskoise du patrimoine,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","707, boulevard du Rivage",Rimouski ,1,Bas Saint-Laurent,Québec,Canada,G5L 1H2, http://www.maisonlamontagne.com ,-68.495202407879376,48.48414254630525
Site historique du Banc-de-Paspébiac,Site historique du Banc-de-Paspébiac inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","76, 3eRue76, 3eRue76, 3eRue",Paspébiac,11,Gaspésie-Iles-de-la-Madeleine,Québec,Canada,G0C 2K0, http://www.shbp.ca ,-65.243446467038467,48.036358913115969
Site historique maritime de la Pointe-au-Père,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1000, rue du Phare",Rimouski ,1,Bas Saint-Laurent,Québec,Canada,G5M 1L8,http://www.shmp.qc.ca/,-68.469725478372837,48.517319146616259
Site historique Matamajaw,"Corporation de développement faunique touristique et culturelle ""FAUCUS""","Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","53, rue Saint-Jacques Sud",Causapscal ,1,Bas Saint-Laurent,Québec,Canada,G0J 1J0,www.sitehistoriquematamajaw.com,-67.222168577230278,48.352266358719916
Site historique T.E. Draper,Les Promoteurs d'Angliers inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","11, rue du T.-E.-Draper (C.P. 82)",Angliers,8,Abitibi-Témiscamingue,Québec,Canada,J0Z 1A0,http://www.tedraper.ca/,-79.232499719063526,47.550255773838394
Site Madeleine de Verchères. Domaine seigneurial Sainte-Anne  ,Société du site Madeleine de Verchères ,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)",200 rue Principale,Sainte-Anne-de-la-Pérade ,4,Mauricie,Québec,Canada,G0X 2J0, www.domaine-steanne.com ,-72.211206470525042,46.568893309164544
Site Mary Travers dite : « La Bolduc » ,Site Mary Travers dite : « La Bolduc » inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","342, route 132",Newport,11,Gaspésie-Iles-de-la-Madeleine,Québec,Canada,G0C 2A0,http://www.labolduc.qc.ca/,-64.75113733681404,48.256807709640398
"Uplands, Centre culturel et du patrimoine","Uplands, Centre culturel et du patrimoine","Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","9, rue Speid",Sherbrooke ,5,Estrie,Québec,Canada,J1M 1R9, http://www.uplands.ca ,-71.860528413756683,45.36865279064591
Vieille fromagerie Perron,Corporation de la vieille fromagerie Perron de Saint-Prime,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","148, avenue Albert-Perron",Saint-Prime ,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G8J 1L4, http://museecheddar.org ,-72.338006101313439,48.592500711412498
Vieux presbytère de Batiscan,La Fondation des amis du vieux presbytère de Batiscan,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","340, rue Principale",Batiscan ,4,Mauricie,Québec,Canada,G0X 1A0,www.presbytere-batiscan.com,-72.258219715395214,46.482107890942359
Vieux Presbytère de Deschambault,Culture et patrimoine Deschambault-Grondines,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","117, rue Saint-Joseph",Deschambault ,3,Québec,Québec,Canada,G0A 1S0,http://www.culture-patrimoine-deschambault-grondines.ca/,-71.92646218128715,46.648506311859272
Villa Bagatelle,Ville de Québec,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1563, chemin Saint-Louis",Québec ,3,Québec,Québec,Canada,G1S 1G1,http://www.maisonsdupatrimoine.com/fr/membres-du-reseau/villa-bagatelle.html,-71.246831067951817,46.788443421099515
Village historique de Val-Jalbert,Corporation du Parc régional de Val-Jalbert,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","95, rue saint-Georges",Chambord,2,Saguenay-Lac-Saint-Jean,Québec,Canada,G0W 1G0,www.valjalbert.com,-72.167163073944153,48.435840390470915
