NOM_CLIENT_PARTENAIRE,NOM_CORPORATION_CLIENT_PARTENAIRE,TYPE_CLIENT_PARTENAIRE,STATUT,SOUS_PROGRAMME,CATEGORIE_INSTITUTION,CHAMP_INTERVENTION,SECTEUR_INTERVENTION,NO_CIVIQUE ET RUE,MUNICIPALITE,CODE_REGION_ADMIN,REGION_ADMIN,PROVINCE,PAYS,CODE_POSTAL,URL_WEB,LONGITUDE,LATITUDE
Centre d'interprétation de l'ardoise de Kingsbury,Regroupement culturel des vieilles ardoises,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","5, rue Belmont",Richmond ,5,Estrie,Québec,Canada,J0B 2H0,http://www.centreardoise.ca/,-72.149003861835141,45.656740440995328
Centre d'interprétation de l'histoire de Sherbrooke ,La Société d'histoire de Sherbrooke,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Histoire et ethnologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","275, rue Dufferin",Sherbrooke ,5,Estrie,Québec,Canada,J1H 4M5, www.histoiresherbrooke.com  ,-71.894923997339973,45.405478066744394
Centre d'interprétation de l'historique de la protection de la forêt contre le feu (Château Logue),Le Château Logue inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","8, rue Comeau",Maniwaki,7,Outaouais,Québec,Canada,J9E 2R8, http://www.ci-chateaulogue.qc.ca/ ,-75.967162551085849,46.382339425540252
Centre d'interprétation de la Côte-de-Beaupré,Centre d'Interprétation de la Côte-de-Beaupré,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,"Histoire,ethnologie et archéologie","Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","7976, avenue Royale",Château-Richer ,3,Québec,Québec,Canada,G0A 1N0,http://auxtroiscouvents.org/,-71.018454621586102,46.968964494270701
Centre d'interprétation des mammifères marins,Société d'interprétation du milieu marin de la Haute-Côte-Nord,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","108, rue de la Cale-Sèche",Tadoussac,9,Côte-Nord,Québec,Canada,G0T 2A0,http://gremm.org/education/,-69.719212405077855,48.13854108468766
Centre d'interprétation du patrimoine de Plaisance,"Corporation ""North Nation Mill"" inc.","Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,"Histoire,ethnologie et archéologie","Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","276, rue Desjardins",Plaisance,7,Outaouais,Québec,Canada,J0V 1S0,http://www.chutesplaisance.ca/,-75.111872471994474,45.607003246508064
Centre d'interprétation du Site historique et archéologique de Pabos,Corporation du Bourg de Pabos inc.,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu et soutenu,Institutions muséales,Lieu d'interprétation,Archéologie,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","75, rue de la Plage",Pabos Mills,11,Gaspésie-Iles-de-la-Madeleine,Québec,Canada,G0C 2J0, http://www.lebourgdepabos.com ,-64.69794583511063,48.322680839448694
Centre d'intreprétation du phoque,"Fondation ""Willie Déraspe"" pour le centre d'interprétation du phoque","Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","377, Route 199, (C.P. 59), Grande Entrée",Grande-Entrée Îles-de-la-Madeleine,11,Gaspésie-Iles-de-la-Madeleine,Québec,Canada,G0B 1H0 ,http://www.loup-marin.com/,-61.521627925436718,47.558445099509065
Centre de la Biodiversité du Québec ,Centre d'interprétation sur la diversité biologique du Québec,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","1800, avenue des Jasmins (secteur Sainte-Angèle)",Bécancour,17,Centre-du-Québec,Québec,Canada,G9H 2S2,http://www.biodiversite.net/,-72.503387392703672,46.327720199007416
Centre des Sciences de l'espace du Cosmodôme,,"Institution muséale (musée, centre d'exposition, lieu d'interprétation)",Reconnu,,Lieu d'interprétation,,"Institutions muséales (musées, centres d'exposition et lieux d'interprétation)","2150, Autoroute des Laurentides",Laval,13,Laval,Québec,Canada,H7T 2T8,www.cosmodome.org,-73.744200418932152,45.566919452724981
