ï»¿id,municipalite,etat,type,localisation,arrondissement,description,date_debut,date_fin,geom
11,94068,Circulation en alternance avec feu ou signaleur,Travaux prÃ©vus,Rue Racine Est,Chicoutimi,"En raison de travaux de forages, il y aura circulation en alternance avec signaleurs pour les rues Sainte-Anne (entre les rues Price et Racine), Racine (entre les rues Sainte-Anne et Riverin) et du Havre (entre les rues Racine et Salaberry), les forages se feront successivement sur les trois rues, l'une Ã  la suite de l'autre, de mardi 6 aoÃ»t 7 h jusqu'au vendredi 30 aoÃ»t 17 h.",2024-08-06T07:00:00,2024-08-30T17:00:00,"MULTILINESTRING ((-71.06001857728738 48.427594009197186,-71.05949405218705 48.42757182937371,-71.05912584558273 48.42756092601362),(-71.06846158061973 48.42805392266868,-71.06701709567405 48.42798451344232),(-71.05912584558273 48.42756092601362,-71.05839277988466 48.427545134399566,-71.05773772769813 48.42754635775526,-71.05717808565724 48.427638989586534),(-71.05717808565724 48.427638989586534,-71.05687529622398 48.427725534573504,-71.05531035480968 48.42831388332177),(-71.06701709567405 48.42798451344232,-71.06562983298622 48.42788801659241),(-71.06562983298622 48.42788801659241,-71.06429325862862 48.427820897351424),(-71.06429325862862 48.427820897351424,-71.06293255598665 48.427741883707306),(-71.06293255598665 48.427741883707306,-71.06001857728738 48.427594009197186))"
12,94068,Circulation en alternance avec feu ou signaleur,Travaux prÃ©vus,Rue Sainte-Anne,Chicoutimi,"En raison de travaux de forages, il y aura circulation en alternance avec signaleurs pour les rues Sainte-Anne (entre les rues Price et Racine), Racine (entre les rues Sainte-Anne et Riverin) et du Havre (entre les rues Racine et Salaberry), les forages se feront successivement sur les trois rues, l'une Ã  la suite de l'autre, de mardi 6 aoÃ»t 7 h jusqu'au vendredi 30 aoÃ»t 17 h.",2024-08-06T07:00:00,2024-08-30T17:00:00,"MULTILINESTRING ((-71.06846158061973 48.42805392266868,-71.0686381110728 48.4267147349219),(-71.0686381110728 48.4267147349219,-71.0687286682702 48.426067555266144),(-71.0687286682702 48.426067555266144,-71.06880175707887 48.42540132735107))"
13,94068,Circulation locale,Travaux prÃ©vus,Rue BÃ©gin,Chicoutimi,"MISE Ã JOUR : 

- Jeudi 15 aoÃ»t 2024 : de 7 h Ã  21 h, il y aura fermeture de la voie de circulation en direction sud sur la rue BÃ©gin, Ã  la hauteur de la rue Price Est. La circulation se fera uniquement en direction nord (direction hÃ´pital) afin de faciliter lâaccÃ¨s Ã  lâhÃ´pital pour les vÃ©hicules dâurgence.

- Jusquâau 16 aoÃ»t 2024 : il y aura fermeture de la rue Price Est entre les rues Labrecque et BÃ©gin, seule une circulation locale sera autorisÃ©e. Le dÃ©tour se fera par la rue Jacques-Cartier.

- Jusquâau 13 septembre 2024 : rÃ©duction de la largeur des voies sur les rues Price, BÃ©gin et lâaccÃ¨s au CÃ©gep de Chicoutimi. Il y aura un dÃ©tour Ã  faire pour les piÃ©tons durant cette pÃ©riode.",2024-08-05T07:00:00,2024-09-13T17:00:00,"MULTILINESTRING ((-71.05601369689138 48.424794806620746,-71.05621665421735 48.424589009245636),(-71.05511103679272 48.42568472626973,-71.05537632191823 48.42544103085338),(-71.05621665421735 48.424589009245636,-71.05728410919987 48.42350800026786),(-71.05537632191823 48.42544103085338,-71.05579671304432 48.425014016483075),(-71.05579671304432 48.425014016483075,-71.05601369689138 48.424794806620746))"
14,94068,Circulation locale,Travaux prÃ©vus,Rue des Saules,La Baie,"En raison de travaux sur la rue des Saules, entre les adresses 1043 et 1073, il y aura une circulation locale seulement, de mardi 27 aoÃ»t au vendredi 30 aoÃ»t, de 7 h Ã  17 h.",2024-08-27T07:00:00,2024-08-29T17:00:00,"LINESTRING (-70.89175530542546 48.34223348778388,-70.8916951897928 48.34226933651961,-70.89143804092232 48.342552683796214,-70.89132000035606 48.34274700807585,-70.89127435333648 48.34289956802829,-70.89126733112795 48.343037064793194,-70.8912892331683 48.34316629574344,-70.89131374334055 48.34323773243936,-70.89134767977332 48.34330966500697,-70.89142813365014 48.34343361331916,-70.89148764693937 48.343499662193,-70.89156741058207 48.343573924654436,-70.89165456985543 48.34364070767569,-70.89175585720304 48.343704437630265,-70.89389780481442 48.34492636687479)"
15,94068,Circulation locale,Travaux prÃ©vus,Rue Price Est,Chicoutimi,"MISE Ã JOUR : 

- Jeudi 15 aoÃ»t 2024 : de 7 h Ã  21 h, il y aura fermeture de la voie de circulation en direction sud sur la rue BÃ©gin, Ã  la hauteur de la rue Price Est. La circulation se fera uniquement en direction nord (direction hÃ´pital) afin de faciliter lâaccÃ¨s Ã  lâhÃ´pital pour les vÃ©hicules dâurgence.

- Jusquâau 16 aoÃ»t 2024 : il y aura fermeture de la rue Price Est entre les rues Labrecque et BÃ©gin, seule une circulation locale sera autorisÃ©e. Le dÃ©tour se fera par la rue Jacques-Cartier.

- Jusquâau 13 septembre 2024 : rÃ©duction de la largeur des voies sur les rues Price, BÃ©gin et lâaccÃ¨s au CÃ©gep de Chicoutimi. Il y aura un dÃ©tour Ã  faire pour les piÃ©tons durant cette pÃ©riode.",2024-08-05T07:00:00,2024-09-13T17:00:00,"MULTILINESTRING ((-71.05725128081775 48.424864193149546,-71.05636876387007 48.424825470138146),(-71.05636876387007 48.424825470138146,-71.05625716735582 48.42482057286285,-71.05601369689138 48.424794806620746))"
16,94068,Circulation locale,Travaux prÃ©vus,Sentier de l'Ãboulis,La Baie,"En raison de travaux de forage et d'excavation pour l'installation d'une nouvelle conduite d'eau potable dans le sentier de l'Ãboulis, il y aura une circulation locale en alternance avec signaleurs, de lundi 5 aoÃ»t 7 h jusqu'Ã  jeudi 10 octobre 17 h.",2024-08-05T07:00:00,2024-10-10T17:00:00,"LINESTRING (-70.93839523788313 48.320720504180635,-70.93823703049074 48.32042073127765,-70.93812072155487 48.32029817941627,-70.93771288996736 48.3199788526817,-70.93750439388025 48.319779140548846,-70.93734921244459 48.319709202339276,-70.93575588712167 48.31938469985369,-70.93564656065635 48.319404332400076,-70.93540524788835 48.31948980517255,-70.9353136335504 48.319559336604854,-70.93494665650407 48.319997276410355,-70.93452333884886 48.320050418395695,-70.9337515559737 48.320199431110694,-70.93309902883423 48.320044302270034,-70.93283158138485 48.3200415045401,-70.93240493588543 48.32005302155479,-70.93204580689104 48.32020969502014,-70.93177016711901 48.32035927969126,-70.93158093618553 48.32043821171629,-70.93123594467805 48.32053175187708,-70.93088816956332 48.320604439814865)"
17,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Boulevard du Royaume,JonquiÃ¨re,"En raison de travaux d'inspection sur le boulevard du Royaume, entre la rue Stanley et le boulevard RenÃ©-LÃ©vesque, la circulation en direction est (vers Chicoutimi) se fera seulement sur une une seule voie, le lundi 26 aoÃ»t de 8 h Ã  16 h.",2024-08-26T08:00:00,2024-08-26T16:00:00,"LINESTRING (-71.22135392041397 48.414743753560245,-71.218631990146 48.414380950936234,-71.21841785277249 48.41435251467526,-71.21736540258183 48.414214150337116,-71.21683956289847 48.414120574694515,-71.21642671277061 48.41403011560106,-71.21587144909999 48.413885742997465,-71.21546937405465 48.41374423769002,-71.2149555114737 48.41354862837989,-71.21447950834357 48.41332219516542,-71.21273179572216 48.41236577589903,-71.21245966601614 48.41220688825914,-71.21127433188633 48.41157617849432)"
18,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Boulevard Renaud,Chicoutimi,"En raison de travaux de refection d'un ponceau, il y aura fermeture complÃ¨te du boulevard Renaud, Ã  la hauteur du 1650 jusqu'au  rang Saint-Martin, le mardi 27 aoÃ»t, de 7 h 30 Ã  17 h.",2024-08-27T07:30:00,2024-08-27T17:00:00,"LINESTRING (-71.00719503310533 48.438718086310004,-71.00777628128279 48.438999791347555,-71.00803858763666 48.43910908158421,-71.0089661584043 48.439452843899474,-71.00959878905616 48.439683047564046,-71.00970552477268 48.43972188692951,-71.00996219781904 48.43977697027266,-71.01015916204265 48.43979497983403,-71.01043421675081 48.4397775199705,-71.01104200035199 48.43964900859526,-71.01171200114908 48.43951100857012,-71.01230189867489 48.43937326143577,-71.01329600243274 48.43914602180277,-71.01348055900797 48.439096234186415,-71.01373507285132 48.43902757249955,-71.01416091252531 48.43890444627365,-71.0153807041007 48.43852927370081,-71.01602678255911 48.43829612253788,-71.01645852618186 48.43810706252305,-71.01658804094178 48.43804089269871,-71.01704452293022 48.43783459064364,-71.01848205881501 48.43717020419658,-71.01874392781635 48.43702159243939,-71.01897769531888 48.4368431402251,-71.01914432866909 48.43667192556472,-71.01923539153844 48.43653974858326,-71.0192981932167 48.436430516449335,-71.0194080518215 48.43613867938932,-71.01951790918045 48.43584684221408,-71.01959113646026 48.43569528276329,-71.01971841597275 48.43552240207644,-71.01985842530469 48.435368614336,-71.02000996205811 48.43523012413041,-71.02066184339523 48.43465582342257,-71.02096802983695 48.43440609950522,-71.02127572858137 48.434179649388426,-71.0213990203741 48.434112507557984)"
19,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Boulevard Renaud,Chicoutimi,"En raison de travaux d'installation d'un nouveau service, il y aura fermeture complÃ¨te du boulevard Renaud, entre les rues du Perche et ThÃ©odule-CÃ´tÃ©, ce mercredi  28 aoÃ»t, de 7 h 30 Ã  17 h.",2024-08-28T07:30:00,2024-08-28T17:00:00,"LINESTRING (-71.02565080429811 48.4319502046402,-71.02535921526925 48.4322403243743,-71.0250676229185 48.43253044246752,-71.02488410800557 48.43268347634793,-71.0246597051356 48.43281187242633,-71.0243993630069 48.43292109236492,-71.02357308691484 48.43324025476345)"
20,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Chemin de la RiviÃ¨re,LaterriÃ¨re,"En raison de travaux de rÃ©fection effectuÃ©s sur les ponceaux, le rang et le chemin Saint-Paul seront complÃ¨tement fermÃ©s Ã  toute circulation jusqu'Ã  la fin des travaux prÃ©vue Ã  la mi-septembre.",2024-05-15T07:00:00,2024-09-13T17:00:00,"LINESTRING (-71.14605114749789 48.349337082800204,-71.14549508862709 48.34890317043644,-71.14499675175905 48.34859037148962,-71.14479388533505 48.34848459795983,-71.14446717255736 48.34838164957036,-71.14410214581225 48.34828438764538,-71.14327763993087 48.34814394426491,-71.1430157755594 48.34812002997587,-71.14253418866477 48.34808008761087,-71.14244581319353 48.34808989721018)"
21,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Chemin Saint-Ãloi,JonquiÃ¨re,"En raison de travaux de rÃ©fection effectuÃ©s sur le ponceau, face au 4468, le chemin Saint-Ãloi sera fermÃ© Ã  la circulation jusqu'Ã  la fin des travaux prÃ©vue Ã  la fin septembre.",2024-05-15T07:00:00,2024-09-28T17:00:00,"LINESTRING (-71.27938807424552 48.45025899518788,-71.28359205207981 48.450906297871,-71.28641388942613 48.45131090898039,-71.287269560223 48.451433585487145,-71.29134321165019 48.45201931295135,-71.29171343234582 48.452077397888445,-71.29203551821043 48.45215065553154,-71.29220673904722 48.45219824269626,-71.29239573504184 48.45226283605875,-71.2925698936444 48.45234380842175,-71.29271986237315 48.45242410352735,-71.29286844959663 48.452505515101805,-71.29374071516352 48.45298342411267,-71.29404519539924 48.45313282911398,-71.29448791007928 48.453292747149526,-71.29604961544989 48.45381689912872,-71.29632036939839 48.45391462682619,-71.29660895994745 48.454028012877075,-71.29688821921125 48.454151303920725,-71.29771502726487 48.45453747487613,-71.29854733395503 48.45491833491434,-71.2992679228918 48.45524806482087,-71.30074333796247 48.455906757514256,-71.30227531780672 48.45657805019273,-71.30275205291787 48.456770617731635,-71.3042265794195 48.457346411353186,-71.3062313084425 48.45813181116705,-71.30823610037123 48.45891717470041,-71.30844352211868 48.45900081870783,-71.30863851725923 48.45909678132586,-71.30939673552739 48.459529442897356,-71.30986929352379 48.45980033435094,-71.31171204193518 48.460856636822825,-71.31261171248826 48.46137860392711,-71.31280058543032 48.461504724979314,-71.31291344702944 48.4615943279143,-71.3130141564634 48.46168971600319,-71.31311344253174 48.46180171134793,-71.31338629342976 48.46213673318393,-71.3135515203375 48.46230302304918,-71.31376356055172 48.462443895966324,-71.31406527252058 48.462569897827265,-71.3147724954587 48.46278692918735,-71.31659478217286 48.46332078851915,-71.31770371795712 48.46359104285081,-71.31803189550445 48.46369970125373,-71.31834545288561 48.4638260223115,-71.3195783020581 48.46431415145017,-71.32081117475371 48.46480226630848,-71.32187154646105 48.465220285801635,-71.32264003546157 48.465522842327836,-71.32420781661553 48.46612713747838,-71.32568730016031 48.466622708153935,-71.32667537200702 48.46702930767264,-71.32738455141289 48.46734722610511,-71.32809373963349 48.467665139200534,-71.32852285498713 48.467838794603864,-71.32897434453098 48.46798523190216,-71.3292851369373 48.468054680243874,-71.32946862555296 48.46808227950492,-71.32958586236968 48.46809649111412,-71.32973059583654 48.46811010683927,-71.3299812605962 48.46811757835092,-71.33024870392964 48.46811451427942,-71.3304831207028 48.46810393880007,-71.3308027497238 48.46806979539197,-71.33097541698292 48.468037679151394,-71.3312944905885 48.467959557483375,-71.33165147967951 48.46784703282269,-71.33192630403967 48.46772777191905,-71.33223283583622 48.467559172761526,-71.33246707158952 48.46739565563725,-71.33259386469004 48.467285650012556,-71.33265544348338 48.467232225231136,-71.3328086604588 48.46708086325351,-71.33311656504677 48.46672760856763,-71.334725566903 48.464893590156834,-71.33602092601413 48.463410623284176,-71.33666482104277 48.462673435148346,-71.337388298084 48.461831127522125,-71.3375864104583 48.46156855219797,-71.33776136796433 48.461298797979055,-71.33856531417025 48.45959252847837,-71.33867614358702 48.459303700811994,-71.33874616389022 48.45901540699436,-71.33876315666963 48.458709064855015,-71.33873696093393 48.458456789407755,-71.33867378777022 48.45819339807073,-71.3385655065373 48.457934373638416,-71.33842183480093 48.45768621072373,-71.33828663620753 48.45750639697876,-71.33807473112891 48.45727827703476,-71.33785935499057 48.45706753926327,-71.33776752782558 48.456988140624276,-71.33769658435581 48.45690927343283,-71.33764758687748 48.45684241968282,-71.33760233559708 48.45677108127611,-71.33758162035636 48.45673342445363,-71.3375644515156 48.456663854897286,-71.33755197660757 48.45658429134748,-71.33754604059729 48.45647504535488,-71.3375543877093 48.4563870289051,-71.3375720265953 48.4561735718621)"
22,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Chemin Saint-Isidore,LaterriÃ¨re,"En raison de travaux de rÃ©fection sur le ponceau P-178, le chemin Saint-Isidore sera fermÃ© Ã  la circulation, Ã  la hauteur du 5129, jusqu'Ã  la fin des travaux.",2024-05-15T07:00:00,2024-09-28T17:00:00,"LINESTRING (-71.02892644498372 48.34569503332297,-71.03041944458943 48.344297812813686,-71.03283995652792 48.34196009945252,-71.03670687981901 48.33827628961224,-71.04054898990063 48.33457962184825,-71.04440475249218 48.33089014950503,-71.04824296400785 48.32719267615014,-71.05109166162674 48.324432856461065,-71.05206409583133 48.323485701955434,-71.05511745982888 48.32052458888898,-71.05588389657952 48.31978116672026,-71.05818825922938 48.317560963535065,-71.05837526773239 48.31739816313818,-71.05851576874865 48.31729854654466,-71.05863648530794 48.31723949904375,-71.05887831051199 48.317157377907826,-71.05913411011915 48.317120158521554,-71.06050827698779 48.31700554161761,-71.06061878781536 48.316998273678365,-71.0643434058398 48.316726148975675,-71.06480313320647 48.31667801376164,-71.06509568094019 48.316621411860176,-71.06554976366569 48.31648484410326,-71.06589502303908 48.31636756979109,-71.06633082409063 48.31621851341776,-71.06668357586328 48.316096131694984,-71.06707165515715 48.31596260198408,-71.07306648763497 48.31390531141806,-71.0754255714816 48.31311390660146,-71.07575463340692 48.312999834226474,-71.07607730686304 48.31291727207273,-71.07657545633568 48.312851817574746,-71.076750629445 48.312841945244394,-71.07693938651968 48.31284099855646,-71.07728293434407 48.312893588898305,-71.0777023781317 48.31296681431881,-71.07791845875197 48.31300254501709,-71.07818133566742 48.31304653585241,-71.07855058954057 48.313111514695436,-71.07923981586517 48.313238318176055,-71.07935638967183 48.313259820411204,-71.0796995257151 48.31334248530471,-71.08002056415192 48.31345508487736,-71.08050123339032 48.313653361148994,-71.08195132326038 48.31427728130949,-71.08345957496189 48.31491584162589)"
23,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Chemin Saint-Isidore,LaterriÃ¨re,"En raison de travaux de rÃ©fection sur le ponceau P-178, le chemin Saint-Isidore sera fermÃ© Ã  la circulation jusqu'Ã  la fin des travaux.",2024-05-15T07:00:00,2024-09-28T17:00:00,"LINESTRING (-71.08345957496189 48.31491584162589,-71.08564396945081 48.31587746654013,-71.09136479138533 48.31840641765511)"
24,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Chemin Saint-Paul,LaterriÃ¨re,"En raison de travaux de rÃ©fection effectuÃ©s sur les ponceaux, le rang et le chemin Saint-Paul seront complÃ¨tement fermÃ©s Ã  toute circulation jusqu'Ã  la fin des travaux prÃ©vue Ã  la mi-septembre.",2024-05-15T07:00:00,2024-09-13T17:00:00,"MULTILINESTRING ((-71.15128337829375 48.35174796625216,-71.15114445914368 48.35145787225753,-71.15109249228892 48.35137629939392,-71.15098578125567 48.351230141893836,-71.15088540345923 48.35111090438385,-71.15073058751565 48.35095104214084,-71.15055211488637 48.35081527350163,-71.15011424280299 48.350540199440985,-71.14985299084594 48.35043185434394,-71.14954402316852 48.35034025151331,-71.14938329839943 48.35030421877933,-71.14915642098539 48.35024859156734,-71.14872706079805 48.35017114340019,-71.1483065927918 48.35008615600747,-71.1477138297134 48.3499382412473,-71.14728077728692 48.34980539821032,-71.14685178280254 48.349634039981645,-71.14639148311791 48.349450513593936,-71.14620981115395 48.34938810678684,-71.14605114749789 48.349337082800204),(-71.14792462957143 48.3573483176532,-71.1483500099271 48.35690283278181,-71.14856481182724 48.35671292884734,-71.14886303407903 48.35648563185103,-71.14999239443499 48.35571815992393),(-71.14244581319353 48.34808989721018,-71.14231708519398 48.34801200396821,-71.14211758515101 48.34788401330916,-71.1419130294529 48.347688690801675,-71.14161654333162 48.34737402839035,-71.14132084685063 48.34702522584264,-71.14096130004195 48.34657588892922,-71.14089587187803 48.34649412019903,-71.14070760519495 48.34626244091415,-71.14047894908322 48.34600882676639,-71.14038421524366 48.345908787684955,-71.14026782428179 48.34580530654448,-71.14009253189313 48.34568462913261,-71.13977295770651 48.345504022856545,-71.13926025093733 48.345263676156115,-71.13834744533033 48.344837748741206,-71.13758349631874 48.34446009008936,-71.13739089610756 48.34436217747905,-71.13699763534137 48.34414946739663,-71.13680867598663 48.34403399802295,-71.13659080543997 48.34385172252822,-71.13646910688233 48.34370899184386,-71.13637491089553 48.34355299111269,-71.13632362098306 48.34344889754332,-71.13628370172309 48.343367878149785,-71.13599436034114 48.34244238082464,-71.13589035431043 48.342188950487675,-71.13577511492757 48.34199298733104,-71.13556158066977 48.34174049478099,-71.13542249536532 48.34160302247519,-71.13527904680751 48.34147404465961,-71.13506649166396 48.34131911374245,-71.13495371866368 48.34124930327045,-71.13480043367328 48.341173261261424,-71.1344402617391 48.341014211415875,-71.13231385109485 48.340174447571414,-71.13168356631785 48.33992552226593,-71.13087621227095 48.339604402957406,-71.13054788232007 48.3394811297394,-71.13029721725975 48.33939497916386,-71.12996995518668 48.33930121770749,-71.12966941194172 48.33923395923446,-71.12941935225538 48.339198188816034,-71.12906686652589 48.339182638075066,-71.12850859670658 48.33920070442739,-71.12726051734954 48.33926747037539,-71.12657724310891 48.339275449408625,-71.12625313437539 48.3392478615658,-71.12606516005151 48.33920418365509,-71.12591036580747 48.33914685815439,-71.12574188324909 48.33908446143266,-71.12420290830252 48.33837047399503,-71.12102489582905 48.33690767687829,-71.12039438807282 48.33662938566664,-71.11974447588477 48.33633397469315,-71.11765765912776 48.335388851589194,-71.1173774231097 48.335296020455424),(-71.14999239443499 48.35571815992393,-71.15027215893487 48.355476035278194,-71.15035274994119 48.355393712730134,-71.15038737913089 48.35534859013646,-71.1505421508771 48.355151034258625,-71.15067050544556 48.35493765425203,-71.15081665437428 48.35465129146105,-71.15095593956305 48.35435548313799,-71.15098856605648 48.354270935702374,-71.15105651043116 48.35410731640308,-71.15115183574649 48.35381567348906,-71.15122263361133 48.353566752325996,-71.15125055129926 48.35343605716591,-71.15126795865056 48.353156412506955,-71.151303442207 48.35253222583688,-71.1513069497855 48.35221971299923,-71.15130232860758 48.35197463732635,-71.15128058165098 48.35185495584871,-71.1512884927735 48.35177054821705,-71.15128337829375 48.35174796625216))"
25,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Pont Dubuc,Chicoutimi,"En raison de travaux du MTQ, l'accÃ¨s au trottoir du pont Dubuc, entre le boulevard du Saguenay Ouest et la riviÃ¨re Chicoutimi sera fermÃ© Ã  la population, Ã  partir de lundi 1er juillet, et ce, pour une durÃ©e indÃ©terminÃ©e.",2024-07-01T07:00:00,2024-12-31T17:00:00,"MULTILINESTRING ((-71.07183268868079 48.43054983980632,-71.07199860067355 48.4304126538427,-71.0721480972976 48.4302728349066,-71.07230334567257 48.4301705185652,-71.07245892133601 48.430097395369415,-71.0726539666996 48.43003137137279,-71.07287737139372 48.42999503761578,-71.07321817750687 48.42997225702154,-71.07355995321825 48.42997513637887,-71.07456252158865 48.4299833987688),(-71.07456252158865 48.4299833987688,-71.07456254113296 48.42998339892977,-71.07547923146207 48.42997270237028),(-71.07442530478309 48.42998226821422,-71.07456252158865 48.4299833987688),(-71.07456252158865 48.4299833987688,-71.07456254113295 48.429983398929814,-71.07547923146205 48.4299727023703))"
26,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Rang Saint-Paul,Chicoutimi,"En raison de travaux de rÃ©fection effectuÃ©s sur les ponceaux, le rang et le chemin Saint-Paul seront complÃ¨tement fermÃ©s Ã  toute circulation jusqu'Ã  la fin des travaux prÃ©vue Ã  la mi-septembre.",2024-05-15T07:00:00,2024-09-13T17:00:00,"MULTILINESTRING ((-71.11785494801852 48.38507265900385,-71.11821765475304 48.384683013122036,-71.11872653917558 48.3842285908024,-71.11921978231913 48.3838834071965,-71.11984992620503 48.3834991049792,-71.12014923644657 48.38322515618033,-71.12043843830233 48.38292729402776,-71.12081213293969 48.38244814380344,-71.12118581925458 48.38196899326203,-71.12163261962704 48.38131514996858),(-71.13629127351825 48.367873673362546,-71.13709780457027 48.36719399594576,-71.13752505837718 48.36680788124722,-71.13795230573774 48.36642176496437,-71.13859382008795 48.365824673324035,-71.1389313352284 48.36555428134745,-71.13928235240489 48.365223836085484,-71.14118677625532 48.36350300852137,-71.14168739708364 48.36306056879848,-71.14243871336441 48.362387386811875,-71.14392015908619 48.36107029300674,-71.1454015285606 48.3597531792628,-71.14606953964007 48.35914428784357,-71.1467375334818 48.35853539255939),(-71.12163261962704 48.38131514996858,-71.12253449572941 48.38000343421232,-71.12285559943125 48.37970322560914,-71.12342556436622 48.37926656243341,-71.1238309580677 48.37892262525324,-71.12427374451251 48.378496289762516,-71.12466785875965 48.378103024067464,-71.1250185245099 48.377721416266894,-71.12559435674261 48.37711781390082,-71.12565972905308 48.37704416484071,-71.1263745903618 48.37631522428089,-71.12687793009371 48.3757959002405,-71.1273156876399 48.37535072881209,-71.12793089605968 48.37491934634909,-71.12876623236312 48.37436868313206,-71.12926096914464 48.37402127639542,-71.12969789409505 48.37366125153184,-71.13000205687204 48.37339113893692,-71.13032691977152 48.37308029266331,-71.13101799644893 48.37237359696952,-71.13148349890182 48.37188896071735,-71.13181878148853 48.37153737052005,-71.13252651598941 48.37100188576138,-71.13368499120628 48.37026434566611,-71.13404643098565 48.36997787490719,-71.13404670002058 48.36997769084683,-71.1342061833132 48.36986668867958,-71.1345399587405 48.36952846823878,-71.13490338452647 48.36912555861781,-71.13517265267248 48.368824718664825,-71.13565074596505 48.36842704202407,-71.13629127351825 48.367873673362546))"
27,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Rue CondÃ©,Chicoutimi,"En raison de travaux de rÃ©fection de la chaussÃ©e, il y aura fermeture complÃ¨te de la rue CondÃ©, entre les rues Richmond et Fleury, le mercredi 28 aoÃ»t et le jeudi 29 aoÃ»t, de 7 h Ã  17 h.",2024-08-28T07:00:00,2024-08-29T17:00:00,"LINESTRING (-71.04869208500368 48.43691077434394,-71.05007136853337 48.43716788114912,-71.0504530947174 48.43720612794339,-71.05071891687857 48.437226897338945)"
28,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Rue DrÃ©an,Chicoutimi,"En raison de travaux de rÃ©fection de trottoirs, il y aura fermeture complÃ¨te de la rue DrÃ©an, entre la rue Price Ouest et la CÃ´te Fortin le lundi 19 aoÃ»t, de 7 h Ã  17 h, pour une durÃ©e approximative de 11 jours. Notez que le trajet de la STS sera modifiÃ© et la circulation locale restreinte.",2024-08-19T07:00:00,2024-09-05T17:00:00,"MULTILINESTRING ((-71.07660984430741 48.42769897349514,-71.0771091238592 48.42726034252644,-71.0774449501026 48.42693826193479,-71.07756975793805 48.42683205470921,-71.07771088068931 48.426735316929566),(-71.07771088068931 48.426735316929566,-71.07794210375262 48.4266150706921,-71.07821413254146 48.42653082198268,-71.07836690407449 48.42649502039701),(-71.07836690407449 48.42649502039701,-71.07872687192024 48.42640973664357,-71.07908683990387 48.42632445176078,-71.0792188092802 48.426307698418,-71.07933400707417 48.42631258227879,-71.07981115181222 48.4263861188198,-71.07991171309297 48.42638265668717,-71.07998434408633 48.42636772865328,-71.08005426375037 48.42634005103659,-71.08011550719044 48.42629024092634,-71.08043477656722 48.42598494831045,-71.08075404211773 48.425679653908425))"
29,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Rue DrÃ©an,Chicoutimi,"En raison de travaux de pavage, il y aura fermeture complÃ¨te de la rue DrÃ©an, Ã  partir de la CÃ´te Saint-Ange jusqu'au chemin de fer, le mardi 27 aoÃ»t, de 7 h Ã  17 h.",2024-08-27T07:00:00,2024-08-27T17:00:00,"LINESTRING (-71.08075404211773 48.425679653908425,-71.0811844762227 48.42525604667576,-71.08146884028433 48.424956991083995)"
30,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Rue du Vieux-Pont,JonquiÃ¨re,"*** Prendre note qu'en raison des travaux effectuÃ©s par le ministÃ¨re des Transports et de la mobilitÃ© durable du QuÃ©bec, la circulation piÃ©tonne ne sera pas permise sur les trottoirs du pont du Vieux-Pont, le lundi 15 juillet et le mercredi 17 juillet de 6 h 30 Ã  19 h.***

En raison de travaux de rÃ©fection effectuÃ©s par le ministÃ¨re des Transports et de la MobilitÃ© durable du QuÃ©bec, le pont de la rue du Vieux-Pont sera fermÃ© aux vÃ©hicules et au vÃ©los. Ces travaux se dÃ©rouleront du 21 mai jusquâen novembre prochain. Il est Ã  noter que la circulation piÃ©tonne y sera toujours autorisÃ©e.
Les chemins de dÃ©tour seront indiquÃ©s aux abords du chantier. Il sera trÃ¨s important de bien respecter la signalisation en place afin d'assurer la sÃ©curitÃ© de tous. 
",2024-05-23T14:43:59.277,2024-11-30T17:00:00,"LINESTRING (-71.25943693533755 48.41041662235518,-71.25998323318909 48.41060999238359)"
31,94068,Fermeture complÃ¨te,Travaux prÃ©vus,Rue Gounod,Chicoutimi,"En raison de travaux, il y aura fermeture complÃ¨te de la rue Gounod, entre les rues Chopin et Mozart, le mardi 27 aoÃ»t et le mercredi 28 aoÃ»t, de 7 h Ã  17 h.",2024-08-27T07:00:00,2024-08-28T17:00:00,"LINESTRING (-71.05780416946494 48.41023517776492,-71.05743909047078 48.41021058142383,-71.05605219290037 48.4095356305035)"
