ï»¿ID,LONGUEUR,TYPE,DATE_CREATION,DATE_MODIFICATION,MUNICIPALITE,GEOM
1002060,18,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002061,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002063,73,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002064,78,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002081,59,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002084,10,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002085,180,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002087,11,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002088,182,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002089,10,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002090,10,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002095,11,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002096,343,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002097,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002098,3,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002099,15,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002100,154,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002101,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002102,185,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002103,3,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002128,10,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002129,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002130,107,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002147,13,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002148,9,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002149,9,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002150,57,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002151,9,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002152,9,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002153,321,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002154,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002157,120,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002158,199,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002160,53,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002161,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002162,208,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002164,8,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002165,8,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002166,17,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002167,9,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002168,33,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002169,15,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002170,247,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002171,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002172,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002175,372,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002177,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002178,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002179,26,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002180,12,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002181,8,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002182,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002184,15,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002185,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002186,8,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002187,66,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002190,125,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002191,12,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002192,14,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002193,38,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002194,72,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002195,49,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002196,5,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002197,7,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002198,3,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002199,3,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002200,4,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002201,15,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002203,260,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002204,166,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002206,7,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002212,3,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002236,57,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002259,55,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002264,13,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002266,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002267,12,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002268,12,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002269,62,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002270,12,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002271,165,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002272,13,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002274,31,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002275,112,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002276,61,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002277,111,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002279,122,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002280,159,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002281,13,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002283,38,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002285,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002286,10,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002289,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002290,47,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002291,33,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002292,10,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002293,55,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002294,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002296,31,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002297,76,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002298,103,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002299,15,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002301,261,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002302,16,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002303,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002304,178,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002309,41,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002312,10,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002314,27,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002315,16,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002318,52,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002319,41,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002320,16,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002322,42,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002327,7,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002328,6,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002329,2,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002330,5,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002333,8,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002334,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002335,67,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002339,15,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002340,59,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002341,9,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002342,3,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002343,7,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002344,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002346,7,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002347,62,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002348,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002349,3,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002350,54,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002351,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002353,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002354,11,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002357,5,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002358,7,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002359,7,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002360,7,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002363,71,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002364,49,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002365,11,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002366,38,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002368,39,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002369,88,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002373,99,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002375,52,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002376,5,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002378,4,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002379,59,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002380,5,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002381,90,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002382,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002383,9,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002384,24,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002385,22,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002386,71,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002387,3,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002389,66,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002390,54,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002392,2,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002393,3,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002395,3,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002396,3,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002399,12,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002402,7,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002403,11,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002404,60,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002406,6,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002407,88,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002408,10,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002409,12,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002410,9,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002411,123,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002413,5,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002414,9,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002415,10,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002416,9,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002417,62,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002418,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002419,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002420,153,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002421,10,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002422,9,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002429,8,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002430,27,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002431,5,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002432,5,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002435,9,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002437,62,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002438,54,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002442,47,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002443,59,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002444,33,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002445,117,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002446,216,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002447,202,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002448,14,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002450,460,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002451,54,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002452,8,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002454,28,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002455,201,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002456,4,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002457,244,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002458,5,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002460,106,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002462,113,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002463,68,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002465,13,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002466,12,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002467,5,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002468,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002469,36,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002470,9,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002471,9,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002473,15,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002474,9,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002475,10,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002476,10,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002477,17,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002478,8,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002479,10,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002480,10,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002481,11,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002482,12,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002483,9,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002484,10,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002485,6,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002486,5,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002487,7,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002488,4,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002489,9,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002492,13,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002493,13,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002494,14,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002495,13,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002496,9,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002497,6,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002498,14,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002499,11,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002500,15,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002501,124,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002502,14,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002503,13,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002504,20,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002505,8,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002506,4,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002510,3,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002511,8,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002512,225,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002513,198,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002514,12,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002515,192,1,2013-11-18,2023-04-05,Repentigny,Ligne
1002516,201,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002517,15,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002518,97,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002519,37,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002520,31,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002521,7,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002522,34,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002523,11,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002524,8,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002525,34,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002526,7,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002527,55,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002528,9,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002529,69,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002530,26,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002531,19,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002532,14,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002536,207,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002537,11,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002538,129,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002539,202,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002540,24,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002541,53,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002542,51,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002543,100,1,2013-11-18,2023-04-04,Repentigny,Ligne
1002548,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002549,9,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002550,39,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002551,45,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002552,59,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002553,8,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002554,8,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002555,178,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002556,51,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002557,13,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002558,50,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002559,13,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002563,14,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002564,32,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002565,7,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002566,14,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002568,13,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002576,15,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002577,24,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002578,14,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002579,13,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002580,46,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002581,1,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002582,5,1,2013-11-18,2023-03-29,Repentigny,Ligne
1002583,48,1,2013-11-18,2013-11-18,Repentigny,Ligne
1002584,1,1,2013-11-18,2013-11-18,Repentigny,Ligne
