ï»¿OBJECTID,MUNICIPALITE,HYDRONYME,SUPERFICIE,SHAPE.STArea(),SHAPE.STLength()
117,86042,,10090,10090,499.591419257457
118,86042,,1295,1295,139.825969096437
119,86042,,2320.5,2320.5,229.41714315859
120,86042,,3929.5,3929.5,244.958666803888
121,86042,,1118.5,1118.5,169.192959101263
122,86042,,725,725,111.052213846059
123,86042,,1141.5,1141.5,144.661284269754
124,86042,,879.5,879.5,130.822050301004
125,86042,,13237.5,13237.5,527.734734438976
126,86042,,1220.5,1220.5,173.476413837083
127,86042,,1740,1740,173.973787674052
128,86042,,761.36507851,761.36507851,127.608122285028
129,86042,Lac Marlon,312814.87239655,312814.872396555,2554.34743732152
130,86042,,2559,2559,256.547745514321
131,86042,,8401,8401,362.101329584741
132,86042,,3422.4438811,3422.4438811,280.537527925996
133,86042,,18018.08818463,18018.08818463,716.980979457842
134,86042,Lac Montbeillard,7018078.97689794,7018078.97689794,20661.1617811722
135,86042,,2789,2789,266.850755554903
136,86042,,9085.0001,9085.0001,541.999084605099
137,86042,,5028,5028,269.919867125507
138,86042,,1593,1593,167.647713954153
139,86042,,1533,1533,174.309233919164
140,86042,,607.5,607.5,100.570469491179
141,86042,,1571,1571,164.090388853579
142,86042,,797.5,797.5,128.434022559219
143,86042,,865,865,114.44542971742
144,86042,,7217.43432521,7217.434325205,658.33818061078
145,86042,,12946,12946,607.947161575619
146,86042,,15099.56557751,15099.56557751,559.114299249077
147,86042,,1939.5,1939.5,237.273853624327
148,86042,,1085.49985,1085.49985,188.835488964587
149,86042,,3329.5,3329.5,350.294411855177
150,86042,,29568.4428804,29568.4428804,748.774243539732
151,86042,,4123.9999,4123.9999,311.904322211108
152,86042,,1992,1992,223.261977020741
153,86042,,27921.9999,27921.9999,765.726979206431
154,86042,,8903,8903,415.981649638051
155,86042,,22934.9798684,22934.9798684,659.08805877121
156,86042,,33519.5,33519.5,1179.45512966541
157,86042,,3882,3882,338.713076698075
158,86042,,1048,1048,157.207192359248
159,86042,,2044.00005,2044.00005,278.787308749705
160,86042,,1232.62117688,1232.62117688,140.438044404647
161,86042,,1902.9999,1902.9999,195.003524062157
162,86042,,3117,3117,308.595377621373
163,86042,,1854.5,1854.5,222.334486727436
164,86042,,839.49985,839.49985,135.792176839789
165,86042,,3678.00005,3678.00005,319.527464082349
166,86042,,1318.99985,1318.99985,165.941943661918
167,86042,,8296,8296,386.646837120595
168,86042,,3509,3509,302.388671683757
169,86042,,2451.5,2451.5,259.173526853733
170,86042,,5863,5863,412.736344032786
171,86042,,6434,6434,437.028040517425
172,86042,,866.5,866.5,149.590249451673
173,86042,,1464.5,1464.5,173.113796176472
174,86042,,1460.5,1460.5,168.717475228816
175,86042,,2272,2272,225.25798539819
176,86042,,2776,2776,264.720646915995
177,86042,,1171,1171,137.1377506206
178,86042,,3708.89679,3708.89679,296.957604632723
179,86042,,14965.99995,14965.99995,632.387107893294
180,86042,Lac Osisko,1716702.08535408,1716702.08535408,10216.1559725229
181,86042,,5937,5937,324.552176168298
182,86042,,5388.51190021,5388.51190021,546.862887809388
183,86042,,1119.5,1119.5,177.848305953038
184,86042,,1408.5,1408.5,186.340919897312
185,86042,,3786.5164367,3786.5164367,349.552459508324
186,86042,,3234,3234,276.832468136071
187,86042,,3265.5,3265.5,275.476969742008
188,86042,,3167.5,3167.5,291.046953157725
189,86042,,5830.50025,5830.50025,362.894241853042
190,86042,,2777.5,2777.5,276.919300743276
191,86042,,754.5,754.5,116.841905873082
192,86042,,940,940,141.359096661191
193,86042,,1103.5,1103.5,162.250872185958
194,86042,,3240.5,3240.5,334.922218125586
195,86042,,3559,3559,289.412535470579
196,86042,,1110.5,1110.5,177.837666507815
197,86042,,2150,2150,220.212239318457
198,86042,,884.5,884.5,126.557794805827
199,86042,,3810,3810,273.526280820741
200,86042,,3738.0001,3738.0001,270.657298620085
201,86042,,2247.5,2247.5,243.764623130954
202,86042,,1308.5,1308.5,187.621368692899
203,86042,,7248,7248,534.400575831934
204,86042,,12086,12086,426.430829565808
205,86042,,1270.50005381,1270.500053805,187.134003955132
206,86042,,2209.9999,2209.9999,187.525646705958
207,86042,,4951.5,4951.5,265.747314960463
208,86042,,11768.5,11768.5,521.611448197479
209,86042,,8649.4999,8649.4999,453.909107680153
210,86042,,3714.0010035,3714.0010035,293.711351114038
211,86042,,15666.49975,15666.49975,834.44640182439
212,86042,,1248,1248,137.228740856441
213,86042,,6149.0001,6149.0001,433.398328369469
214,86042,,1688.5,1688.5,219.552722409566
215,86042,,11014.5002,11014.5002,569.812269063405
216,86042,,716.5,716.5,138.158611037986
217,86042,,1726.4999,1726.4999,164.136609612768
218,86042,,2273,2273,258.419615854246
219,86042,,6634.00005,6634.00005,600.965774112125
220,86042,,2864.99926887,2864.999268875,310.529004955607
221,86042,Lac DespÃ©riers,103127.06795,103127.06795,2400.87748146851
222,86042,,9146,9146,580.260119393369
223,86042,,1084,1084,158.742817049267
224,86042,,11086.4999,11086.4999,434.305508206653
225,86042,,5445.5,5445.5,361.293492964768
226,86042,,22722.5001,22722.5001,947.918988609327
227,86042,,4142.5,4142.5,367.588342633171
228,86042,,700.99985,700.99985,125.060022301752
229,86042,,1706,1706,192.810288669544
230,86042,,3850.5,3850.5,283.513799602057
231,86042,,644.5,644.5,106.39369570368
232,86042,,4741.5,4741.5,475.803283232762
233,86042,,1195.5,1195.5,164.215807175047
234,86042,,3547.4997,3547.4997,250.112718780209
235,86042,,3277.99975696,3277.99975696,258.487660741102
236,86042,,8129.5,8129.5,504.671823561754
237,86042,,2027.5,2027.5,174.733599868592
238,86042,,3475,3475,273.452551180588
239,86042,,2976.5,2976.5,251.581532527909
240,86042,,1210.4999198,1210.499919795,187.65756107334
241,86042,,923.5,923.5,137.297960858486
242,86042,,963.5,963.5,134.890444880684
243,86042,,30033.49885857,30033.49885857,1691.27694322009
244,86042,,2434.0003162,2434.0003162,341.331236066872
245,86042,,6654.4998,6654.4998,566.557437865949
246,86042,,6656.99989684,6656.99989684,626.698690722625
247,86042,,7154.5,7154.5,547.241959592634
248,86042,,802.95069861,802.950698615,137.79488184612
249,86042,,1744,1744,226.869471995992
250,86042,,7207,7207,416.177905564376
251,86042,,9487.5,9487.5,603.69532227494
252,86042,,1227.49995,1227.49995,185.416545379627
253,86042,,1158.50009209,1158.50009209,183.218805058209
254,86042,,862,862,118.433992120986
255,86042,,615,615,95.650976140863
256,86042,,844.5,844.5,113.557785204545
257,86042,,2345,2345,270.332123729626
258,86042,,646,646,126.158964755431
259,86042,,2619.5,2619.5,282.84300819993
260,86042,,10090.00018864,10090.00018864,608.181529237398
261,86042,,1657.5,1657.5,207.36649111427
262,86042,,854.00005,854.00005,124.866181806153
263,86042,,4591.5,4591.5,425.870776376587
264,86042,,1567.0001,1567.0001,250.036998077219
265,86042,,2326,2326,206.926854048134
266,86042,,912,912,142.197974329504
267,86042,,3148.5,3148.5,241.659180026333
268,86042,,39453.0003,39453.0003,1054.76785531193
269,86042,,910.5,910.5,143.386603083241
270,86042,,1454,1454,214.456745598516
271,86042,,643.5,643.5,108.326958993357
272,86042,,751.5,751.5,112.563129121888
273,86042,,904.5,904.5,163.325008971644
274,86042,,1199.5,1199.5,146.444847624165
275,86042,,6577,6577,532.597082188916
276,86042,,9605.5,9605.5,398.912492265284
277,86042,,12771.5004,12771.5004,579.557745010052
278,86042,,804,804,128.472220981021
279,86042,,2500,2500,219.656971441671
280,86042,,4189.5,4189.5,394.259625911221
281,86042,,1138.4999,1138.4999,144.468349006621
282,86042,,3132.5,3132.5,238.107474879057
283,86042,,2635,2635,338.807379941427
284,86042,,15395.5,15395.5,618.450311772452
285,86042,,3072,3072,296.035735872967
286,86042,,30048.50001214,30048.50001214,900.801295689996
287,86042,,1075.5,1075.5,128.360869425445
288,86042,,5066.4999,5066.4999,388.380558527539
289,86042,,2423,2423,294.692442308625
290,86042,,850.99982985,850.99982985,130.87982302638
291,86042,,686.99992006,686.99992006,101.95885529364
292,86042,,3529.0001,3529.0001,391.5711835825
293,86042,,11921.49963895,11921.49963895,662.073241746145
294,86042,,17705.5,17705.5,530.926029657152
295,86042,,1193,1193,155.661431162984
296,86042,,3295.99999867,3295.999998665,293.036970839138
297,86042,,616.5,616.5,105.772438019331
298,86042,,763,763,128.398475733938
299,86042,,819.5,819.5,183.124868533301
300,86042,,1463.5,1463.5,208.161803837781
301,86042,,865.5,865.5,118.07261915719
302,86042,,6045,6045,307.007873105033
303,86042,,2015,2015,235.962276017001
304,86042,,1557,1557,155.999973535337
305,86042,,1090,1090,149.922603556859
306,86042,,24619.00029985,24619.00029985,843.645373154266
307,86042,,3562,3562,257.828192639292
308,86042,,2546.5,2546.5,194.745680471927
309,86042,,2168.5,2168.5,273.017473714512
310,86042,,948.49995683,948.49995683,156.582605016904
311,86042,,7407.9999,7407.9999,520.207896136227
312,86042,,3816.00005,3816.00005,385.829093297221
313,86042,,1145.0002,1145.0002,142.069878764554
314,86042,,6578,6578,436.387992262342
315,86042,,1515.5,1515.5,187.528399131709
316,86042,,1375.5,1375.5,204.840378133289
317,86042,RiviÃ¨re Ã  PressÃ©,238494.32487872,238494.324878715,25471.0803833894
318,86042,,7676.5,7676.5,343.097223626188
319,86042,,1645,1645,174.640680898703
320,86042,,1694.5,1694.5,177.920986975316
321,86042,,6395,6395,347.377534984902
322,86042,,4380.9999,4380.9999,350.308122660243
323,86042,,157.04681005,157.04681005,101.852845855597
324,86042,,1421,1421,181.541214607778
325,86042,,1749,1749,217.088261501223
326,86042,,8277.49965,8277.49965,401.54906461015
327,86042,,4719,4719,479.650473502338
328,86042,,2211.50019923,2211.50019923,250.979713698954
329,86042,,4986.5001,4986.5001,318.803604961345
330,86042,,5993,5993,387.024234448176
331,86042,,1739.5,1739.5,220.432066831089
332,86042,,3234.5,3234.5,238.784135500163
333,86042,,8168.00016601,8168.000166005,382.526499714969
334,86042,,5297,5297,301.712566702898
335,86042,Barrage de Rapide-Sept,4437.51315,4437.51315,1131.6407090151
336,86042,Lac Paradis,18603.49965,18603.49965,638.429891134227
337,86042,,846.5,846.5,118.18825678372
338,86042,,1286,1286,196.90241548591
339,86042,,1852,1852,216.764072951851
340,86042,,2375,2375,223.88088664353
341,86042,,1025,1025,128.581273665943
342,86042,,4248,4248,286.138096706771
343,86042,,2457.5,2457.5,316.559007180464
344,86042,,676.5,676.5,113.237411511615
345,86042,,1628.5,1628.5,184.809569022105
346,86042,,16440,16440,563.10762558548
347,86042,,1340,1340,195.60823145018
348,86042,,2959.5,2959.5,221.056848984625
349,86042,,4388.5,4388.5,268.37965801145
350,86042,,1348,1348,177.972650215143
351,86042,,1391.5,1391.5,162.533163376079
352,86042,,1832.5,1832.5,188.010204138111
353,86042,Lac Donez,246237.49888827,246237.49888827,3662.1108793772
354,86042,,876,876,146.590325874534
355,86042,,1483.5,1483.5,177.775932332111
356,86042,,641.5,641.5,109.122995326807
357,86042,Lac Ã  l'Orignal,130078,130078,1991.9578998175
358,86042,,1052.5,1052.5,133.69514014841
359,86042,,2380,2380,255.332741010148
360,86042,,873.00005,873.00005,126.908648352765
361,86042,,4100.5,4100.5,323.573592575159
362,86042,,9437.5,9437.5,758.470682933524
363,86042,,5826.5,5826.5,564.041463494695
364,86042,,1683.5,1683.5,199.142565842431
365,86042,,5290.5,5290.5,406.049153306821
366,86042,,2078,2078,216.84217556516
367,86042,,2349.5,2349.5,250.363488837717
368,86042,,833,833,109.058829114732
369,86042,,159341.42467704,159341.42467704,17060.8000634491
370,86042,,8688.4997,8688.4997,778.223717195985
371,86042,Lac High Cliff,30431.5,30431.5,1725.90577836387
372,86042,,2785.0071995,2785.0071995,223.47488383593
373,86042,,855.50755011,855.50755011,150.6659483382
374,86042,,4106.5,4106.5,657.741060989573
375,86042,,4913,4913,414.399514285295
376,86042,,23129.99995,23129.99995,698.457397466838
377,86042,,719.4992856,719.499285605,106.324790514487
378,86042,,5792,5792,305.226961813969
379,86042,,1410,1410,185.6595882763
380,86042,,2127,2127,302.21896919954
381,86042,,1004.4891997,1004.4891997,123.515310157793
382,86042,,13982.49854958,13982.49854958,881.074252204252
383,86042,,691.98105046,691.98105046,116.494783773041
384,86042,RiviÃ¨re Dufay,40542.57795406,40542.577954065,5135.45279239903
385,86042,,757.5,757.5,111.725327367659
386,86042,,785.5,785.5,118.455549268255
387,86042,,1053.5,1053.5,158.663648507217
388,86042,,1460.5,1460.5,161.466010530245
389,86042,Ruisseau des RÃ©sidus,0.00081573,0.00081573,0.867373403512038
390,86042,,47159.99990032,47159.999900325,1201.65010049034
391,86042,,3492.5,3492.5,283.401927109015
392,86042,,4467,4467,281.627592695299
393,86042,,6883,6883,358.305939565669
394,86042,,2282.5,2282.5,195.752877628124
395,86042,Ruisseau Polson,4052.5,4052.5,691.976603513803
396,86042,,1565.5,1565.5,167.348023294031
397,86042,,5632,5632,374.635599845923
398,86042,,948.5,948.5,136.583612360418
399,86042,,16937,16937,719.370904466828
400,86042,,2421,2421,220.545468906875
401,86042,,4241.5,4241.5,367.237765412696
402,86042,,3499,3499,271.124778659172
403,86042,,2534.5,2534.5,276.121029447287
404,86042,,13432.5,13432.5,640.310848239657
405,86042,,1757.5,1757.5,240.177159363129
406,86042,,2601.5,2601.5,279.609067454001
407,86042,,2699.5,2699.5,271.373032298042
408,86042,Ruisseau Dunn,45419.5,45419.5,5635.26443220587
409,86042,,912,912,131.546370770833
410,86042,,2190.49804977,2190.498049775,267.510554097345
411,86042,,2029.5,2029.5,225.899179745982
412,86042,,2999.5,2999.5,221.676168540841
413,86042,,6536.5,6536.5,600.919488090491
414,86042,,633.5,633.5,111.890172396981
415,86042,,5874.5,5874.5,867.966384074341
416,86042,,2585.5,2585.5,257.169849293673
417,86042,,778.5,778.5,112.218784774635
418,86042,,929.5,929.5,124.723241930619
419,86042,,2015.5,2015.5,184.157957755942
420,86042,,2127,2127,254.284137581327
421,86042,,188563.9995,188563.9995,2898.85471460765
422,86042,,3125.5,3125.5,387.967062624173
423,86042,,2609,2609,223.730338796152
424,86042,,3642,3642,366.602581021383
425,86042,,75361.5,75361.5,1253.39414423672
426,86042,,8706,8706,658.741747783828
427,86042,,884,884,131.286553969933
428,86042,,1228,1228,155.666394142362
429,86042,,1368.5,1368.5,196.859098775593
430,86042,,4646.5,4646.5,460.198127133202
431,86042,,5613,5613,619.294559419712
432,86042,,1885,1885,231.519159653191
433,86042,,1530,1530,175.461175171761
434,86042,,1331,1331,152.485663091057
435,86042,,3359,3359,364.283643042502
436,86042,,1548,1548,161.071132852445
437,86042,,1649,1649,187.550658423358
438,86042,,83.9094088,83.9094088,69.7044968417589
439,86042,,5881.5,5881.5,345.777102663537
440,86042,,8558.5,8558.5,962.951952858481
441,86042,,754.5,754.5,144.108187710715
442,86042,,35462.00005,35462.00005,1145.86633308764
443,86042,,8720.5,8720.5,477.948575889382
444,86042,,946.5,946.5,146.883223313308
445,86042,,36721,36721,1464.10655421231
446,86042,Lac Boissier,403977.43895625,403977.43895625,4176.19809184765
447,86042,,4752.5190902,4752.519090205,491.763007346241
448,86042,,1651.5,1651.5,155.344756378841
449,86042,,1416,1416,180.64869816938
450,86042,,1128,1128,159.059172940114
451,86042,,2979,2979,238.023421231425
452,86042,,7249,7249,442.165402863159
453,86042,,2509.5,2509.5,207.06883488528
454,86042,,3209.5,3209.5,323.446155804921
455,86042,,1114.5,1114.5,167.080405514024
456,86042,,1259.5,1259.5,158.315390615087
457,86042,,875,875,133.506755501215
458,86042,,796,796,123.832863464226
459,86042,,1533,1533,161.027508242462
460,86042,,978,978,142.86130230036
461,86042,,10364.5,10364.5,496.21061830072
462,86042,,14579.5,14579.5,490.274354717842
463,86042,,3211.5001,3211.5001,369.206523962035
464,86042,,10168.5,10168.5,507.327808300017
465,86042,,2240.97975029,2240.97975029,223.992267084008
466,86042,,7956.9998,7956.9998,472.203420963544
467,86042,,2091.5,2091.5,275.307653776209
468,86042,,2552.5,2552.5,296.188701078503
469,86042,,3053.50015,3053.50015,214.554344471122
470,86042,,1533.5,1533.5,190.993780277079
471,86042,,1586.5,1586.5,251.02086140078
472,86042,,2756.5,2756.5,298.649037870286
473,86042,,32949.5,32949.5,1210.51917319443
474,86042,,1471.5,1471.5,219.454175316761
475,86042,Lac des ÃricacÃ©es,12806.5,12806.5,527.377590156553
476,86042,,3579,3579,292.414786990634
477,86042,,652,652,102.952529871506
478,86042,,26439,26439,1225.14538658665
479,86042,,4721,4721,428.997930387803
480,86042,,8563,8563,699.232963299432
481,86042,,3024.5,3024.5,302.860728488202
482,86042,,3071,3071,269.556206121346
483,86042,,20693.5,20693.5,745.869844394443
484,86042,,1602.5,1602.5,190.22253630344
485,86042,,4540,4540,666.324685271156
486,86042,,700.5,700.5,115.066081801358
487,86042,,8397,8397,728.396966507506
488,86042,,8201,8201,360.803656441366
489,86042,,1103,1103,145.269364973804
490,86042,,1023.5004,1023.5004,140.434280347185
491,86042,,2474.00015,2474.00015,274.396710769382
492,86042,,1414,1414,141.836153937072
493,86042,,2766.5,2766.5,572.660118418461
494,86042,,1617.04794432,1617.04794432,167.14956575868
495,86042,,2401.0001,2401.0001,249.656600432989
496,86042,,2450.2446295,2450.244629495,376.839849020738
497,86042,,1382,1382,205.097150563347
498,86042,,1054.5,1054.5,158.254372429285
499,86042,,867,867,179.533304368193
500,86042,,1717.5,1717.5,191.740389144774
501,86042,,7387,7387,609.988018433341
502,86042,,2870,2870,366.345528572472
503,86042,,5360.5,5360.5,358.669216440343
504,86042,,2517.5,2517.5,197.67239679063
505,86042,,11925.49712346,11925.49712346,600.833430726652
506,86042,,1006.99573829,1006.995738285,160.492547357286
507,86042,,621,621,91.2702538229331
508,86042,,2597,2597,346.139952979491
509,86042,,4855,4855,463.123982325555
510,86042,,42070.49975,42070.49975,1003.18634645564
511,86042,,970,970,118.713861675414
512,86042,,661,661,102.520680845186
513,86042,,769.5,769.5,109.057510001852
514,86042,,57801.5,57801.5,1813.7219346943
515,86042,,812.5,812.5,133.566755057694
516,86042,Grand lac BÃ©raud,1136934.00025,1136934.00025,9451.0701156777
517,86042,,2006.5,2006.5,251.836192749801
518,86042,,729,729,122.600486402792
519,86042,,2003,2003,219.741462618288
520,86042,,3545,3545,227.630779599271
521,86042,,29507.5002,29507.5002,1680.38802450592
522,86042,,4357.00005,4357.00005,355.183616341879
523,86042,,14024.5003,14024.5003,503.353654921819
524,86042,,8539.73183161,8539.731831615,490.293751017942
525,86042,,4827.5,4827.5,295.639735133074
526,86042,,983,983,134.264434154369
527,86042,,903,903,141.370481492128
528,86042,,2187,2187,205.054312329744
529,86042,,2037.5,2037.5,214.432827115166
530,86042,,1373.49929884,1373.49929884,178.280245025553
531,86042,,1229,1229,206.476937956599
532,86042,,10754.5,10754.5,1064.14640902079
533,86042,,2370.5,2370.5,258.04716813529
534,86042,,918.5,918.5,124.920592807138
535,86042,,1456,1456,196.091281398331
536,86042,,1236,1236,152.438058267411
537,86042,,694.5,694.5,104.553922836958
538,86042,,1228,1228,164.393074609667
539,86042,,58627.50185,58627.50185,1555.23484335569
540,86042,,14125.50115,14125.50115,736.68236217517
541,86042,,5216,5216,391.857454893904
542,86042,,714,714,112.602577673339
543,86042,,28936,28936,989.231340828145
544,86042,,2418,2418,327.485120143342
545,86042,,657,657,100.199082312435
546,86042,,2509.5,2509.5,223.061360146087
547,86042,,3307,3307,423.433344784966
548,86042,,5390.4995,5390.4995,397.723690015069
549,86042,,3126.9994,3126.9994,243.210142795305
550,86042,Ruisseau Corona,5967.97838072,5967.978380725,459.283450471892
551,86042,,601.50955034,601.509550345,107.550801472727
552,86042,,1793,1793,185.739021836955
553,86042,,3961,3961,315.633891943978
554,86042,,1616,1616,251.860245596812
555,86042,Lac Saint-Martin,62850.5007,62850.5007,1074.6379099325
556,86042,,4163,4163,286.78020045013
557,86042,,1614.5,1614.5,201.77333825747
558,86042,,1229,1229,148.140741199441
559,86042,Lac Bouzan,119865.82096774,119865.82096774,1498.98272594817
560,86042,Crique de la Loutre,86649.88180245,86649.881802445,5517.36536448041
561,86042,,5387.5,5387.5,321.899114092593
562,86042,,113852.9998,113852.9998,1779.57262028378
563,86042,,4840.4921,4840.4921,325.275498645718
564,86042,,9715.5003,9715.5003,720.826193235063
565,86042,,4458,4458,415.142838973333
566,86042,,3938,3938,270.033758178537
567,86042,,8731.5,8731.5,370.451156272961
568,86042,,998.5,998.5,130.466540458147
569,86042,,1724.9839995,1724.9839995,210.808341588928
570,86042,,604,604,92.8580245913408
571,86042,,4972,4972,394.914250636624
572,86042,,3644,3644,277.74354984319
573,86042,,8326.99985,8326.99985,450.296531273364
574,86042,,1466,1466,242.55371615061
575,86042,,3074.5,3074.5,301.568165430786
576,86042,,3.78029464,3.78029464,26.3248681514743
577,86042,,1762.5,1762.5,234.42160250628
578,86042,,2079.5,2079.5,198.731747994361
579,86042,,2716.5,2716.5,211.881304885694
580,86042,,1180.5,1180.5,139.467508947225
581,86042,,3600,3600,249.19822110639
582,86042,,1976.00015,1976.00015,249.95521481608
583,86042,,2272,2272,207.875771844837
584,86042,,22998,22998,912.861642885199
585,86042,Ruisseau Patrice,9480.5,9480.5,837.08490772703
586,86042,,9264.5,9264.5,456.610711840332
587,86042,,618,618,97.0599280299064
588,86042,,1289.49800032,1289.49800032,202.778831259803
589,86042,,3035.5,3035.5,252.882630934588
590,86042,,1675.5,1675.5,183.650123653194
591,86042,,1434.5,1434.5,180.398028619701
592,86042,,3894,3894,357.144145325463
593,86042,,1299,1299,188.484364063904
594,86042,,777,777,118.584268393301
595,86042,,1422,1422,141.870398963718
596,86042,,5319,5319,385.624451492404
597,86042,,1853.5,1853.5,223.695826717347
598,86042,,1736.5,1736.5,232.965198362313
599,86042,,2314,2314,285.990220615272
600,86042,,1582,1582,167.565923273654
601,86042,,2689,2689,251.264744931671
602,86042,,8912,8912,452.320436310805
603,86042,,1320.9999,1320.9999,182.526849691828
604,86042,,1217.5,1217.5,136.078507903414
605,86042,,13151.50015,13151.50015,497.888864444044
606,86042,,6889.5,6889.5,551.147956392304
607,86042,,1025,1025,151.225761722633
608,86042,,16178,16178,1398.41025762873
609,86042,,2623.0003,2623.0003,413.844991710857
610,86042,,889.00015,889.00015,153.820656778653
611,86042,,1781,1781,170.601398586854
612,86042,,8141,8141,496.532989495331
