"Soum.","Date d'annonce","Date d'ouverture","Mois de l'ouverture","No. GDD","Catégorie de travaux","4 Catégories 
Analyse de marché","Nature de travaux","Description","Arrondissement","Chargé de projet","Estimé
DGPEC","Estimé externe","Estimé DEC ou EXT 'TOTAL (B)","Adjudicataire","Valeur de la soumission retenue
(C)","% écart

(C-B)/B","Nbs de soum.","% écart

(moyenne-B)/B","% écart

(plus haute-B)/B","Moyenne des soumissions","Plus haute soumission"
262705,41624,2014-01-22,"janvier",,"Trottoirs","Trottoirs","Reconstruction de trottoirs, de bordures, de saillies et de mail central et travaux d'éclairage et de feux de circulation","Rue Saint-Antoine, du boulevard Georges-Vanier à la rue Guy","Le Sud-Ouest","Annie Desparois","1003781,51",,"1003781,51","*Hexagone ","1022006,92","0,02",1,"0,02",-1,"1022006,92",0
279401,41624,2014-01-22,"janvier",,"Égout/Aqueduc","Égout/Aqueduc","Travaux d’égout et de conduites d’eau, de voirie et d'éclairage","Rue Saint-Jacques de la rue Saint-Antoine à la rue Saint-Philippe, dans la rue Sainte-Marguerite de la rue Saint-Jacques à la rue Saint-Antoine, dans la rue Delinelle de la rue Saint-Ambroise à la rue Notre-Dame et dans la rue Sainte-Émilie de la rue Delinelle à la rue du Square Sir-Georges-Étienne-Cartier","Le Sud-Ouest ","Etleva Milkani","5286857,23",,"5286857,23","Sintra (Rive-Sud) Inc.","5032986,09","-0,05",9,"0,23","0,53",6522964,"8078854,48"
278502,41645,2014-02-05,"février",,"Aqueduc","Égout/Aqueduc","Reconstruction d’une conduite d’eau secondaire, de chaussée, de trottoirs, de bordures","Avenue Bloomfield, de l'avenue Beaumont à la rue Jean-Talon","Villeray – Saint-Michel – Parc-Extension","Robert Lafontaine","1416070,28",,"1416070,28","Damiano","1392942,95","-0,02",12,"0,2","0,5","1704802,98","2127037,5"
258004,41645,2014-02-05,"février",,"Chaussée","Pavage","1-Reconstruction de chaussée flexible, de trottoirs, de bordures, de mails centraux, de bases, de conduits souterrains et travaux de mise aux normes de feux de circulation 'dans le boulevard Lacordaire, de la rue Saint-Zotique à la rue Bélanger et du tabl","1- Boulevard Lacordaire, de la rue Saint-Zotique à la rue Bélanger et du tablier du viaduc de l’Autoroute 40 à la rue Jarry 
2- Là où requis, à l'intersection des avenues Papineau et Lecocq","1- Saint-Léonard 
2- Ahuntsic-Cartierville et Villeray ─ Saint-Michel ─ Parc-Extension ","Annie Desparois","2935766,18",,"2935766,18","Jeskar inc.","2657584,49","-0,09",6,"-0,02","0,08","2868349,09","3180158,11"
223102,41645,2014-02-05,"février",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction de l'égout unitaire, des conduites d'eau secondaires, de la chaussée, des trottoirs, du mail central, de l'éclairage","Boulevard Saint-Joseph, la rue Saint-Urbain, la rue Resther et la rue Bibaud ","Le Plateau-Mont-Royal ","Etleva Milkani","7340682,31",,"7340682,31","C.R. Ménard inc.","8204924,01","0,12",6,"0,2","0,27","8843428,79",9323121
222503,41645,2014-02-05,"février",,"Égout/Aqueduc","Égout/Aqueduc","Construction et reconstruction de trottoirs, de mail central, de bordures, de clôture ornementales, d’une conduite d’eau principale, de planage de chaussée d’asphalte et revêtement bitumineux de fourniture et d’installation d’un système d’éclairage et de ","Boulevard Saint-Laurent et la rue Arcade","Rosemont ─ La Petite-Patrie et Le Plateau Mont-Royal","Djamel Chabane","4884671,42",,"4884671,42","Hexagone","4834685,64","-0,01",2,0,"0,01",4883074,"4931462,36"
233606,41652,2014-02-05,"février",,"Chaussée","Pavage","Reconstruction de trottoirs, de saillies et de mails centraux,  de chaussée mixte en chaussée flexible, mise aux normes et installation de feux de circulation","Chemin de la Côte-des-Neiges","Côte-des-Neiges ─ Notre-Dame-de-Grâce","Louis Beauchemin ",,"3401697,41","3401697,41","Pavage Dorval inc.","3362160,25","-0,01",3,"0,01","0,04","3421593,28","3534412,15"
257505,41652,2014-02-05,"février",,"Trottoirs","Trottoirs","1'Reconstruction de trottoirs, de bordures, d'îlots, de mails centraux, 
2-' Reconstruction de trottoirs, de bordures, d'îlots, de mails centraux et travaux d'éclairage ","1- Boulevard Saint-Michel, de la rue Jarry Est au boulevard Robert 
2-Boulevard Saint-Laurent, de la rue Jarry Est au boulevard Crémazie Est","Villeray-St-Michel-Parc-Extension","Annie Desparois","1977173,75",,"1977173,75","Hexagone","2539007,82","0,28",1,"0,28","0,28","2539007,82","2539007,82"
226102,41659,2014-02-12,"février",,"Chaussée","Égout/Aqueduc","Reconstruction de trottoirs et de saillies, construction d'une voie cyclable, d'un sentier piétonnier, d'un système de drainage, d'un système d'éclairage, de jardins communautaires et d'aires récréatives, pour l'aménagement de l'emprise ferroviaire Antenn","Rues Bennett et Viau sur l'axe est-ouest et entre les rues Rouen et Ontario ( sur l'axe nord-sud)","Mercier-Hochelaga-Maisonneuve","Annie Desparois","2282831,94",,"2282831,94","Charex inc.",2209000,"-0,03",6,"0,06","0,14","2411461,74","2592368,52"
280701,41659,2014-02-19,"février",,"Chaussée","Pavage","Réaménagement géométrique incluant la reconstruction de chaussée, de trottoirs, de bordures, d’îlots et d'éclairage","1ere avenue, de la rue Victoria à la voie de service de l'autoroute 20","Lachine","Alain Beaudet","2681079,04",,"2681079,04","Roxboro inc.","2329978,27","-0,13",8,"-0,04","0,02","2578747,29","2742881,33"
262002,41673,2014-02-26,"février",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction d’égout, de conduites d’eau secondaire et principale, de chaussée, de trottoirs et travaux d’éclairage et de feux de circulation","Avenue Papineau, de la rue Ontario Est à l’avenue du Mont-Royal Est","Ville-Marie et Le Plateau Mont-Royal","Yvon Gauthier","11616675,76",,"11616675,76","Les excavations Gilbert Théorêt inc.","11982223,85","0,03",7,"0,22","0,44",14163524,"16779648,73"
226203,41673,2014-03-05,"février",,"Égout","Égout/Aqueduc","Construction et reconstruction d’une chaussée flexible, de trottoirs, de bordures de clôtures, de conduites d’égouts, de feux de circulation, d’un système d’éclairage, d’aménagement paysager et d’un sentier piétonnier
","Chemin de ceinture du Mont-Royal, secteur de l’Université de Montréal","Côte-des-Neiges ─ Notre-Dame-de-Grâce","Djamel Chabane","3825708,76",,"3825708,76","Ventec inc.","3637908,57","-0,05",7,"0,26","0,43","4819112,04","5483068,85"
229504,41680,2014-03-05,"mars ",,"Trottoirs","Trottoirs","Construction et reconstruction de trottoirs, de bordures, de mail central, d’îlots, de puits d’accès, de bases et conduits souterrains, de fourniture et installation de mobilier d’éclairage  et de feux de circulation, ","Diverses rues de la Ville de Montréal.   ","Rivière-des-Prairies ─ Pointe-aux-Trembles et Montréal-Nord","Djamel Chabane","964228,82",,"964228,82","Ventec inc.","1337192,6","0,39",1,"0,39","0,39","1337192,6","1337192,6"
235409,41687,2014-03-05,"mars ",,"Trottoirs","Pavage","CUSM – Lot 6D – Pavage et trottoirs structuraux"," Boulevard Décarie, entre l’avenue Crowley et le boulevard De Maisonneuve","Côte-des-Neiges / Notre-Dame-de-Grâce","Sébastien deshaies","1557164,19",,"1557164,19","Hexagone","1714342,96","0,1",3,"0,22","0,3","1905392,87","2026683,01"
287802,41694,2014-03-19,"mars ",,"Chaussée","Pavage","Reconstruction de chaussée rigide, là où requis, dans différentes rues de la Ville de Montréal. FA-01 (Réseau artériel - Fissures actives)","Différentes vues de Montréal","Différentes vues de Montréal","Robert Cardin","628652,65",,"628652,65","Bucaro","634639,01","0,01",5,"0,19","0,4","750450,2","882164,07"
252901,41708,2014-04-09,"avril",,"Chaussée","Égout/Aqueduc","Travaux de voirie, d'éclairage, de feux de signalisation, de conduites d'égout et d'eau"," Rues Sauvé, Berri, Clark et dans l'avenue Papineau","Différentes vues de Montréal","Ngoc-Thao Duong","6626003,04",,"6626003,04","Demix Construction","5317917,97","-0,2",5,"-0,06","0,03","6195980,27","6829881,41"
258205,41715,2014-04-09,"avril",,"Chaussée","Pavage","Construction et reconstruction de saillies, de trottoirs, de mails centraux et réfection de la chaussée ","Divers endroits de la Ville de Montréal","Différentes vues de Montréal","Lakhadar Khadir","2663732,87",,"2663732,87"," Jeskar inc.","2615687,66","-0,02",2,"-0,01",0,"2637582,34","2659477,01"
235410,41729,2014-04-16,"avril",,"Chaussée","Pavage","Reconstruction de chaussée, reconstruction de trottoirs, pose de bordures de granite, insertion de granite et de fosses d'arbres, aménagement d'un jardin de pluie ","Boulevard Décarie, de la rue Saint-Jacques jusqu'au point au nord de la rue Crowley","Côte-des-Neiges/Notre-Dame-de-Grâce","Sébastien deshaies","2886863,51",,"2886863,51","Hexagone","2833615,1","-0,02",3,"0,02","0,09","2958235,51","3158458,64"
257506,41736,2014-04-30,"avril",,"Trottoirs","Trottoirs","Reconstruction de trottoirs, de bordures, d'îlots, de mails centraux et travaux d'éclairage, là où requis","Boulevard Saint-Laurent, de la rue Jarry Est au boulevard Crémazie Est.","Villeray-St-Michel-Parc-Extension","Annie Desparois","1710046,94",,"1710046,94","Hexagone","2040011,61","0,19",1,"0,19","0,19","2040011,61","2040011,61"
279301,41736,2014-04-30,"avril",,"Chaussée","Pavage","Réaménagement géométrique de l'intersection des avenues Davaar et du Manoir, éclairage de rue et feux de circulation","Intersection des avenues Davaar et du Manoir, éclairage de rue et feux de circulation","Outremont","Robert Cardin","670940,94",,"670940,94","Hexagone","670011,05",0,3,"0,17","0,35","786577,96","908874,33"
221705,41743,2014-05-07,"mai",,"Chaussée","Égout/Aqueduc","Aménagement d’une nouvelle rue publique donnant accès à la future cour de voirie de l’arrondissement Outremont travaux d’infrastructures municipales (aqueduc, égouts, électricité et aménagement paysager)","Cour de voirie arrondissment Outremont","Outremont","Yoel Nessim","2789249,05",,"2789249,05","Hexagone","2248740,49","-0,19",5,"-0,04","0,12","2667636,83","3123789,48"
228004,41743,2014-05-14,"mai",,"Chaussée","Égout/Aqueduc","Réaménagement des infrastructures routières, construction et reconstruction de trottoirs, de chaussée, d'une voie cyclable. Construction d'une nouvelle rue Saint-Clément. reconstruction d'une partie de l'égout et aqueduc, réaménagement du système d'éclairage et feux de circulation, aménagement du parc Théodore, construction de fosses d'arbres"," Rue Viau entre les rues Pierre-De-Coubertin et Notre-Dame (Travaux d'apaisement de la circulation pour le quartier vert -Phase 1)","Mercier-Hochelaga-Maisonneuve","Lakhadar Khadir",,"10119817,18","10119817,18","Demix Construction","9877160,37","-0,02",5,"0,15","0,32","11649269,91",13327792
229505,41743,2014-05-07,"mai",,"Trottoirs","Trottoirs","Construction et reconstruction de trottoirs, de bordures, de mail central, d’îlots, de puits d’accès, de bases et conduits souterrains, de fourniture et installation de mobilier d’éclairage  et de feux de circulation","Dans diverses rues de Montréal","Différentes vues de Montréal","Djamel Chabane","1097207,55",,"1097207,55","Ventec inc.","1262630,79","0,15",1,"0,15","0,15","1262630,79","1262630,79"
257402,41751,2014-05-21,"mai",,"Pulvérisation","Pavage","Pulvérisation et stabilisation au bitume ciment de la chaussée, reconstruction des trottoirs, du mail central, construction d'un bac de plantation, travaux de feux de signalisation et d’éclairage, là où requis, dans le boulevard Henri-Bourassa de Dutrisac aux limites de l'arrondissement","Là où requis, dans diverses rues de l'arrondissement St-Laurent","Saint-Laurent ","Ngoc-Thao Duong","4202412,39",,"4202412,39","Construction Beauval inc.","4051353,72","-0,04",5,"0,09","0,17","4595460,83","4919261,84"
284601,41757,2014-05-14,"mai ",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction d’un égout unitaire (combiné), de conduites d’eau secondaire et reconstruction de chaussée ","Rues Côte du Vésinet, Place du Vésinet et l’avenue McCulloch, là où requis","Outremont","Yoel Nessim","1633117,15",,"1633117,15","Damiano","1531134,11","-0,06",6,"0,3","0,87","2123688,3",3060000
252312,41764,2014-05-28,"mai",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction de l'égout unitaire, de conduite d'eau secondaire et de la chaussée ","Rue Saint-Timothée, du boulevard René-Levesque à la rue Sainte-Catherine"," Ville-Marie","Etleva Milkani","1724627,28",,"1724627,28","Groupe Vespo","2063981,05","0,2",5,"0,43","0,81","2471272,25","3117995,5"
251803,41775,2014-06-11,"juin ",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction d’un égout unitaire, de conduites d’eau secondaire et principale, d’une chambre de raccord et d’une chambre de régulateur de pression ","Boulevard Pie-IX, du boulevard Crémazie à la rue Jarry","Villeray ─ Saint-Michel ─ Parc-Extension","Yvon Gauthier","2302214,02",,"2302214,02","Construction Fermont ","1941952,04","-0,16",7,"0,13","0,38","2593779,33","3173542,83"
255101,41779,2014-06-18,"juin ",,"Aqueduc","Égout/Aqueduc","Construction et reconstruction d’une conduite d’eau secondaire, de trottoirs, d’une chaussée mixte en une chaussée flexible et d’un système d’éclairage, de planage et revêtement bitumineux","Rue Villeray, de l’avenue Chateaubriand à la rue Boyer","Villeray - Saint-Michel - Parc-Extension","Djamel Chabane","1322046,1",,"1322046,1","R.Racicot Ltd","1163858,01","-0,12",7,"0,12","0,34","1485781,05","1769938,37"
265202,41799,2014-07-14,"juillet",,"Égout/Aqueduc","Égout/Aqueduc","Construction d'un égout unitaire, d'une conduite d'eau secondaire, d'une piste cyclable et d'un parc dans le prolongement de la rue St-Viateur, entre les  avenues De Gaspé et Henri-julien dans l'Arrondissement du Plateau Mont-Royal","Rue St-Viateur, entre les  avenues De Gaspé et Henri-julien"," Plateau Mont-Royal","Robert Lafontaine","1377933,57",,"1377933,57","Salvex","1388886,99","0,01",6,"0,22","0,81","1674383,52","2492126,53"
227702,41806,2014-07-09,"juillet ",,"Égout/Aqueduc","Égout/Aqueduc","Construction d’un égout séparatif (sanitaire, pluvial) et reconstruction de conduites d’eau secondaire, de chaussée, de trottoirs, de bordures, et travaux d’aménagement paysager et d’éclairage","Rue Basin, d’un point à l’ouest de la rue des Seigneurs à la rue Richmond et dans la rue Richmond, du parc du Canal Lachine à la rue William","Le Sud-Ouest","Yoel Nessim","4080602,99",,"4080602,99","Michaudville",4158000,"0,02",1,"0,02","0,02",4158000,4158000
278001,41806,2014-07-09,"juillet ",,"Aqueduc","Égout/Aqueduc","Reconstruction des conduites d'eau, réaménagement géométrique, construction de saillies, reconstruction de trottoirs, de la chaussée, du réseau d'éclairage et des feux de circulation","Rue Jarry, du boulevard de l'Acadie à l'avenue Querbes"," Villeray ─ Saint-Michel ─ Parc-Extension","Annie Desparois","7257415,99",,"7257415,99","Pavage D'Amour","6926104,35","-0,05",6,"0,04","0,22","7569195,27","8873086,23"
259001,41813,2014-07-16,"juillet ",,"Chaussée","Pavage","Travaux de reconstruction de la chaussée, de trottoirs, de bordures, de mails centraux et travaux de mise aux normes des feux de circulation et de l'éclairage","Boulevard De La Rousselière, de la rue Notre-Dame à la rue Sherbrooke - ","Arrondissement Rivière-des-Prairies / Pointe-aux-Trembles","Ngoc-Thao Duong","3996285,2",,"3996285,2","Demix Construction","3623827,18","-0,09",7,"-0,07","-0,04","3707353,73","3836436,22"
296601,41813,2014-07-16,"juillet ",,"Planage","Pavage","Planage de chaussée et revêtement bitumineux, reconstruction de trottoirs, de mails centraux, de l’éclairage et travaux de signalisation lumineuse","Rue Sherbrooke, côté nord, de la rue Pierre-Tétreault à la rue Mousseau","Mercier ─ Hochelaga-Maisonneuve","Alain Beaudet","396590,57",,"396590,57","Hexagone","386090,81","-0,03",5,"0,11","0,22","439246,2","482124,32"
258206,41820,2014-07-23,"juillet ",,"Planage","Pavage","Construction et reconstruction de saillies, de trottoirs, de mails centraux, réfection de la chaussée et mise aux normes des feux de circulation ","Divers endroits de la Ville de Montréal","Divers endroits de la Ville de Montréal","Lakhadar Khadir",,"1012078,62","1012078,62","Soter","1742605,94","0,72",2,"0,8","0,87","1818661,57","1894717,19"
228005,41841,2014-08-13,"août",,"Planage","Pavage","Travaux de voirie, d’éclairage et de feux de circulation 
","Boulevard Pie-IX, de Notre-Dame à 
Pierre-De-Coubertin, et Dans la rue Hochelaga, de Desjardins à Théodore. ","Mercier-Hochelaga-Maisonneuve","Robert Cardin","4449610,56",,"4449610,56","Demix Construction","4517237,85","0,02",7,"0,13","0,25","5028516,96","5582790,41"
306801,41855,2014-09-17,"septembre",,"Trottoirs","Pavage","Travaux de planage de chaussée, revêtement bitumineux, de trottoirs, de bordures, de mails centraux et travaux de mise aux normes de feux de circulation","Aux intersections de la rue Saint-Denis/boulevard Crémazie et du boulevard Henri-Bourassa/boulevard Saint-Laurent","Ahuntsic-Cartierville / Villeray St-Michel","Adiaratou Kanté","473589,11",,"473589,11","ZS Travaux gérance ","596535,14","0,26",,"0,44","0,67","684215,42","793237,12"
232002,41862,2014-09-03,"septembre",,"Trottoirs","Pavage","Travaux de planage de rue, rehaussement de la chaussée, reconstruction de bordures et de trottoirs","Rue Saint-Patrick, entre Léger et Angrignon","LaSalle","Ngoc-Thao Duong","705624,6",,"705624,6","Jeskar inc.","647005,57","-0,08",,"0,02","0,15","721635,25","814516,42"
279901,41869,2014-09-10,"septembre",,"chaussée","Pavage","Reconstruction des bases et conduits électriques, des trottoirs, de la chaussée flexible, du revêtement bitumineux, installation de nouveaux luminaires, mise à jour des systèmes de feux de circulation","Rue Jean-Talon Est, de la limite de l’arrondissement de Saint-Léonard au boulevard des Galeries d’Anjou ","Anjou","Louis Beauchemin ","1323502,6",,"1323502,6","ZS Travaux gérance ","1198945,99","-0,09",,"-0,06","0,02","1249778,37","1354369,69"
215001,41911,2014-10-22,"octobre",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction d’un égout unitaire (combiné) et des conduites d’eau secondaires","Les rues Peel, entre la rue Sainte-Catherine et le boulevard De Maisonneuve. Rue Peel entre le boulevard De Maisonneuve à la rue Sherbrooke et réfection de la chaussée, de trottoirs et travaux d’éclairage dans la rue Peel entre les rues Sainte-Catherine et Sherbrooke","Ville-Marie.","Benjamin Rodriguez","3889283,38",,"3889283,38","Paysagiste Damiano inc.","3481996,73","-0,1",,"0,18","1,1","4576618,27","8170886,7"
258209,41911,2014-10-22,"octobre",,"Planage","Pavage","Construction et reconstruction de saillies, de trottoirs, de mails centraux, réfection de la chaussée et mise aux normes des feux de circulation","Divers endroits de la Ville de Montréal.","Plusieurs arrondissements","Lakhadar Khadir","1515878,81",,"1515878,81","TNT 2","1432586,37","-0,05",,"0,02","0,12","1539225,83","1696092,52"
281801,41911,2014-10-22,"octobre",,"Planage/chaussée","Pavage","Planage de chaussée et revêtement bitumineux, reconstruction de trottoirs, de mails, changement des bases et conduits, de l’éclairage de rue et mise aux normes des feux de circulation","Boulevard Lacordaire côté est, du boulevard Maurice-Duplessis au boulevard Léger.","Montréal-Nord","Robert Cardin","1248059,84",,"1248059,84","Bucaro","1075039,2","-0,14",,"-0,03","0,09","1205768,36","1355919,61"
293101,41829,2014-08-06,"août",,"BCR","Pavage BCR","Construction d’une surface de roulement en béton compacté au rouleau (B.C.R.) et travaux d'éclairage dans le site du dépôt à neige Langelier. ─ Arrondissement: Saint-Léonard","Divers endroits de la Ville de Montréal","Saint-Léonard","Djamel Chabane","2505980,98",,"2505980,98","Maskimo","2068314,6","-0,17",6,"-0,02","0,24","2459054,59","3116908,38"
267901,41926,2014-11-05,"novembre",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction de l'égout unitaire, de conduite d'eau secondaire et de la chaussée","Avenue Valois de la rue Ontario à la rue de Rouen, dans la rue de Rouen de la rue Nicolet à l’avenue Valois et dans l’avenue Bourbonnière de la rue Ontario à la rue de Rouen.","Mercier—Hochelaga-Maisonneuve.","Etleva Milkani","3604124,6",,"3604124,6","Les Constructions et Pavage Jeskar Inc.","3740833,42","0,04",13,"0,4","1,29","5057491,88","8237217,79"
283401,41932,2014-11-12,"novembre",,"Planage/trottoirs","Pavage","Travaux de planage, revêtement de chaussée et reconstruction de trottoirs","Rue Mansfield, de la rue Saint-Antoine Ouest au boulevard René-Lévesque Ouest. ","Ville-Marie","Ngoc-Thao Duong","423245,58",,"423245,58","Les Entrepreneurs Bucaro Inc.","449918,33","0,06",6,"0,22","0,45","514295,63","612450,67"
214709,41932,2014-11-19,"novembre",,"Infrastructures souterraines/Trottoirs/éclairage","Égout/Aqueduc","Reconstruction d’infrastructures souterraines et réaménagement géométrique incluant des travaux de reconstruction de trottoirs, de structures et pour des travaux d’éclairage et de feux de signalisation ","Rues de Nazareth et Notre-Dame – Lots 6A, 6D, 6E, 6F, 6G, 20D, 23, 30A et 30B. Projet Bonaventure 
","Ville-Marie et le Sud-Ouest
","François Hubert","11253332,75",,"11253332,75","Groupe TNT inc.","9405353,91","-0,16",8,"-0,02","0,08","10984187,07","12207260,69"
255102,41939,2014-11-19,"novembre",,"Égout/Aqueduc","Égout/Aqueduc","Construction et reconstruction d’une conduite d’eau secondaire, de trottoirs, d’une chaussée mixte en une chaussée flexible et d’un système d’éclairage, de planage et revêtement bitumineux","Rue Villeray, de l’avenue Chateaubriand à la rue Boyer. ","Villeray - Saint-Michel - Parc-Extension","Djamel Chabane","1374448,17",,"1374448,17","Entreprises C.R. Menard inc.","1257526,21","-0,09",15,"0,06","0,23","1462418,44","1688020,7"
295401,41939,2014-11-19,"novembre",,"Égout/Aqueduc","Égout/Aqueduc","Reconstruction de l'égout unitaire, de conduite d'eau secondaire, reconstruction de la chaussée et de trottoirs","Rue Baldwin, de la rue Bellerive à la rue Notre-Dame.  ","Mercier- Hochelaga-Maisonneuve","Adiaratou Kanté","1277045,98",,"1277045,98","Charex inc.","990216,44","-0,22",13,"-0,02","0,4","1249703,05","1787941,74"
286101,41953,2014-12-03,"décembre",,"Planage/trottoir/
éclairage
feux de circulation","Pavage","Planage et revêtement bitumineux, reconstruction de chaussée mixte, de trottoirs, de mails centraux, de conduits et de bases d’éclairage et de feux de circulation, mise aux normes des feux de circulation et travaux d’éclairage"," chemin de la Côte-Saint-Luc, de l’avenue MacMahon à l’avenue Belmore.","Arrondissement: Côte-des-Neiges–Notre-Dame-de-Grâce","Alain Beaudet","545155,92",,"545155,92","Les Constructions et Pavage Jeskar inc.","649070,61","0,19",3,"0,31","0,51","712486,93","823825,77"
