Organisme,Type_organisme,VD_Encadrement,VD_Continuite,VD_Projets,VND_Services_internes,VND_Services_externes,VND_Remuneration_du_personnel,VND_Acquisition_et_location_de_biens,VND_Frais_connexes,VC_Depenses_capitalisables,VC_Depenses_non_capitalisables
Fonds d'aide aux actions collectives,Organisme autre que budégtaire,0,0,0,0,0,0,0,0,0,0
Fonds de recherche du Québec - Nature et technologies,Organisme autre que budégtaire,46.6,549.9,0,8.2,114.2,308.7,162.2,3.2,169,427.5
Fonds de recherche du Québec - Santé,Organisme autre que budégtaire,58.9,621.3,0,9.3,117.4,390.1,159.9,3.5,155.9,524.3
Fonds de recherche du Québec - Société et culture,Organisme autre que budégtaire,51.5,564,435,8.6,457.9,433.3,147.6,3.1,496.3,554.2
Institut de la statistique du Québec,Organisme autre que budégtaire,321.4,2834.4,535.1,263,21.9,2139.9,1235,31.1,184.5,3506.4
Institut de tourisme et d'hôtellerie du Québec,Organisme autre que budégtaire,139.2,945.8,166.2,70.8,257.5,451.5,470.3,1.1,255.5,995.7
Institut national des mines,Organisme autre que budégtaire,0,54.8,0,0,51.8,0,3,0,6,48.8
La Financière agricole du Québec,Organisme autre que budégtaire,808,6122.6,1901.8,782.3,923.8,6178.6,886,61.7,2157.5,6674.9
Musée d'Art contemporain de Montréal,Organisme autre que budégtaire,15.1,417.7,724.8,58.1,252.4,713.5,127.6,6,683.8,473.8
Musée de la Civilisation,Organisme autre que budégtaire,162.2,1624.2,461.3,96.1,281.4,951,919.2,0,1281.4,966.3
Musée national des beaux-arts du Québec,Organisme autre que budégtaire,479,247,176.3,17.5,281,275.5,328.3,0,420.7,481.6
Office de la sécurité du revenu des chasseurs et piégeurs cris,Organisme autre que budégtaire,0,115.1,0,77.5,37.6,0,0,0,0,115.1
Office des professions du Québec,Organisme autre que budégtaire,12.4,472.2,0,67.4,67.8,256,93.4,0,45.8,438.8
Office Québec-Amériques pour la jeunesse,Organisme autre que budégtaire,0,0,0,0,0,0,0,0,0,0
Office Québec-Monde pour la jeunesse,Organisme autre que budégtaire,0,132.4,0,19.2,113.2,0,0,0,44.8,87.6
Régie de l'assurance maladie du Québec,Organisme autre que budégtaire,7394.4,57820,12605.9,6688.9,17403.3,38217.4,4890.5,10620.2,14509,63311.3
Régie de l'énergie,Organisme autre que budégtaire,70.5,476.2,85.4,108.2,73.7,414.2,31.6,4.4,97.4,534.7
Régie des installations olympiques,Organisme autre que budégtaire,118.7,1354.1,281.1,87.5,570,762.9,332.1,1.4,569.4,1184.5
Régie du bâtiment du Québec,Organisme autre que budégtaire,0,6656.1,1495.5,7023.8,404,713.5,10.3,0,1525.1,6626.5
Régie du cinéma,Organisme autre que budégtaire,23.9,335,0,53.8,144.8,119.7,40.6,0,0,358.9
Retraite Québec,Organisme autre que budégtaire,9056.3,65631.4,11521.6,8276.4,29751.6,38966.3,8520.1,694.9,18249.3,67960
Société de développement de la Baie-James,Organisme autre que budégtaire,0,252.9,0,0,29.7,145.8,69.9,7.5,139.8,113.1
Société de développement des entreprises culturelles,Organisme autre que budégtaire,83.3,590.2,1570.9,77.8,955.9,1030.2,162.8,17.7,1570.9,673.5
Société de financement des infrastructures locales du Québec,Organisme autre que budégtaire,0,0,0,0,0,0,0,0,0,0
Société de la Place des Arts de Montréal,Organisme autre que budégtaire,266,384.6,854.4,0,830,335.4,339.6,0,803,702
Société de l'assurance automobile du Québec,Organisme autre que budégtaire,8814.8,57671.3,27792.8,9793.3,36950,39679.5,6680.8,1175.3,21147.1,73131.8
