fraction,nom_station,métaux,date,concentration_ng_m3,statut
PST,Station Nomade,Potassium,2/23/2023,0.0,<LDR
PST,Station Nomade,Selenium,2/23/2023,0.0,<LDR
PST,Station Nomade,Sodium,2/23/2023,825.0,mesure
PST,Station Nomade,Thallium,2/23/2023,0.0,<LDR
PST,Station Nomade,Uranium,2/23/2023,0.0,<LDR
PST,Station Nomade,Vanadium,2/23/2023,0.0,<LDR
PST,Station Nomade,Zinc,2/23/2023,0.0,<LDR
PM10,Station Nomade,Aluminium,2/23/2023,205.5,mesure
PM10,Station Nomade,Antimoine,2/23/2023,0.0,<LDR
PM10,Station Nomade,Argent,2/23/2023,0.0,<LDR
PM10,Station Nomade,Arsenic,2/23/2023,0.0,<LDR
PM10,Station Nomade,Baryum,2/23/2023,0.0,<LDR
PM10,Station Nomade,Beryllium,2/23/2023,0.0,<LDR
PM10,Station Nomade,Cadmium,2/23/2023,0.0,<LDR
PM10,Station Nomade,Calcium,2/23/2023,880.6,mesure
PM10,Station Nomade,Chrome,2/23/2023,2.3,mesure
PM10,Station Nomade,Cobalt,2/23/2023,0.0,<LDR
PM10,Station Nomade,Cuivre,2/23/2023,10.6,mesure
PM10,Station Nomade,Etain,2/23/2023,0.0,<LDR
PM10,Station Nomade,Fer,2/23/2023,281.8,mesure
PM10,Station Nomade,Magnesium,2/23/2023,176.1,mesure
PM10,Station Nomade,Manganese,2/23/2023,10.6,mesure
PM10,Station Nomade,Molybdene,2/23/2023,0.0,<LDR
PM10,Station Nomade,Nickel,2/23/2023,0.0,<LDR
