ï»¿OBJECTID,NOMGENERIQUE,TYPERUE,CLASSEURBANISME,VITESSE,PROPRIETAIRE,TYPESENSUNIQUE,CODEMUNICIPALITE,TOPONYMIE,NUMERORUE
78222,Le Corbusier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Le Corbusier,860
78223,BoisÃ©,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue du BoisÃ©,167
78224,Richelieu,CÃ´te,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,cÃ´te Richelieu,1258
78225,,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,,0
78226,,,Locale secondaire,50,Public,Pas de sens unique,37067,,0
78227,David-DubÃ©,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue David-DubÃ©,353
78228,,Chemin,Locale secondaire,50,Public,Pas de sens unique,37067,,0
78229,,Pont,Autoroute,80,Public,MÃªme sens unique,37067,,1500
78230,,Pont,Autoroute,80,Public,MÃªme sens unique,37067,,1500
78231,,Pont,Autoroute,80,Public,MÃªme sens unique,,,1500
78232,,Pont,Autoroute,80,Public,MÃªme sens unique,,,1500
78233,Oblats,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Oblats,1103
78234,,Chemin,Locale secondaire,30,Public,Pas de sens unique,37067,,0
78235,Iris,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Iris,713
78236,Dion,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Dion,1524
78237,Dion,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Dion,1524
78238,,Chemin,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,,0
78239,,Chemin,Locale secondaire,50,Public,Pas de sens unique,37067,,0
78240,,Chemin,Locale secondaire,50,Public,Pas de sens unique,37067,,0
78241,Aulnaies,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Aulnaies,1608
78242,,Chemin,Locale secondaire,50,Public,Pas de sens unique,37067,,0
78243,Therreault,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Therreault,1425
78244,Domaine-Joly,Rue,Locale secondaire,30,PrivÃ©,Pas de sens unique,37067,rue du Domaine-Joly,443
78245,Guay,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Guay,650
78246,Guay,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Guay,650
78247,Guay,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Guay,650
78248,Guay,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Guay,650
78249,Marion,Rue,Collectrice secondaire,50,Public,Pas de sens unique,37067,rue Marion,985
78250,Marion,Rue,Collectrice secondaire,30,Public,Pas de sens unique,37067,rue Marion,985
78251,Saint-Bruno,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Saint-Bruno,1307
78252,Commandants,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,rue des Commandants,318
78253,Commandants,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,rue des Commandants,318
78254,Gilles-Toupin,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Gilles-Toupin,621
78255,Rivage,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue du Rivage,1263
78256,Charles-Arcand,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Charles-Arcand,1520
78258,Fusey,Rue,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,rue Fusey,579
78259,Alphonse-PichÃ©,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Alphonse-PichÃ©,57
78260,Grands-Verts,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Grands-Verts,641
78261,Sainte-Marthe,MontÃ©e,Collectrice principale,50,Public,Pas de sens unique,37067,montÃ©e Sainte-Marthe,1326
78262,Duplessis,Pont,ArtÃ¨re principale,60,Public,Pas de sens unique,37067,pont Duplessis,473
78263,Nicol,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Nicol,1086
78264,Xavier-Rouette,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Xavier-Rouette,1493
78265,Castors,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Castors,240
78266,Loutres,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Loutres,937
78267,Renards,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue des Renards,1243
78268,Tamias,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Tamias,1414
78269,Sirois,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Sirois,1398
78270,Lac-Saint-Nicolas,Chemin,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,chemin du Lac-Saint-Nicolas,818
78271,Puits,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Puits,1223
78272,RenÃ©-LÃ©vesque,Place,Locale secondaire,30,Public,Pas de sens unique,37067,place RenÃ©-LÃ©vesque,1248
78273,Valiquette,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Valiquette,1460
78274,Grant,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Grant,642
78275,Tebbutt,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Tebbutt,1418
78276,Vien,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Vien,1473
78277,Ãmerillon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de l'Ãmerillon,489
78278,Sanctuaire,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue du Sanctuaire,1371
78279,Sanctuaire,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue du Sanctuaire,1371
78280,Sanctuaire,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue du Sanctuaire,1371
78281,Sanctuaire,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue du Sanctuaire,1371
78282,Sanctuaire,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue du Sanctuaire,1371
78283,Albert-Roux,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Albert-Roux,46
78284,Adrano,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue d'Adrano,35
78285,Pie-IX,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Pie-IX,1183
78286,De Courcelles,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue De Courcelles,369
78287,PÃ¨re-Lalemant,Rue,Locale secondaire,50,Public,Pas de sens unique,37067,rue du PÃ¨re-Lalemant,1164
78288,Comtois,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Comtois,321
78289,Comtois,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Comtois,321
78290,Craig,Rue,Locale secondaire,30,Public,MÃªme sens unique,37067,rue Craig,336
78291,Badeaux,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Badeaux,107
78292,Badeaux,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Badeaux,107
78293,Gauthier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Gauthier,593
78294,Champlain,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Champlain,256
78295,Champlain,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Champlain,256
78297,Saint-Louis,Rue,Locale secondaire,20,Public,MÃªme sens unique,37067,rue Saint-Louis,1349
78298,BrÃ©beuf,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue BrÃ©beuf,197
78299,BrÃ©beuf,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue BrÃ©beuf,197
78300,Marcelle-Ferron,Place,Locale secondaire,30,Public,Pas de sens unique,37067,place Marcelle-Ferron,968
78301,Baillargeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Baillargeon,111
78302,Baillargeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Baillargeon,111
78303,Baillargeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Baillargeon,111
78304,Baillargeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Baillargeon,111
78305,Baillargeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Baillargeon,111
78306,Baillargeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Baillargeon,111
78307,Baillargeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Baillargeon,111
78308,Baillargeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Baillargeon,111
78309,Baillargeon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Baillargeon,111
78310,Fosse,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de la Fosse,554
78311,Raymond-Lasnier,Rue,Locale secondaire,30,Public,MÃªme sens unique,37067,rue Raymond-Lasnier,1234
78312,Bureau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bureau,210
78313,Bureau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bureau,210
78314,Bureau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Bureau,210
78315,A,Avenue,Locale secondaire,30,Public,Pas de sens unique,37067,avenue A,28
78316,Gilles-Boulet,Avenue,Locale secondaire,50,PrivÃ©,MÃªme sens unique,37067,avenue Gilles-Boulet,619
78317,Gilles-Boulet,Avenue,Locale secondaire,50,PrivÃ©,MÃªme sens unique,37067,avenue Gilles-Boulet,619
78320,Georges-Lambert,Place,Locale secondaire,30,Public,Pas de sens unique,37067,place Georges-Lambert,605
78321,AngoulÃªme,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue d'AngoulÃªme,68
78322,LÃ©o-Gour,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue LÃ©o-Gour,883
78323,5e Avenue,Avenue,Locale principale,30,Public,Pas de sens unique,37067,5e Avenue,16
78324,PÃ¨re-Marsolet,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue du PÃ¨re-Marsolet,1166
78325,Ãglise,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de l'Ãglise,483
78326,Richard,Rue,Locale secondaire,30,Public,MÃªme sens unique,37067,rue Richard,1255
78327,Sainte-Louise,Rue,Locale secondaire,30,Public,MÃªme sens unique,37067,rue Sainte-Louise,1321
78328,Haut-Boc,Rue,Collectrice secondaire,30,Public,MÃªme sens unique,37067,rue du Haut-Boc,668
78329,Saint-Vallier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Saint-Vallier,1368
78330,Saint-SÃ©vÃ¨re,Rue,Locale secondaire,30,Public,MÃªme sens unique,37067,rue Saint-SÃ©vÃ¨re,1365
78331,Ferland,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Ferland,528
78332,De Lafont,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue De Lafont,385
78333,Adolphe-Chapleau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Adolphe-Chapleau,34
78334,Cloutier,Rue,Locale secondaire,30,Public,MÃªme sens unique,37067,rue Cloutier,309
78335,RenÃ©-Kimber,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue RenÃ©-Kimber,1247
78336,Panneton,Rue,Locale secondaire,30,Public,MÃªme sens unique,37067,rue Panneton,1126
78338,Montcalm,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Montcalm,1058
78339,Vincent-BÃ©langer,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Vincent-BÃ©langer,1476
78340,FrÃ¨re-Didace,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue du FrÃ¨re-Didace,574
78341,LÃ©o-Henrichon,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue LÃ©o-Henrichon,884
78342,De La Fontaine,Place,Locale secondaire,30,Public,Pas de sens unique,37067,place De La Fontaine,379
78343,ChÃ¢taigniers,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des ChÃ¢taigniers,283
78345,Ernest-BouillÃ©,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Ernest-BouillÃ©,504
78346,Verrette,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Verrette,1467
78347,Saumur,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de Saumur,1377
78348,3e Rue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,3e Rue,13
78349,Ralph-Burton,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Ralph-Burton,1229
78350,ChÃªnes,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des ChÃªnes,294
78351,5e Rue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,5e Rue,17
78352,8e Rue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,8e Rue,26
78353,Ãtienne-Seigneuret,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Ãtienne-Seigneuret,514
78354,9e Rue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,9e Rue,27
78355,Laurent-Paradis,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Laurent-Paradis,847
78356,AdÃ©lard-Godbout,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue AdÃ©lard-Godbout,32
78357,Livernoche,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Livernoche,907
78358,Wilfrid-Rocheleau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Wilfrid-Rocheleau,1489
78359,Langelier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Langelier,834
78360,LÃ©on-Balcer,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue LÃ©on-Balcer,886
78361,Angers,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Angers,67
78362,Jeanne-Crevier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jeanne-Crevier,755
78363,Jeanne-Crevier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Jeanne-Crevier,755
78364,Jean-Victor-Allard,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Jean-Victor-Allard,768
78365,Dunant,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Dunant,472
78366,Dunant,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Dunant,472
78367,Dunant,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Dunant,472
78368,Dunant,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Dunant,472
78369,Dunant,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Dunant,472
78370,Maurice-L.-Duplessis,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Maurice-L.-Duplessis,1002
78371,Maurice-L.-Duplessis,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Maurice-L.-Duplessis,1002
78372,15e Rue,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,15e Rue,6
78373,Saulnier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Saulnier,1376
78374,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78375,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78376,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78377,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78378,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78379,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78380,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78381,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78382,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78383,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78384,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78385,Bouleaux,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue des Bouleaux,189
78386,Bouleaux,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue des Bouleaux,189
78387,Le Moyne,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Le Moyne,861
78388,Duvernay,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Duvernay,477
78389,GiguÃ¨re,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue GiguÃ¨re,616
78390,Houdan,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Houdan,698
78391,Thibeau,Boulevard,ArtÃ¨re principale,70,Public,Pas de sens unique,37067,boulevard Thibeau,1427
78392,Thibeau,Boulevard,ArtÃ¨re principale,70,Public,Pas de sens unique,37067,boulevard Thibeau,1427
78393,Thibeau,Boulevard,ArtÃ¨re principale,70,Public,Pas de sens unique,37067,boulevard Thibeau,1427
78394,Thibeau,Boulevard,ArtÃ¨re principale,70,Public,Pas de sens unique,37067,boulevard Thibeau,1427
78395,Thibeau,Boulevard,ArtÃ¨re principale,70,Public,Pas de sens unique,37067,boulevard Thibeau,1427
78397,BorÃ©ale,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue BorÃ©ale,177
78398,BorÃ©ale,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue BorÃ©ale,177
78399,BorÃ©ale,Rue,Locale secondaire,50,PrivÃ©,Pas de sens unique,37067,rue BorÃ©ale,177
78400,Babineau,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Babineau,106
78401,Industriel,Boulevard,Collectrice secondaire,70,Public,Pas de sens unique,37067,boulevard Industriel,710
78402,Industriel,Boulevard,Collectrice secondaire,70,Public,Pas de sens unique,37067,boulevard Industriel,710
78403,Jean-Sauvaget,Rang,Locale secondaire,70,Public,Pas de sens unique,37067,rang Jean-Sauvaget,766
78404,Saint-Christophe,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Saint-Christophe,1309
78405,Saint-Christophe,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Saint-Christophe,1309
78406,Alphonse-Desjardins,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Alphonse-Desjardins,55
78407,Alphonse-Desjardins,Rue,Locale secondaire,30,Public,MÃªme sens unique,37067,rue Alphonse-Desjardins,55
78408,Gene-H.-Kruger,Boulevard,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,boulevard Gene-H.-Kruger,597
78409,Gene-H.-Kruger,Boulevard,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,boulevard Gene-H.-Kruger,597
78410,Gene-H.-Kruger,Boulevard,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,boulevard Gene-H.-Kruger,597
78411,Gene-H.-Kruger,Boulevard,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,boulevard Gene-H.-Kruger,597
78412,Savoie,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Savoie,1382
78413,Louis-Lamy,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Louis-Lamy,931
78414,Louis-Lamy,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Louis-Lamy,931
78415,Ãpervier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de l'Ãpervier,501
78416,Ãpervier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de l'Ãpervier,501
78417,Ãpervier,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue de l'Ãpervier,501
78418,Tousignant,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Tousignant,1442
78419,Nicolas-Marsolet,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Nicolas-Marsolet,1088
78420,Nicolas-Marsolet,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Nicolas-Marsolet,1088
78421,Ouellet,Rue,Locale secondaire,30,Public,Pas de sens unique,37067,rue Ouellet,1118
78422,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78423,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78424,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78425,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78426,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78427,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78428,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78429,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78430,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78431,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78432,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78433,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78434,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78435,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78436,Chanoine-Moreau,Boulevard,Locale principale,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78437,Chanoine-Moreau,Boulevard,Collectrice secondaire,50,Public,Pas de sens unique,37067,boulevard du Chanoine-Moreau,262
78438,Chapais,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Chapais,263
78439,Chapais,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Chapais,263
78440,Chapais,Rue,Locale principale,30,Public,Pas de sens unique,37067,rue Chapais,263
78441,Chapais,Rue,Collectrice secondaire,40,Public,Pas de sens unique,37067,rue Chapais,263
78442,Thibeau,Boulevard,ArtÃ¨re principale,50,Public,Pas de sens unique,37067,boulevard Thibeau,1427
