ï»¿Date,Nb_Cas_Cumulatif,Nb_Nvx_Cas,Nb_Deces_Cumulatif_Total,Nb_Nvx_Deces_Total
2022-04-09,999276,2622,14210,20
2022-04-10,1001739,2463,14230,20
2022-04-11,1004669,2930,14253,23
2022-04-12,1008247,3578,14268,15
2022-04-13,1011716,3469,14296,28
2022-04-14,1014662,2946,14322,26
2022-04-15,1017003,2341,14352,30
2022-04-16,1018812,1809,14376,24
2022-04-17,1020444,1632,14403,27
2022-04-18,1022543,2099,14426,23
2022-04-19,1025331,2788,14453,27
2022-04-20,1028290,2959,14484,31
2022-04-21,1030706,2416,14507,23
2022-04-22,1032839,2133,14529,22
2022-04-23,1034270,1431,14552,23
2022-04-24,1035727,1457,14574,22
2022-04-25,1037713,1986,14602,28
2022-04-26,1039675,1962,14639,37
2022-04-27,1041487,1812,14671,32
2022-04-28,1043257,1770,14686,15
2022-04-29,1044701,1444,14704,18
2022-04-30,1045747,1046,14722,18
2022-05-01,1046668,921,14738,16
2022-05-02,1048220,1552,14756,18
2022-05-03,1049816,1596,14772,16
2022-05-04,1051121,1305,14789,17
2022-05-05,1052372,1251,14807,18
2022-05-06,1053422,1050,14824,17
2022-05-07,1054158,736,14837,13
2022-05-08,1054879,721,14860,23
2022-05-09,1055846,967,14879,19
2022-05-10,1056969,1123,14891,12
2022-05-11,1057910,941,14907,16
2022-05-12,1058768,858,14924,17
2022-05-13,1059550,782,14935,11
2022-05-14,1060155,605,14951,16
2022-05-15,1060694,539,14961,10
2022-05-16,1061432,738,14968,7
2022-05-17,1062142,710,14977,9
2022-05-18,1062785,643,14987,10
2022-05-19,1063343,558,14993,6
2022-05-20,1063873,530,15002,9
2022-05-21,1064265,392,15008,6
2022-05-22,1064671,406,15016,8
2022-05-23,1065247,576,15024,8
2022-05-24,1065929,682,15030,6
2022-05-25,1066627,698,15036,6
2022-05-26,1067217,590,15044,8
2022-05-27,1067751,534,15050,6
2022-05-28,1068185,434,15055,5
2022-05-29,1068608,423,15057,2
2022-05-30,1069300,692,15062,5
2022-05-31,1070020,720,15064,2
2022-06-01,1070815,795,15070,6
2022-06-02,1071420,605,15076,6
2022-06-03,1071923,503,15085,9
2022-06-04,1072373,450,15091,6
2022-06-05,1072829,456,15093,2
2022-06-06,1073627,798,15096,3
2022-06-07,1074355,728,15100,4
2022-06-08,1075169,814,15103,3
2022-06-09,1075931,762,15110,7
2022-06-10,1076561,630,15119,9
2022-06-11,1077079,518,15125,6
2022-06-12,1077612,533,15129,4
2022-06-13,1078484,872,15131,2
2022-06-14,1079323,839,15135,4
2022-06-15,1080300,977,15139,4
2022-06-16,1081199,899,15141,2
2022-06-17,1081967,768,15144,3
2022-06-18,1082625,658,15149,5
2022-06-19,1083234,609,15154,5
2022-06-20,1084323,1089,15162,8
2022-06-21,1085495,1172,15166,4
2022-06-22,1086850,1355,15172,6
2022-06-23,1087958,1108,15176,4
2022-06-24,1088881,923,15181,5
2022-06-25,1089710,829,15182,1
2022-06-26,1090575,865,15192,10
2022-06-27,1092211,1636,15194,2
2022-06-28,1093982,1771,15204,10
2022-06-29,1095707,1725,15207,3
2022-06-30,1097361,1654,15215,8
2022-07-01,1098558,1197,15218,3
2022-07-02,1099703,1145,15229,11
2022-07-03,1100844,1141,15234,5
2022-07-04,1102915,2071,15238,4
2022-07-05,1104819,1904,15251,13
2022-07-06,1106840,2021,15261,10
2022-07-07,1108635,1795,15268,7
2022-07-08,1110163,1528,15277,9
2022-07-09,1111397,1234,15287,10
2022-07-10,1112641,1244,15302,15
2022-07-11,1114657,2016,15316,14
2022-07-12,1116861,2204,15333,17
2022-07-13,1119197,2336,15351,18
2022-07-14,1121111,1914,15369,18
2022-07-15,1123114,2003,15388,19
2022-07-16,1124640,1526,15408,20
2022-07-17,1126042,1402,15424,16
2022-07-18,1128187,2145,15435,11
2022-07-19,1130590,2403,15447,12
2022-07-20,1132670,2080,15465,18
2022-07-21,1134621,1951,15486,21
2022-07-22,1136227,1606,15498,12
2022-07-23,1137510,1283,15513,15
2022-07-24,1138788,1278,15531,18
2022-07-25,1140588,1800,15548,17
2022-07-26,1142390,1802,15564,16
2022-07-27,1143964,1574,15574,10
2022-07-28,1145425,1461,15586,12
2022-07-29,1146765,1340,15595,9
2022-07-30,1147746,981,15608,13
2022-07-31,1148716,970,15614,6
2022-08-01,1150102,1386,15633,19
2022-08-02,1151549,1447,15654,21
2022-08-03,1152890,1341,15671,17
2022-08-04,1153932,1042,15681,10
2022-08-05,1155029,1097,15696,15
2022-08-06,1155815,786,15715,19
2022-08-07,1156603,788,15725,10
2022-08-08,1157874,1271,15744,19
2022-08-09,1159010,1136,15756,12
2022-08-10,1160181,1171,15767,11
2022-08-11,1161374,1193,15777,10
2022-08-12,1162293,919,15786,9
2022-08-13,1163072,779,15796,10
2022-08-14,1163787,715,15811,15
2022-08-15,1165011,1224,15821,10
2022-08-16,1166274,1263,15832,11
2022-08-17,1167397,1123,15847,15
2022-08-18,1168395,998,15854,7
2022-08-19,1169259,864,15864,10
2022-08-20,1169946,687,15878,14
2022-08-21,1170592,646,15895,17
2022-08-22,1171540,948,15908,13
2022-08-23,1172565,1025,15922,14
2022-08-24,1173471,906,15935,13
2022-08-25,1174241,770,15944,9
2022-08-26,1175002,761,15953,9
2022-08-27,1175573,571,15970,17
2022-08-28,1176062,489,15980,10
2022-08-29,1176866,804,15991,11
2022-08-30,1177823,957,16001,10
2022-08-31,1178667,844,16013,12
2022-09-01,1179469,802,16020,7
2022-09-02,1180132,663,16024,4
2022-09-03,1180610,478,16031,7
2022-09-04,1181065,455,16037,6
2022-09-05,1181680,615,16047,10
2022-09-06,1182597,917,16050,3
2022-09-07,1183464,867,16058,8
2022-09-08,1184334,870,16066,8
2022-09-09,1184986,652,16075,9
2022-09-10,1185565,579,16084,9
2022-09-11,1186131,566,16095,11
2022-09-12,1187050,919,16106,11
2022-09-13,1187896,846,16112,6
2022-09-14,1188674,778,16120,8
2022-09-15,1189427,753,16122,2
2022-09-16,1190059,632,16126,4
2022-09-17,1190523,464,16130,4
2022-09-18,1191124,601,16136,6
2022-09-19,1192052,928,16140,4
2022-09-20,1192965,913,16148,8
2022-09-21,1193816,851,16151,3
2022-09-22,1194684,868,16155,4
2022-09-23,1195454,770,16165,10
2022-09-24,1196090,636,16169,4
2022-09-25,1196693,603,16175,6
2022-09-26,1197663,970,16185,10
2022-09-27,1198745,1082,16190,5
2022-09-28,1199776,1031,16200,10
2022-09-29,1200669,893,16204,4
2022-09-30,1201551,882,16209,5
2022-10-01,1202154,603,16219,10
2022-10-02,1202877,723,16231,12
2022-10-03,1203832,955,16239,8
2022-10-04,1204938,1106,16245,6
2022-10-05,1205915,977,16251,6
2022-10-06,1206946,1031,16266,15
2022-10-07,1207877,931,16278,12
2022-10-08,1208505,628,16283,5
2022-10-09,1209211,706,16293,10
2022-10-10,1209991,780,16299,6
2022-10-11,1211092,1101,16307,8
2022-10-12,1212329,1237,16318,11
2022-10-13,1213387,1058,16330,12
2022-10-14,1214403,1016,16336,6
2022-10-15,1215112,709,16346,10
2022-10-16,1215760,648,16355,9
2022-10-17,1216813,1053,16363,8
2022-10-18,1217894,1081,16370,7
2022-10-19,1218921,1027,16380,10
2022-10-20,1219826,905,16392,12
2022-10-21,1220588,762,16404,12
2022-10-22,1221179,591,16423,19
2022-10-23,1221775,596,16438,15
2022-10-24,1222841,1066,16452,14
2022-10-25,1223852,1011,16462,10
2022-10-26,1224841,989,16476,14
2022-10-27,1225775,934,16484,8
2022-10-28,1226610,835,16494,10
2022-10-29,1227159,549,16507,13
2022-10-30,1227717,558,16523,16
2022-10-31,1228612,895,16533,10
2022-11-01,1229645,1033,16541,8
2022-11-02,1230512,867,16553,12
2022-11-03,1231445,933,16570,17
2022-11-04,1232260,815,16583,13
2022-11-05,1232865,605,16590,7
2022-11-06,1233501,636,16601,11
2022-11-07,1234427,926,16610,9
2022-11-08,1235339,912,16620,10
2022-11-09,1236228,889,16628,8
2022-11-10,1236955,727,16638,10
2022-11-11,1237627,672,16646,8
2022-11-12,1238146,519,16658,12
2022-11-13,1238669,523,16665,7
2022-11-14,1239483,814,16673,8
2022-11-15,1240517,1034,16682,9
2022-11-16,1241356,839,16694,12
2022-11-17,1242151,795,16703,9
2022-11-18,1242860,709,16712,9
2022-11-19,1243470,610,16728,16
2022-11-20,1244088,618,16737,9
2022-11-21,1245060,972,16747,10
2022-11-22,1246134,1074,16758,11
2022-11-23,1247163,1029,16765,7
2022-11-24,1248105,942,16772,7
2022-11-25,1248958,853,16798,26
2022-11-26,1249659,701,16814,16
2022-11-27,1250409,750,16823,9
2022-11-28,1251565,1156,16830,7
2022-11-29,1252853,1288,16840,10
2022-11-30,1254167,1314,16848,8
2022-12-01,1255152,985,16866,18
2022-12-02,1256148,996,16877,11
2022-12-03,1256951,803,16892,15
2022-12-04,1257670,719,16904,12
2022-12-05,1258865,1195,16920,16
2022-12-06,1260213,1348,16933,13
2022-12-07,1261440,1227,16953,20
2022-12-08,1262541,1101,16967,14
2022-12-09,1263506,965,16984,17
2022-12-10,1264327,821,17000,16
2022-12-11,1265092,765,17015,15
2022-12-12,1266258,1166,17029,14
2022-12-13,1267573,1315,17042,13
2022-12-14,1268936,1363,17056,14
2022-12-15,1270155,1219,17066,10
2022-12-16,1271215,1060,17078,12
2022-12-17,1272078,863,17093,15
2022-12-18,1272958,880,17106,13
2022-12-19,1274247,1289,17117,11
2022-12-20,1275706,1459,17135,18
2022-12-21,1276923,1217,17146,11
2022-12-22,1277915,992,17167,21
2022-12-23,1278681,766,17180,13
2022-12-24,1279194,513,17202,22
2022-12-25,1279665,471,17215,13
2022-12-26,1280434,769,17229,14
2022-12-27,1281404,970,17244,15
2022-12-28,1282547,1143,17258,14
2022-12-29,1283751,1204,17275,17
2022-12-30,1284570,819,17293,18
2022-12-31,1285181,611,17311,18
2023-01-01,1285634,453,17321,10
2023-01-02,1286427,793,17336,15
2023-01-03,1287354,927,17346,10
2023-01-04,1288453,1099,17360,14
2023-01-05,1289337,884,17376,16
2023-01-06,1290108,771,17400,24
2023-01-07,1290658,550,17411,11
2023-01-08,1291242,584,17428,17
2023-01-09,1292032,790,17441,13
2023-01-10,1292740,708,17457,16
2023-01-11,1293482,742,17470,13
2023-01-12,1294114,632,17483,13
2023-01-13,1294603,489,17497,14
2023-01-14,1295052,449,17505,8
2023-01-15,1295535,483,17521,16
2023-01-16,1296192,657,17532,11
2023-01-17,1296830,638,17543,11
2023-01-18,1297384,554,17554,11
2023-01-19,1297914,530,17565,11
2023-01-20,1298367,453,17579,14
2023-01-21,1298686,319,17586,7
2023-01-22,1299023,337,17594,8
2023-01-23,1299558,535,17607,13
2023-01-24,1300090,532,17614,7
2023-01-25,1300600,510,17625,11
2023-01-26,1301019,419,17635,10
2023-01-27,1301435,416,17646,11
2023-01-28,1301751,316,17654,8
2023-01-29,1302089,338,17664,10
2023-01-30,1302623,534,17668,4
2023-01-31,1303207,584,17670,2
2023-02-01,1303749,542,17675,5
2023-02-02,1304282,533,17679,4
2023-02-03,1304690,408,17687,8
2023-02-04,1304986,296,17694,7
2023-02-05,1305374,388,17702,8
2023-02-06,1305963,589,17708,6
2023-02-07,1306578,615,17716,8
2023-02-08,1307167,589,17723,7
2023-02-09,1307702,535,17728,5
2023-02-10,1308208,506,17735,7
2023-02-11,1308609,401,17744,9
2023-02-12,1308988,379,17754,10
2023-02-13,1309577,589,17762,8
2023-02-14,1310162,585,17771,9
2023-02-15,1310716,554,17778,7
2023-02-16,1311198,482,17786,8
2023-02-17,1311614,416,17794,8
2023-02-18,1312011,397,17800,6
2023-02-19,1312374,363,17805,5
2023-02-20,1312988,614,17813,8
2023-02-21,1313562,574,17816,3
2023-02-22,1314048,486,17824,8
2023-02-23,1314534,486,17830,6
2023-02-24,1314991,457,17832,2
2023-02-25,1315319,328,17843,11
2023-02-26,1315688,369,17846,3
2023-02-27,1316206,518,17852,6
2023-02-28,1316826,620,17861,9
2023-03-01,1317373,547,17865,4
2023-03-02,1317828,455,17870,5
2023-03-03,1318256,428,17874,4
2023-03-04,1318550,294,17881,7
2023-03-05,1318878,328,17889,8
2023-03-06,1319423,545,17893,4
2023-03-07,1319941,518,17899,6
2023-03-08,1320392,451,17906,7
2023-03-09,1320817,425,17916,10
2023-03-10,1321208,391,17927,11
2023-03-11,1321481,273,17933,6
2023-03-12,1321765,284,17941,8
2023-03-13,1322248,483,17947,6
2023-03-14,1322719,471,17948,1
2023-03-15,1323144,425,17955,7
2023-03-16,1323545,401,17961,6
2023-03-17,1323953,408,17967,6
2023-03-18,1324239,286,17975,8
2023-03-19,1324516,277,17978,3
2023-03-20,1324966,450,17984,6
2023-03-21,1325403,437,17990,6
2023-03-22,1325822,419,17990,0
2023-03-23,1326186,364,17995,5
2023-03-24,1326538,352,18000,5
2023-03-25,1326824,286,18004,4
2023-03-26,1327072,248,18006,2
2023-03-27,1327509,437,18014,8
2023-03-28,1327921,412,18020,6
2023-03-29,1328362,441,18024,4
2023-03-30,1328730,368,18030,6
2023-03-31,1329070,340,18037,7
2023-04-01,1329350,280,18042,5
2023-04-02,1329626,276,18045,3
2023-04-03,1330051,425,18052,7
2023-04-04,1330493,442,18058,6
2023-04-05,1330879,386,18061,3
2023-04-06,1331287,408,18067,6
2023-04-07,1331622,335,18076,9
2023-04-08,1331878,256,18079,3
2023-04-09,1332126,248,18084,5
2023-04-10,1332469,343,18088,4
2023-04-11,1332943,474,18094,6
2023-04-12,1333448,505,18099,5
2023-04-13,1333922,474,18103,4
2023-04-14,1334334,412,18106,3
2023-04-15,1334568,234,18111,5
2023-04-16,1334862,294,18120,9
2023-04-17,1335316,454,18123,3
2023-04-18,1335744,428,18130,7
2023-04-19,1336101,357,18135,5
2023-04-20,1336422,321,18141,6
2023-04-21,1336770,348,18144,3
2023-04-22,1337042,272,18147,3
2023-04-23,1337266,224,18153,6
2023-04-24,1337715,449,18161,8
2023-04-25,1338069,354,18164,3
2023-04-26,1338398,329,18168,4
2023-04-27,1338708,310,18179,11
2023-04-28,1338982,274,18182,3
2023-04-29,1339215,233,18183,1
2023-04-30,1339421,206,18185,2
2023-05-01,1339831,410,18191,6
2023-05-02,1340187,356,18195,4
2023-05-03,1340470,283,18199,4
2023-05-04,1340718,248,18203,4
2023-05-05,1340956,238,18203,0
2023-05-06,1341164,208,18209,6
2023-05-07,1341330,166,18212,3
2023-05-08,1341628,298,18217,5
2023-05-09,1341868,240,18219,2
2023-05-10,1342115,247,18220,1
2023-05-11,1342379,264,18221,1
2023-05-12,1342617,238,18223,2
2023-05-13,1342775,158,18227,4
2023-05-14,1342948,173,18229,2
2023-05-15,1343231,283,18231,2
2023-05-16,1343499,268,18232,1
2023-05-17,1343747,248,18236,4
2023-05-18,1343944,197,18238,2
2023-05-19,1344181,237,18242,4
2023-05-20,1344336,155,18245,3
2023-05-21,1344480,144,18247,2
2023-05-22,1344655,175,18252,5
2023-05-23,1344934,279,18255,3
2023-05-24,1345177,243,18264,9
2023-05-25,1345392,215,18267,3
2023-05-26,1345577,185,18273,6
2023-05-27,1345715,138,18278,5
2023-05-28,1345856,141,18284,6
2023-05-29,1346093,237,18291,7
2023-05-30,1346333,240,18295,4
2023-05-31,1346542,209,18300,5
2023-06-01,1346736,194,18307,7
2023-06-02,1346935,199,18311,4
2023-06-03,1347068,133,18311,0
2023-06-04,1347179,111,18312,1
2023-06-05,1347353,174,18313,1
2023-06-06,1347535,182,18318,5
2023-06-07,1347692,157,18322,4
2023-06-08,1347837,145,18328,6
2023-06-09,1347983,146,18329,1
2023-06-10,1348096,113,18332,3
2023-06-11,1348194,98,18336,4
2023-06-12,1348361,167,18337,1
2023-06-13,1348481,120,18338,1
2023-06-14,1348607,126,18340,2
2023-06-15,1348737,130,18341,1
2023-06-16,1348825,88,18342,1
2023-06-17,1348908,83,18343,1
2023-06-18,1348974,66,18343,0
2023-06-19,1349083,109,18347,4
2023-06-20,1349191,108,18349,2
2023-06-21,1349315,124,18352,3
2023-06-22,1349412,97,18353,1
2023-06-23,1349491,79,18354,1
2023-06-24,1349557,66,18359,5
2023-06-25,1349631,74,18361,2
2023-06-26,1349759,128,18363,2
2023-06-27,1349872,113,18366,3
2023-06-28,1349973,101,18368,2
2023-06-29,1350057,84,18368,0
2023-06-30,1350142,85,18369,1
2023-07-01,1350218,76,18374,5
2023-07-02,1350290,72,18374,0
2023-07-03,1350402,112,18377,3
2023-07-04,1350504,102,18377,0
2023-07-05,1350611,107,18378,1
2023-07-06,1350702,91,18378,0
2023-07-07,1350788,86,18378,0
2023-07-08,1350859,71,18379,1
2023-07-09,1350920,61,18380,1
2023-07-10,1351017,97,18380,0
2023-07-11,1351122,105,18381,1
2023-07-12,1351224,102,18382,1
2023-07-13,1351330,106,18387,5
2023-07-14,1351445,115,18387,0
2023-07-15,1351503,58,18387,0
2023-07-16,1351561,58,18388,1
2023-07-17,1351680,119,18388,0
2023-07-18,1351778,98,18390,2
2023-07-19,1351872,94,18391,1
2023-07-20,1351969,97,18391,0
2023-07-21,1352084,115,18392,1
2023-07-22,1352166,82,18397,5
2023-07-23,1352219,53,18399,2
2023-07-24,1352325,106,18401,2
2023-07-25,1352451,126,18404,3
2023-07-26,1352586,135,18408,4
2023-07-27,1352704,118,18408,0
2023-07-28,1352803,99,18410,2
2023-07-29,1352882,79,18411,1
2023-07-30,1352970,88,18413,2
2023-07-31,1353099,129,18415,2
2023-08-01,1353246,147,18416,1
2023-08-02,1353388,142,18418,2
2023-08-03,1353527,139,18420,2
2023-08-04,1353685,158,18423,3
2023-08-05,1353819,134,18427,4
2023-08-06,1353929,110,18430,3
2023-08-07,1354150,221,18430,0
2023-08-08,1354367,217,18435,5
2023-08-09,1354598,231,18436,1
2023-08-10,1354792,194,18438,2
2023-08-11,1355001,209,18440,2
2023-08-12,1355180,179,18441,1
2023-08-13,1355335,155,18442,1
2023-08-14,1355605,270,18447,5
2023-08-15,1355851,246,18449,2
2023-08-16,1356124,273,18452,3
2023-08-17,1356410,286,18453,1
2023-08-18,1356664,254,18457,4
2023-08-19,1356849,185,18461,4
2023-08-20,1357032,183,18464,3
2023-08-21,1357345,313,18467,3
2023-08-22,1357665,320,18472,5
2023-08-23,1357955,290,18475,3
2023-08-24,1358277,322,18479,4
2023-08-25,1358572,295,18480,1
2023-08-26,1358804,232,18483,3
2023-08-27,1359043,239,18486,3
2023-08-28,1359426,383,18488,2
2023-08-29,1359856,430,18493,5
2023-08-30,1360199,343,18497,4
2023-08-31,1360586,387,18503,6
2023-09-01,1360963,377,18506,3
2023-09-02,1361243,280,18510,4
2023-09-03,1361543,300,18513,3
2023-09-04,1361869,326,18523,10
2023-09-05,1362384,515,18530,7
2023-09-06,1362901,517,18535,5
2023-09-07,1363362,461,18540,5
2023-09-08,1363775,413,18547,7
2023-09-09,1364121,346,18557,10
2023-09-10,1364471,350,18563,6
2023-09-11,1365028,557,18571,8
2023-09-12,1365567,539,18575,4
2023-09-13,1366143,576,18581,6
2023-09-14,1366653,510,18588,7
2023-09-15,1367126,473,18598,10
2023-09-16,1367502,376,18607,9
2023-09-17,1367881,379,18612,5
2023-09-18,1368620,739,18616,4
2023-09-19,1369365,745,18622,6
2023-09-20,1369998,633,18628,6
2023-09-21,1370665,667,18634,6
2023-09-22,1371314,649,18646,12
2023-09-23,1371770,456,18651,5
2023-09-24,1372237,467,18661,10
2023-09-25,1373101,864,18668,7
2023-09-26,1373936,835,18674,6
2023-09-27,1374691,755,18681,7
2023-09-28,1375419,728,18688,7
2023-09-29,1376171,752,18695,7
2023-09-30,1376694,523,18710,15
2023-10-01,1377282,588,18718,8
2023-10-02,1378351,1069,18733,15
2023-10-03,1379258,907,18746,13
2023-10-04,1380081,823,18752,6
2023-10-05,1380824,743,18765,13
2023-10-06,1381454,630,18778,13
2023-10-07,1381893,439,18781,3
2023-10-08,1382296,403,18793,12
2023-10-09,1382766,470,18803,10
2023-10-10,1383473,707,18818,15
2023-10-11,1384097,624,18826,8
2023-10-12,1384607,510,18834,8
2023-10-13,1385074,467,18844,10
2023-10-14,1385413,339,18855,11
2023-10-15,1385784,371,18862,7
2023-10-16,1386375,591,18875,13
2023-10-17,1386940,565,18885,10
2023-10-18,1387518,578,18894,9
2023-10-19,1388072,554,18905,11
2023-10-20,1388637,565,18918,13
2023-10-21,1388966,329,18924,6
2023-10-22,1389356,390,18935,11
2023-10-23,1389948,592,18943,8
2023-10-24,1390497,549,18948,5
2023-10-25,1391019,522,18958,10
2023-10-26,1391565,546,18967,9
2023-10-27,1392076,511,18981,14
2023-10-28,1392433,357,18995,14
2023-10-29,1392771,338,19001,6
2023-10-30,1393349,578,19007,6
2023-10-31,1393867,518,19011,4
2023-11-01,1394421,554,19017,6
2023-11-02,1394926,505,19025,8
2023-11-03,1395413,487,19037,12
2023-11-04,1395777,364,19047,10
2023-11-05,1396199,422,19056,9
2023-11-06,1396727,528,19060,4
2023-11-07,1397419,692,19072,12
2023-11-08,1397958,539,19085,13
2023-11-09,1398467,509,19091,6
2023-11-10,1399015,548,19102,11
2023-11-11,1399415,400,19111,9
2023-11-12,1399851,436,19118,7
2023-11-13,1400538,687,19125,7
2023-11-14,1401213,675,19134,9
2023-11-15,1401906,693,19142,8
2023-11-16,1402565,659,19155,13
2023-11-17,1403138,573,19162,7
2023-11-18,1403579,441,19166,4
2023-11-19,1404052,473,19175,9
2023-11-20,1404810,758,19177,2
2023-11-21,1405483,673,19181,4
2023-11-22,1406221,738,19197,16
2023-11-23,1406854,633,19208,11
2023-11-24,1407525,671,19219,11
2023-11-25,1408049,524,19232,13
2023-11-26,1408566,517,19241,9
2023-11-27,1409417,851,19250,9
2023-11-28,1410206,789,19259,9
2023-11-29,1411144,938,19271,12
2023-11-30,1411851,707,19284,13
2023-12-01,1412602,751,19293,9
2023-12-02,1413123,521,19302,9
2023-12-03,1413713,590,19313,11
2023-12-04,1414612,899,19326,13
2023-12-05,1415588,976,19336,10
2023-12-06,1416498,910,19347,11
2023-12-07,1417341,843,19360,13
2023-12-08,1418050,709,19371,11
2023-12-09,1418544,494,19373,2
2023-12-10,1419117,573,19380,7
2023-12-11,1419945,828,19389,9
2023-12-12,1421142,1197,19405,16
2023-12-13,1422139,997,19416,11
2023-12-14,1423160,1021,19429,13
2023-12-15,1424112,952,19442,13
2023-12-16,1424805,693,19450,8
2023-12-17,1425451,646,19465,15
2023-12-18,1426484,1033,19472,7
2023-12-19,1427553,1069,19487,15
2023-12-20,1428468,915,19496,9
2023-12-21,1429352,884,19506,10
2023-12-22,1430028,676,19520,14
2023-12-23,1430566,538,19531,11
2023-12-24,1431034,468,19546,15
2023-12-25,1431433,399,19552,6
2023-12-26,1432049,616,19570,18
2023-12-27,1433026,977,19584,14
2023-12-28,1433998,972,19594,10
2023-12-29,1434800,802,19604,10
2023-12-30,1435426,626,19617,13
2023-12-31,1435887,461,19633,16
2024-01-01,1436285,398,19639,6
2024-01-02,1436963,678,19647,8
2024-01-03,1437879,916,19659,12
2024-01-04,1438683,804,19670,11
2024-01-05,1439361,678,19685,15
2024-01-06,1439825,464,19697,12
2024-01-07,1440238,413,19707,10
2024-01-08,1440868,630,19711,4
2024-01-09,1441449,581,19717,6
2024-01-10,1441873,424,19735,18
2024-01-11,1442343,470,19742,7
2024-01-12,1442788,445,19754,12
2024-01-13,1443052,264,19767,13
2024-01-14,1443306,254,19772,5
2024-01-15,1443704,398,19783,11
2024-01-16,1444048,344,19790,7
2024-01-17,1444355,307,19798,8
2024-01-18,1444725,370,19807,9
2024-01-19,1445021,296,19819,12
2024-01-20,1445223,202,19831,12
2024-01-21,1445406,183,19839,8
2024-01-22,1445726,320,19850,11
2024-01-23,1446036,310,19850,0
2024-01-24,1446329,293,19855,5
2024-01-25,1446554,225,19863,8
2024-01-26,1446775,221,19868,5
2024-01-27,1446942,167,19872,4
2024-01-28,1447090,148,19878,6
2024-01-29,1447396,306,19886,8
2024-01-30,1447633,237,19888,2
2024-01-31,1447855,222,19896,8
2024-02-01,1448079,224,19904,8
2024-02-02,1448276,197,19911,7
2024-02-03,1448426,150,19914,3
2024-02-04,1448562,136,19923,9
2024-02-05,1448780,218,19927,4
2024-02-06,1448989,209,19929,2
2024-02-07,1449166,177,19936,7
2024-02-08,1449352,186,19943,7
2024-02-09,1449531,179,19950,7
2024-02-10,1449644,113,19952,2
2024-02-11,1449784,140,19955,3
2024-02-12,1450015,231,19959,4
2024-02-13,1450204,189,19962,3
2024-02-14,1450366,162,19963,1
2024-02-15,1450534,168,19967,4
2024-02-16,1450688,154,19969,2
2024-02-17,1450794,106,19972,3
2024-02-18,1450886,92,19973,1
2024-02-19,1451060,174,19978,5
2024-02-20,1451199,139,19984,6
2024-02-21,1451342,143,19984,0
2024-02-22,1451448,106,19990,6
2024-02-23,1451569,121,19994,4
2024-02-24,1451651,82,19996,2
2024-02-25,1451742,91,19998,2
2024-02-26,1451881,139,20000,2
2024-02-27,1452015,134,20001,1
2024-02-28,1452131,116,20002,1
2024-02-29,1452246,115,20004,2
2024-03-01,1452349,103,20004,0
2024-03-02,1452425,76,20007,3
2024-03-03,1452481,56,20009,2
2024-03-04,1452579,98,20010,1
2024-03-05,1452678,99,20015,5
2024-03-06,1452765,87,20017,2
2024-03-07,1452833,68,20019,2
2024-03-08,1452913,80,20020,1
2024-03-09,1452964,51,20023,3
2024-03-10,1453023,59,20025,2
2024-03-11,1453096,73,20026,1
2024-03-12,1453170,74,20027,1
2024-03-13,1453231,61,20028,1
2024-03-14,1453303,72,20029,1
2024-03-15,1453360,57,20029,0
2024-03-16,1453407,47,20031,2
2024-03-17,1453441,34,20032,1
2024-03-18,1453489,48,20035,3
2024-03-19,1453547,58,20035,0
2024-03-20,1453598,51,20037,2
2024-03-21,1453642,44,20038,1
2024-03-22,1453683,41,20039,1
2024-03-23,1453715,32,20040,1
2024-03-24,1453747,32,20041,1
2024-03-25,1453813,66,20041,0
2024-03-26,1453863,50,20042,1
2024-03-27,1453916,53,20042,0
2024-03-28,1453960,44,20043,1
2024-03-29,1453989,29,20044,1
2024-03-30,1454033,44,20044,0
2024-03-31,1454070,37,20047,3
2024-04-01,1454106,36,20048,1
2024-04-02,1454162,56,20048,0
2024-04-03,1454216,54,20048,0
2024-04-04,1454269,53,20049,1
2024-04-05,1454322,53,20050,1
2024-04-06,1454348,26,20050,0
2024-04-07,1454381,33,20052,2
2024-04-08,1454419,38,20052,0
2024-04-09,1454467,48,20052,0
2024-04-10,1454508,41,20052,0
2024-04-11,1454551,43,20052,0
2024-04-12,1454597,46,20053,1
2024-04-13,1454628,31,20055,2
2024-04-14,1454661,33,20055,0
2024-04-15,1454715,54,20056,1
2024-04-16,1454766,51,20057,1
2024-04-17,1454804,38,20060,3
2024-04-18,1454845,41,20062,2
2024-04-19,1454881,36,20062,0
2024-04-20,1454920,39,20062,0
2024-04-21,1454964,44,20064,2
2024-04-22,1455028,64,20064,0
2024-04-23,1455087,59,20066,2
2024-04-24,1455163,76,20067,1
2024-04-25,1455222,59,20069,2
2024-04-26,1455279,57,20070,1
2024-04-27,1455322,43,20071,1
2024-04-28,1455366,44,20071,0
2024-04-29,1455434,68,20074,3
2024-04-30,1455507,73,20074,0
2024-05-01,1455577,70,20075,1
2024-05-02,1455643,66,20076,1
2024-05-03,1455692,49,20076,0
2024-05-04,1455733,41,20076,0
2024-05-05,1455777,44,20076,0
2024-05-06,1455848,71,20076,0
2024-05-07,1455912,64,20079,3
2024-05-08,1456011,99,20079,0
2024-05-09,1456106,95,20080,1
2024-05-10,1456192,86,20080,0
2024-05-11,1456265,73,20080,0
2024-05-12,1456319,54,20080,0
2024-05-13,1456430,111,20080,0
2024-05-14,1456510,80,20080,0
