"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","Tl ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-4P2",2014-05-12 10:06,106,"11,9",225,"7,8","10,4","=",3400,-2,,,,,,,,,,,,,,,,,,119,,26,,,,,,,,,
"EMIS-4P2",2014-05-14 10:14,100,"11,1",243,"7,9","10,7","=",290000,1,,,,,,,,,,,,,,,,,,221,,28,,,,,,,,,
"EMIS-4P2",2014-05-21 10:16,102,"10,7",232,"7,8","13,2","=",10000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-01",2014-10-01 09:00,96,"9,4",127,"7,9","16,6","=",580,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-01",2014-10-28 11:52,100,"11,0",111,"7,7","11,1","=",460,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-1",2014-10-01 12:08,100,"9,7",161,"8,1","16,8","=",910,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-1",2014-10-28 11:54,101,"11,1",119,"7,7","11,1","=",400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-2",2014-10-01 12:17,99,"9,5",217,"8,1","17,0","=",13000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-2",2014-10-28 11:58,99,"10,9",170,"7,7","11,4","=",2400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-3",2014-10-01 12:19,99,"9,6",255,"8,2","17,2","=",16000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-3",2014-10-28 12:02,98,"10,7",225,"7,9","11,5","=",5800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-4",2014-10-01 12:21,104,"9,9",281,"8,4","17,4","=",4600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-4",2014-10-28 12:03,101,"11,0",265,"7,9","11,5","=",3300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-5",2014-10-01 12:24,106,"10,1",287,"8,6","17,6","=",1500,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-5",2014-10-28 12:10,102,"11,0",281,"8,2","11,9","=",600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-6",2014-10-01 12:27,106,"10,1",292,"8,7","17,6","=",130,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-54-6",2014-10-28 12:12,102,"11,0",291,"8,2","11,9","=",160,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN",2014-10-01 09:33,98,"9,7",90,"8,1","16,0","=",36,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN",2014-10-28 16:48,102,"11,2",87,"8,1","11,0","=",72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-1",2014-09-10 10:42,90,"8,0",133,"7,9",,"=",230,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-1",2014-09-16 10:12,92,"9,1",144,"8,0","15,9","=",280,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-1",2014-09-24 10:34,96,"9,8",123,"8,0","14,2","=",230,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-1",2014-10-21 10:39,97,"10,8",125,"7,9","10,7","=",350,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-2",2014-09-10 10:44,89,"7,8",107,"7,7",,"<",1000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-2",2014-09-16 10:14,96,"9,4",124,"8,0","16,3","=",90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-2",2014-09-24 10:38,95,"9,6",106,"7,9","15,2","=",220,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-2",2014-10-21 10:41,103,"11,1",93,"7,9","11,7","=",200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-3",2014-09-10 10:46,91,"8,0",92,"7,7",,"=",90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-3",2014-09-16 10:16,95,"9,1",97,"7,9","17,0","=",45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-3",2014-09-24 10:41,98,"9,8",96,"7,8","15,3","=",130,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-6RN-3",2014-10-21 10:43,98,"10,6",96,"7,8","11,7","=",150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-7RS",2014-05-12 15:36,103,"11,5",253,"8,0","11,0","=",180,-2,,,,,,,,,,,,,,,,,,66,,15,,,,,,,,,
"EMIS-7RS",2014-05-14 15:09,103,"11,0",255,"8,1","10,3","=",450,1,,,,,,,,,,,,,,,,,,20,,15,,,,,,,,,
