NUM_DISTRICT,ARRONDISSEMENT,NOM_DISTRICT,NOM_BASSIN,NOM_SECTION
52,"LaSalle","Cecil-P.-Newman","ÉCOLE DU PETIT-COLLÈGE-Gymnase","052-072"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE DU PETIT-COLLÈGE-Gymnase","052-073"
52,"LaSalle","Cecil-P.-Newman","ECOLE CAVELIER-DE LASALLE-Gymnase garçons","052-083"
52,"LaSalle","Cecil-P.-Newman","ECOLE CAVELIER-DE LASALLE-Gymnase garçons","052-082"
52,"LaSalle","Cecil-P.-Newman","ECOLE CAVELIER-DE LASALLE-Gymnase garçons","052-080"
52,"LaSalle","Cecil-P.-Newman","ECOLE CAVELIER-DE LASALLE-Gymnase filles","052-007"
111,"Le Plateau-Mont-Royal","Mile-End","CENTRE CHAMPAGNAT-Cafétéria","111-058"
52,"LaSalle","Cecil-P.-Newman","ECOLE CAVELIER-DE LASALLE-Gymnase filles","052-006"
52,"LaSalle","Cecil-P.-Newman","ECOLE CAVELIER-DE LASALLE-Gymnase filles","052-002"
52,"LaSalle","Cecil-P.-Newman","CHILDREN'S WORLD ACADEMY-Gymnase","052-036"
52,"LaSalle","Cecil-P.-Newman","CHILDREN'S WORLD ACADEMY-Gymnase","052-035"
52,"LaSalle","Cecil-P.-Newman","CHILDREN'S WORLD ACADEMY-Gymnase","052-033"
52,"LaSalle","Cecil-P.-Newman","CENTRE D'ÉDUCATION DES ADULTES LASALLE - ÉDIFICE CLÉMENT-Cafétéria","052-030"
52,"LaSalle","Cecil-P.-Newman","CENTRE D'ÉDUCATION DES ADULTES LASALLE - ÉDIFICE CLÉMENT-Cafétéria","052-029"
52,"LaSalle","Cecil-P.-Newman","CENTRE D'ÉDUCATION DES ADULTES LASALLE - ÉDIFICE CLÉMENT-Cafétéria","052-027"
52,"LaSalle","Cecil-P.-Newman","CENTRE D'ÉDUCATION DES ADULTES LASALLE - ÉDIFICE CLÉMENT-Cafétéria","052-026"
51,"LaSalle","Sault-Saint-Louis","TRINITY PENTECOSTAL CHURCH-Gymnase","051-037"
51,"LaSalle","Sault-Saint-Louis","TRINITY PENTECOSTAL CHURCH-Gymnase","051-034"
51,"LaSalle","Sault-Saint-Louis","TRINITY PENTECOSTAL CHURCH-Gymnase","051-032"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE JEAN-GROU-Gymnase","142-030"
51,"LaSalle","Sault-Saint-Louis","ÉCOLE PIERRE-RÉMY (HORS-DISTRICT)-Gymnase","051-002"
51,"LaSalle","Sault-Saint-Louis","COMPLEXE SPORTIF CEGEP ANDRÉ-LAURENDEAU-Gymnase","051-081"
51,"LaSalle","Sault-Saint-Louis","ÉCOLE NOTRE-DAME-DES-RAPIDES-Gymnase","051-012"
51,"LaSalle","Sault-Saint-Louis","COMPLEXE SPORTIF CEGEP ANDRÉ-LAURENDEAU-Gymnase","051-077"
51,"LaSalle","Sault-Saint-Louis","CEGEP ANDRÉ-LAURENDEAU-Cafétéria A","051-023"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","STADE IGA-Salle 2","194-010"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","ÉCOLE LUCIEN-PAGÉ-Gymnase vert","194-001"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","ÉCOLE SOPHIE-BARAT, PAVILLON ST. DOROTHY-Gymnase","191-025"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","ÉCOLE SOPHIE-BARAT, PAVILLON ST. DOROTHY-Gymnase","191-023"
43,"Lachine","Fort-Rolland","ÉCOLE MAPLE GROVE-Gymnase","043-035"
43,"Lachine","Fort-Rolland","ÉCOLE MAPLE GROVE-Gymnase","043-033"
43,"Lachine","Fort-Rolland","ÉCOLE MAPLE GROVE-Gymnase","043-032"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINTE-CÉCILE-Gymnase","193-067"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINTE-CÉCILE-Gymnase","193-066"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINTE-CÉCILE-Gymnase","193-065"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINTE-CÉCILE-Gymnase","193-064"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","ÉCOLE SOPHIE-BARAT, PAVILLON ST. DOROTHY-Gymnase","191-022"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","ÉCOLE SAINT-NOËL-CHABANEL, PAVILLON DES DÉCOUVREURS-Cafétéria","191-051"
43,"Lachine","Fort-Rolland","ÉCOLE MAPLE GROVE-Gymnase","043-031"
43,"Lachine","Fort-Rolland","ÉCOLE MAPLE GROVE-Gymnase","043-036"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GÉRARD-Gymnase","193-049"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GÉRARD-Gymnase","193-048"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","ÉCOLE SAINT-NOËL-CHABANEL, PAVILLON DES DÉCOUVREURS-Vieux gymnase","191-044"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","ÉCOLE SAINT-NOËL-CHABANEL, PAVILLON DES DÉCOUVREURS-Vieux gymnase","191-043"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","ÉCOLE MONTCALM-Gymnase","191-014"
43,"Lachine","Fort-Rolland","ÉCOLE CATHERINE-SOUMILLARD-Gymnase","043-029"
43,"Lachine","Fort-Rolland","ÉCOLE CATHERINE-SOUMILLARD-Gymnase","043-028"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GÉRARD-Gymnase","193-047"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GÉRARD-Gymnase","193-045"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GÉRARD-Gymnase","193-044"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","ÉCOLE MARIE-RIVIER, PAVILLON LOUVAIN-Gymnase","191-019"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","ÉCOLE MARIE-RIVIER, PAVILLON LOUVAIN-Gymnase","191-016"
43,"Lachine","Fort-Rolland","ÉCOLE CATHERINE-SOUMILLARD-Gymnase","043-027"
43,"Lachine","Fort-Rolland","ÉCOLE CATHERINE-SOUMILLARD-Gymnase","043-024"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GÉRARD-Gymnase","193-041"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GÉRARD-Gymnase","193-040"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GABRIEL-LALEMANT-Gymnase","193-010"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","COLLÈGE REINE-MARIE-Gymnase A","191-030"
51,"LaSalle","Sault-Saint-Louis","CEGEP ANDRÉ-LAURENDEAU-Cafétéria A","051-022"
43,"Lachine","Fort-Rolland","ÉCOLE CATHERINE-SOUMILLARD-Gymnase","043-022"
72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE SAINT-CLÉMENT-Gymnase","072-057"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINTE-CÉCILE-Gymnase","193-068"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GABRIEL-LALEMANT-Gymnase","193-009"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GABRIEL-LALEMANT-Gymnase","193-008"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINT-GABRIEL-LALEMANT-Gymnase","193-007"
51,"LaSalle","Sault-Saint-Louis","CEGEP ANDRÉ-LAURENDEAU-Cafétéria A","051-020"
43,"Lachine","Fort-Rolland","ÉCOLE VICTOR-THÉRIEN-Gymnase","043-017"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","ÉCOLE HONORÉ-MERCIER-Cafétéria","162-037"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","ÉCOLE HONORÉ-MERCIER-Cafétéria","162-030"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","PATRO (Le Prévost) VILLERAY-Salle polyvalente","193-019"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","PATRO (Le Prévost) VILLERAY-Salle polyvalente","193-018"
72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","CENTRE PIERRE-CHARBONNEAU (HORS-DISTRICT)-Hall d'entrée 1","072-052"
151,"Saint-Léonard","Saint-Léonard-Est","ÉCOLE LAMBERT-CLOSSE-Gymnase 1","151-001"
151,"Saint-Léonard","Saint-Léonard-Est","ÉCOLE DANTE-Gymnase","151-020"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE HENRI-BEAULIEU-Salle de repas","142-041"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE HENRI-BEAULIEU-Gymnase","142-049"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE HENRI-BEAULIEU-Gymnase","142-043"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE ENFANT-SOLEIL-Gymnase","142-066"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Nouveau gymnase","133-062"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Nouveau gymnase","133-061"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Gymnase","133-057"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Gymnase","133-055"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Gymnase","133-049"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","ÉCOLE COEUR-IMMACULÉ-DE-MARIE-Gymnase","162-028"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","ÉCOLE COEUR-IMMACULÉ-DE-MARIE-Gymnase","162-027"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","PATRO (Le Prévost) VILLERAY-Salle polyvalente","193-017"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","PATRO (Le Prévost) VILLERAY-Salle polyvalente","193-016"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","PATRO (Le Prévost) VILLERAY-Salle polyvalente","193-015"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","MAISON DE LA CULTURE CLAUDE-LÉVEILLÉE-Salle de médiation","193-013"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE ÉDOUARD-LAURIN-Gymnase","142-021"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE ÉDOUARD-LAURIN-Gymnase","142-020"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Gymnase","133-047"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE GABRIELLE-ET-MARCEL-LAPALME-Salles  St-Jean et Legros","133-068"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE GABRIELLE-ET-MARCEL-LAPALME-Salles  St-Jean et Legros","133-066"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","ÉCOLE COEUR-IMMACULÉ-DE-MARIE-Gymnase","162-026"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","CENTRE DE LOISIRS MONSEIGNEUR PIGEON-Gymnase","162-017"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","MAISON DE LA CULTURE CLAUDE-LÉVEILLÉE-Salle de médiation","193-012"
72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE SAINT-CLÉMENT-Gymnase","072-058"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","MAISON DE LA CULTURE CLAUDE-LÉVEILLÉE-Hall et salle d'exposition","193-063"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","MAISON DE LA CULTURE CLAUDE-LÉVEILLÉE-Hall et salle d'exposition","193-062"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE BOIS-FRANC-AQUARELLE, ÉDIFICE AQUARELLE-Gymnase","142-065"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE BOIS-FRANC-AQUARELLE, ÉDIFICE AQUARELLE-Gymnase","142-064"
52,"LaSalle","Cecil-P.-Newman","LASALLE ELEMENTARY SENIOR-Gymnase","052-046"
52,"LaSalle","Cecil-P.-Newman","MAIRIE D'ARRONDISSEMENT DE LASALLE-Salle du conseil","052-022"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","CENTRE DE LOISIRS MONSEIGNEUR PIGEON-Gymnase","162-015"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","CENTRE DE LOISIRS MONSEIGNEUR PIGEON-Gymnase","162-014"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","CENTRE DE LOISIRS MONSEIGNEUR PIGEON-Gymnase","162-012"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","CENTRE DE LOISIRS MONSEIGNEUR PIGEON-Gymnase","162-011"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","MAISON DE LA CULTURE CLAUDE-LÉVEILLÉE-Hall et salle d'exposition","193-061"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","MAISON DE LA CULTURE CLAUDE-LÉVEILLÉE-Hall et salle d'exposition","193-060"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","MAISON DE LA CULTURE CLAUDE-LÉVEILLÉE-Hall et salle d'exposition","193-059"
142,"Saint-Laurent","Norman-McLaren","ÉCOLE BOIS-FRANC-AQUARELLE, ÉDIFICE AQUARELLE-Gymnase","142-062"
134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE DES MONARQUES - ÉDIFICE SAINT-JEAN-VIANNEY-Gymnase","134-026"
52,"LaSalle","Cecil-P.-Newman","LASALLE ELEMENTARY SENIOR-Gymnase","052-044"
52,"LaSalle","Cecil-P.-Newman","LASALLE ELEMENTARY SENIOR-Gymnase","052-043"
161,"Le Sud-Ouest","Saint-Henri-Est–Petite-Bourgogne–Pointe-Saint-Charles–Griffintown","ÉCOLE VICTOR-ROUSSELOT-Gymnase","161-022"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CHALET OGILVY-Salle communautaire","194-044"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","MAISON DE LA CULTURE CLAUDE-LÉVEILLÉE-Hall et salle d'exposition","193-058"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINTE-CÉCILE-Gymnase","193-070"
134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE DES MONARQUES / ÉTABLISSEMENT MARIE-ROLLET-Gymnase","134-008"
134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE ALPHONSE-DESJARDINS-Gymnase","134-041"
52,"LaSalle","Cecil-P.-Newman","LASALLE ELEMENTARY JUNIOR-Gymnase","052-041"
52,"LaSalle","Cecil-P.-Newman","LASALLE ELEMENTARY JUNIOR-Gymnase","052-039"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CENTRE WILLIAM-HINGSTON-Gymnases 3 et 4","194-020"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CENTRE WILLIAM-HINGSTON-Gymnases 3 et 4","194-019"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE SAINTE-CÉCILE-Gymnase","193-069"
112,"Le Plateau-Mont-Royal","De Lorimier","ÉCOLE JEANNE-MANCE-Cafétéria","112-058"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE SAINT-ENFANT-JÉSUS-Gymnase","111-052"
134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE ALPHONSE-DESJARDINS-Gymnase","134-039"
134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE ALPHONSE-DESJARDINS-Gymnase","134-037"
52,"LaSalle","Cecil-P.-Newman","LASALLE ELEMENTARY JUNIOR-Gymnase","052-038"
52,"LaSalle","Cecil-P.-Newman","LASALLE ELEMENTARY JUNIOR-Gymnase","052-037"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CENTRE WILLIAM-HINGSTON-Gymnases 3 et 4","194-016"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CENTRE WILLIAM-HINGSTON-Gymnases 3 et 4","194-014"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CENTRE WILLIAM-HINGSTON-Gymnases 1 et 2","194-028"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE SAINT-ENFANT-JÉSUS-Gymnase","111-051"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE ROBERT-GRAVEL-Gymnase","111-048"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE LAMBERT-CLOSSE-Gymnase et Salle polyvalente","111-036"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE DE L'ÉTINCELLE-Gymnase","111-024"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE SAINT-GÉRARD-Gymnase","102-007"
12,"Ahuntsic-Cartierville","Saint-Sulpice","ÉGLISE SAINT-ISAAC-JOGUES-Sous-sol","012-006"
134,"Rosemont-La Petite-Patrie","Marie-Victorin","COLLÈGE VINCENT MASSEY-Nouveau gymnase","134-003"
134,"Rosemont-La Petite-Patrie","Marie-Victorin","COLLÈGE VINCENT MASSEY-Nouveau gymnase","134-002"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE ST-JEAN-DE-LA-LANDE ANNEXE-Gymnase","133-040"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE LAURENDEAU-DUNTON-Gymnase","052-054"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE LAURENDEAU-DUNTON-Gymnase","052-053"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CENTRE WILLIAM-HINGSTON-Gymnases 1 et 2","194-027"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CENTRE WILLIAM-HINGSTON-Gymnases 1 et 2","194-025"
12,"Ahuntsic-Cartierville","Saint-Sulpice","CENTRE COMMUNAUTAIRE ET CULTUREL BOIS-DE-BOULOGNE-Salle Chalhoub 1-A","012-060"
21,"Anjou","Ouest","COLLÈGE D'ANJOU-Salle Place publique","021-022"
82,"Montréal-Nord","Ovide-Clermont","ÉCOLE GERALD MCSHANE-Gymnase","082-011"
81,"Montréal-Nord","Marie-Clarac","ÉCOLE SECONDAIRE MARIE-CLARAC-Salle polyvalente, rez-de-chaussée","081-036"
162,"Le Sud-Ouest","Saint-Paul–Émard–Saint-Henri-Ouest","CENTRE DE LOISIRS MONSEIGNEUR PIGEON-Gymnase","162-020"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINTE-BIBIANE-Gymnase","133-019"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINTE-BIBIANE-Gymnase","133-016"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE LAURENDEAU-DUNTON-Gymnase","052-052"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE L'EAU-VIVE-Gymnase","052-013"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE HENRI-FOREST-Gymnase","052-018"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CENTRE WILLIAM-HINGSTON-Gymnases 1 et 2","194-024"
194,"Villeray-Saint-Michel-Parc-Extension","Parc-Extension","CENTRE WILLIAM-HINGSTON-Gymnases 1 et 2","194-022"
51,"LaSalle","Sault-Saint-Louis","TRINITY PENTECOSTAL CHURCH-Gymnase","051-033"
51,"LaSalle","Sault-Saint-Louis","TRINITY PENTECOSTAL CHURCH-Gymnase","051-030"
43,"Lachine","Fort-Rolland","COLLÈGE SAINT-LOUIS-Cafétéria","043-002"
42,"Lachine","J.-Émery-Provost","ÉCOLE DALBÉ-VIAU-Cafétéria","042-014"
42,"Lachine","J.-Émery-Provost","LÉGION ROYALE CANADIENNE-Grande salle","042-028"
33,"Côte-des-Neiges-Notre-Dame-de-Grâce","Snowdon","ACADÉMIE INTERNATIONALE MARYMOUNT-Gymnase","033-002"
32,"Côte-des-Neiges-Notre-Dame-de-Grâce","Côte-des-Neiges","ÉGLISE SAINT-KEVIN-Sous-sol","032-012"
32,"Côte-des-Neiges-Notre-Dame-de-Grâce","Côte-des-Neiges","ÉCOLE FÉLIX-LECLERC-Gymnase","032-005"
142,"Saint-Laurent","Norman-McLaren","CENTRE DES LOISIRS DE SAINT-LAURENT-Salle A136","142-005"
141,"Saint-Laurent","Côte-de-Liesse","ACADÉMIE LAURENHILL JUNIOR CAMPUS-Gymnase","141-073"
141,"Saint-Laurent","Côte-de-Liesse","ACADÉMIE LAURENHILL JUNIOR CAMPUS-Gymnase","141-071"
141,"Saint-Laurent","Côte-de-Liesse","ACADÉMIE LAURENHILL JUNIOR CAMPUS-Gymnase","141-069"
141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE SAINT-LAURENT - ÉDIFICE SAINT-GERMAIN-Gymnase","141-081"
141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE GARDENVIEW-Gymnase","141-061"
141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE GARDENVIEW-Gymnase","141-060"
141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE ENFANTS-DU-MONDE-Gymnase 2","141-026"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE GABRIELLE-ET-MARCEL LAPALME-Gymnase","133-077"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE GABRIELLE-ET-MARCEL LAPALME-Gymnase","133-076"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE GABRIELLE-ET-MARCEL LAPALME-Gymnase","133-073"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE GABRIELLE-ET-MARCEL LAPALME-Gymnase","133-072"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE COMMUNAUTAIRE PETITE-CÔTE-Gymnase","133-006"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SANS-FRONTIÈRES-Gymnase","132-062"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SANS-FRONTIÈRES-Gymnase","132-060"
171,"Verdun","Champlain–L’Île-des-Sœurs","VERRIÈRES I-Hall d'entrée","171-057"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SAINTE-ANNE-Gymnase","132-037"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SAINTE-ANNE-Gymnase","132-036"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SAINTE-ANNE-Gymnase","132-035"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE PIERRE ELLIOT TRUDEAU-Gymnase","132-007"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE PIERRE ELLIOT TRUDEAU-Gymnase","132-006"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE PIERRE ELLIOT TRUDEAU-Gymnase","132-004"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE CHARLES-BRUNEAU-Gymnase","132-020"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Gymnase","132-043"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Cafétéria","132-052"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Cafétéria","132-050"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","CENTRE MARIE-MÉDIATRICE-Gymnase","132-032"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","CENTRE MARIE-MÉDIATRICE-Gymnase","132-025"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","CENTRE MARIE-MÉDIATRICE-Gymnase","132-024"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉGLISE SAINT-AMBROISE-Salle paroissiale - sous-sol","131-050"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ÉTIENNE-Gymnase","131-038"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ÉTIENNE-Gymnase","131-033"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE MARC-AURÈLE-FORTIN-Gymnase","123-062"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","COMPLEXE SPORTIF MARIE-VICTORIN-Gymnase 2","123-004"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","COMPLEXE SPORTIF MARIE-VICTORIN-Gymnase 2","123-002"
141,"Saint-Laurent","Côte-de-Liesse","ACADÉMIE LAURENHILL JUNIOR CAMPUS-Agora","141-056"
141,"Saint-Laurent","Côte-de-Liesse","ACADÉMIE LAURENHILL JUNIOR CAMPUS-Agora","141-054"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ARSÈNE-Gymnase","131-021"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ARSÈNE-Gymnase","131-016"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE MARC-AURÈLE-FORTIN-Gymnase","123-061"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","CENTRE RÉCRÉATIF RIVIÈRE-DES-PRAIRIES-Salle polyvalente","123-039"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","CENTRE SALÉSIEN DES JEUNES-Salle - 2e étage","123-029"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-AMBROISE-Gymnase","131-027"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-AMBROISE-Gymnase","131-026"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","CENTRE RÉCRÉATIF RIVIÈRE-DES-PRAIRIES-Salle polyvalente","123-037"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE FERNAND-GAUTHIER-Gymnase","123-072"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE FERNAND-GAUTHIER-Gymnase","123-071"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE FERNAND-GAUTHIER-Gymnase","123-068"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ACADÉMIE LEONARDO DA VINCI-Gymnase","123-028"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE COMMUNAUTAIRE PETITE-CÔTE-Gymnase","133-004"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","CEGEP MARIE-VICTORIN-Gymnase double","123-018"
