PERIODE,MO,NTII,NTIG,NPDII,NPDIG,NPDEPAE
2013-2014,"Enseignement supérieur, Recherche, Science et Technologie",5,2,39,4,1027
2013-2014,Famille,236,0,57,1,509
2013-2014,Finances et Économie,556,3,215,4,1684
2013-2014,Immigration et Communautés culturelles,301,3,125,1,1499
2013-2014,Institut de la statistique du Québec,99,0,30,1,426
2013-2014,Institut de tourisme et d'hôtellerie du Québec,72,0,20,1,374
2013-2014,Justice,501,2,334,6,3806
2013-2014,La Financière agricole du Québec,190,7,85,1,754
2013-2014,Office de la protection du consommateur,20,0,6,1,150
2013-2014,Office des personnes handicapées du Québec,99,0,25,1,156
2013-2014,Office des professions du Québec,7,0,7,1,61
2013-2014,Office québécois de la langue française,166,23,64,1,289
2013-2014,Protecteur du citoyen,34,5,22,1,182
2013-2014,Régie de l'assurance maladie du Québec,747,1,290,1,1981
2013-2014,Régie des rentes du Québec,270,22,229,1,1420
2013-2014,Régie du bâtiment du Québec,200,0,58,1,567
2013-2014,"Relations internationales, Francophonie et Commerce extérieur",37,0,37,1,533
2013-2014,Ressources naturelles,821,4,465,3,5072
2013-2014,Santé et Services sociaux,219,0,148,3,1228
2013-2014,Secrétariat du Conseil du trésor,225,1,106,1,738
2013-2014,Sécurité publique,2325,15,756,7,6345
2013-2014,Société de l'assurance automobile du Québec,3743,1,700,1,4021
2013-2014,Société d'habitation du Québec,184,0,56,1,452
2013-2014,Sûreté du Québec,4288,52,944,2,8949
2013-2014,Transports,1141,8,617,3,8436
2013-2014,Travail,27,0,20,1,158
2013-2014,Tribunal administratif du Québec,61,0,20,1,309
2013-2014,Vérificateur général,75,0,18,1,308
