FID,CODE,BUP_NO_BUREA,BUP_NO_REGIO,BUP_NOM_REGIO,BUP_NOM_BUREA,TYPE,BUP_ADR_DGPF,BUP_ADR_QUEBE,BUP_NOM_MUNIC,BUP_CODE_POSTA,SHAPE
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe5,76,09_30,9,Côte-Nord,Bureau local de Sept-Îles,local,"585, boulevard Des Montagnais C.P. 150,  Sept-Îles, G4R 4K3","585, boulevard Des Montagnais, Sept-Îles, G4R 4K3",Sept-Îles,G4R5R2,POINT (-66.3791207541126 50.2367717499443)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe6,100,10_10,10,Nord-du-Québec,Bureau local de Kuujjuaq,local,"851, rue Kaivivik Circle, 2e étage, bureau A, C.P. 59, Kuujjuaq, J0M 1C0","851, rue Kaivivik Circle, 2e étage, bureau A, C.P. 59, Kuujjuaq, J0M 1C0",Kuujjuaq,J0M1C0,POINT (-68.402821 58.109141)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe7,1,09_40,9,Côte-Nord,Bureau local de Havre-Saint-Pierre,local,"1325, rue Boréale, Havre-Saint-Pierre, G0G 1P0","1325, rue Boréale, Havre-Saint-Pierre, G0G 1P0",Havre-Saint-Pierre,G0G1P0,POINT (-63.5925114763518 50.2428192075911)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe8,2,09_41,9,Côte-Nord,Bureau local de Port-Menier (Île-dAnticosti),local,"6, rue Tancrède-Girard C.P. 159, L' Île d'Anticosti, G0G 2Y0","6, rue Tancrède-Girard, L' Île d'Anticosti, G0G 2Y0",L'Île-d'Anticosti,G0G2Y0,POINT (-64.3491537521018 49.8167634121597)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe9,3,09_42,9,Côte-Nord,Bureau local de La Tabatière (Saisonnier),local,"6, chemin de la Carrière C.P. 50, Gros Mécatina, G0G 1T0","1  Chemin de la Carrière, Gros-Mécatina G0G1T0",Gros-Mécatina,G0G1T0,POINT (-58.9667343663072 50.8314507943141)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fea,4,09_43,9,Côte-Nord,Bureau local de Lourdes-de-Blanc-Sablon (Saisonnier) ,local,"Case postale 249, Blanc-Sablon, G0G 1W0","1065 CAMILLE MARCOULX, LOURDES-DE-BLANC-SABLON QC   G0G 1W0",Blanc-Sablon,G0G1W0,POINT (-57.2038059611108 51.4134809934294)
Bureaux_protection_faune.fid--36104af1_191566b56df_6feb,5,10,10,Nord-du-Québec,Direction de la protection de la faune du Nord-du-Québec,regional,"951, boulevard Hamel, Chibougamau, G8P 2Z3","951, boulevard Hamel, Chibougamau, G8P 2Z3",Chibougamau,G8P2Z3,POINT (-74.3835448858886 49.9060548864903)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fec,6,10_20,10,Nord-du-Québec,Bureau local de Radisson ,local,"149 A, rue Jolliet, C.P. 278, Radisson, J0Y 2X0","149 A, rue Jolliet, Radisson, J0Y 2X0",Gouvernement régional d'Eeyou Istchee Baie-James,J0Y2X0,POINT (-77.6225076933629 53.7938591817479)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fed,7,10_21,10,Nord-du-Québec,Bureau local de Whapmagoostui/Kuujjuarapik,local,"1039, Tukimuaqtuk Street, C.P. 83, Kuujjuarapik, J0M 1G0","1039, Tukimuaqtuk Street, Kuujjuarapik, J0M 1G0",Kuujjuarapik,J0M1G0,POINT (-77.7549942341475 55.2811247305423)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fee,8,10_22,10,Nord-du-Québec,Bureau local de Chisasibi ,local,"Commercial Center, Center Road, C.P. 839, Chisasibi, J0M 1E0","Center Road, Chisasibi, J0M 1E0",Chisasibi,J0M1E0,POINT (-78.8926672180895 53.7840900249913)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fef,9,10_24,10,Nord-du-Québec,Bureau local dEastmain (Saisonnier),local,"41B , rue du Netaochekinn C.P. 94, Eastmain, J0M 1W0","41 , rue du Netaochekinn , Eastmain, J0M 1W0",Eastmain,J0M1W0,POINT (-78.5028686165038 52.2443464859917)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff0,10,10_30,10,Nord-du-Québec,Bureau local de Matagami,local,"18, rue Nottaway, C.P. 880, Matagami, J0Y 2A0","18, rue Nottaway, Matagami, J0Y 2A0",Matagami,J0Y2A0,POINT (-77.6242339570121 49.7615401472609)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff1,11,10_40,10,Nord-du-Québec,Bureau local de Chibougamau,local,"951, boulevard Hamel, Chibougamau, G8P 2Z3","951, boulevard Hamel, Chibougamau, G8P 2Z3",Chibougamau,G8P2Z3,POINT (-74.3835448858886 49.9060548864903)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff2,12,10_50,10,Nord-du-Québec,Bureau local de Lebel-sur-Quévillon,local,"1114 A, boul. Industriel, C.P. 278, Lebel-sur-Quévillon, J0Y 1X0","1114, boul. Industriel, Lebel-sur-Quévillon, J0Y 1X0",Lebel-sur-Quévillon,J0Y1X0,POINT (-76.9877847344704 49.0514480733359)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff3,13,10_42,10,Nord-du-Québec,Bureau local de Mistissini,local,"32  Amisk, Mistissini G0W1C0","32  Amisk, Mistissini G0W1C0",Mistissini,G0W1C0,POINT (-73.8711033328946 50.4183907589728)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff4,14,09_31,9,Côte-Nord,Bureau local de Schefferville (Saisonnier),local,"116, rue A.-P.-Low, Schefferville, G0G 2T0","116, rue A.-P.-Low, Schefferville, G0G 2T0",Schefferville,G0G2T0,POINT (-66.8216568060401 54.8027086287808)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff5,15,01,1,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Direction de la protection de la faune du Bas-Saint-Laurent et de la GaspésieÎles-de-la-Madeleine,regional,"92, 2e Rue Ouest, bureau 207, Rimouski, G5L 8B3","92, 2e Rue Ouest, Rimouski, G5L 8B3",Rimouski,G5L8B3,POINT (-68.521463202604 48.4430889914015)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff6,16,01_01,1,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de Pointe-au-Père,local,"365, boulevard Sainte-Anne, Suite 1, Rimouski, G5M 1E8","365, boulevard Sainte-Anne, Rimouski, G5M 1E8",Rimouski,G5M1E8,POINT (-68.4852293106744 48.4958933686614)
Bureaux_protection_faune.fid--36104af1_191566b56df_6ff7,17,01_08,1,Bas-Saint-Laurent/Gaspésie/Îles-de-la-Madeleine,Bureau local de Causapscal,local,"558A, rue St-Jacques Nord, C.P. 68,  Causapscal, G0J 1J0","558, rue St-Jacques Nord, Causapscal, G0J 1J0",Causapscal,G0J1J0,POINT (-67.2393901726608 48.3699389439929)
