ï»¿NOM,ADRESSE,ARRONDISSEMENT,DISTRICT,TELEPHONE
"Port de plaisance RÃ©al-Bouvier,""101, chemin de la Rive Longueuil QC CA J4H4C9"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,"
"Relais du parc Michel-Chartrand (Parc rÃ©gional),""1798, chemin du Lac Longueuil QC CA J4J4V5"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 468-7616"
"Rendez-Vous Optimiste,""2254, rue Limoges Longueuil QC CA J4G1E3"",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 679-7463"
"Studios Marmier,""743, rue Marmier Longueuil QC CA J4K4S3"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 674-4203"
"ThÃ©Ã¢tre de la ville,""180, rue De Gentilly Est Longueuil QC CA J4H4A9"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 670-1611"
"Usine de filtration,""276,  Saint-Lambert QC CA J4S1V8"",Arrondissement du Vieux-Longueuil,District 11 - Saint-Hubert,"
"Usine de filtration,""1700, rue Bourassa Longueuil QC CA J4J3A6"",Arrondissement du Vieux-Longueuil,District 11 - Saint-Hubert,"
"Vieux presbytÃ¨re St. Mark,""340, rue Saint-Charles Ouest Longueuil QC CA J4H1E8"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 468-6761"
"ArÃ©na Cynthia-Coull,""195, rue Empire Greenfield Park QC CA J4V1T9"",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311"
"ArÃ©na Ãmile-Butch-Bouchard,""200, rue De Gentilly Est Longueuil QC CA J4H4A4"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 463-7311"
"ArÃ©na Jacques-Cartier,""1143, rue De Lorimier Longueuil QC CA J4K3M9"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311"
"Base de Plein Air Jean-Jeune,""150, rue Grant Longueuil QC CA J4H3H6"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 679-5017"
"BibliothÃ¨que Claude-Henri-Grignon,""1660, rue Bourassa Longueuil QC CA J4J3A4"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7180"
"BibliothÃ¨que Fatima,""45, rue HÃ©mond Longueuil QC CA J4G1K2"",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 646-6712"
"BibliothÃ¨que Georges-Dor,""2760, chemin de Chambly Longueuil QC CA J4L1M6"",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 463-7180"
"BibliothÃ¨que Hubert-Perron,""1100, rue Beauregard Longueuil QC CA J4K2L1"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 674-4175"
"BibliothÃ¨que Joseph-De-SÃ©rigny,""1000, chemin du Lac Longueuil QC CA J4J1W3"",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,"
"BibliothÃ¨que Muriel-Anne-Brown (GPK),""225, rue Empire Greenfield Park QC CA J4V1T9"",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7180"
"BibliothÃ¨que Raymond-LÃ©vesque,""7025, boulevard Cousineau Saint-Hubert QC CA J3Y0H1"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7180"
"BibliothÃ¨que Saint-Jean-Baptiste,""700, rue Duvernay Longueuil QC CA J4K4L1"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 646-6713"
"Bureau d'arrondissement (Greenfield Park),""156, boulevard Churchill Greenfield Park QC CA J4V2M3"",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311"
"CarrÃ© Isidore-Hurteau,""100, rue Saint-Laurent Ouest Longueuil QC CA J4H1M1"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311"
"Centre Bienville,""3500, boulevard Mountainview Saint-Hubert QC CA J3Y5N5"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Centre Boisvert,""6005, boulevard Payer Saint-Hubert QC CA J3Y8A6"",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311"
"Centre communautaire des aÃ®nÃ©s et aÃ®nÃ©es de Longueuil,""300, rue Lamarre #122 Longueuil QC CA J4J0A1"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 677-6677"
"Centre communautaire Le Trait d'Union,""3100, rue Mousseau Longueuil QC CA J4L4P1"",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 647-1107"
"Centre communautaire Saint-FranÃ§ois-de-Sales,""1545, boulevard Jacques-Cartier Est Longueuil QC CA J4M2B5"",Arrondissement du Vieux-Longueuil,District 02 - Vieux-Longueuil,450 468-4015"
"Centre communautaire Saint-Robert,""701, rue Duhamel Longueuil QC CA J4L4M2"",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 679-2600"
"Centre culturel Jacques-Ferron,""100, rue Saint-Laurent Ouest Longueuil QC CA J4H1M1"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311"
"Centre de quartier Lionel-Groulx,""267, rue Toulouse Longueuil QC CA J4L4X1"",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 442-4419"
"Centre Ã©ducatif et communautaire Sainte-AgnÃ¨s,""1900, rue Saint-Georges Longueuil QC CA J4P3J4"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 463-7311"
"Centre ImmaculÃ©e-Conception,""3675, rue Rocheleau Saint-Hubert QC CA J3Y6C6"",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311"
"Centre Jeanne-Dufresnoy,""1, boulevard CurÃ©-Poirier Est Longueuil QC CA J4J5K7"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311"
"Centre Labrosse,""3880, rue Labrosse Saint-Hubert QC CA J3Y3C8"",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311"
"Centre Lajeunesse,""120, rue RenÃ©-Philippe LeMoyne QC CA J4R2K1"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 463-7311"
"Centre Meunier,""525, rue Latour Saint-Hubert QC CA J3Y6A9"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Centre Multi-Sports du CollÃ¨ge FranÃ§ais,""1720, boulevard CurÃ©-Poirier Est Longueuil QC CA J4J5L6"",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 448-8226"
"Centre Olympia,""2950, rue Dumont Longueuil QC CA J4L3S9"",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 463-7311"
"Centre Optimiste LaflÃ¨che,""3825, rue Windsor Saint-Hubert QC CA J4T2Z6"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Centre Pierre-et-Bernard-Lucas,""2060, rue Holmes Saint-Hubert QC CA J4T1R5"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Centre RenÃ©-Veillet,""1050,  Greenfield Park QC CA J4V1B4"",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311"
"Centre Roger-Doucet,""185, rue Empire Greenfield Park QC CA J4V1T9"",Arrondissement de Greenfield Park,District 10 - Greenfield Park,450 463-7311"
"Centre Saint-Thomas-de-Villeneuve,""5400, boulevard Payer Saint-Hubert QC CA J3Y1J4"",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311"
"Centre SÃ©nÃ©chal,""1882, rue Saint-Georges Longueuil QC CA J4P3J4"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 671-9911"
"Centre sportif et rÃ©crÃ©atif,""1175, chemin du Coteau-Rouge Longueuil QC CA J4K1X1"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 463-7311"
"Centre sportif GaÃ©tan-Boucher,""3850, rue Edgar Saint-Hubert QC CA J4T3C8"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 656-0200"
"Centre sportif Montpetit,""260, rue De Gentilly Est Longueuil QC CA J4H4A4"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 651-4720"
"Centre sportif Rosanne-Laflamme,""7405,  Saint-Hubert QC CA J3Y7K8"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 463-7311"
"Centre Vie de quartier Notre-Dame-de-la-Garde,""1278, rue Papineau Longueuil QC CA J4K3L1"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-0990"
"Chalet Armand-Racicot,""735, rue Saint-Jean Longueuil QC CA J4H2Y8"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311"
"Chalet Bellerive,""845, rue Maple Longueuil QC CA J4J4N3"",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 646-8901"
"Chalet Carillon,""1405, rue Laurier Longueuil QC CA J4J4H3"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 463-7311"
"Chalet Champvert,""3085, rue Moreau Longueuil QC CA J4L4M5"",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 463-7311"
"Chalet de Normandie,""450, rue de Normandie Longueuil QC CA J4H3P4"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311"
"Chalet de tennis Saint-Charles,""280, rue Montarville Longueuil QC CA J4H2L7"",Arrondissement du Vieux-Longueuil,District 13 - Saint-Hubert,450 646-8698"
