ï»¿NOM,ADRESSE,ARRONDISSEMENT,DISTRICT,TELEPHONE
"Maison GisÃ¨le-Auprix-St-Germain,""150, rue Grant Longueuil QC CA J4H3H6"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 679-6654"
"Maison Jacques-Ferron,""2250, rue Cartier Longueuil QC CA J4K4E9"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,"
"Maison Lamarre,""250, rue Saint-Charles Est Longueuil QC CA J4H1A9"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,"
"Maison La Virevolte,""335, rue Le Moyne Ouest Longueuil QC CA J4H1W4"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 651-1901"
"Maison Le RÃ©veil,""930, rue Saint-Jacques Longueuil QC CA J4H3E2"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-5268"
"Maison Oasis Caroline (HLM),""250, chemin de Chambly Longueuil QC CA J4H3W8"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,"
"MarchÃ© public,""4200, chemin de la Savane Longueuil QC CA J3Y9G4"",Arrondissement de Saint-Hubert,District 12 - Saint-Hubert,"
"Parc Armand-Bruno,""1287,  Saint-Hubert QC CA J4T1H9"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Parc Armand-Racicot,""735, rue Saint-Jean Longueuil QC CA J4H2Y8"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311"
"Parc ArsÃ¨ne Lafrance,"",  Longueuil QC CA J4G1N4"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,"
"Parc Bariteau,""1882, rue Saint-Georges LeMoyne QC CA J4P3J4"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 463-7311"
"Parc BÃ©dard,""2195, rue BÃ©dard Longueuil QC CA J4N1B4"",,District 02 - Vieux-Longueuil,450 463-7311"
"Parc Bellerive,""845, rue Maple Longueuil QC CA J4J4N3"",,District 03 - Vieux-Longueuil,450 463-7311"
"Parc Boisvert,""6005, boulevard Payer Saint-Hubert QC CA J3Y8A6"",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311"
"Parc Campbell,""6940,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311"
"Parc Carillon,""1405, rue Laurier Longueuil QC CA J4J4H3"",,District 04 - Vieux-Longueuil,450 463-7311"
"Parc Catherine-Primot,""195, rue de ChÃ¢teauguay Longueuil QC CA J4H2K8"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311"
"Parc Champvert,""3085, rue Moreau Longueuil QC CA J4L4M5"",,District 05 - Vieux-Longueuil,450 463-7311"
"Parc Christ-Roi,""941, rue Duhamel Longueuil QC CA J4L2Y4"",,District 06 - Vieux-Longueuil,450 463-7311"
"Parc Daniel-Johnson,""5825, avenue Normand Saint-Hubert QC CA J3Y1M6"",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 463-7311"
"Parc D.E. Joyal,""1725,  Saint-Hubert QC CA "",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 463-7311"
"Parc de la CitÃ©,""6201,  Saint-Hubert QC CA J3Y0E6"",Arrondissement de Saint-Hubert,District 13 - Saint-Hubert,450 463-7311"
