OID_;no_reg_for;nm_reg_for;annee;url
27;9;COTE-NORD;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2021_Manicouagan-Outardes_ug93.zip
28;9;COTE-NORD;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2021_Sept-Iles.zip
29;9;COTE-NORD;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2022_Escoumins-Forestville.zip
30;9;COTE-NORD;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2022_Havre-St-Pierre-Anticosti.zip
31;9;COTE-NORD;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2022_Manicouagan-Outardes.zip
32;9;COTE-NORD;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2022_Sept-Iles.zip
33;9;COTE-NORD;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2023_Baie-Comeau.zip
34;9;COTE-NORD;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2023_Forestville.zip
35;9;COTE-NORD;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2023_Havre-St-Pierre-Anticosti.zip
36;9;COTE-NORD;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2023_Sept-Iles.zip
37;10;NORD-DU-QUEBEC;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Nord-du-Quebec/Vigueur2021_Nord-du-Quebec.zip
38;10;NORD-DU-QUEBEC;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Nord-du-Quebec/Vigueur2022_Nord-du-Quebec.zip
39;10;NORD-DU-QUEBEC;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Nord-du-Quebec/Vigueur2023_Nord-du-Quebec.zip
40;11;GASPESIE-ILES-DE-LA-MADELEINE;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Gaspesie-Iles-de-la-Madeleine/Vigueur2021_Gaspesie.zip
41;11;GASPESIE-ILES-DE-LA-MADELEINE;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Gaspesie-Iles-de-la-Madeleine/Vigueur2022_Gaspesie.zip
42;11;GASPESIE-ILES-DE-LA-MADELEINE;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Gaspesie-Iles-de-la-Madeleine/Vigueur2023_Gaspesie.zip
43;14-15;LAURENTIDES-LANAUDIERE;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Laurentides-Lanaudiere/Vigueur2021_Laurentides-Lanaudiere.zip
44;14-15;LAURENTIDES-LANAUDIERE;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Laurentides-Lanaudiere/Vigueur2022_Laurentides-Lanaudiere.zip
45;14-15;LAURENTIDES-LANAUDIERE;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Laurentides-Lanaudiere/Vigueur2023_Laurentides-Launaudiere.zip
