record,SEXE,AGE,LANGU,Q0QC,Q0QCP,Q1Ar1,Q1Ar2,Q1Ar3,Q1Ar4,Q1Ar5,Q1Ar6,Q1Ar7,Q1Ar8,Q1Ar9,Q1Ar96,Q1C,Q1B,Q2,Q3,Q4r1,Q4r2,Q5,Q6,Q7,Q8r1,Q8r2,Q8r3,Q8r4,Q9r1,Q9r2,Q9r3,Q9r4,Q9r5,Q9r6,Q10,N_BARRIERES,pond
132,2,9,4,6,5,0,0,1,0,0,0,0,0,0,0,1,98,6,1,4,5,7,8,2,3,3,5,4,1,2,1,2,1,1,2,2,1.50332
133,1,4,7,6,29,0,0,1,1,1,0,0,0,0,0,2,2,5,1,5,5,6,11,1,4,5,5,5,1,1,1,1,1,1,2,0,2.37739
134,1,13,2,6,22,0,0,0,0,0,0,0,0,1,0,3,1,5,1,3,5,7,3,4,2,2,2,2,1,2,2,1,1,1,1,10,0.85801
139,1,11,2,6,29,0,0,0,0,1,0,0,0,0,0,3,2,6,1,4,4,7,5,4,3,3,3,3,1,2,1,1,1,1,1,4,0.62497
154,2,6,1,6,16,0,0,0,0,1,0,0,0,0,0,3,2,7,1,5,4,7,11,1,2,2,3,3,1,2,2,2,2,1,1,7,0.62223
167,2,6,6,6,26,0,0,1,0,1,0,0,0,0,0,1,1,5,2,4,5,5,9,1,4,5,5,5,1,2,1,1,1,1,1,2,1.66058
180,1,9,1,6,23,0,0,1,0,0,0,0,0,0,0,2,2,2,1,5,2,7,5,2,3,3,4,2,1,2,1,2,2,1,1,7,0.7047
187,1,7,1,6,18,0,1,1,0,0,0,0,0,0,0,1,98,3,1,5,3,3,5,2,4,4,5,3,1,2,2,1,2,1,1,6,1.15168
195,1,4,1,6,1,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,3,7,7,1,4,1,4,1,1,2,2,2,2,1,1,7,1.95482
201,2,9,1,6,24,0,0,0,0,1,0,0,0,0,0,3,2,3,3,5,3,7,11,1,4,3,3,3,1,2,1,2,2,1,1,5,1.16797
205,1,2,1,6,16,1,0,0,0,0,0,0,0,0,0,1,1,5,1,5,4,6,3,3,5,4,4,3,1,1,1,1,1,2,2,3,1.47857
208,1,6,7,6,32,0,0,1,0,0,0,0,0,0,0,1,98,5,1,4,4,7,11,1,4,4,4,4,1,1,1,1,1,1,1,1,2.0818
212,1,5,1,6,12,0,0,1,0,0,0,0,0,0,0,1,1,2,1,5,5,7,6,2,4,3,4,3,1,1,1,1,1,1,1,2,1.24685
213,1,10,6,6,2,0,0,0,0,1,0,0,0,0,0,1,1,3,1,3,5,7,3,2,4,3,4,4,1,2,1,2,2,1,2,5,1.1766
220,1,10,1,6,30,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,3,7,11,1,3,2,3,3,1,1,2,1,1,1,1,3,1.16797
221,1,9,5,6,20,0,0,0,0,1,0,0,0,0,0,3,2,6,1,5,3,6,6,1,3,1,5,2,2,2,1,2,2,1,1,7,1.16797
222,1,4,2,6,17,0,0,1,0,0,0,0,0,0,0,1,2,5,1,4,5,7,5,1,4,3,4,3,1,1,1,2,1,1,1,3,3.26386
226,1,10,2,6,5,0,0,1,0,0,0,0,0,0,0,2,2,5,1,4,5,7,8,3,4,4,3,4,2,2,2,2,2,1,1,7,1.51366
239,2,8,7,6,19,0,0,0,0,1,0,0,0,0,0,3,2,6,2,5,5,6,11,1,5,5,5,5,1,2,1,1,1,1,1,2,1.16797
262,1,9,1,6,16,0,0,0,0,1,0,0,0,0,0,3,2,2,1,5,5,7,1,1,4,4,3,4,2,2,1,1,1,1,1,5,1.16797
293,2,9,1,6,2,0,0,0,0,1,0,0,0,0,0,3,2,5,1,4,2,7,11,1,4,3,5,2,1,1,1,2,1,1,1,3,1.16797
382,2,10,2,6,5,0,0,0,0,1,0,0,0,0,0,3,2,7,1,4,5,7,9,1,5,3,4,5,1,1,1,2,2,2,1,4,1.16797
406,2,7,7,6,26,0,0,1,0,0,0,0,0,0,0,1,1,6,2,5,3,5,5,2,3,2,4,5,2,2,1,2,2,1,1,7,1.16797
413,1,9,7,6,29,0,0,0,0,1,1,0,0,0,0,3,2,3,2,5,4,7,6,1,4,3,4,4,1,2,1,1,1,1,1,2,1.16797
504,1,12,7,6,30,0,0,0,0,1,0,0,0,0,0,3,2,5,2,4,4,7,7,1,1,5,3,3,2,1,1,2,2,1,2,4,1.16797
530,1,9,1,6,29,0,0,0,0,1,0,0,0,0,0,3,2,3,1,5,4,7,6,2,2,3,4,3,2,2,2,2,2,1,1,7,1.16797
534,2,10,7,6,1,0,0,0,0,1,0,0,0,0,0,3,2,3,3,4,4,7,3,1,4,4,2,3,1,2,1,2,1,1,1,6,1.16797
551,2,8,2,6,6,0,0,0,0,0,1,0,0,0,0,3,2,5,1,3,5,7,11,1,4,5,4,5,1,1,1,1,1,1,2,1,1.16797
610,1,10,1,6,1,0,0,0,0,1,0,0,0,0,0,3,2,5,2,5,5,7,8,1,5,4,4,5,1,2,1,2,1,1,1,3,1.16797
633,1,12,5,6,23,0,0,0,0,0,0,0,0,1,0,1,1,2,2,5,2,7,6,2,1,2,4,1,1,2,1,1,1,1,1,6,1.16797
664,1,9,1,6,13,0,0,1,0,0,0,0,0,0,0,1,1,3,1,5,5,7,11,1,5,4,3,5,1,2,1,1,2,1,2,2,1.16797
680,1,9,2,6,33,0,0,0,0,1,0,0,0,0,0,1,2,6,3,3,5,7,11,1,4,3,3,4,1,2,1,1,2,1,1,5,1.16797
727,1,4,7,6,33,0,0,1,0,0,0,0,0,0,0,2,1,5,3,3,5,3,6,2,4,3,5,3,1,1,1,2,1,1,1,5,3.26386
729,2,5,1,6,24,0,0,0,0,0,0,0,1,0,0,2,2,6,1,5,2,7,6,3,3,2,3,3,1,2,2,2,2,1,2,6,0.63248
736,1,7,1,6,29,0,0,1,0,0,0,0,0,0,0,1,,6,1,5,5,7,9,1,4,3,5,4,1,2,1,1,1,1,2,1,0.83888
740,1,5,5,6,26,0,0,1,0,0,0,0,0,0,0,2,1,3,2,5,5,5,7,2,3,3,3,3,1,2,1,2,1,2,1,4,2.0818
744,2,8,7,6,13,0,0,0,0,1,0,0,0,0,0,3,2,3,1,5,4,7,4,3,2,4,3,4,2,2,1,2,1,1,1,7,1.56745
746,2,6,6,6,5,0,0,1,0,0,0,0,0,0,0,3,1,5,3,2,5,5,7,2,5,3,5,3,2,2,1,2,1,1,1,6,2.13629
748,1,3,4,6,31,0,0,1,0,0,0,0,0,0,0,2,1,6,1,5,4,6,11,1,3,3,3,3,1,1,1,2,2,1,2,2,3.26386
752,1,6,1,6,1,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,3,4,6,1,1,1,5,1,2,2,2,2,2,2,1,10,1.24685
757,1,9,1,6,18,0,0,1,0,0,0,0,0,0,0,3,1,2,1,5,4,7,8,2,3,4,5,2,1,2,1,2,2,1,1,6,0.7047
763,2,5,1,6,32,0,0,0,0,1,0,0,0,0,0,3,2,3,1,5,1,7,10,1,2,2,2,2,1,2,2,2,2,1,1,9,0.82266
770,1,8,1,6,24,0,0,1,0,0,0,0,0,0,0,2,1,5,1,4,2,4,5,1,3,2,3,4,1,2,1,1,2,1,2,4,0.88544
774,2,8,2,6,25,0,1,1,0,0,0,0,0,0,0,2,2,3,1,5,5,7,7,4,3,3,4,3,1,2,2,2,2,1,1,6,1.56745
777,1,5,2,6,14,0,0,0,0,1,0,0,0,0,0,3,2,5,1,3,5,6,4,4,5,2,4,2,2,2,2,2,2,1,1,11,2.0818
781,1,3,5,6,12,0,0,1,0,0,0,0,0,0,0,1,,5,1,5,4,6,7,2,2,5,4,5,1,1,1,1,2,2,2,3,3.26386
785,1,8,1,6,8,0,0,0,0,0,1,0,0,0,0,3,2,5,1,5,5,7,11,1,4,4,3,5,1,1,1,1,1,1,2,0,1.15168
792,1,8,1,6,16,0,0,1,0,0,0,0,0,0,0,3,1,3,1,5,3,7,8,3,2,2,2,2,1,2,1,2,2,1,2,8,0.8711
796,1,4,4,6,13,0,0,1,0,0,0,0,0,0,0,1,,5,1,5,5,6,10,2,5,4,4,4,1,2,2,1,1,1,2,2,3.26386
798,2,7,1,6,2,0,0,1,0,0,0,0,0,0,0,1,,2,1,5,5,2,6,2,4,4,5,4,1,2,1,2,1,1,1,5,0.77652
801,2,7,1,6,5,0,1,0,0,0,0,0,0,0,0,2,98,5,1,5,4,7,2,4,3,3,4,2,2,2,2,2,2,2,1,10,0.99897
805,1,2,1,6,5,1,0,0,0,0,0,0,0,0,0,1,,5,1,5,4,6,11,2,4,4,4,4,1,1,1,1,1,1,2,0,2.51482
807,1,2,2,6,17,0,1,0,0,0,0,0,0,0,0,1,,5,1,3,5,5,11,1,1,1,5,2,2,2,2,2,1,1,2,8,3.26386
810,2,6,1,6,14,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,3,7,3,3,4,4,4,3,1,1,1,1,1,1,1,3,0.82266
816,1,3,1,6,13,1,0,0,0,0,0,0,0,0,0,2,1,2,2,3,1,4,2,2,3,3,3,3,1,1,1,1,1,1,1,4,1.95482
818,1,3,1,6,21,1,0,0,0,0,0,0,0,0,0,2,98,7,1,5,5,6,3,2,3,5,4,2,1,2,2,1,1,1,2,4,1.95482
822,1,6,1,6,24,0,0,1,0,1,0,0,0,0,0,3,2,4,1,5,4,7,9,2,4,3,5,4,1,2,2,1,2,1,1,4,0.95861
825,1,5,5,6,26,0,0,1,0,0,0,0,0,0,0,3,1,7,1,5,5,5,9,1,3,3,4,3,1,2,2,1,1,1,2,2,2.0818
830,2,10,1,6,27,0,0,0,0,1,0,0,0,0,0,1,,3,1,5,4,7,5,1,4,4,4,5,1,1,1,1,1,1,1,2,0.57891
833,1,2,4,6,23,0,0,1,1,0,0,0,0,0,0,2,2,3,2,4,5,3,5,3,4,5,5,4,2,2,2,1,1,1,1,7,3.26386
875,1,11,1,6,1,0,0,0,0,1,0,0,0,0,0,3,2,6,1,4,2,7,10,1,3,3,2,4,1,2,1,1,1,1,1,3,0.51389
876,2,5,1,6,14,0,0,0,0,1,0,0,0,0,0,1,,5,2,5,5,5,3,2,3,5,4,5,1,1,1,1,2,1,1,3,0.82266
880,2,9,1,6,30,0,0,0,0,0,0,0,1,0,0,3,1,7,2,5,4,6,11,1,3,5,3,5,1,1,1,2,2,1,1,3,0.57891
882,1,8,1,6,14,1,0,0,0,0,0,0,0,0,0,1,,3,1,5,4,7,7,1,3,3,5,3,2,2,2,2,2,1,1,6,1.15168
885,2,6,1,6,30,0,0,1,0,0,0,0,0,0,0,1,,5,1,5,5,7,10,1,4,3,3,3,1,1,1,1,1,1,1,1,0.82266
887,1,8,1,6,29,0,0,1,0,0,0,0,0,0,0,2,1,6,1,5,5,7,11,4,5,5,5,5,1,1,1,1,1,1,2,1,0.83888
888,2,5,5,6,2,1,0,0,0,0,0,0,0,0,0,2,98,3,2,5,3,4,6,1,4,4,5,3,1,2,2,2,2,2,1,6,1.66058
889,2,13,1,6,21,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,5,7,5,1,4,4,3,3,1,2,1,1,1,1,2,2,0.77268
903,1,11,1,6,8,0,0,0,0,1,0,0,0,0,0,3,2,4,1,5,5,7,6,1,5,4,5,5,1,2,1,2,2,1,1,4,0.51389
904,1,5,4,6,19,0,0,1,0,0,0,0,0,0,0,1,,6,2,4,5,3,7,1,5,5,5,4,1,1,1,1,2,1,1,3,2.0818
907,2,9,2,6,22,0,0,0,0,1,0,0,0,0,0,98,98,5,1,4,5,7,8,1,3,3,4,3,1,2,2,2,2,1,1,5,1.16856
917,1,10,1,6,30,0,0,0,1,0,0,0,0,0,0,1,,3,1,5,3,7,1,4,1,1,3,1,2,2,2,2,2,1,2,10,0.7047
918,1,2,1,6,16,0,0,0,0,0,0,0,1,0,0,1,,2,1,4,4,6,3,3,1,1,3,1,1,1,2,1,1,1,1,8,1.47857
927,2,1,5,6,1,1,0,0,0,0,0,0,0,0,0,2,1,3,1,5,3,5,7,2,2,2,3,2,1,2,1,2,2,1,2,6,1.41986
935,1,9,4,6,15,0,0,0,0,0,1,0,0,0,0,3,2,6,2,5,5,7,11,1,4,4,4,5,1,1,1,1,1,1,1,1,1.1766
941,1,8,4,6,24,0,0,0,0,1,0,0,0,0,0,3,2,3,1,5,5,7,5,2,5,3,3,4,1,2,2,2,2,1,1,6,1.47836
948,2,5,1,6,18,0,0,0,1,0,0,0,0,0,0,1,,2,1,5,4,7,3,3,4,1,4,3,1,2,1,2,2,1,1,8,0.82266
954,1,7,2,6,13,0,0,1,0,0,0,0,0,0,0,2,1,5,1,3,5,7,10,1,3,3,4,3,2,1,2,2,2,2,1,7,1.92289
955,1,5,2,6,8,0,0,0,1,0,0,0,0,0,0,2,1,4,1,1,4,3,2,2,2,2,3,2,2,2,2,2,2,2,1,13,2.0818
957,1,3,2,6,5,1,0,1,0,0,0,0,0,0,0,1,,5,1,3,5,4,3,3,4,4,4,4,1,2,1,1,1,1,1,5,4.19885
958,1,8,1,6,26,0,0,0,0,1,0,0,0,0,0,3,2,5,1,5,4,7,1,3,3,3,2,2,2,2,2,2,2,1,1,10,1.15168
962,1,13,1,6,30,0,0,0,0,0,0,0,0,1,0,3,1,6,1,5,3,7,4,2,3,3,5,4,1,2,1,1,2,2,2,4,0.51389
965,2,2,1,6,32,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,5,5,9,2,1,3,2,3,1,2,2,1,2,1,1,6,0.7034
966,1,10,1,6,23,0,0,0,0,1,0,0,0,0,0,3,2,3,1,4,1,7,4,2,3,3,2,5,1,2,1,1,2,1,1,5,0.7047
969,1,5,2,6,1,0,0,1,0,0,0,0,0,0,0,2,1,6,2,3,5,3,4,1,4,3,5,4,1,2,2,2,2,2,1,9,2.0818
973,2,5,7,6,32,0,0,0,0,0,0,0,1,0,0,3,1,6,2,5,4,4,4,3,3,2,5,3,2,2,2,2,1,2,2,8,1.66058
983,1,10,1,6,15,0,0,0,0,0,0,0,1,0,0,2,98,4,1,5,3,7,7,1,3,2,4,4,1,2,1,2,2,1,1,5,0.7047
984,1,5,6,6,17,0,0,0,0,0,0,0,1,0,0,3,1,6,2,2,4,3,6,3,4,3,5,4,1,2,1,2,2,2,1,8,2.0818
991,2,9,1,6,2,0,0,1,0,0,0,0,0,0,0,2,1,5,1,5,3,7,9,2,3,4,3,3,1,2,2,2,1,1,1,4,0.57891
996,1,4,6,6,19,0,0,0,1,0,0,0,0,0,0,1,,2,3,1,4,3,2,3,1,3,4,2,1,2,1,2,2,2,2,12,3.26386
997,1,3,5,6,29,1,0,0,0,0,0,0,0,0,0,1,,6,1,3,5,6,9,2,2,1,5,2,2,2,2,2,2,1,1,10,2.37739
1015,2,5,2,6,24,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,5,7,9,1,4,4,5,4,1,1,1,1,2,1,1,2,1.27669
1028,1,10,1,6,18,0,0,1,0,0,0,0,0,0,0,1,,5,3,5,4,5,5,1,1,2,4,4,1,2,2,1,2,1,1,8,0.7047
1030,1,5,6,6,22,0,0,1,0,0,0,0,0,0,0,1,,6,1,4,5,7,8,1,4,5,4,4,1,2,1,2,2,1,1,4,2.0818
1033,2,3,7,6,1,0,0,1,0,0,0,0,0,0,0,3,1,3,1,5,5,5,8,1,2,2,1,2,1,2,2,2,1,2,2,8,1.41986
1038,2,2,1,6,13,0,0,1,0,0,0,0,0,0,0,1,,4,1,5,4,6,4,1,2,3,4,3,2,2,2,2,2,1,2,7,0.7034
1041,2,5,1,6,31,0,0,1,0,1,0,0,0,0,0,3,2,4,1,5,4,4,5,3,3,3,4,5,1,2,2,1,1,1,1,5,0.82266
1044,1,2,7,6,30,0,0,1,0,0,0,0,0,0,0,1,,2,1,5,4,4,4,3,2,5,5,5,1,2,2,2,2,1,2,8,3.26386
1046,2,4,1,6,24,0,0,0,1,1,0,0,0,0,0,1,,6,1,5,5,7,3,2,3,2,3,3,1,2,2,2,2,1,1,7,0.54079
1051,2,2,2,6,18,1,0,0,1,0,0,0,0,0,0,2,2,5,1,5,5,6,8,3,3,2,5,2,1,2,2,1,1,2,1,7,1.41986
1052,2,10,2,6,12,0,0,0,0,1,0,0,0,0,0,3,2,3,1,3,5,7,4,1,5,3,5,4,1,2,2,1,2,1,2,5,1.16856
1056,2,3,1,6,32,1,0,1,0,0,0,0,0,0,0,2,1,4,1,5,3,6,8,2,4,3,5,3,2,2,2,2,1,1,2,4,0.7034
1059,1,3,2,6,5,0,0,1,0,0,0,0,0,0,0,1,,5,1,4,5,6,5,1,4,5,4,5,1,1,2,2,1,1,1,4,4.19885
1064,1,7,2,6,30,1,0,0,0,0,0,0,0,0,0,2,1,6,1,4,4,5,6,2,3,3,4,4,1,2,1,1,1,1,1,2,1.92289
1065,2,8,1,6,24,0,0,0,0,0,1,0,0,0,0,3,2,5,1,5,3,7,11,1,4,4,4,5,1,2,1,2,2,1,2,3,0.597
1066,1,9,1,6,30,0,0,0,0,0,1,0,0,0,0,3,1,2,1,5,3,7,10,1,2,5,1,5,1,1,1,1,1,1,1,4,0.7047
1067,1,6,4,6,24,0,0,1,0,0,0,0,0,0,0,1,,6,1,5,5,7,8,1,4,5,5,4,1,1,1,1,1,1,1,1,1.60053
1083,2,6,1,6,14,0,0,1,0,0,0,0,0,0,0,3,1,5,2,5,1,4,9,1,2,1,2,1,2,2,2,1,2,1,2,8,0.82266
1086,2,8,1,6,5,0,0,0,0,1,0,0,0,0,0,3,2,6,3,5,4,6,8,2,3,4,2,4,1,2,1,2,2,1,1,6,0.99897
1088,2,6,2,6,7,0,0,1,0,0,0,0,0,0,0,3,1,6,1,3,5,7,9,1,3,1,5,1,1,2,2,2,2,2,1,9,1.66058
1089,1,9,6,6,26,0,0,0,0,1,0,0,0,0,0,1,,3,1,4,5,7,9,1,4,5,4,4,1,2,1,1,2,1,2,2,1.1766
1090,1,4,1,6,2,0,0,1,0,0,0,0,0,0,0,1,,3,1,4,3,7,9,1,4,3,3,3,1,1,1,1,1,1,2,0,1.95482
1091,2,7,1,6,14,0,0,0,0,1,0,0,0,0,0,1,,6,1,5,5,7,6,3,3,3,4,4,1,2,1,1,1,1,1,3,0.77652
1096,1,4,2,6,7,1,0,0,0,0,0,0,0,0,0,2,2,5,1,5,5,7,6,2,4,4,4,4,1,2,1,1,1,1,1,2,3.26386
1098,1,8,1,6,27,0,0,1,0,0,0,0,0,0,0,1,,3,1,5,5,7,7,2,4,3,3,2,1,2,1,2,2,2,2,5,1.15168
1099,2,2,2,6,22,0,0,1,0,0,0,0,0,0,0,1,,2,3,3,5,6,3,4,2,3,3,3,2,2,2,2,2,2,1,13,1.41986
1101,2,9,1,6,16,0,0,0,0,1,0,0,0,0,0,3,2,3,1,5,3,7,4,1,5,5,5,4,2,2,1,1,1,1,1,4,0.43787
1102,2,4,4,6,33,1,0,0,1,0,0,0,0,0,0,1,,6,2,5,5,2,6,2,3,3,4,2,1,2,2,2,2,1,1,7,1.41986
1112,1,3,4,6,7,1,0,0,0,0,0,0,0,0,0,1,,5,1,5,5,6,9,2,4,5,4,5,1,1,1,1,1,1,1,1,3.26386
1113,1,5,4,6,30,0,0,1,0,0,0,0,0,0,0,1,,6,1,3,5,3,5,1,4,4,5,3,1,2,2,1,1,1,1,6,2.0818
1116,1,1,1,6,23,1,0,0,0,0,0,1,0,0,0,3,1,2,1,4,3,5,7,2,3,4,4,3,2,2,2,2,2,1,2,6,1.95482
1120,2,3,7,6,5,1,0,0,1,0,0,0,0,0,0,2,1,4,1,5,5,6,5,2,2,3,5,2,1,2,2,1,1,1,2,5,1.82661
1124,1,8,7,6,1,0,0,0,0,1,0,0,0,0,0,3,2,4,1,4,5,7,9,1,3,3,4,3,2,2,2,2,2,2,1,7,1.92289
1125,1,10,7,6,26,0,0,0,1,0,0,0,0,0,0,1,,2,1,3,5,7,8,2,2,2,4,3,1,2,1,2,1,2,2,7,1.1766
1129,2,8,1,6,21,0,0,1,0,0,0,0,0,0,0,3,1,4,3,4,4,3,6,2,3,3,2,2,1,2,2,2,2,1,2,8,0.77652
1134,2,2,5,6,18,1,0,0,1,0,0,0,0,0,0,2,2,2,1,5,4,6,6,1,3,3,2,1,1,2,2,2,2,1,1,8,1.41986
1136,1,12,1,6,11,0,0,0,0,0,1,0,0,1,0,3,2,3,1,5,3,7,6,1,3,2,4,3,2,2,2,2,2,1,2,6,0.51389
1138,2,2,5,6,23,0,0,1,0,0,0,0,0,0,0,2,1,3,1,5,4,6,9,1,3,4,2,4,1,2,1,2,2,1,1,5,1.41986
1142,1,7,5,6,24,0,0,0,0,1,0,0,0,0,0,3,2,4,2,5,5,7,2,1,5,5,5,5,2,1,1,2,2,1,1,5,1.47836
1143,1,2,7,6,8,0,0,1,0,0,0,0,0,0,0,2,2,5,1,5,5,6,9,1,4,1,5,2,1,2,2,2,1,1,1,6,3.26386
1144,1,3,4,6,8,0,0,1,0,0,0,0,0,0,0,1,,7,1,4,5,2,7,1,4,5,4,4,1,2,1,1,2,1,1,4,3.26386
1155,1,8,2,6,5,0,0,1,0,0,0,0,0,0,0,2,2,3,1,4,5,7,11,1,5,5,3,4,1,2,1,2,2,1,1,4,2.47375
1158,1,4,1,6,1,0,0,1,0,0,0,0,0,0,0,3,1,6,1,5,3,4,7,1,2,2,3,2,1,2,1,2,2,1,1,7,1.95482
1161,1,5,7,6,5,1,0,0,0,0,0,0,0,0,0,1,,5,3,1,4,3,4,2,4,3,3,3,1,2,1,2,2,1,2,7,2.67818
1162,1,6,7,6,13,0,0,1,0,0,0,0,0,0,0,3,1,5,1,5,5,7,11,1,4,3,4,3,1,2,2,1,1,2,1,4,2.0818
1163,1,5,1,6,1,0,1,0,0,0,0,0,0,0,0,1,,6,1,5,5,4,1,4,3,2,5,1,1,2,1,1,1,1,1,6,1.24685
1167,1,4,1,6,16,1,0,0,0,0,0,0,0,0,0,1,,2,1,5,4,7,9,2,3,3,4,4,1,1,1,1,1,1,1,2,1.47857
1175,1,2,1,6,5,1,0,0,0,0,0,0,0,0,0,2,2,5,2,4,4,3,3,2,4,3,3,4,2,1,1,2,2,1,2,5,2.51482
1179,2,8,2,6,7,0,0,1,0,0,0,0,0,0,0,1,,3,1,3,5,7,6,2,2,2,3,3,1,2,1,2,1,1,1,6,1.56745
1180,2,7,2,6,26,0,0,0,0,1,0,0,0,0,0,2,98,3,1,3,5,6,8,2,3,2,4,3,1,2,1,2,2,1,1,6,1.56745
1183,1,1,4,6,2,1,0,0,0,0,0,0,0,0,0,3,1,3,1,4,5,5,3,1,3,3,5,3,1,2,2,2,1,1,2,4,3.26386
1189,2,3,2,6,5,0,0,1,0,0,0,0,0,0,0,2,98,5,1,4,5,6,9,1,2,2,2,2,2,2,2,2,2,1,1,10,1.82661
1191,2,2,1,6,27,0,0,0,1,0,0,0,0,0,0,2,2,5,1,5,3,6,9,1,3,1,2,2,1,2,2,2,2,2,2,8,0.7034
1196,1,6,4,6,17,0,0,0,0,0,1,0,0,0,0,3,1,3,1,5,5,6,9,1,5,5,5,5,1,1,1,1,2,1,2,1,2.0818
1197,2,3,1,6,17,0,0,0,0,0,1,1,0,0,0,2,1,5,2,4,3,4,4,2,5,5,4,2,2,1,2,2,2,1,2,6,0.7034
1201,1,4,2,6,5,0,0,1,0,0,0,0,0,0,0,3,1,5,1,3,5,7,10,1,4,4,3,2,1,2,1,2,2,1,2,5,4.19885
