"Nom","Début","Fin","Période","Fonction"
"Lavallée, André",1990-11-15,1994-11-23,"Doré (1990-1994)",
"Bossé, Georges",2001-11-19,2005-11-17,"Tremblay (2001-2005)",
"Dauphin, Claude",2001-11-19,2005-11-17,"Tremblay (2001-2005)",
"De Sousa, Alan",2001-11-19,2005-11-17,"Tremblay (2001-2005)",
"Fotopoulos, Helen",2001-11-19,2005-11-17,"Tremblay (2001-2005)",
"Harbour, Stéphane",2004-08-23,2005-11-17,"Tremblay (2001-2005)",
"Libman, Robert",2001-11-19,2004-07-03,"Tremblay (2001-2005)",
"Maciocia, Cosmo",2001-11-19,2005-11-17,"Tremblay (2001-2005)",
"O'Sullivan, Louise",2001-11-19,2004-12-31,"Tremblay (2001-2005)",
"Prescott, Michel",2001-11-19,2005-11-17,"Tremblay (2001-2005)","Vice-président"
"Sénécal, Francine",2001-11-19,2005-11-17,"Tremblay (2001-2005)","Vice-présidente"
"Tremblay, Gérald",2001-11-19,2005-11-17,"Tremblay (2001-2005)","Maire"
"Yeomans, Peter",2001-11-19,2004-07-03,"Tremblay (2001-2005)",
"Zampino, Frank",2001-11-19,2005-11-17,"Tremblay (2001-2005)","Président"
"Applebaum, Michael",2009-01-26,2009-11-17,"Tremblay (2005-2009)",
"Beaudoin, Marie-Andrée",2005-11-17,2009-01-26,"Tremblay (2005-2009)",
"Dauphin, Claude",2005-11-17,2009-11-17,"Tremblay (2005-2009)","Vice-président et président (à compter du 3 juillet 2008)"
"De Sousa, Alan",2005-11-17,2009-11-17,"Tremblay (2005-2009)",
"Deros, Mary",2009-01-26,2009-11-17,"Tremblay (2005-2009)",
"Forcillo,Sammy",2005-11-17,2009-11-17,"Tremblay (2005-2009)","Vice-président (à compter du 26 janvier 2009)"
"Fotopoulos, Helen",2005-11-17,2009-11-17,"Tremblay (2005-2009)",
"Labonté, Benoit",2005-11-17,2007-09-17,"Tremblay (2005-2009)",
"Lavallée, André",2005-11-17,2009-11-17,"Tremblay (2005-2009)","Vice-président (à compter du 26 janvier 2009)"
"Maciocia, Cosmo",2005-11-17,2009-11-17,"Tremblay (2005-2009)",
"Miranda, Luis",2009-01-26,2009-11-17,"Tremblay (2005-2009)",
"Sénécal, Francine",2005-11-17,2008-10-01,"Tremblay (2005-2009)","Vice-présidente"
"Sévigny, Catherine",2009-01-26,2009-11-17,"Tremblay (2005-2009)",
"Tremblay, Gérald",2005-11-17,2009-11-17,"Tremblay (2005-2009)","Maire"
"Tremblay, Marcel",2005-11-17,2009-11-17,"Tremblay (2005-2009)",
"Zampino, Frank",2005-11-17,2008-07-02,"Tremblay (2005-2009)","Président"
"Applebaum, Michael",2009-11-17,2012-11-09,"Tremblay (2009-2012)","Vice-président et président (à compter du 6 avril 2011), démission (9 novembre 2012)"
"Barbe, Manon",2009-11-17,2012-11-22,"Tremblay (2009-2012)",
"Bergeron, Richard",2009-11-17,2010-11-04,"Tremblay (2009-2012)",
"Bissonet, Michel",2009-11-17,2012-11-22,"Tremblay (2009-2012)",
"Campbell, Jocelyn Ann",2011-04-06,2012-11-16,"Tremblay (2009-2012)",
"De Sousa, Alan",2009-11-17,2012-11-22,"Tremblay (2009-2012)","Vice-président"
"Deguire, Gilles",2011-04-06,2012-11-16,"Tremblay (2009-2012)",
"Deros, Mary",2009-11-17,2012-11-22,"Tremblay (2009-2012)",
"Deschamps, Richard",2009-11-17,2012-11-22,"Tremblay (2009-2012)","Vice-président (à compter du 6 avril 2011)"
"Fotopoulos, Helen",2009-11-17,2012-11-22,"Tremblay (2009-2012)",
"Thériault, Lyn",2009-11-17,2011-03-21,"Tremblay (2009-2012)",
"Tremblay, Gérald",2009-11-17,2012-11-05,"Tremblay (2009-2012)","Maire et président (jusqu'au 7 avril 2011), démission (5 novembre 2012)"
"Trudel, Claude",2009-11-17,2012-11-22,"Tremblay (2009-2012)",
"Worth, Monique",2009-11-17,2011-04-07,"Tremblay (2009-2012)",
