ï»¿id,municipalite,arrondissement,secteur,nom_rue,type,longueur,geom
2781667,94068,Chicoutimi,Canton-Tremblay,Rue Louis-Hudon,Rue,98,"LINESTRING (-71.12311455207572 48.453915994157896,-71.12312359447739 48.45391376239359,-71.12313279643652 48.45391241565763,-71.12314927313052 48.453912110589584,-71.1231629075678 48.4539138885929,-71.12317610856586 48.45391759182416,-71.12318947771652 48.453923986898296,-71.1232023279967 48.453934606488026,-71.12320831553322 48.45394348965528,-71.12321097845235 48.45395105793927,-71.12321161982189 48.45395982525642,-71.12320904581162 48.45397023787032,-71.1232055377315 48.45397658043459,-71.12319985364073 48.453983322416654,-71.12318927979864 48.45399144804706,-71.12318273005175 48.45399495963254,-71.1231748206516 48.453998183582264,-71.12316694635534 48.454000519649576,-71.12315953941558 48.45400204463972,-71.12315346368781 48.454002859103085,-71.12314588598575 48.454003357021364,-71.12313563865968 48.454003140893384,-71.12312652889162 48.45400207858069,-71.12311658214011 48.453999907362046,-71.12310904273495 48.45399745779001,-71.12309936603182 48.45399304654158,-71.12308979395563 48.45398668845944,-71.12308141411579 48.45397809614801,-71.12307631916885 48.45396900847846,-71.12306595682485 48.453958507614445,-71.12305106394686 48.45395112245935,-71.12301749116719 48.4539419982902,-71.12294043962117 48.45392391146943,-71.12212553584952 48.45381042478367)"
2775770,94068,Chicoutimi,Canton-Tremblay,Route Sainte-GeneviÃ¨ve,ArtÃ¨re Principale,162,"LINESTRING (-71.11794021591038 48.45595516009877,-71.1189403931184 48.456137260027354,-71.12006488463916 48.45631811492971)"
2781708,94068,Chicoutimi,Canton-Tremblay,Rue AdÃ©lard,Rue,469,"LINESTRING (-71.18899960675057 48.48155537985586,-71.18860492483434 48.48126189320332,-71.18839404460313 48.48101576645734,-71.18820177592697 48.480727978430295,-71.18790137882308 48.480217079366945,-71.18752773082322 48.47968409117203,-71.18733472116867 48.47939638701376,-71.18692639539505 48.4790612573106,-71.1862448333837 48.47861561176616,-71.18559711522337 48.47827850566596,-71.18561023006191 48.47811389202409)"
36214,94068,Chicoutimi,Canton-Tremblay,Chemin des Terres-Rompues,Rue,768,"LINESTRING (-71.17055743157755 48.45873053714718,-71.16627221648665 48.4611681411823,-71.16560317588105 48.46165792063572,-71.1651109361254 48.46222066138496,-71.16474101702978 48.463011964281726,-71.16436282488603 48.463997529104326)"
37641,94068,Chicoutimi,Canton-Tremblay,Route de Tadoussac,ArtÃ¨re Principale,51,"LINESTRING (-71.01056087802796 48.45572675508476,-71.01113545090764 48.45547872119054)"
3985900,94068,Chicoutimi,Canton-Tremblay,Rue Anna,Rue,238,"LINESTRING (-71.02061174029963 48.45106158060401,-71.02072755065039 48.45114658160635,-71.02077022714798 48.45124012571491,-71.0207089155494 48.45132252933353,-71.0196437944931 48.451907891260824,-71.01916258017415 48.4521434149849,-71.01852532490139 48.45244080951929)"
2778151,94068,Chicoutimi,Canton-Tremblay,Rue Ãlie,Rue,87,"LINESTRING (-71.11891526118949 48.45761773768172,-71.11858082784585 48.45783282173108,-71.1184032688124 48.45800121860327,-71.11830438241527 48.45811045204719,-71.11819057846121 48.45822961377877)"
2773780,94068,Chicoutimi,Canton-Tremblay,Rue PichÃ©,Rue,71,"LINESTRING (-70.9990279690804 48.45903683339154,-70.99871899898838 48.45908994104083,-70.99854041271018 48.45911450250239,-70.99835653908451 48.45912096316235,-70.99808069043894 48.45912668839737)"
35926,94068,Chicoutimi,Canton-Tremblay,Route Sainte-GeneviÃ¨ve,ArtÃ¨re Principale,1047,"LINESTRING (-71.17059105596181 48.475097161799916,-71.17016657980656 48.47475357110817,-71.1695329368826 48.47424411230363,-71.16888361200807 48.47364241959389,-71.16862830295109 48.473368355023744,-71.1682319029118 48.4728425375639,-71.1679472027881 48.47235770378115,-71.1676414496044 48.471479925505996,-71.1675732041733 48.47092509328406,-71.16757424222925 48.47039806104601,-71.16767480638156 48.469901934299564,-71.16787940271261 48.46927693835414,-71.16795384960345 48.46909830898982,-71.16811067605961 48.46870936647365,-71.16824085980605 48.468253291111395,-71.16828210430484 48.46763229060887,-71.16823573836767 48.467214565463145,-71.16812131796299 48.466802898774624,-71.16799466126126 48.466464995692675,-71.16791789927534 48.46635889852351,-71.16790375183096 48.4663269545058)"
36628,94068,Chicoutimi,Canton-Tremblay,Rue Jeanne,Rue,40,"LINESTRING (-71.12180972808376 48.454579036029685,-71.12178647958102 48.45463667272677,-71.12175509166747 48.45471448339678,-71.12175177251515 48.454777067848305,-71.12176779382848 48.454821497180966,-71.12179613216495 48.45486797891103,-71.12184160813433 48.4549182012071)"
35925,94068,Chicoutimi,Canton-Tremblay,Route Sainte-GeneviÃ¨ve,ArtÃ¨re Principale,183,"LINESTRING (-71.16658700230379 48.46494951106015,-71.16694296094813 48.465206855142135,-71.1673843543135 48.46561436104919,-71.16753540964473 48.46581188166617,-71.16790375183096 48.4663269545058)"
3983216,94068,Chicoutimi,Canton-Tremblay,Rue Justine,Rue,23,"LINESTRING (-71.01852532490139 48.45244080951929,-71.01829739850521 48.4522967209476)"
3983217,94068,Chicoutimi,Canton-Tremblay,Rue Colinette,Rue,165,"LINESTRING (-71.01952503132934 48.45405492124932,-71.01913999195914 48.45395124762954,-71.01879161890484 48.45367405158977,-71.01866942391003 48.45354773106562,-71.01864633008319 48.45345381466153,-71.01864017106543 48.45335075976239,-71.01869334654013 48.45322138415728,-71.01877548310217 48.453134922397744,-71.01901219083602 48.45292627417761)"
2775597,94068,Chicoutimi,Canton-Tremblay,Route de Tadoussac,ArtÃ¨re Principale,68,"LINESTRING (-70.99815989823065 48.46112965628469,-70.99739935744591 48.461471078573055)"
2778150,94068,Chicoutimi,Canton-Tremblay,Rue Ãlie,Rue,16,"LINESTRING (-71.11943272772967 48.457376980474905,-71.11926295942106 48.45745937282095)"
37642,94068,Chicoutimi,Canton-Tremblay,Chemin Raymond,Route Rurale,495,"LINESTRING (-71.0247961394997 48.46744812361174,-71.02474462675407 48.46731838461388,-71.02474883791574 48.46719714609979,-71.02491741893934 48.46677895086201,-71.02512829085984 48.46625011672919,-71.02535677983732 48.46569571420959,-71.02542832473878 48.465531135615876,-71.02568391262619 48.46496244881035,-71.02576476083989 48.464709471476056,-71.02580051744202 48.46454335627681,-71.02581089611196 48.46439378328978,-71.02583766902048 48.46401757968803,-71.02572238204223 48.46353544128662,-71.025686089833 48.46342375561254,-71.0256091223804 48.46324550637349,-71.02553758491237 48.463122263576984)"
36677,94068,Chicoutimi,Canton-Tremblay,Route de Tadoussac,ArtÃ¨re Principale,1200,"LINESTRING (-71.02061174029963 48.45106158060401,-71.02117979412316 48.450660838511396,-71.0267132667254 48.445674780607476,-71.02698470992192 48.44537940991473,-71.02756864703723 48.44481970136404,-71.02775573906368 48.44464957236725,-71.02799218637223 48.44448272332305,-71.02827147323494 48.44431932953757,-71.02852491816476 48.44420424811823,-71.02873642746887 48.44412837047766,-71.0291284624646 48.443980943120025,-71.02948520787979 48.44387852995197,-71.02978206266582 48.44381261137829,-71.03000432258277 48.443769525596586,-71.03033536205865 48.4437285679332,-71.03064905358035 48.44370813499935,-71.03091790266245 48.443700385247006,-71.03124323022614 48.44369448501209,-71.03156618927673 48.44372122173747)"
35919,94068,Chicoutimi,Canton-Tremblay,Route Sainte-GeneviÃ¨ve,ArtÃ¨re Principale,2901,"LINESTRING (-71.12640291550902 48.45740448822757,-71.12835206751227 48.457732287949696,-71.13280554995201 48.45850412477528,-71.13613766024285 48.45908357751426,-71.13936609442236 48.45965021963992,-71.14061510387667 48.45985791624916,-71.14532142448226 48.46067299315075,-71.14592226350119 48.46077723641708,-71.14852798072451 48.4612343844154,-71.15212110299548 48.46185183419349,-71.15246254783023 48.46191446746577,-71.15448532175438 48.462262071522055,-71.15899713961358 48.46304965970254,-71.16210223526437 48.46357896863591,-71.1634150796269 48.46381155711682,-71.16436282488603 48.463997529104326)"
2778166,94068,Chicoutimi,Canton-Tremblay,Rue Marie-France,Rue,113,"LINESTRING (-71.11717871079357 48.458017266238315,-71.11569444625786 48.45777455839171)"
35912,94068,Chicoutimi,Canton-Tremblay,Route Lavoie,Route Rurale,1143,"LINESTRING (-70.99912766055655 48.47436728779749,-70.99935630018324 48.47457699069711,-70.999531190568 48.47480868598514,-70.99961649424077 48.475050493096376,-70.99967963440224 48.47529739690064,-70.99962598642301 48.47558342069096,-70.99938417463815 48.476375709661106,-70.9991730798674 48.477086873117265,-70.99865020179878 48.4787548780471,-70.99823161352548 48.48011488300453,-70.99794582047063 48.48104551829982,-70.9976859978037 48.48177065508016,-70.9967967479556 48.48435665369673)"
35893,94068,Chicoutimi,Canton-Tremblay,Chemin Raymond,Route Rurale,1177,"LINESTRING (-71.02538980650075 48.46286766981477,-71.02535074429304 48.462800373003795,-71.02525899231853 48.462656929573974,-71.02489854653437 48.46205820422587,-71.02458932257959 48.461801341671844,-71.02449457679123 48.46169755775781,-71.0244187634048 48.46153025327624,-71.02441549736724 48.461419822405716,-71.02449629231486 48.46112011872201,-71.02458409872372 48.46088126929002,-71.02486890625963 48.46013318872343,-71.0253977401418 48.458818530185084,-71.0254781126366 48.458658333312094,-71.02554819905133 48.458540240214255,-71.0256644091498 48.45841397148891,-71.02587959737973 48.45830707367701,-71.02628987765657 48.45820891225173,-71.02710236906913 48.45807188669227,-71.02758571234774 48.4579214844869,-71.02774516747034 48.45790135464089,-71.0278737439256 48.45790076496652,-71.02814118831242 48.45793830759088,-71.02995432577433 48.45825482386172,-71.03142548364077 48.4584700640341,-71.0334794759508 48.45888251945441,-71.03363976275527 48.45890103389722,-71.03375895619035 48.45889878222576,-71.03387412912276 48.45888398472471,-71.03394083525906 48.45886508775181,-71.03399164657255 48.45883823211683,-71.03406402324283 48.45879711562822)"
2781675,94068,Chicoutimi,Canton-Tremblay,Route Sainte-GeneviÃ¨ve,ArtÃ¨re Principale,260,"LINESTRING (-71.12300062438028 48.45681862570556,-71.12640291550902 48.45740448822757)"
2775771,94068,Chicoutimi,Canton-Tremblay,Route Sainte-GeneviÃ¨ve,ArtÃ¨re Principale,224,"LINESTRING (-71.12006488463916 48.45631811492971,-71.12300062438028 48.45681862570556)"
2778164,94068,Chicoutimi,Canton-Tremblay,Rue Fabien,Rue,490,"LINESTRING (-71.10223906358948 48.4642130749774,-71.10178490892298 48.464085747144715,-71.10072118624993 48.46379864456329,-71.09918201737716 48.463382521503945,-71.09610112099934 48.4625601992208)"
2773858,94068,Chicoutimi,Canton-Tremblay,Rue Margot,Rue,136,"LINESTRING (-70.9921059700952 48.46424166029724,-70.99211952179385 48.464384047016615,-70.9919807127682 48.464737498609665,-70.99165482081004 48.46542320671639)"
3985895,94068,Chicoutimi,Canton-Tremblay,Route de Tadoussac,ArtÃ¨re Principale,348,"LINESTRING (-71.002050929021 48.45937110773355,-71.00009041959439 48.460267303256984,-70.99815989823065 48.46112965628469)"
2781671,94068,Chicoutimi,Canton-Tremblay,Rue de la SablonniÃ¨re,Rue,102,"LINESTRING (-71.12935582481728 48.455738032549704,-71.12937202765765 48.45572821620807,-71.12938536668888 48.45572244656333,-71.1293976155846 48.45571851042649,-71.12940900383705 48.45571583093726,-71.12942302175293 48.455713681191796,-71.12943891815841 48.455712657092,-71.1294531828698 48.45571297120352,-71.12947022719838 48.45571489799414,-71.12948306987732 48.455717541189024,-71.12949796391828 48.45572205916922,-71.12950938954495 48.45572677779517,-71.12952277126874 48.45573408673737,-71.12953241209748 48.455740992531716,-71.12953982622442 48.45574769915071,-71.12954771933617 48.45575705723005,-71.1295528067998 48.45576543144156,-71.1295575097683 48.45577814008697,-71.12955879391532 48.4557863120566,-71.12955806820774 48.4557997941891,-71.12955446469434 48.45581159672615,-71.1295505828405 48.45581915029882,-71.12954506468283 48.45582701321653,-71.12953711369707 48.45583550372104,-71.12953160402974 48.45584022594413,-71.12951894604687 48.45584880605157,-71.12950948548593 48.455853748648885,-71.12949967147776 48.455857881934755,-71.12948590462868 48.45586229676281,-71.12947638365657 48.4558645406377,-71.12946741549518 48.45586611144736,-71.12945018278008 48.455867762535185,-71.12943725379685 48.45586787552,-71.12942664002277 48.45586725273651,-71.12941293578537 48.45586546686296,-71.12939046095629 48.45585990477493,-71.12937632001908 48.455854402334204,-71.12936331019903 48.45584753743555,-71.12935314899512 48.45584272553973,-71.12933141176364 48.45583360774076,-71.12931656687569 48.45582967676776,-71.12928028208171 48.45582230416698,-71.12921450460153 48.45581831080154,-71.12854504718062 48.45577217467956)"
3985535,94068,Chicoutimi,Canton-Tremblay,Rue Gilles,Rue,371,"LINESTRING (-71.0559224593878 48.47964271841186,-71.05712615704863 48.47983550889246,-71.05728962004284 48.47987349514097,-71.05734146516308 48.47990923003174,-71.05737901915698 48.47994503320756,-71.05741123792855 48.48000009991397,-71.05741515569042 48.48005530367534,-71.05694311939571 48.48125870131956,-71.0568933390171 48.48130639428276,-71.05685004860743 48.481328195104275,-71.05679332374902 48.48134754713773,-71.05669973946092 48.4813569216493,-71.05615709737334 48.48128554594184,-71.05559332574374 48.48121549822393)"
35933,94068,Chicoutimi,Canton-Tremblay,Chemin Nil-Jean,Route Rurale,1514,"LINESTRING (-71.16212316768014 48.4846631876635,-71.1621078785446 48.484405003408554,-71.16213030356309 48.484164159881075,-71.16237777640328 48.483475142913186,-71.1635993404365 48.48026292470594,-71.16524276423773 48.475904150351404,-71.16552450824092 48.475106180544515,-71.16559596744068 48.47496870159092,-71.16565984155511 48.47490263147387,-71.16578059891954 48.47488720652257,-71.16589334196979 48.474910342922186,-71.16754735464757 48.47528250660783,-71.16844542006581 48.47547554673544,-71.16863157380678 48.47552029341371,-71.1687570413651 48.47554848225763,-71.16889544510943 48.47557939555799,-71.16907295652913 48.47560441795039,-71.1693801069186 48.47559349877215,-71.1696128624304 48.47555336621606,-71.16997928680215 48.47547340761598,-71.17059105596181 48.475097161799916)"
3985536,94068,Chicoutimi,Canton-Tremblay,Route Madoc,Route Rurale,127,"LINESTRING (-71.05306930499526 48.48465379391403,-71.0525140015578 48.48482821950887,-71.05187812738515 48.48495845560885,-71.05146184046372 48.485048874953094)"
2772957,94068,Chicoutimi,Canton-Tremblay,Chemin des Terres-Rompues,Rue,1385,"LINESTRING (-71.17055743157755 48.45873053714718,-71.17088073227471 48.45733879598401,-71.17086218198163 48.457211035964534,-71.17076511507979 48.45708782939243,-71.170305217471 48.456605938693095,-71.16986208174227 48.45621121762947,-71.16887158515144 48.45568174422568,-71.16845161607615 48.45543878278764,-71.16787109512958 48.45513739588278,-71.16746634869777 48.455012501834766,-71.16706530424942 48.45492976693866,-71.16645440531933 48.454666215180765,-71.16613569927827 48.45457446323146,-71.16504835030803 48.4542138795267,-71.16487241493046 48.454142250103864,-71.16447190894004 48.453922538475446,-71.16421455568543 48.45384133108518,-71.16222598888146 48.45366335375433,-71.16050840523376 48.45345749719516,-71.15804573665234 48.45299150372301,-71.15672918537406 48.452778131801445,-71.15652115340609 48.45275666326691)"
36236,94068,Chicoutimi,Canton-Tremblay,Route Villeneuve,Route Rurale,61,"LINESTRING (-70.99739935744591 48.461471078573055,-70.99743757473505 48.461634599706585,-70.99728874615694 48.46200395998792)"
5748783,94068,Chicoutimi,Canton-Tremblay,Rue Lucien,Rue,74,"LINESTRING (-70.99825079067264 48.4621504587534,-70.99792540102338 48.46214280483048,-70.99728874615694 48.46200395998792)"
2773204,94068,Chicoutimi,Canton-Tremblay,Rue Ãlie,Rue,129,"LINESTRING (-71.12006488463916 48.45631811492971,-71.11969212217683 48.45716926013153,-71.11959441644605 48.457243930448485,-71.11952883641597 48.457298924622684,-71.11943272772967 48.457376980474905)"
37643,94068,Chicoutimi,Canton-Tremblay,Chemin Raymond,Route Rurale,30,"LINESTRING (-71.02553758491237 48.463122263576984,-71.02538980650075 48.46286766981477)"
3985890,94068,Chicoutimi,Canton-Tremblay,Rue PichÃ©,Rue,268,"LINESTRING (-71.002050929021 48.45937110773355,-71.00158773109928 48.45885771571362,-71.00143847395425 48.45874735375849,-71.00132216660657 48.458696886247786,-71.00123685950216 48.45868139903264,-71.00114404740633 48.45868208652085,-71.001061946232 48.45868952392267,-70.99919200651095 48.45900855238307,-70.9990279690804 48.45903683339154)"
2781669,94068,Chicoutimi,Canton-Tremblay,Rue Jeanne,Rue,89,"LINESTRING (-71.12212553584952 48.45381042478367,-71.12194556479358 48.454306065775555,-71.12180972808376 48.454579036029685)"
5749072,94068,Chicoutimi,Canton-Tremblay,Rue Alice,Rue,153,"LINESTRING (-71.01952503132934 48.45405492124932,-71.0197016974194 48.45357705728927,-71.0197961316806 48.453486009084145,-71.02013152527918 48.453311179253156,-71.0208622085406 48.45324551412822)"
5748785,94068,Chicoutimi,Canton-Tremblay,Chemin de la RiviÃ¨re,Rue,152,"LINESTRING (-71.0548008641621 48.48523053626841,-71.0548218028743 48.484963101645015,-71.05481932839228 48.48488594877182,-71.0547829090616 48.48483415378237,-71.05413228131484 48.48435097018513,-71.05389949013258 48.48419930260625,-71.0537805750862 48.484136183572154)"
3987424,94068,Chicoutimi,Canton-Tremblay,Chemin des Berges,Rue,83,"LINESTRING (-71.0534109740369 48.48536069929429,-71.05340097504852 48.48522481454943,-71.05330328991887 48.48501685522537,-71.05306930499526 48.48465379391403)"
35897,94068,Chicoutimi,Canton-Tremblay,Chemin Raymond,Route Rurale,115,"LINESTRING (-71.0247961394997 48.46744812361174,-71.02486505348244 48.46760611369192,-71.02492044184278 48.46773273209368,-71.02495718182891 48.46782658478191,-71.02495969058948 48.46790473393577,-71.02494134109202 48.46802489201932,-71.02483411401072 48.46845943516454)"
5749071,94068,Chicoutimi,Canton-Tremblay,Rue Colinette,Rue,163,"LINESTRING (-71.01952503132934 48.45405492124932,-71.02000462440769 48.454166275211264,-71.02025483791898 48.45419757877282,-71.02050939966279 48.45419458758341,-71.02083648955694 48.4541564327599,-71.0216743636907 48.454058624494934)"
37631,94068,Chicoutimi,Canton-Tremblay,Route Madoc,Route Rurale,10,"LINESTRING (-71.0537805750862 48.484136183572154,-71.05371679550949 48.48421824385182)"
2773276,94068,Chicoutimi,Canton-Tremblay,Rue Candide,Rue,123,"LINESTRING (-71.11762618070658 48.45740521169212,-71.11602224415438 48.457127526578574)"
37825,94068,Chicoutimi,Canton-Tremblay,Route Madoc,Route Rurale,66,"LINESTRING (-71.05692624987722 48.46320795491327,-71.05646643881221 48.46312113763605,-71.05626420408235 48.46308142458404,-71.05621682096657 48.46306737591837,-71.05617476593176 48.4630497318417,-71.05614125087965 48.46302776362998,-71.056106415388 48.46300462539834)"
36425,94068,Chicoutimi,Canton-Tremblay,Rue de Vimy,Rue,141,"LINESTRING (-71.03422441429244 48.4469818774779,-71.0360219715256 48.44739912052604)"
35039,94068,Chicoutimi,Canton-Tremblay,Route Madoc,Route Rurale,15,"LINESTRING (-71.05323633001815 48.48457879436216,-71.05306930499526 48.48465379391403)"
3985891,94068,Chicoutimi,Canton-Tremblay,Route de Tadoussac,ArtÃ¨re Principale,219,"LINESTRING (-71.02061174029963 48.45106158060401,-71.01942617125324 48.45170762165148,-71.01829739850521 48.4522967209476)"
5748784,94068,Chicoutimi,Canton-Tremblay,Chemin des Eaux-Vives,Rue,249,"LINESTRING (-71.05323633001815 48.48457879436216,-71.0527711843484 48.48419022349792,-71.0525277216924 48.48405206178358,-71.05213064339564 48.48388971568745,-71.05206493827448 48.483801675086184,-71.05203179829421 48.48357414756012,-71.05215334104346 48.48299811654705,-71.05238038076406 48.48272289678758)"
2778552,94068,Chicoutimi,Canton-Tremblay,Rue Gauthier,Rue,186,"LINESTRING (-70.9921059700952 48.46424166029724,-70.9896064138663 48.464453376221144)"
36215,94068,Chicoutimi,Canton-Tremblay,Rue Wilson,Route Rurale,1425,"LINESTRING (-71.18905173672329 48.45733112841102,-71.18907692529534 48.45732376542983,-71.18909089417693 48.45732114192702,-71.1891053952372 48.45732157314366,-71.18911785369946 48.4573238414409,-71.18912405987122 48.457328916380874,-71.18912710262148 48.45733513809152,-71.1891269071922 48.45734167868746,-71.18912160555122 48.45734718858546,-71.18911286930567 48.45735019357721,-71.18909592098332 48.45735147325453,-71.18908603657977 48.45735126891965,-71.18901309789452 48.457342270184064,-71.18735505780096 48.45745308781799,-71.18271609447585 48.45778293288151,-71.17879747711999 48.45805157969383,-71.17756571734618 48.45814719471209,-71.17718482825636 48.458192482004165,-71.17596808699629 48.458265336050175,-71.17545695961816 48.45825021270106,-71.17506167825915 48.45823780638823,-71.1744350725899 48.45811913966876,-71.17382108900061 48.457924500201905,-71.17360762123948 48.45788043887868,-71.17339563409041 48.45787949127073,-71.17261641507906 48.45786174334204,-71.17228079499871 48.457935207231884,-71.17195170100493 48.458033982078504,-71.1716806967831 48.45812586854542,-71.17131939015269 48.4582568647406,-71.17103394911777 48.4584375086632,-71.17055743157755 48.45873053714718)"
2779262,94068,Chicoutimi,Canton-Tremblay,Rue de Vimy,Collectrice,640,"LINESTRING (-71.04655854606787 48.44949146933841,-71.04662591624181 48.449979792209426,-71.04663695209152 48.45000987271521,-71.04665821209228 48.450037359400646,-71.04669675200482 48.45006374679372,-71.04674350749849 48.450080275680484,-71.05402615786899 48.45176381628532)"
3983215,94068,Chicoutimi,Canton-Tremblay,Rue Justine,Rue,248,"LINESTRING (-71.02169310492891 48.451643184346416,-71.02081806765088 48.45217161700713,-71.0198568925199 48.4526798892956,-71.0197414093331 48.45272438078295,-71.01943735463317 48.45287111615981,-71.01931173733611 48.45291019730278,-71.01923346529443 48.45291621388185,-71.01913817656744 48.4529234403912,-71.01901219083602 48.45292627417761)"
2778551,94068,Chicoutimi,Canton-Tremblay,Rue Gauthier,Rue,332,"LINESTRING (-70.99653990031312 48.463808208064606,-70.99608493109784 48.463875399386275,-70.99501210349614 48.463987065584085,-70.9921059700952 48.46424166029724)"
