ID_BASSIN,NUM_DISTRICT,ARRONDISSEMENT,NOM_DISTRICT,NOM_BASSIN
166,74,"Mercier-Hochelaga-Maisonneuve","Louis-Riel","ÉGLISE SAINT-DONAT-Sous-sol"
167,81,"Montréal-Nord","Marie-Clarac","ÉCOLE JEAN-NICOLET ANNEXE (HORS-DISTRICT)-Salle polyvalente"
168,81,"Montréal-Nord","Marie-Clarac","ÉCOLE AMOS-Gymnase"
169,81,"Montréal-Nord","Marie-Clarac","ÉCOLE PIERRE-DE-COUBERTIN-Gymnase"
170,81,"Montréal-Nord","Marie-Clarac","ÉCOLE SAINTE-GERTRUDE-Gymnase"
171,81,"Montréal-Nord","Marie-Clarac","ÉCOLE RENÉ-GUÉNETTE-Gymnase"
441,192,"Villeray-Saint-Michel-Parc-Extension","François-Perrault","ÉCOLE JOHN F. KENNEDY-Le Bistro  salle 2"
172,81,"Montréal-Nord","Marie-Clarac","ÉCOLE SECONDAIRE MARIE-CLARAC-Salle polyvalente, rez-de-chaussée"
173,81,"Montréal-Nord","Marie-Clarac","ÉCOLE PIERRE-DE-COUBERTIN-Petit gymnase"
174,81,"Montréal-Nord","Marie-Clarac","ÉCOLE SECONDAIRE MARIE-CLARAC-Gymnase"
175,81,"Montréal-Nord","Marie-Clarac","ÉCOLE SAINT-RÉMI-Gymnase"
176,81,"Montréal-Nord","Marie-Clarac","ÉCOLE SAINT-VINCENT-MARIE-Gymnase 1"
177,81,"Montréal-Nord","Marie-Clarac","ÉCOLE SECONDAIRE CALIXA-LAVALLÉE-Cafétéria"
184,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE JEAN-NICOLET ANNEXE-Gymnase"
178,81,"Montréal-Nord","Marie-Clarac","ÉCOLE SAINT-RÉMI ANNEXE-Grande salle"
179,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE SECONDAIRE HENRI-BOURASSA-Cafétéria"
180,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE SAINTE-COLETTE-Gymnase"
181,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE SAINTE-COLETTE ANNEXE-Gymnase"
182,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE JEAN-NICOLET-Gymnase"
183,82,"Montréal-Nord","Ovide-Clermont","PAVILLON COMMUNAUTAIRE DU PARC HENRI-BOURASSA-Salle A"
185,82,"Montréal-Nord","Ovide-Clermont","PAVILLON COMMUNAUTAIRE DU PARC HENRI-BOURASSA-Salle B"
186,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE SECONDAIRE HENRI-BOURASSA-Gymnase"
187,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE ADÉLARD-DESROSIERS-Gymnase"
188,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE GERALD MCSHANE-Gymnase"
189,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE JULES-VERNE-Gymnase"
190,82,"Montréal-Nord","Ovide-Clermont","ÉCOLE LE CARIGNAN-Gymnase"
48,23,"Anjou","Centre","CENTRE COMMUNAUTAIRE D'ANJOU-Salle 0.131"
191,91,"Outremont","Claude-Ryan","ÉCOLE NOUVELLE-QUERBES-Grande salle"
192,91,"Outremont","Claude-Ryan","ÉCOLE PAUL-GÉRIN-LAJOIE-D'OUTREMONT-Gymnase"
193,92,"Outremont","Joseph-Beaubien","ÉCOLE GUY-DRUMMOND-Gymnase"
442,192,"Villeray-Saint-Michel-Parc-Extension","François-Perrault","MAISON DU CITOYEN DE VILLERAY - SAINT-MICHEL - PARC-EXTENSION-Salle de réunion - 2e étage"
194,92,"Outremont","Joseph-Beaubien","COLLÈGE STANISLAS-Grand gymnase"
195,93,"Outremont","Robert-Bourassa","ÉCOLE VINCENT D'INDY-Gymnase"
293,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE COMMUNAUTAIRE PETITE-CÔTE-Salon Rouge"
298,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE GABRIELLE-ET-MARCEL LAPALME-Gymnase"
299,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE GABRIELLE-ET-MARCEL-LAPALME-Salles  St-Jean et Legros"
301,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","CENTRE COMMUNAUTAIRE PETITE-CÔTE-Gymnase"
302,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Salle multifonctionnelle"
303,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINTE-BIBIANE-Gymnase"
304,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Nouveau gymnase"
306,134,"Rosemont-La Petite-Patrie","Marie-Victorin","ÉCOLE MARGUERITE-DE LAJEMMERAIS-Cafétéria-chaude"
271,123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE MARC-AURÈLE-FORTIN-Gymnase"
272,123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","COMPLEXE SPORTIF MARIE-VICTORIN-Gymnase 2"
275,131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ÉTIENNE-Gymnase"
274,131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE LA MENNAIS-Gymnase"
277,131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE PÈRE-MARQUETTE-Gymnase 2"
278,131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-AMBROISE-Gymnase"
279,131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ARSÈNE-Gymnase"
280,131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉGLISE SAINT-ÉDOUARD-Salle paroissiale - sous-sol"
281,131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE FÉLIX-LECLERC TRANSITOIRE-Gymnase"
283,131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE LA PETITE-PATRIE - PAVILLON NOTRE-DAME-DE-LA-DÉFENSE-Gymnase"
284,132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Cafétéria"
285,132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","CENTRE ÉTIENNE-DESMARTEAU-Gymnase 1"
286,132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","CENTRE MARIE-MÉDIATRICE-Gymnase"
