IdGeom;nomprojet;nomrue;nlog;unites_typ;loghlm_fam;loghlm_pa;loghlm_aut;projettype;type_prog;an_program;an_effecti;arrondvill;villelie;qr2008;localisati;aired_id;longitude;latitude;xnad83;ynad83
74;Coleraine-Saint-Gabriel;Augustin-Cantin;8;logement;8;0;0;HLM;;1973;;Le Sud-Ouest;;47;Aire de diffusion;24661125;-73,5680893;45,48181216;299477,0916;5037989,694
75;Coleraine-Saint-Gabriel;Augustin-Cantin;16;logement;16;0;0;HLM;;1973;;Le Sud-Ouest;;47;Aire de diffusion;24661125;-73,5680893;45,48181216;299477,0916;5037989,694
76;De Châteauguay III;Augustin-Cantin;17;logement;17;0;0;HLM;;1977;;Le Sud-Ouest;;47;Aire de diffusion;24662129;-73,56903765;45,47966997;299402,7495;5037751,696
77;De Châteauguay I et II;Augustin-Cantin;6;logement;6;0;0;HLM;;1976;;Le Sud-Ouest;;47;Aire de diffusion;24662129;-73,56903765;45,47966997;299402,7495;5037751,696
78;De Châteauguay I et II;Augustin-Cantin;6;logement;6;0;0;HLM;;1976;;Le Sud-Ouest;;47;Aire de diffusion;24662129;-73,56903765;45,47966997;299402,7495;5037751,696
79;De Châteauguay I et II;Augustin-Cantin;6;logement;6;0;0;HLM;;1976;;Le Sud-Ouest;;47;Aire de diffusion;24662129;-73,56903765;45,47966997;299402,7495;5037751,696
80;Aylwin;Aylwin;6;logement;6;0;0;HLM;;1990;;Mercier–Hochelaga-Maisonneuve;;27;Aire de diffusion;24661918;-73,5373579;45,54113943;301882,5977;5044581,196
81;Verdun V;Bannantyne;86;logement;0;78;8;HLM;;1985;;Verdun;;64;Aire de diffusion;24661183;-73,57559699;45,46422052;298888,3356;5036035,261
82;Verdun IV;Bannantyne;120;logement;120;0;0;HLM;;1986;;Verdun;;64;Aire de diffusion;24661180;-73,5736225;45,46175288;299042,4889;5035760,889
83;Barclay;Barclay;14;logement;14;0;0;HLM;;1994;;Côte-des-Neiges–Notre-Dame-de-Grâce;;43;Aire de diffusion;24661319;-73,63633022;45,50107073;294145,9617;5040136,69
84;Barclay;Barclay;14;logement;14;0;0;HLM;;1994;;Côte-des-Neiges–Notre-Dame-de-Grâce;;43;Aire de diffusion;24660679;-73,63828801;45,49888488;293992,5444;5039894,037
85;Barclay;Barclay;14;logement;14;0;0;HLM;;1994;;Côte-des-Neiges–Notre-Dame-de-Grâce;;43;Aire de diffusion;24660671;-73,64009601;45,49687121;293850,8556;5039670,502
86;Barclay;Barclay;14;logement;14;0;0;HLM;;1994;;Côte-des-Neiges–Notre-Dame-de-Grâce;;43;Aire de diffusion;24660671;-73,64009601;45,49687121;293850,8556;5039670,502
87;Barclay;Barclay;10;logement;9;0;1;HLM;;1994;;Côte-des-Neiges–Notre-Dame-de-Grâce;;43;Aire de diffusion;24660671;-73,64009601;45,49687121;293850,8556;5039670,502
88;Barclay;Barclay;14;logement;14;0;0;HLM;;1994;;Côte-des-Neiges–Notre-Dame-de-Grâce;;43;Aire de diffusion;24660616;-73,64364319;45,49469842;293573,1956;5039429,528
89;Beaubien;Beaubien;106;logement;0;97;9;HLM;;1978;;Rosemont–La Petite-Patrie;;14;Aire de diffusion;24661464;-73,60542166;45,53621841;296566,5552;5044039,044
90;Tourville A;Beaudoin;5;logement;4;0;1;HLM;;1978;;Le Sud-Ouest;;50;Aire de diffusion;24661053;-73,58563844;45,47422829;298104,2819;5037148,211
91;Papineau A;Beaudry;82;logement;0;74;8;HLM;;1977;;Ville-Marie;;30;Aire de diffusion;24661854;-73,56078648;45,52108098;300051,2948;5042353,199
92;Beaudry;Beaudry;27;logement;27;0;0;HLM;;1973;;Ville-Marie;;30;Aire de diffusion;24661854;-73,56078648;45,52108098;300051,2948;5042353,199
93;Papineau B;Beaudry;6;logement;6;0;0;HLM;;1979;;Ville-Marie;;30;Aire de diffusion;24661851;-73,56371342;45,52244175;299822,7591;5042504,599
94;Beaudry;Beaudry;23;logement;23;0;0;HLM;;1973;;Ville-Marie;;30;Aire de diffusion;24661851;-73,56371342;45,52244175;299822,7591;5042504,599
95;PLM REST.732-2 (Beaumont);Beaumont;19;logement;19;0;0;HLM;;1972;;Villeray–Saint-Michel–Parc-Extension;;11;Aire de diffusion;24661621;-73,61949251;45,52878208;295466,3899;5043214,177
96;Bedford;Bedford;18;logement;18;0;0;HLM;;1990;;Côte-des-Neiges–Notre-Dame-de-Grâce;;42;Aire de diffusion;24661313;-73,63577;45,5074523;294190,9405;5040845,802
97;Bedford;Bedford;18;logement;18;0;0;HLM;;1990;;Côte-des-Neiges–Notre-Dame-de-Grâce;;42;Aire de diffusion;24661313;-73,63577;45,5074523;294190,9405;5040845,802
98;Notre-Dame;Bennett;9;logement;9;0;0;HLM;;1987;;Mercier–Hochelaga-Maisonneuve;;28;Aire de diffusion;24661922;-73,52895638;45,55290175;302539,1717;5045888,088
99;Claude De Mestral;Benny;35;logement;32;0;3;HLM;;1991;;Côte-des-Neiges–Notre-Dame-de-Grâce;;45;Aire de diffusion;24660753;-73,63254646;45,46709034;294435,4289;5036359,95
100;Ahuntsic;Berri;70;logement;0;66;4;HLM;;1989;;Ahuntsic-Cartierville;;4;Aire de diffusion;24662529;-73,66417876;45,55527148;291981,9489;5046164,142
101;Crémazie;Berri;72;logement;0;66;6;HLM;;1986;;Ahuntsic-Cartierville;;5;Aire de diffusion;24662611;-73,64073026;45,54599184;293810,8534;5045129,405
102;Jean-Valets;Bloomfield;64;logement;0;63;1;HLM;;1980;;Villeray–Saint-Michel–Parc-Extension;;11;Aire de diffusion;24661617;-73,64046186;45,53244432;293829,1775;5043623,816
103;Bloomfield;Bloomfield;12;logement;12;0;0;HLM;;1979;;Villeray–Saint-Michel–Parc-Extension;;11;Aire de diffusion;24661525;-73,62545727;45,52682;295000,1393;5042996,839
104;Maison Justine-Lavoie;Bloomfield;24;logement;0;24;0;HLM;;1988;;Outremont;;74;Aire de diffusion;24661386;-73,60521464;45,51994062;296580,3532;5042230,056
105;Everett;Bordeaux;6;logement;6;0;0;HLM;;1991;;Villeray–Saint-Michel–Parc-Extension;;9;Aire de diffusion;24661493;-73,6072308;45,55044976;296427,3736;5045620,78
106;Fullum;Bordeaux;3;logement;3;0;0;HLM;;1981;;Ville-Marie;;30;Aire de diffusion;24661881;-73,56195747;45,52948447;299960,5359;5043287,155
107;Sainte-Agnès;Boucher;50;logement;0;49;1;HLM;;1991;;Le Plateau-Mont-Royal;;34;Aire de diffusion;24661436;-73,59106796;45,5268965;297686,4054;5043001,719
108;Ville-Marie;Bourbonnière;5;logement;5;0;0;HLM;;1985;;Mercier–Hochelaga-Maisonneuve;;27;Aire de diffusion;24661919;-73,53404795;45,54477496;302141,254;5044985,103
109;Saint-Mathias;Bourbonnière;4;logement;4;0;0;HLM;;1992;;Mercier–Hochelaga-Maisonneuve;;27;Aire de diffusion;24661741;-73,54009957;45,54701135;301668,8179;5045233,853
110;Morgan-Lafontaine;Bourbonnière;6;logement;6;0;0;HLM;;1975;;Mercier–Hochelaga-Maisonneuve;;29;Aire de diffusion;24661761;-73,54481694;45,54837798;301300,5455;5045385,924
111;Coleraine-Saint-Gabriel;Bourgeoys;4;logement;4;0;0;HLM;;1973;;Le Sud-Ouest;;47;Aire de diffusion;24661250;-73,56053117;45,47970735;300067,7751;5037755,314
112;Rose-de-Lima A, B, C, D;Bourget;6;logement;6;0;0;HLM;;1975;;Le Sud-Ouest;;50;Aire de diffusion;24662131;-73,57890921;45,47784733;298630,808;5037549,856
113;Lenoir Saint-Henri;Bourget;6;logement;6;0;0;HLM;;1972;;Le Sud-Ouest;;50;Aire de diffusion;24662131;-73,57890921;45,47784733;298630,808;5037549,856
114;Lenoir Saint-Henri;Bourget;5;logement;5;0;0;HLM;;1972;;Le Sud-Ouest;;50;Aire de diffusion;24662131;-73,57890921;45,47784733;298630,808;5037549,856
115;De Fleurimont;Boyer;48;logement;0;43;5;HLM;;1984;;Rosemont–La Petite-Patrie;;15;Aire de diffusion;24661447;-73,59668477;45,53565326;297248,8316;5043975,38
116;Bruchési;Bruchési;61;logement;0;57;4;HLM;;1984;;Villeray–Saint-Michel–Parc-Extension;;7;Aire de diffusion;24662639;-73,63850545;45,56991589;293989,1697;5047787,82
117;Villeneuve B;De Bullion;9;logement;9;0;0;HLM;;1977;;Le Plateau-Mont-Royal;;35;Aire de diffusion;24663350;-73,5697456;45,5150958;299350,821;5041688,629
118;Plateau Mont-Royal;De Bullion;11;logement;11;0;0;HLM;;1973;;Le Plateau-Mont-Royal;;35;Aire de diffusion;24663346;-73,57244731;45,51607597;299139,8362;5041797,743
119;De Grand-Pré;De Bullion;3;logement;3;0;0;HLM;;1980;;Le Plateau-Mont-Royal;;35;Aire de diffusion;24661947;-73,57720837;45,51823334;298768,0949;5042037,84
120;Lenoir Saint-Henri;Butternut;6;logement;6;0;0;HLM;;1972;;Le Sud-Ouest;;50;Aire de diffusion;24661054;-73,58511862;45,47119605;298144,5675;5036811,195
121;Des Fleurs B;Canning;18;logement;18;0;0;HLM;;1978;;Le Sud-Ouest;;51;Aire de diffusion;24661123;-73,57180518;45,48616822;299187,0333;5038474,036
122;Saint-Vallier;Carrières;148;logement;34;109;5;HLM;;1992;;Rosemont–La Petite-Patrie;;14;Aire de diffusion;24661444;-73,59689955;45,53218783;297231,5922;5043590,283
123;Louis-Hébert;Cartier;8;logement;8;0;0;HLM;;1994;;Rosemont–La Petite-Patrie;;16;Aire de diffusion;24661654;-73,59781354;45,54453064;297161,8755;5044962,041
124;Dufresne A,B,C;Cartier;6;logement;6;0;0;HLM;;1976;;Ville-Marie;;30;Aire de diffusion;24661882;-73,56130131;45,52756678;300011,6254;5043074,002
125;Ontario;Cartier;19;chambre;0;0;19;HLM;;1988;;Ville-Marie;;30;Aire de diffusion;24661882;-73,56130131;45,52756678;300011,6254;5043074,002
126;Guizot;Casgrain;12;logement;12;0;0;HLM;;1991;;Villeray–Saint-Michel–Parc-Extension;;12;Aire de diffusion;24660468;-73,63187873;45,54113549;294501,1526;5044588,539
127;Émile-Nelligan II;Casgrain;3;logement;3;0;0;HLM;;1983;;Le Plateau-Mont-Royal;;34;Aire de diffusion;24661434;-73,5927095;45,52534548;297557,9814;5042829,499
128;Pelletier;De Chambly;29;logement;27;0;2;HLM;;1993;;Rosemont–La Petite-Patrie;;19;Aire de diffusion;24662051;-73,55630488;45,55002031;300403,6579;5045569,003
129;Morgan-Lafontaine;De Chambly;34;logement;34;0;0;HLM;;1975;;Mercier–Hochelaga-Maisonneuve;;27;Aire de diffusion;24661763;-73,54221299;45,54522363;301503,6864;5045035,266
130;PLM REST. 732-5 (Chambly-Visitation);De Chambly;2;logement;2;0;0;HLM;;1977;;Mercier–Hochelaga-Maisonneuve;;29;Aire de diffusion;24661758;-73,54644663;45,54578749;301173,1276;5045098,111
131;Morgan-Lafontaine;De Chambly;9;logement;9;0;0;HLM;;1975;;Mercier–Hochelaga-Maisonneuve;;29;Aire de diffusion;24661758;-73,54644663;45,54578749;301173,1276;5045098,111
132;Bloomfield;Champagneur;12;logement;12;0;0;HLM;;1979;;Villeray–Saint-Michel–Parc-Extension;;11;Aire de diffusion;24661525;-73,62545727;45,52682;295000,1393;5042996,839
133;Lafontaine A et B;De Champlain;11;logement;11;0;0;HLM;;1979;;Ville-Marie;;30;Aire de diffusion;24661865;-73,55447877;45,52228339;300544,1507;5042486,469
134;Papineau B;De Champlain;9;logement;9;0;0;HLM;;1979;;Ville-Marie;;30;Aire de diffusion;24661884;-73,55868709;45,5245358;300215,5816;5042737,013
135;Papineau C et D;De Champlain;12;logement;12;0;0;HLM;;1978;;Ville-Marie;;30;Aire de diffusion;24661884;-73,55868709;45,5245358;300215,5816;5042737,013
136;Papineau C et D;De Champlain;12;logement;12;0;0;HLM;;1978;;Ville-Marie;;30;Aire de diffusion;24661884;-73,55868709;45,5245358;300215,5816;5042737,013
137;Chapleau;Chapleau;18;logement;16;0;2;HLM;;1986;;Rosemont–La Petite-Patrie;;16;Aire de diffusion;24662032;-73,5817087;45,54251906;298419,2528;5044737,085
138;Charland;Charland;16;logement;16;0;0;HLM;;1988;;Villeray–Saint-Michel–Parc-Extension;;7;Aire de diffusion;24662641;-73,64109871;45,56787602;293786,3581;5047561,478
139;De la Merci I;Charland;6;logement;6;0;0;HLM;;1991;;Villeray–Saint-Michel–Parc-Extension;;7;Aire de diffusion;24662638;-73,63769948;45,5719341;294052,4633;5048011,999
140;De la Merci I;Charland;6;logement;6;0;0;HLM;;1991;;Villeray–Saint-Michel–Parc-Extension;;7;Aire de diffusion;24662638;-73,63769948;45,5719341;294052,4633;5048011,999
141;De Châteauguay III;Charlevoix;6;logement;6;0;0;HLM;;1977;;Le Sud-Ouest;;47;Aire de diffusion;24661133;-73,56365173;45,47415708;299823,3262;5037138,7
142;De Châteauguay III;Charlevoix;6;logement;6;0;0;HLM;;1977;;Le Sud-Ouest;;47;Aire de diffusion;24661134;-73,56652083;45,47478371;299599,0606;5037208,52
143;Vinet A et B;Charlevoix;12;logement;12;0;0;HLM;;1977;;Le Sud-Ouest;;51;Aire de diffusion;24661118;-73,57643748;45,48286403;298824,5801;5038107,175
144;Coleraine-Saint-Gabriel;Charon;52;logement;52;0;0;HLM;;1973;;Le Sud-Ouest;;47;Aire de diffusion;24661242;-73,54930098;45,479607;300945,7258;5037743,562
145;Alexandra;Charon;67;logement;65;0;2;HLM;;1991;;Le Sud-Ouest;;47;Aire de diffusion;24661243;-73,55279043;45,47836237;300672,8348;5037605,419
146;Wellington-Centre;Charon;7;logement;7;0;0;HLM;;1974;;Le Sud-Ouest;;47;Aire de diffusion;24661243;-73,55279043;45,47836237;300672,8348;5037605,419
