TYPE,TENS_EX,WKT
aérien,315,"LINESTRING  ( 291557.70730000 5057820.38130000, 291571.07210000 5057765.23050000, 291574.93540000 5057749.55240000, 291587.29590000 5057698.40460000, 291594.01750000 5057670.82910000, 291312.63240000 5057356.47680000, 291038.64440000 5057051.78960000, 290805.33310000 5056789.69860000, 290567.86020000 5056522.84710000, 290283.32340000 5056204.88110000, 289991.88050000 5055879.60970000, 289711.35010000 5055566.32790000, 289473.62940000 5055299.96320000, 289212.19480000 5055005.32750000, 288956.29360000 5054719.46840000, 288688.56480000 5054421.75890000, 288446.37980000 5054151.33290000, 288166.95270000 5053842.00730000, 287900.93970000 5053543.32690000, 287633.41510000 5053242.99480000, 287472.42200000 5053063.51370000, 287212.10800000 5052818.07970000, 287021.99270000 5052635.91380000, 286721.67600000 5052352.16190000, 286468.58100000 5052114.96180000, 286280.70020000 5051938.03510000, 286140.61660000 5051679.62160000, 285964.05380000 5051356.97480000, 285947.97290000 5051327.46170000, 285812.57110000 5051078.37680000, 285553.68870000 5050864.45810000, 285248.00800000 5050610.46600000, 284941.13470000 5050357.27040000, 284646.34370000 5050108.16280000, 284310.76710000 5049825.75140000, 283971.24500000 5049539.25900000, 283670.74260000 5049285.54860000, 283421.79300000 5049075.57400000, 283164.21220000 5048856.97070000, 282853.78870000 5048596.99910000, 282553.03730000 5048342.67620000, 282261.19080000 5048097.11510000, 281958.28150000 5047842.16170000, 281669.35610000 5047597.06200000, 281407.34230000 5047373.76820000, 281239.45370000 5047233.48050000, 281225.51460000 5047221.75280000, 281170.46330000 5047175.72880000, 281021.74820000 5047050.82220000, 280995.59150000 5047028.91710000, 280971.23560000 5047008.45010000, 280962.67090000 5046891.23710000, 280956.54110000 5046819.02390000, 280953.84560000 5046787.69460000, 280951.47630000 5046760.03140000)"
aérien,315,"LINESTRING  ( 284451.16930000 5041571.35960000, 284242.18860000 5041760.19290000, 284128.06920000 5041863.58710000, 283951.09330000 5042117.66480000, 283793.95140000 5042341.45320000, 283577.90000000 5042652.12790000, 283395.97210000 5042907.01650000, 283228.51600000 5043140.96790000, 283050.51160000 5043392.85280000, 282893.42250000 5043613.33060000, 282930.94330000 5043823.35100000, 282972.44370000 5044077.92190000, 282768.58500000 5044318.12550000, 282574.69910000 5044547.29840000, 282356.24410000 5044802.68160000, 282120.40770000 5045083.69610000, 282062.43720000 5045269.49780000, 281910.36680000 5045473.31330000, 281755.43980000 5045683.25540000, 281607.97260000 5045880.72700000, 281449.24570000 5046092.13570000, 281285.25260000 5046312.12570000, 281110.77720000 5046544.16210000, 281017.25370000 5046668.87440000, 280979.72480000 5046715.80410000)"
aérien,315,"LINESTRING  ( 291557.70730000 5057820.38130000, 291514.18330000 5057874.92950000)"
aérien,315,"LINESTRING  ( 291650.25570000 5058027.67300000, 291709.32030000 5057988.87420000)"
aérien,315,"LINESTRING  ( 280879.94780000 5046857.43460000, 280867.30900000 5046798.24880000, 280903.41340000 5046787.55330000, 280934.60530000 5046778.32150000, 280953.84560000 5046787.69460000, 281035.73370000 5046827.61360000)"
aérien,315,"LINESTRING  ( 280879.94780000 5046857.43460000, 280901.88450000 5047062.05830000, 280917.56690000 5047264.59440000, 280747.54710000 5047508.07130000, 280547.41690000 5047793.34460000, 280352.25860000 5048067.93630000, 280196.42630000 5048295.81470000, 280177.98450000 5048409.24350000, 280060.15560000 5048592.74500000, 279919.16730000 5048799.01210000, 279744.02120000 5049047.87230000, 279574.79070000 5049289.49000000, 279428.14330000 5049497.12510000, 279230.66220000 5049521.82250000, 278937.10640000 5049561.25870000, 278737.51660000 5049587.88200000)"
aérien,315,"LINESTRING  ( 280879.94780000 5046857.43460000, 280888.81580000 5046828.72830000, 280907.37390000 5046822.98970000, 280942.46210000 5046811.96490000, 280956.54110000 5046819.02390000, 281018.64570000 5046850.46080000)"
aérien,315,"LINESTRING  ( 291873.17300000 5058051.10120000, 291744.78110000 5058028.14140000, 291694.24370000 5058082.70300000)"
aérien,315,"LINESTRING  ( 291873.17300000 5058051.10120000, 291912.66900000 5058498.00090000, 291944.43770000 5058827.44820000, 291961.09760000 5059009.89630000, 291969.38820000 5059101.12050000, 291998.54860000 5059415.23720000, 292030.38700000 5059783.02660000, 292061.88680000 5060101.25110000, 292090.51000000 5060423.70490000, 292103.07940000 5060743.63550000, 292118.61130000 5061142.13240000, 292127.22730000 5061359.86290000)"
aérien,315,"LINESTRING  ( 291615.73930000 5057993.07190000, 291676.35180000 5057949.15740000)"
aérien,315,"LINESTRING  ( 295410.23160000 5055242.85900000, 295271.25200000 5055428.01470000, 295067.73850000 5055701.16100000, 294882.52790000 5055953.16960000, 294730.57450000 5056275.92230000, 294508.19190000 5056561.23130000, 294280.07680000 5056855.33770000, 294061.00050000 5057135.76760000, 293798.16270000 5057337.71080000, 293617.21150000 5057475.50480000, 293453.49580000 5057744.52190000, 293280.38840000 5058026.11900000, 293131.77140000 5058269.77840000, 293004.99480000 5058478.17080000, 292991.32340000 5058500.64570000, 292679.38390000 5058327.20770000, 292425.39240000 5058187.78830000, 292169.04820000 5058046.60580000, 291871.18460000 5057881.18130000, 291764.11170000 5057918.52280000, 291676.35180000 5057949.15740000)"
aérien,315,"LINESTRING  ( 291632.44860000 5058008.70660000, 291676.35180000 5057949.15740000)"
aérien,315,"LINESTRING  ( 280979.72480000 5046715.80410000, 281051.01700000 5046802.32840000)"
aérien,735,"LINESTRING  ( 292013.28460000 5061382.39740000, 291997.31540000 5061015.90910000, 291974.77230000 5060431.49890000, 291932.30390000 5059971.04520000, 291895.40570000 5059569.92640000, 291860.17780000 5059187.47500000, 291499.75900000 5058785.59340000, 291161.94650000 5058409.02180000, 291110.86270000 5058175.19620000, 291206.99060000 5058089.52390000)"
aérien,735,"LINESTRING  ( 292074.76390000 5061371.81640000, 292059.85080000 5061011.33570000, 292038.56050000 5060427.25610000, 291996.09340000 5059965.13500000, 291959.04120000 5059562.90470000, 291921.98390000 5059160.45270000, 291547.43090000 5058742.70530000, 291204.69770000 5058360.58510000, 291209.05000000 5058283.78190000, 291304.09000000 5058199.66940000)"
aérien,735,"LINESTRING  ( 291144.41680000 5058018.42350000, 291045.78890000 5058101.32390000, 291031.47350000 5058358.96440000, 291270.88330000 5058625.94090000, 291545.57400000 5058932.30420000, 291798.29360000 5059214.16480000, 291837.42970000 5059638.50530000, 291882.21850000 5060124.18080000, 291917.16170000 5060598.09710000, 291934.36190000 5061044.26680000, 291947.82830000 5061392.78090000)"
aérien,735,"LINESTRING  ( 291367.75440000 5058272.32500000, 291286.32520000 5058344.51570000, 291537.20720000 5058624.92470000, 291872.09710000 5058998.85550000, 291961.09760000 5059009.89630000, 291986.27000000 5059012.95630000, 292533.74830000 5059081.09280000, 292993.30920000 5059138.44070000, 293428.62530000 5059192.64370000, 293873.26310000 5059368.99710000, 294343.06030000 5059557.67590000, 294836.44210000 5059751.46440000, 295322.39300000 5059945.63670000, 295800.67910000 5060139.63550000, 296267.55250000 5060326.46280000, 296643.05220000 5060472.76880000, 296734.15770000 5060508.21330000, 297177.20770000 5060686.47110000, 297597.40340000 5060858.67430000, 298012.73710000 5061022.02030000, 298432.02870000 5061192.72490000, 298894.69240000 5061377.86380000, 299276.53610000 5061529.99020000, 299688.57940000 5061588.09550000, 300152.56580000 5061652.30140000, 300585.15410000 5061712.22880000, 301066.59120000 5061557.11190000, 301478.43630000 5061424.40690000, 301620.12070000 5061147.94230000, 301812.63250000 5060772.43590000, 301995.36110000 5060415.83300000, 302084.13080000 5060242.69900000)"
aérien,120,"LINESTRING  ( 281243.21330000 5046883.95240000, 281325.44030000 5046952.65740000)"
aérien,315,"LINESTRING  ( 281014.12550000 5046955.27650000, 280999.54230000 5047000.34090000, 280995.59150000 5047028.91710000, 280989.74030000 5047070.94770000, 280977.96430000 5047156.12060000, 280938.80600000 5047286.74010000)"
aérien,120,"LINESTRING  ( 294728.26310000 5059384.11750000, 294730.93410000 5059397.78270000, 294748.07200000 5059396.53260000, 294749.15610000 5059392.41890000, 294757.98350000 5059358.73100000)"
aérien,120,"LINESTRING  ( 290883.49130000 5051879.64640000, 290929.75600000 5051848.53750000)"
aérien,120,"LINESTRING  ( 291630.31290000 5057882.90730000, 291685.00640000 5057840.11670000)"
aérien,120,"LINESTRING  ( 291685.00640000 5057840.11670000, 291686.41550000 5057731.86920000, 291534.41790000 5057568.93440000, 291366.92810000 5057381.25380000, 291182.78770000 5057175.16570000, 291011.21960000 5056985.50320000, 290838.62000000 5056792.29140000, 290660.77430000 5056593.31720000, 290478.07020000 5056388.02470000, 290311.45460000 5056201.25950000, 290156.39780000 5056028.14120000, 289981.79310000 5055833.51300000, 289817.18300000 5055650.20150000, 289669.13260000 5055484.30210000, 289520.99640000 5055318.40650000, 289363.78190000 5055141.64570000, 289192.64450000 5054950.36510000, 289029.15870000 5054767.51610000, 288857.37630000 5054575.91290000, 288676.90560000 5054375.44620000, 288515.73420000 5054194.60510000, 288656.53970000 5054007.31300000, 288790.75380000 5053831.04330000, 288936.00040000 5053635.74480000, 289049.86120000 5053453.30900000, 289277.62020000 5053378.16880000, 289402.54970000 5053219.27250000, 289544.73730000 5053035.10930000, 289685.21890000 5052851.50920000, 289849.18920000 5052637.18340000, 290013.01430000 5052422.64010000, 290134.55420000 5052265.65600000, 290324.14730000 5052155.74820000, 290550.37250000 5052064.76620000, 290756.72700000 5051979.61610000, 290883.49130000 5051879.64640000)"
aérien,120,"LINESTRING  ( 291654.05440000 5057907.30680000, 291714.60610000 5057871.06100000)"
aérien,120,"LINESTRING  ( 298350.07820000 5061544.41190000, 298384.77390000 5061365.69830000, 298384.77000000 5061210.44370000, 298180.46640000 5061128.97350000, 297980.20990000 5061049.61710000, 297804.80350000 5060977.90750000, 297619.10960000 5060904.43660000, 297445.25490000 5060834.51340000, 297259.62940000 5060760.27520000, 297080.62260000 5060687.92350000, 296938.00740000 5060630.97860000, 296806.37780000 5060578.02370000, 296650.19630000 5060515.32390000, 296643.05220000 5060472.76880000, 296633.00310000 5060412.76950000, 296623.97410000 5060358.65900000, 296620.44700000 5060163.84540000, 296440.31130000 5060081.17810000, 296260.10780000 5060009.40720000, 296119.88540000 5059953.14460000, 295975.52980000 5059895.55730000, 295828.52140000 5059836.97700000, 295684.31540000 5059778.84070000, 295542.52290000 5059721.48190000, 295402.67190000 5059661.78970000, 295263.74570000 5059597.32040000, 295122.41490000 5059541.41530000, 294982.09350000 5059484.95610000, 294836.70330000 5059427.17460000, 294749.15610000 5059392.41890000, 294728.26310000 5059384.11750000, 294575.46210000 5059323.46450000, 294431.15680000 5059266.69080000, 294305.44210000 5059193.55250000, 294173.33590000 5059120.53860000, 294037.25090000 5059046.31200000, 293901.78530000 5058971.75390000, 293766.70790000 5058898.19820000, 293632.63720000 5058822.97660000, 293496.61620000 5058748.20600000, 293360.67100000 5058674.10490000, 293217.39080000 5058596.01970000, 293091.65440000 5058526.12870000, 293004.99480000 5058478.17080000, 292955.69740000 5058450.92520000, 292819.66080000 5058376.50270000, 292684.24490000 5058302.41540000, 292550.15050000 5058228.32840000, 292415.19440000 5058153.57920000, 292279.14500000 5058079.27970000, 292143.71520000 5058004.64850000, 292013.66560000 5057933.23200000, 291873.54740000 5057855.61560000, 291786.32050000 5057806.11990000, 291714.60610000 5057871.06100000)"
aérien,120,"LINESTRING  ( 287272.62080000 5048498.05280000, 287293.26220000 5048483.54780000)"
aérien,120,"LINESTRING  ( 291620.63800000 5057877.25990000, 291660.63670000 5057813.49580000)"
