;;;;;;
"VILLE DE MONTRÉAL  ";;;;;;
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce";;;;;;
"Listes des bons de commandes approuvés pour AOÛT 2014";;;;;;
;;;;;;
;;;;;;
"Dernier Approbateur";"Nom fournisseur";"Numéro bon ";"Date ";"Montant de ";;"Description"
;;"commande";"d'approbation";"l'engagement";;
;;;;;;
;;"985393";08/28/14;943,35;;"AGRÉGATS ET MATÉRIAUX DE CONSTRUCTION"
;"VALQUE, OLIVIER";"983320";08/15/14;69,90;;"BIENS NON DURABLES"
;"VERMEER CANADA INC.";"983475";08/18/14;307,53;;"BIENS NON DURABLES"
;"WOLSELEY CANADA INC";"983818";08/19/14;1 516,77;;"PIÈCES ET ACCESSOIRES"
"REEVES, GENEVIEVE";"AGENCE WEBDIFFUSION INC.";"984280";08/21/14;414,84;;"PLACEMENTS MÉDIAS"
;"CAROLE PROVOST";"983596";08/18/14;2 000,00;;"HONORAIRES PROFESSIONNELS"
;"DISCOVER COMMUNICATIONS INC";"984296";08/21/14;20,74;;"TÉLÉPHONIE"
;"EDILEX INC.";"984155";08/20/14;310,09;;"FORMATION"
;"TCHITACOV, AKI";"984319";08/26/14;358,88;;"FRAIS DE RÉCEPTION"
;;"984350";08/21/14;29,02;;"FRAIS DE RÉCEPTION"
;"TOSHIBA SOLUTION D'AFFAIRES";"931890";08/21/14;1 037,11;;"LOC.- AMEUBLEMENT, ÉQUIPEMENT DE BUREAU"
"RENE, DANIELLE";"DESCHAMPS IMPRESSION INC.";"985244";08/27/14;18,67;;"FOURNITURES DE BUREAU"
;"LES EDITIONS YVON BLAIS INC";"983694";08/19/14;90,85;;"LIVRES, PUBLICATIONS"
;;"985521";08/28/14;130,85;;"LIVRES, PUBLICATIONS"
;"MORNEAU SHEPELL LTD.";"984322";08/21/14;1 919,00;;"HONORAIRES PROFESSIONNELS"
;"TECHNI-MAX INC";"982529";08/12/14;154,37;;"BIENS NON DURABLES"
"THERRIEN, MICHEL";"BOO! DESIGN INC.";"981096";08/04/14;2 333,49;;"PUBLICATIONS MUNICIPALES, AFFICHES"
;;"984295";08/21/14;155,57;;"PUBLICATIONS MUNICIPALES, AFFICHES"
;"DESCHAMPS IMPRESSION INC.";"984956";08/26/14;4 454,37;;"SERVICES TECHNIQUES"
;"PASSERELLE BLEUE INC.";"982258";08/11/14;445,96;;"PUBLICATIONS MUNICIPALES, AFFICHES"
;"TRADUCTIONS TOM DONOVAN";"924347";08/07/14;3 629,87;;"SERVICES TECHNIQUES"
;"TRANS-FORM EXACT";"958144";08/25/14;36,30;;"FRAIS DE POSTES"
"TROTTIER, PASCAL";"AFI EXPERTISE INC.";"977820";08/28/14;409,66;;"FORMATION"
;"CENTRE DE SERVICES PARTAGES DU QUEBEC";"985265";08/27/14;361,36;;"TÉLÉPHONIE"
;"LOCATION D'AUTOS ET CAMIONS DISCOUNT";"948267";08/28/14;736,35;;"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
;;"975909";08/14/14;736,35;;"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
;;"975921";08/14/14;736,35;;"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
;"TRAFFIC LOGIX";"984861";08/26/14;3 349,00;;"BIENS NON CAPITALISÉS"
;;;"TOTAL:";"=SOMME(E10:E177)";;
