Coordonné X;Coordonné Y;Titre;Date de début;Date de fin;Localisation;Type d'Entrave;Description;Horaire d'Entrave;Chemin de Fermeture complète;Information
-73,782437;45,605494;Intervention face au 2275 Honoré-Mercier;2023-08-28;2023-09-01;2275 Honoré-Mercier;Entrave partielle;Alternance avec signaleur;Maintien;-;www.travaux.laval.ca
-73,780865;45,528448;Intervention sur la Desserte est Chomedey (A-13);2023-04-06;2023-10-15;Desserte est Chomedey (A-13);Accotement;Normale;Maintien;-;www.travaux.laval.ca
-73,860904;45,523441;Intervention sur l' Avenue des Bois entre rue du Chemin-de-Fer et chemin du Bord-de-L'Eau;2023-08-14;2023-08-25;Avenue des Bois entre rue du Chemin-de-Fer et chemin du Bord-de-L'Eau;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,692389;45,598184;Intervention sur l'A-19;2023-06-30;2023-09-16;A-19;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,762369;45,546996;Intervention sur la Rue Trépanier;2023-06-19;2023-11-03;Rue Trépanier;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,719267;45,558183;Intervention sur le Boul. de l'Avenir;2023-06-19;2023-10-09;Boul. de l'Avenir;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,816543;45,583662;Intervention sur le Boul. Ste-Rose;2023-06-19;2023-10-09;Boul. Ste-Rose;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,587552;45,69101;Intervention sur le Boul. des Mille-Îles;2023-08-04;2023-09-15;Boul. des Mille-Îles;Entrave partielle;Alternance avec feu;Maintien;-;www.travaux.laval.ca
-73,644009;45,649963;Intervention sur la Montée Masson;2023-08-20;2023-08-31;Montée Masson;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,710719;45,560627;Intervention sur le Boulevard de la Concorde Ouest;2023-08-22;2023-08-29;Boulevard de la Concorde Ouest;Entrave partielle;Contresens;Maintien;-;www.travaux.laval.ca
-73,721449;45,558924;Intervention sur la Rue Jacques -Tétreault entre la rue Lucien-paiement et le boulevard de l'Avenir;2023-08-10;2023-10-09;Rue Jacques -Tétreault entre la rue Lucien-paiement et le boulevard de l'Avenir;Fermeture complète;Normale;Maintien;-;www.travaux.laval.ca
-73,66761;45,597012;Intervention sur la Rue Bercy;2023-05-23;2023-08-25;Rue Bercy;Fermeture complète;Autre;Maintien;-;www.travaux.laval.ca
-73,737809;45,627731;Intervention sur la Rue Péladeau;2023-06-01;2023-10-27;Rue Péladeau;Autre;Alternance avec signaleur;Maintien;-;www.travaux.laval.ca
-73,738166;45,539798;Intervention sur la 75e Avenue;2023-08-09;2023-08-29;75e Avenue;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,671376;45,578798;Intervention sur le Croissant Bernières;2023-07-03;2023-09-29;Croissant Bernières;<Null>;<Null>;Maintien;-;www.travaux.laval.ca
-73,75697;45,523121;Intervention sur la Promenade des Îles;2023-07-10;2023-10-27;Promenade des Îles;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,722742;45,558848;Intervention sur la rue Lucien-Paiement;2023-08-25;2023-08-28;rue Lucien-Paiement;Stationnement;Normale;Maintien;-;www.travaux.laval.ca
-73,730049;45,551364;Intervention sur le Boulevard Armand-Frappier;2023-08-28;2023-09-15;Boulevard Armand-Frappier;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,702502;45,579201;Intervention sur le Boulevard des Laurentides;2023-08-28;2023-09-22;Boulevard des Laurentides;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,742029;45,554376;Intervention sur le Boul. du Souvenir;2023-08-10;2023-11-10;Boul. du Souvenir;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,707144;45,555179;Intervention sur la Rue Montmorency entre av. Legrand et av. du Pacifique;2023-05-30;2023-09-08;Rue Montmorency entre av. Legrand et av. du Pacifique;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,714242;45,610704;Intervention sur la Montée Monette;2023-08-28;2023-09-25;Montée Monette;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,690015;45,589167;Intervention sur la Rue Kirouac entre rue Notre-Dame-de-Fatima et rue Mayrand;2023-08-17;2023-08-31;Rue Kirouac entre rue Notre-Dame-de-Fatima et rue Mayrand;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,764231;45,56352;Intervention sur l' Avenue Jean-Béraud;2023-08-21;2023-11-17;Avenue Jean-Béraud;Entrave partielle;Alternance avec signaleur;Maintien;-;www.travaux.laval.ca
-73,733369;45,557328;Intervention sur le Boulevard du Souvenir;2022-10-11;2023-10-13;Boulevard du Souvenir;Autre;Autre;Maintien;-;www.travaux.laval.ca
-73,85008;45,560877;Travaux d'amé. et mise en valeur de sentiers au bois de la Source;2023-04-27;2023-10-27;Travaux d'amé. et mise en valeur de sentiers au bois de la Source;Hors chaussée;Alternance avec signaleur;Maintien;-;www.travaux.laval.ca
-73,761539;45,553189;Intervention sur le Boul. Curé-Labelle;2023-08-14;2023-08-25;Boul. Curé-Labelle;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,765169;45,555361;Intervention sur le Boul. Curé-Labelle;2023-08-14;2023-08-25;Boul. Curé-Labelle;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,76228;45,546887;Intervention sur la Rue Trépanier;2023-05-31;2023-09-16;Rue Trépanier;Stationnement;Normale;Maintien;-;www.travaux.laval.ca
-73,74833;45,549461;Intervention sur la Pie-IX entre Du Souvenir et Coursol;2023-06-08;2023-09-01;Pie-IX entre Du Souvenir et Coursol;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,740014;45,534186;Intervention sur la 82e Avenue;2023-06-18;2023-09-15;82e Avenue;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,845854;45,561774;Intervention sur la Rue Desmarchais;2023-06-16;2023-10-27;Rue Desmarchais;Entrave partielle;Normale;Maintien;-;www.travaux.laval.ca
-73,720612;45,555518;Intervention sur le Boul. de la Concorde;2023-06-19;2023-10-09;Boul. de la Concorde;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,789966;45,579339;Intervention sur le Boul. Dagenais;2023-06-19;2023-10-09;Boul. Dagenais;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,878456;45,549093;Intervention sur la 24e Rue;2023-07-04;2023-10-14;24e Rue;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,747008;45,546849;Intervention sur la Rue Cardinal;2023-06-26;2023-09-13;Rue Cardinal;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,607995;45,649866;Intervention face au 7318 rue du Tangara;2023-07-07;2023-08-30;7318 rue du Tangara;Stationnement;Normale;Maintien;-;www.travaux.laval.ca
-73,657658;45,591325;Intervention sur la Rue du Barrage;2023-08-07;2023-10-12;Rue du Barrage;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,870577;45,553142;Intervention sur la 20e Avenue;2023-08-07;2023-11-01;20e Avenue;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,551133;45,678911;Intervention sur le Boulevard Lévesque Est de #8880 à #9222;2023-08-07;2023-10-23;Boulevard Lévesque Est de #8880 à #9222;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,782172;45,621411;Intervention sur le Bonaparte entre Dufferin et Patriotes;2023-08-24;2023-08-25;Bonaparte entre Dufferin et Patriotes;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,777988;45,612382;Intervention sur le boulevard Je me Souviens;2023-08-13;2023-08-25;Je me Souviens;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,741225;45,576666;Intervention face au 1900 rue Cunard;2023-08-26;2023-08-27;1900 rue Cunard;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,699974;45,571308;Intervention sur le Boul. du Souvenir entre rue de Fontenay et rue de Beaucaire;2023-08-23;2023-09-01;Boul. du Souvenir entre rue de Fontenay et rue de Beaucaire;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,760919;45,546707;Intervention sur le Chemin du Souvenir;2023-08-28;2023-09-01;Chemin du Souvenir;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,790946;45,53706;Intervention sur la Desserte ouest de l'A-13;2021-10-14;2023-09-29;Desserte ouest de l'A-13;Hors chaussée;Normale;Maintien;-;www.travaux.laval.ca
-73,797855;45,547077;Intervention sur la Rue Montgolfier;2023-03-29;2023-10-31;Rue Montgolfier;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,754574;45,545111;Intervention sur le Boulevard Notre-Dame;2023-04-11;2023-09-10;Boulevard Notre-Dame;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,712764;45,562787;Intervention face à l'accès sud du 559, rue Robert-Élie;2023-04-28;2024-03-30;Face à l'accès sud du 559, rue Robert-Élie;Stationnement;Normale;Maintien;-;www.travaux.laval.ca
-73,799492;45,567249;Intervention face au # 3393 rue Édith;2023-06-13;2023-08-30;Face au # 3393 rue Édith;Stationnement;Normale;Maintien;-;www.travaux.laval.ca
-73,713585;45,559312;Intervention sur le Boul. de la Concorde;2023-06-19;2023-10-09;Boul. de la Concorde;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,791091;45,607632;Intervention sur le Boulevard Curé-Labelle;2023-06-26;2023-10-01;Boulevard Curé-Labelle;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,748497;45,548656;Intervention sur la Rue Marguerite-Bourgeoys;2023-07-04;2023-08-25;Rue Marguerite-Bourgeoys;Entrave partielle;Contresens;Maintien;-;www.travaux.laval.ca
-73,80643;45,583014;Intervention sur la Rue Christiane;2023-07-03;2023-08-31;Rue Christiane;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,690966;45,575008;Intervention sur la Rue Patenaude;2023-08-07;2023-08-25;Rue Patenaude;Entrave partielle;Normale;Maintien;-;www.travaux.laval.ca
-73,794793;45,602921;Intervention face au 189 Grenier;2023-08-28;2023-08-28;189 Grenier;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,766786;45,55717;Intervention sur la voie réservée 2 côtés fermés et Trottoir côté ouest fermé completement;2023-08-14;2023-08-25;voie réservé 2 côté fermé et Trottoir côté ouest fermé completement;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,8447;45,556721;Travaux d'amé. et mise en valeur de sentiers au bois de la Source;2023-04-27;2023-10-27;Travaux d'amé. et mise en valeur de sentiers au bois de la Source;Hors chaussée;Alternance avec signaleur;Maintien;-;www.travaux.laval.ca
-73,846406;45,561116;Intervention sur la Rue Bellemare;2023-05-10;2023-10-27;Rue Bellemare;Stationnement;Normale;Maintien;-;www.travaux.laval.ca
-73,693433;45,597896;Intervention sur l'A-19;2023-06-30;2023-09-16;A-19;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,703056;45,548839;Intervention sur l' Avenue Legrand;2023-06-19;2023-08-31;Avenue Legrand;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,759938;45,563969;Intervention sur le Boul. Chomedey;2023-06-19;2023-10-09;Boul. Chomedey;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,794437;45,607458;Intervention sur le Boul. Sainte-Rose et rue Clarence-Gagnon;2023-08-07;2023-11-06;Boul. Sainte-Rose et rue Clarence-Gagnon;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,743728;45,603888;Intervention face au # 180 boul. Bellerose Ouest ;2023-08-14;2023-09-15;Face au # 180 boul. Bellerose Ouest ;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,587542;45,691011;Intervention face au 8430 Mille-Îles;2023-08-22;2023-09-15;face au 8430 Mille-Îles;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,668152;45,684904;Intervention sur la Rue Migneron;2023-08-21;2023-08-25;Rue Migneron;Fermeture complète;Autre;Maintien;-;www.travaux.laval.ca
-73,697299;45,604498;Intervention sur l'A-19;2023-06-30;2023-09-16;A-19;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,675167;45,566464;Intervention sur la Terrasse Paquin et Boul. Lévesque;2023-06-19;2023-10-09;Terrasse Paquin et Boul. Lévesque;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,750772;45,545117;Intervention sur la Rue Vincent-Massey;2023-06-26;2023-09-13;Rue Vincent-Massey;Entrave partielle;Contresens;Maintien;-;www.travaux.laval.ca
-73,748338;45,651195;Intervention sur le Boul. des Laurentides;2023-08-17;2023-08-31;Boul. des Laurentides;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,665507;45,601993;Intervention face au 1040 Boul. Lesage;2023-08-30;2023-08-30;1040 Boul. Lesage;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
