"Chalet du parc Coffee","7330, rue Coffee"
"Chalet du parc Jean-Brillant ","5252, avenue Decelles"
"Chalet du parc William-Bowie","4955, avenue Trenholme"
"Chalet du parc Kent ","3533, avenue Kent"
"Pavillon des baigneurs parc Kent","6262, chemin Hudson"
"Pavillon Kent ","3220, avenue Appleton "
"Sous-station électrique du parc Kent","3453, avenue Kent"
"Kiosque de perception tennis du parc Kent","3220, avenue Kent"
"Chalet du parc Mackenzie-King ","4905, avenue Saint-Kevin"
"Chalet du parc Van-Horne ","4900, avenue Van Horne"
"Chalet du parc Rosemary-Brown (McLynn)","6665, avenue McLynn"
"Chalet du parc Georges-St-Pierre ","999, avenue d’Oxford"
"Chalet du parc NDG","3501, avenue Marcil"
"Chalet du parc Somerled","4800, avenue Hampton"
"Kiosque de perception tennis du parc Somerled","4900, avenue Hampton"
"Sous-station électrique du parc Somerled","4900, avenue Hampton"
"Chalet du parc Gilbert-Layton","6975, avenue de Chester"
"Chalet du parc de la Savane ","5111, rue Paré"
"Chalet et patinoire du parc de la Confédération ","6262, avenue Fielding"
"Entrepôt Éco-centre CDN","6925, chemin de la Côte-des-Neiges"
"Le 6767 ","6767, chemin de la Côte-des-Neiges"
"Stat. Méc + patinoire parc de la Confédération","6262, avenue Fielding"
"Pavillon de la Savane","5111 avenue Paré"
"Pavillon baigneurs Confédération","6265, avenue Biermans"
"Installations en partenariat",
"Association de la communauté noire de la Côte-des-Neiges","6999, chemin Côte-des-Neiges"
"Association de la communauté noire de Notre-Dame-de-Grâce","3770, boulevard Décarie"
"Centre Bedford (École Bedford) ","3131, rue Goyer"
"Centre Benny (École Sainte-Monica)","6440, avenue de Terrebonne "
"Centre Creative Social (Synagogue Chevra Kadisha b'Nai Jacob)","5237, avenue Clanranald"
"Centre Loyola (École Sainte-Catherine-de-Sienne)","7065, avenue Somerled"
"Centre Saint-Kevin (École Simonne-Monet)","3900, rue Dupuis"
"Centre Saint-Pascal-Baylon (École Saint-Pascal-Baylon)","3715, avenue Carlton"
"Centre sportif Confédération (École secondaire Saint-Luc)","5320, avenue Kensigton "
"Centre sportif Westhill (École Royal Vale)","5945, avenue Somerled"
"Centre Van Horne (École Lavoie)","6755, rue Lavoie"
"Église Rosedale (50 Plus Club of NDG) ","6870, avenue de Terrebonne"
"Cinéma V (Théâtre Empress)","5560, rue Sherbrooke Ouest"
"Maison des jeunes de Côte-des-Neiges","3732, avenue de Courtrai"
