Fonds_gestion,Cofinancement,Annee_financiere,Debut_financement,Titulaire,Dossier,Etablissement,Pays_etablissement,Province_etablissement,Categorie_de_financement,Programme,Code_programme,Programme_volet,Code_volet,Montant_recherche,Frais_indirects,Montant_total,Domaine_de_recherche,Objet_de_recherche_1,Objet_de_recherche_2,Champs_application_1,Champs_application_2,Mots_cles
FRQNT,,2018-2019,2015-2016,"WU, XIAOTIAN",193180,Université de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de recherche postdoctorale,B3,Bourses de recherche postdoctorale,B3X,11667,0,11667,Organismes vivants ,Équations différentielles ,Bioinformatique,Fondements et avancement des connaissances,Gestion du système de santé ,pharmacokinetics // dynamical system // drug development // differential equations
FRQNT,,2018-2019,2015-2016,"ALLARD GUÉRIN, PHILIPPE",193958,University of Vienna,AUTRICHE,,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,7166,0,7166,Technologie de l'information et des communications ,Phénomènes quantiques,Mathématique informatique,Technologies des communications et de l'information,Fondements et avancement des connaissances,Théorie quantique // Communication quantique // Non-localité // Causalité // Inégalités de Bell
FRQNT,,2018-2019,2014-2015,"BÉLAIR, VIVIANE",194880,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses en milieu de pratique,BP,Bourses en milieu de pratique - BMP Innovation / Doctorat,BP2,4880,0,4880,"Techniques, mesures et systèmes",Préfaisabilité et échelle pilote,Molécules organiques et biomolécules,Fabrication et production industrielle,Environnement,Microwave-assisted processing // Green Chemisty // Extraction  // High value molecule // Polyphenols // Valorization process 
FRQNT,,2018-2019,2015-2016,"DOYON, BERNARD",195103,Cégep Garneau,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,47000,0,47000,Environnement,,,,,
FRQNT,,2018-2019,2015-2016,"CHIESA, FRANCO",195109,Cégep de Trois-Rivières,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Matériaux,,,,,
FRQNT,,2018-2019,2015-2016,"GIGUÈRE, NICOLAS",195110,Cégep de Trois-Rivières,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Matériaux,,,,,
FRQNT,,2018-2019,2015-2016,"LEVASSEUR, DAVID",195111,Cégep de Trois-Rivières,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Matériaux,,,,,
FRQNT,,2018-2019,2015-2016,"TOUGAS, BERNARD",195112,Cégep de Trois-Rivières,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,Matériaux,,,,,
FRQNT,,2018-2019,2015-2016,"AMIRA, SOFIENE",195113,Cégep de Trois-Rivières,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,23000,0,23000,Matériaux,,,,,
FRQNT,,2018-2019,2015-2016,"AUBÉ, MARTIN",195116,Cégep de Sherbrooke,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,7000,0,7000,"Méthodologies, techniques et instrumentation",,,,,
FRQNT,,2018-2019,2015-2016,"FOURNIER, RICHARD",195118,Collège Dawson,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,31000,0,31000,Structures abstraites,,,,,
FRQNT,,2018-2019,2015-2016,"LAROSE, BENOIT",195119,Collège régional Champlain,CANADA,Québec,Bourses de carrière et subventions salariales,Dégagement d'enseignement et appui pour la recherche au collégial,CHC,Dégagement de la tâche d'enseignement des chercheurs de collège,CHX,47000,0,47000,Structures abstraites,,,,,
