ï»¿ID,MUNICIPALITE,MARQUE,MODELE,LAT,LONG,ETAT,ETAT_resolved,DEBITESTIME,DEBITDISPONIBLE,PROFONDEUR,DATEPEINTURE,CLASSEDEBITNFPA,CLASSEDEBITNFPA_resolved
207,25213,,,46.77204129436019,-71.19904033885321,,,,,,,,
208,25213,,,46.792829416787264,-71.19039936528597,,,,,,,,
209,25213,Drolet,400,46.791752221927425,-71.18927364808323,,,,,,,,
210,25213,Daigle,D-63,46.766273748730825,-71.21940889712441,,,,,,,,
211,25213,Drolet,400,46.79351541093075,-71.18794796450189,,,,,,,,
212,25213,,,46.79142152174856,-71.19102369452827,,,,,,,,
213,25213,,,46.77692740859008,-71.17759449388522,,,,,,,,
214,25213,,,46.77690632443621,-71.18601878459289,,,,,,,,
215,25213,Couture,,46.67247871680076,-71.22626763421265,,,,,,,,
216,25213,Drolet,400,46.6724358814925,-71.22340598984917,,,,,,,,
217,25213,,,46.68400235190969,-71.22311578692776,,,,,,,,
219,25213,Drolet,400,46.776765669274596,-71.18224356913647,,,,,,,,
220,25213,Drolet,400,46.77962272080209,-71.17973629068962,,,,,,,,
221,25213,Darling,B-50-B-18,46.70647845115604,-71.27671604387176,,,,,,,,
222,25213,Darling,B-50-B-18,46.72361867150122,-71.26474854358615,,,,,,,,
223,25213,Darling,B-50-B-18,46.72285200367504,-71.26549664122871,,,,,,,,
224,25213,Darling,B-50-B-18,46.72155465384264,-71.26154101391029,,,,,,,,
225,25213,Drolet,400,46.722475908301185,-71.26143845036526,,,,,,,,
226,25213,Darling,B-50-B-18,46.722233984631195,-71.2768677039748,,,,,,,,
227,25213,,,46.719929871861346,-71.26669097875327,,,,,,,,
228,25213,Mueller,Centurion,46.71185398396521,-71.26734998974388,,,,,,,,
229,25213,Drolet,400,46.71056356917952,-71.26654480748829,,,,,,,,
230,25213,Darling,B-50-B-18,46.717008678276656,-71.25896806052992,,,,,,,,
231,25213,,,46.71652141343456,-71.25755780135731,,,,,,,,
232,25213,Darling,B-50-B-18,46.72037427849832,-71.26003100803386,,,,,,,,
233,25213,Darling,B-50-B-18,46.71906505557968,-71.2596854630439,,,,,,,,
234,25213,,,46.71748111624458,-71.26010495749615,,,,,,,,
235,25213,,,46.71906250564366,-71.2624171310064,,,,,,,,
236,25213,Darling,B-50-B-18,46.720206522503915,-71.26340531656153,,,,,,,,
237,25213,Drolet,400,46.719960465302556,-71.26520638558097,,,,,,,,
238,25213,Canron,C61,46.71566837124621,-71.25904941118499,,,,,,,,
239,25213,Mueller,Centurion,46.71729278046838,-71.26140513219795,,,,,,,,
240,25213,Darling,B-50-B-18,46.71764832088007,-71.26268822049339,,,,,,,,
241,25213,,,46.71787415159569,-71.26446528957962,,,,,,,,
242,25213,,,46.716884456852725,-71.26299491177613,,,,,,,,
243,25213,,,46.71432195035593,-71.26254929662815,,,,,,,,
244,25213,,,46.71502657027889,-71.26385900245737,,,,,,,,
245,25213,Mueller,Centurion,46.77882244672126,-71.18833009086796,,,,,,,,
246,25213,Mueller,Centurion,46.77975372953716,-71.1895515587909,,,,,,,,
247,25213,Daigle,D-63,46.764985454591134,-71.22266145294822,,,,,,,,
248,25213,Daigle,D-63,46.76957248500267,-71.2142642197802,,,,,,,,
249,25213,Drolet,100,46.770562029081944,-71.21304299085354,,,,,,,,
250,25213,Drolet,400,46.772904175897494,-71.19431353724237,,,,,,,,
251,25213,Daigle,D-63,46.78825512301622,-71.18707354378772,,,,,,,,
253,25213,Drolet,400,46.78687303301151,-71.19437965751739,,,,,,,,
254,25213,Mueller,Centurion,46.77740503202473,-71.19419791677726,,,,,,,,
255,25213,Drolet,400,46.77393667115718,-71.19556572597813,,,,,,,,
256,25213,Drolet,400,46.77763808449787,-71.1900521088748,,,,,,,,
257,25213,Drolet,400,46.776320678236374,-71.18710368169937,,,,,,,,
258,25213,,,46.77297965980925,-71.19923353476086,,,,,,,,
259,25213,Clayton,,46.77610356053416,-71.20312965737322,,,,,,,,
260,25213,Clayton,,46.777651633940266,-71.20009213571343,,,,,,,,
261,25213,Daigle,D-63,46.77488681922288,-71.19464064285003,,,,,,,,
262,25213,Darling,B-50-B-18,46.755168974225086,-71.17973817968353,,,,,,,,
263,25213,Darling,B-50-B-18,46.756223734214274,-71.18095015741288,,,,,,,,
264,25213,Darling,B-50-B-18,46.7573401220781,-71.18235746329093,,,,,,,,
265,25213,,,46.759147881688826,-71.18590653833483,,,,,,,,
266,25213,Darling,B-50-B-18,46.76005084260275,-71.18745876345257,,,,,,,,
267,25213,,,46.705231571709525,-71.31273893438417,,,,,,,,
268,25213,Darling,B-50-B-18,46.709623469070664,-71.28794480946115,,,,,,,,
269,25213,,,46.7167667968355,-71.26543358802039,,,,,,,,
270,25213,,,46.717750004597534,-71.2655585091724,,,,,,,,
271,25213,,,46.71680716171956,-71.26418486647766,,,,,,,,
272,25213,,,46.715864108956154,-71.2654228509301,,,,,,,,
273,25213,Eddy,,46.7167788958009,-71.26675070383914,,,,,,,,
274,25213,,,46.71655118527883,-71.26805442392464,,,,,,,,
275,25213,,,46.71505149136027,-71.26888682531091,,,,,,,,
276,25213,Mueller,Centurion,46.714381413832726,-71.26726037805454,,,,,,,,
277,25213,Mueller,Centurion,46.71270981843527,-71.26756458039698,,,,,,,,
278,25213,Mueller,Centurion,46.71348790591783,-71.2664180995394,,,,,,,,
279,25213,,,46.715694840544096,-71.2628871695871,,,,,,,,
280,25213,,,46.705227728332865,-71.27617389164512,,,,,,,,
281,25213,Drolet,400,46.70601253816588,-71.27116919345377,,,,,,,,
282,25213,,,46.70915827530476,-71.26419007316733,,,,,,,,
283,25213,Mueller,Centurion,46.70990839833091,-71.26722878227385,,,,,,,,
284,25213,,,46.71014317767366,-71.2700646864336,,,,,,,,
285,25213,,,46.709339818450545,-71.27210968581305,,,,,,,,
286,25213,Drolet,400,46.71214715996094,-71.27043536411702,,,,,,,,
287,25213,,,46.713622811697455,-71.27081487113045,,,,,,,,
288,25213,Drolet,400,46.71414499447078,-71.27121212955907,,,,,,,,
289,25213,,,46.71646053169985,-71.27140931987876,,,,,,,,
290,25213,,,46.71571277117113,-71.27295616980442,,,,,,,,
291,25213,Darling,B-50-B-18,46.71837949692112,-71.27424672003121,,,,,,,,
292,25213,Drolet,400,46.71228748147842,-71.27446383375343,,,,,,,,
293,25213,Mc Avity,90 porte 4",46.76101625547268,-71.18892779316631,,,,,,,,
294,25213,Mc Avity,90 porte 4",46.76268266082804,-71.19137641197732,,,,,,,,
295,25213,Mc Avity,90 porte 4",46.763315149019455,-71.19222474041021,,,,,,,,
296,25213,Mc Avity,90 porte 4",46.76452946283172,-71.19404789228888,,,,,,,,
297,25213,Darling,B-50-B-18,46.767802398174204,-71.19787433197605,,,,,,,,
298,25213,,,46.77908893463733,-71.20245150477862,,,,,,,,
299,25213,Daigle,D-63,46.7683628801941,-71.21710293212232,,,,,,,,
300,25213,Drolet,400,46.767779545671644,-71.21714795488636,,,,,,,,
301,25213,Daigle,D-63,46.774764494297884,-71.20555575560655,,,,,,,,
302,25213,Daigle,D-63,46.77404078828028,-71.20647800175456,,,,,,,,
303,25213,Daigle,D-63,46.77137246441168,-71.21039028344475,,,,,,,,
304,25213,Daigle,D-67,46.772974011888394,-71.2084416973699,,,,,,,,
305,25213,Darling,B-50-B-18,46.771132484209815,-71.21181200568543,,,,,,,,
306,25213,Drolet,400,46.78170305009176,-71.20055252548825,,,,,,,,
307,25213,Drolet,400,46.78238266972772,-71.1986980891449,,,,,,,,
308,25213,Drolet,400,46.78453627530465,-71.1956616952724,,,,,,,,
309,25213,Mueller,Centurion,46.787221681193124,-71.19513544986538,,,,,,,,
310,25213,Drolet,400,46.79201602125961,-71.1929346829051,,,,,,,,
311,25213,Mueller,Centurion,46.762870834568155,-71.21368347169295,,,,,,,,
312,25213,Drolet,400,46.763301854772564,-71.22100528159126,,,,,,,,
313,25213,Drolet,400,46.78211889556468,-71.18424393820627,,,,,,,,
314,25213,,,46.790146947175224,-71.1887559523578,,,,,,,,
316,25213,,,46.715492108897614,-71.27664775159165,,,,,,,,
317,25213,,,46.714173801677234,-71.27466297894449,,,,,,,,
318,25213,,,46.714765481739505,-71.27317271007252,,,,,,,,
319,25213,,,46.715597159738415,-71.27145855909531,,,,,,,,
320,25213,,,46.71475463283643,-71.27184528697506,,,,,,,,
321,25213,Drolet,400,46.71392938696714,-71.27333235113518,,,,,,,,
322,25213,,,46.71312608328491,-71.27499329169608,,,,,,,,
323,25213,Canron,C61,46.713575271458154,-71.27655138571568,,,,,,,,
324,25213,Drolet,400,46.71982982533117,-71.27901566407296,,,,,,,,
325,25213,Darling,B-50-B-18,46.72101959625629,-71.27779178504512,,,,,,,,
326,25213,Darling,B-50-B-18,46.72032530043253,-71.27733837089022,,,,,,,,
327,25213,,,46.72272111698919,-71.27310991974757,,,,,,,,
328,25213,Drolet,400,46.724706405483175,-71.27042214304612,,,,,,,,
329,25213,Drolet,400,46.7240411570678,-71.26859313453468,,,,,,,,
330,25213,,,46.723417344281806,-71.26991552294037,,,,,,,,
331,25213,Drolet,400,46.722818100409384,-71.26447451588994,,,,,,,,
332,25213,Drolet,400,46.723332286296255,-71.26266425449568,,,,,,,,
333,25213,,,46.717225015300386,-71.26870067709275,,,,,,,,
334,25213,Darling,B-50-B-18,46.7157646273274,-71.27025312916221,,,,,,,,
336,25213,Clayton,,46.78395497799812,-71.19360747858357,,,,,,,,
337,25213,Clayton,,46.78199759047956,-71.19633110459286,,,,,,,,
338,25213,,,46.77998987299448,-71.19852449314125,,,,,,,,
339,25213,Daigle,D-63,46.776799181081245,-71.19918163375034,,,,,,,,
340,25213,,,46.772384861198795,-71.20022631537115,,,,,,,,
341,25213,Clayton,,46.76972255772422,-71.20092540939586,,,,,,,,
342,25213,,,46.77777875248185,-71.19863046576558,,,,,,,,
343,25213,,,46.7757205099774,-71.18236965892486,,,,,,,,
344,25213,,,46.77645691859734,-71.17920668310163,,,,,,,,
345,25213,,,46.77514801673037,-71.18179516279454,,,,,,,,
346,25213,Darling,B-50-B-18,46.756075429657365,-71.17396777616268,,,,,,,,
347,25213,Drolet,400,46.755400890731124,-71.17331981687454,,,,,,,,
348,25213,Drolet,400,46.757385453631876,-71.17153128946732,,,,,,,,
349,25213,Darling,B-50-B-18,46.75488352713451,-71.1751663694492,,,,,,,,
350,25213,Darling,B-50-B-18,46.75387349094356,-71.17618885306632,,,,,,,,
351,25213,,,46.77943562630087,-71.19387819516713,,,,,,,,
352,25213,Mc Avity,90 porte 4",46.7795112061832,-71.19352335315855,,,,,,,,
353,25213,,,46.77642620422208,-71.19569056144051,,,,,,,,
354,25213,,,46.776312406430435,-71.19605628041411,,,,,,,,
355,25213,,,46.777046071605035,-71.1955465751503,,,,,,,,
356,25213,Drolet,400,46.77204858478276,-71.19381815511962,,,,,,,,
357,25213,Drolet,400,46.71889715468202,-71.18680513995679,,,,,,,,
358,25213,Daigle,D-63,46.7266019143964,-71.1910930400398,,,,,,,,
360,25213,Darling,B-50-B-18,46.72618287783482,-71.19520203495503,,,,,,,,
361,25213,Darling,B-50-B-18,46.72567115139909,-71.1986739330119,,,,,,,,
362,25213,Darling,B-50-B-18,46.72500797062341,-71.20014015977671,,,,,,,,
363,25213,Darling,B-50-B-18,46.7175721370013,-71.19295306116135,,,,,,,,
364,25213,Drolet,400,46.72029462462103,-71.19413054427417,,,,,,,,
365,25213,Drolet,400,46.72491906859918,-71.20942708376957,,,,,,,,
366,25213,Drolet,400,46.72560920277916,-71.20794815135675,,,,,,,,
367,25213,Darling,B-50-B-18,46.717881783542644,-71.2090568088185,,,,,,,,
368,25213,Sentinel,Sentinelle,46.71966873948529,-71.20622309663102,,,,,,,,
369,25213,Darling,B-50-B-18,46.7158222613569,-71.2070729655538,,,,,,,,
370,25213,Darling,B-50-B-18,46.715372857155785,-71.20638328061489,,,,,,,,
371,25213,Darling,B-50-B-18,46.71433584761834,-71.2008157632237,,,,,,,,
372,25213,Couture,,46.713464779207605,-71.20178157785526,,,,,,,,
373,25213,Darling,B-50-B-18,46.71287455061423,-71.20786867361394,,,,,,,,
374,25213,Sentinel,Sentinelle,46.71357654929493,-71.20592201040105,,,,,,,,
375,25213,Darling,B-50-B-18,46.71288553180763,-71.2061773269747,,,,,,,,
376,25213,Canron,C-61A,46.7099064692496,-71.19919888084155,,,,,,,,
377,25213,Canron,C-61A,46.7104029063429,-71.19658565735509,,,,,,,,
