IDENT_INTRT;NO_SEQ_DOCUM;DATE_ANC_COMMI;COD_MUNI_LIEU;TYP_DOCUM_INTRT;CODE_LOI_REGLEMENT;NO_ARTCL_L_R;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;DESC_TYP_VEH_INFRA;DESCN_CAT_INFRA;VL_CONF_PRMSE;VL_NCONF_CNTT
DI999900RGN300;1;2022-12-16;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI999900WEM300;1;2022-06-07;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI999900WEM300;2;2022-06-07;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI9999013LM300;4;2022-07-07;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI9999013LM300;5;2022-07-07;;ANC;c.C-24.2;519.4;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI9999013LM300;6;2022-07-07;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI9999013LM300;7;2022-07-07;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI9999016VM300;1;2022-09-08;;ANC;c.T-11.2;53;CQ;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;
DI999901BTL300;1;2022-02-01;;ANC;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;
DI999901BTL300;2;2022-02-01;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI999901CRM300;1;2022-08-17;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999901GBN300;2;2022-11-24;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999901GBN300;3;2022-11-24;;ANC;c.C-24.2;498.1;CO;VA;Véhicule automobile;Autres;;
DI999901OVM300;1;2022-09-12;;ANC;c.C-24.2;471;EX;VL;Véhicule lourd;Arrimage;;
DI999901OVM300;2;2022-09-12;;ANC;c.C-24.2;54;PR;VR;Véhicule routier;Immatriculation;;
DI999901OVM300;3;2022-09-12;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI999901OVM300;4;2022-09-12;;ANC;c.P-30.3;5;PR;VL;Véhicule lourd;Règlement sur les PEVL;;
DI999901P5N300;1;2022-10-27;;ANC;c.C-24.2;310;CO;VR;Véhicule routier;Signalisation routière;;
DI999901PHN300;1;2022-12-22;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI999901SFN300;2;2022-12-13;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999901WRL300;1;2022-01-24;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI9999021MM300;3;2022-07-13;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99990228N300;2;2022-11-08;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99990228N300;3;2022-11-08;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI9999024WM300;2;2022-09-14;;ANC;c.C-24.2;471;CO;VR;Véhicule routier;Arrimage;;
DI99990256N300;2;2022-10-31;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI9999027UM300;1;2022-09-02;;ANC;c.C-24.2;54;PR;VR;Véhicule routier;Immatriculation;;
DI99990284N300;1;2022-10-21;;ANC;c.C-24.2;379;CO;VR;Véhicule routier;Règles de circulation;;
DI999902BEN300;2;2022-12-06;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI999902BEN300;3;2022-12-06;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI999902MKM300;2;2022-07-06;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI999902MKM300;3;2022-07-06;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999902MKM300;4;2022-07-06;;ANC;c.C-24.2;28;AU;VR;Véhicule routier;Immatriculation;;
DI999902MKM300;6;2022-07-06;;ANC;c.P-30.3;5;PR;VL;Véhicule lourd;Règlement sur les PEVL;;
DI999902MKM300;7;2022-07-06;;ANC;c.C-24.2;523;PR;VL;Véhicule lourd;Vérification mécanique (fréquence);;
DI999902PUM300;3;2022-09-07;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999902SGM300;1;2022-06-15;;ANC;c.C-24.2;54;PR;VR;Véhicule routier;Immatriculation;;
DI999902ZAN300;1;2022-11-22;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI99990337N300;2;2022-11-03;;ANC;c.C-24.2;463;EX;VL;Véhicule lourd;Dimension;23;23,2
DI9999035JM300;2;2022-06-28;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI9999036HN300;2;2022-12-20;;ANC;c.C-24.2;216;EX;VL;Véhicule lourd;Équipement;;
DI9999036HN300;3;2022-12-20;;ANC;c.C-24.2;216;EX;VL;Véhicule lourd;Équipement;;
DI9999039FN300;1;2022-12-09;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI999903BRM300;1;2022-08-17;;ANC;c.C-24.2;370;CO;VR;Véhicule routier;Règles de circulation;;
DI999903JZL300;1;2022-02-25;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI999903NJM300;6;2022-06-30;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999903QTM300;1;2022-08-31;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI999903TRM300;2;2022-08-22;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999903U1N300;3;2022-10-12;;ANC;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;
DI999903U1N300;4;2022-10-12;;ANC;c.C-24.2;519.21.1;EX;VL;Véhicule lourd;Heures de conduite;;
DI999903ZNM300;2;2022-07-26;;ANC;c.C-24.2;646;EX;VL;Véhicule lourd;Matières dangereuses;;
DI9999043WM300;1;2022-09-14;;ANC;c.C-24.2;382;AU;VR;Véhicule routier;Règles de circulation;;
DI99990446N300;1;2022-10-31;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99990474N300;1;2022-10-21;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI9999048UL300;2;2022-02-06;;ANC;c.C-24.2;237;CD;VL;Véhicule lourd;Équipement;;
DI9999048UL300;3;2022-02-06;;ANC;c.C-24.2;329;CO;VR;Véhicule routier;Règles de circulation;;91
DI999904FOM300;2;2022-07-28;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999904IMM300;1;2022-07-18;;ANC;c.C-24.2;272;PR;VR;Véhicule routier;Équipement;;
DI999904LKM300;2;2022-07-06;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999904VCN300;1;2022-11-30;;ANC;c.C-24.2;210.1;PR;VR;Véhicule routier;Équipement;;
DI999904WQL300;1;2022-01-18;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI9999054JM300;2;2022-06-28;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI9999055HN300;1;2022-12-19;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI999905AFM300;1;2022-06-08;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI999905PHM300;1;2022-06-20;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI999905PHM300;2;2022-06-20;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999905PHM300;4;2022-06-20;;ANC;c.C-24.2;54;PR;VR;Véhicule routier;Immatriculation;;
DI999905QFN300;1;2022-12-13;;ANC;c.C-24.2;646;EX;VL;Véhicule lourd;Matières dangereuses;;
DI999905SFM300;1;2022-05-16;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99990636N300;3;2022-10-30;;ANC;c.T-11.2;58;CQ;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;
DI9999065IM300;3;2022-06-21;;ANC;c.C-24.2;30;PR;VR;Véhicule routier;Immatriculation;;
DI9999065IM300;5;2022-06-21;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI9999069EN300;2;2022-12-06;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI999906BQM300;4;2022-08-11;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI999906BQM300;5;2022-08-11;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI999906ECM300;1;2022-05-24;;ANC;c.C-24.2;30;PR;VR;Véhicule routier;Immatriculation;;
DI999906ECM300;2;2022-05-24;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI999906ECM300;3;2022-05-24;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI999906ECM300;4;2022-05-24;;ANC;c.C-24.2;382;AU;VR;Véhicule routier;Règles de circulation;;
DI999906FAN300;1;2022-11-21;;ANC;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;
DI999906OGN300;2;2022-12-16;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999906TQM300;2;2022-08-15;;ANC;c.C-24.2;519.17;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI999906U0N300;2;2022-10-05;;ANC;c.C-24.2;519.5;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999906U0N300;3;2022-10-05;;ANC;c.C-24.2;519.6;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999906U0N300;4;2022-10-05;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI999906VQL300;1;2022-01-18;;ANC;c.C-24.2;361;CO;VR;Véhicule routier;Règles de circulation;;
DI999906ZMM300;1;2022-07-19;;ANC;c.T-12;4;EX;VL;Véhicule lourd;Documents d'expédition;;
DI99990717N300;2;2022-11-03;;ANC;c.C-24.2;225;PR;VL;Véhicule lourd;Équipement;;
DI99990717N300;3;2022-11-03;;ANC;c.C-24.2;473;PR;VL;Véhicule lourd;Dimension;;
DI9999072XL300;1;2022-02-16;;ANC;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;5500;6610
DI9999079RM300;2;2022-08-17;;ANC;c.C-24.2;257.1;EX;VL;Véhicule lourd;Équipement;;
DI999907BRL300;1;2022-01-20;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI999907G9N300;1;2022-11-15;;ANC;c.C-24.2;513;CO;VR;Véhicule routier;Permis spécial;;
DI999907ILM300;1;2022-07-11;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI9999087SM300;3;2022-08-23;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999908AEM300;1;2022-06-03;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI999908AQM300;1;2022-08-10;;ANC;c.C-24.2;518;PR;VR;Véhicule routier;Immatriculation;;
DI999908JKM300;1;2022-07-05;;ANC;c.C-24.2;299;CO;VR;Véhicule routier;Signalisation routière;;
DI999908K6N300;2;2022-11-01;;ANC;c.C-24.2;513;AU;VR;Véhicule routier;Permis spécial;;
DI999908K6N300;3;2022-11-01;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI999908K6N300;4;2022-11-01;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI999908PGM300;2;2022-06-14;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999908PGM300;3;2022-06-14;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI999908PGM300;4;2022-06-14;;ANC;c.C-24.2;646;EX;VL;Véhicule lourd;Matières dangereuses;;
DI999907OHM300;1;2022-06-19;;ANC;c.T-11.2;53;CQ;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;
DI999907P3N300;1;2022-10-19;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI999907S1N300;1;2022-10-11;;ANC;c.C-24.2;513;AU;VR;Véhicule routier;Permis spécial;;
DI999907S1N300;2;2022-10-11;;ANC;c.C-24.2;513;AU;VR;Véhicule routier;Permis spécial;;
DI999907UDM300;1;2022-06-01;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI9999081KM300;1;2022-07-03;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI9999081KM300;2;2022-07-03;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI9999081KM300;3;2022-07-03;;ANC;c.T-12;4;EX;VL;Véhicule lourd;Documents d'expédition;;
DI9999081WM300;1;2022-09-14;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI9999084IM300;2;2022-06-21;;ANC;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;18000;20570
DI999908Q2N300;1;2022-10-14;;ANC;c.C-24.2;225;EX;VL;Véhicule lourd;Équipement;;
DI999908SEM300;1;2022-06-07;;ANC;c.C-24.2;384;AU;VR;Véhicule routier;Règles de circulation;;
DI999908SEM300;2;2022-06-07;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI999908SEM300;3;2022-06-07;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI999908T0N300;1;2022-10-05;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999908VOM300;3;2022-08-02;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999908VOM300;4;2022-08-02;;ANC;c.C-24.2;37;AU;VR;Véhicule routier;Immatriculation;;
DI999908VOM300;5;2022-08-02;;ANC;c.C-24.2;213;EX;VL;Véhicule lourd;Équipement;;
DI99990935N300;1;2022-10-25;;ANC;c.C-24.2;257.1;PR;VL;Véhicule lourd;Équipement;;
DI9999094VL300;1;2022-02-10;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI9999097TL300;2;2022-01-31;;ANC;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;
DI999909BPM300;3;2022-08-04;;ANC;c.C-24.2;471;EX;VL;Véhicule lourd;Arrimage;;
DI999909EZM300;2;2022-09-28;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999909KVM300;2;2022-09-12;;ANC;c.C-24.2;54;PR;VR;Véhicule routier;Immatriculation;;
DI999909KVM300;3;2022-09-12;;ANC;c.C-24.2;518;PR;VR;Véhicule routier;Immatriculation;;
DI999909R1N300;1;2022-10-11;;ANC;c.C-24.2;519.4;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999909SRL300;1;2022-01-23;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI999909SRL300;2;2022-01-23;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI999909TPM300;2;2022-08-09;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI999909TPM300;3;2022-08-09;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI999909VPL300;1;2022-01-13;;ANC;c.C-24.2;423;CO;VR;Véhicule routier;Règles de circulation;;
DI999909WBM300;1;2022-05-18;;ANC;c.C-24.2;646;CD;VL;Véhicule lourd;Matières dangereuses;;
DI999909X9N300;1;2022-11-17;;ANC;c.C-24.2;35;AU;VR;Véhicule routier;Immatriculation;;
DI99990A08M300;2;2022-04-28;;ANC;c.C-24.2;441;CO;VR;Véhicule routier;Équipement;;
DI99990A08M300;3;2022-04-28;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99990A1IN300;1;2022-12-28;;ANC;c.C-24.2;464;CO;HN;Véhicule hors normes;Permis spécial;;
DI99990A1IN300;2;2022-12-28;;ANC;c.C-24.2;513;AU;VR;Véhicule routier;Permis spécial;;
DI99990A1IN300;3;2022-12-28;;ANC;c.C-24.2;226.2;AU;VR;Véhicule routier;Équipement;;
DI99990A1IN300;4;2022-12-28;;ANC;c.C-24.2;239;PR;VL;Véhicule lourd;Équipement;;
DI99990A3IM300;2;2022-06-21;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99990A3UM300;1;2022-09-02;;ANC;c.C-24.2;523;PR;VL;Véhicule lourd;Vérification mécanique (fréquence);;
DI99990A3UM300;2;2022-09-02;;ANC;c.C-24.2;292;CD;VL;Véhicule lourd;Signalisation routière;;
DI99990A7EN300;1;2022-12-06;;ANC;c.T-11.2;54;CQ;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;
DI99990A7EN300;2;2022-12-06;;ANC;c.T-11.2;55;CQ;AQ;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile;;
DI99990A8SL300;1;2022-01-25;;ANC;c.C-24.2;531;AU;VR;Véhicule routier;Vérification mécanique;;
DI99990A9EM300;1;2022-06-02;;ANC;c.C-24.2;470.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99990A9EM300;2;2022-06-02;;ANC;c.C-24.2;518;PR;VR;Véhicule routier;Immatriculation;;
DI99990A9EM300;3;2022-06-02;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99990A9EM300;4;2022-06-02;;ANC;c.C-24.2;519.15.1;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99990A9EM300;5;2022-06-02;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99990A9EM300;6;2022-06-02;;ANC;c.C-24.2;519.16;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99990A9QM300;1;2022-08-10;;ANC;c.C-24.2;646;CD;VL;Véhicule lourd;Matières dangereuses;;
DI99990A9QM300;2;2022-08-10;;ANC;c.C-24.2;523;PR;VL;Véhicule lourd;Vérification mécanique (fréquence);;
DI99990AACN300;5;2022-11-28;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99990AACN300;6;2022-11-28;;ANC;c.C-24.2;531;PR;VL;Véhicule lourd;Vérification mécanique;;
DI99990AACN300;7;2022-11-28;;ANC;c.C-24.2;474;CD;VL;Véhicule lourd;Dimension;;
DI99990AACN300;8;2022-11-28;;ANC;c.T-12;4;EX;VL;Véhicule lourd;Documents d'expédition;;
DI99990AG8N300;4;2022-11-09;;ANC;c.C-24.2;646;CD;VL;Véhicule lourd;Matières dangereuses;;
DI99990AG8N300;5;2022-11-09;;ANC;c.C-24.2;646;EX;VL;Véhicule lourd;Matières dangereuses;;
DI99990AU0M300;1;2022-03-06;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99990AVAN300;1;2022-11-22;;ANC;c.C-24.2;471;CO;VR;Véhicule routier;Arrimage;;
DI99990AWOL300;1;2022-01-06;;ANC;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;
DI99990AXMM300;3;2022-07-19;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI99990AXMM300;4;2022-07-19;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99990AXMM300;5;2022-07-19;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99990B3VL300;2;2022-02-10;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99990B53N300;1;2022-10-17;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99990B7RM300;1;2022-08-17;;ANC;c.C-24.2;646;CD;VL;Véhicule lourd;Matières dangereuses;;
DI99990BAPM300;2;2022-08-04;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99990BAPM300;3;2022-08-04;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99990BBBN300;2;2022-11-23;;ANC;c.C-24.2;260;PR;VL;Véhicule lourd;Équipement;;
DI99990BQ1N300;3;2022-10-11;;ANC;c.C-24.2;396;AU;VR;Véhicule routier;Règles de circulation;;
DI99990BQDN300;1;2022-12-05;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99990BQDN300;2;2022-12-05;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99990BQDN300;3;2022-12-05;;ANC;c.C-24.2;239;PR;VR;Véhicule routier;Équipement;;
DI99990BS1M300;1;2022-03-18;;ANC;c.C-24.2;326.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99990BSPM300;2;2022-08-08;;ANC;c.C-24.2;463;EX;VL;Véhicule lourd;Surcharge axiale;15000;15440
DI99990BUPL300;1;2022-01-12;;ANC;c.C-24.2;423;CO;VR;Véhicule routier;Règles de circulation;;
DI99990BYLM300;1;2022-07-13;;ANC;c.C-24.2;303.2;CO;VR;Véhicule routier;Signalisation routière;;
DI99990C34N300;1;2022-10-20;;ANC;c.C-24.2;523;PR;VL;Véhicule lourd;Vérification mécanique (fréquence);;
DI99990C4UL300;1;2022-02-04;;ANC;c.C-24.2;291;CD;VL;Véhicule lourd;Signalisation routière;;
DI99990C62N300;2;2022-10-12;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99990C7SL300;2;2022-01-25;;ANC;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;
DI99990CAQL300;2;2022-01-14;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99990CAQL300;3;2022-01-14;;ANC;c.C-24.2;35;AU;VR;Véhicule routier;Immatriculation;;
DI99990CCAN300;1;2022-11-18;;ANC;c.C-24.2;443.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99990CLGN300;1;2022-12-15;;ANC;c.C-24.2;519.25;EX;VL;Véhicule lourd;Heures de conduite;;
DI99990CMUL300;2;2022-02-08;;ANC;c.C-24.2;636;CD;VL;Véhicule lourd;Autres;;
DI99990CO2N300;1;2022-10-14;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99990COEN300;1;2022-12-07;;ANC;c.C-24.2;368;CO;VR;Véhicule routier;Règles de circulation;;
DI99990COEN300;2;2022-12-07;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99990CQQM300;1;2022-08-15;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99990CSQL300;1;2022-01-18;;ANC;c.C-24.2;97;CO;VR;Véhicule routier;Permis de conduire;;
DI99990CSQL300;2;2022-01-18;;ANC;c.C-24.2;225;PR;VR;Véhicule routier;Équipement;;
DI99990CSQL300;3;2022-01-18;;ANC;c.C-24.2;471;CO;VR;Véhicule routier;Arrimage;;
DI99990CWYM300;4;2022-09-27;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99990CWYM300;5;2022-09-27;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99990CYYL300;1;2022-02-23;;ANC;c.C-24.2;310;CO;VR;Véhicule routier;Signalisation routière;;
DI99990CZWM300;1;2022-09-19;;ANC;c.C-24.2;519.10;CD;VL;Véhicule lourd;Heures de conduite;;
DI99990D0JM300;4;2022-06-28;;ANC;c.C-24.2;519.15.2;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI99990D2VL300;2;2022-02-10;;ANC;c.C-24.2;35;CO;VR;Véhicule routier;Immatriculation;;
DI99990D3HM300;1;2022-06-16;;ANC;c.C-24.2;225;PR;VL;Véhicule lourd;Équipement;;
DI99990D4FN300;1;2022-12-09;;ANC;c.C-24.2;328;CO;VR;Véhicule routier;Règles de circulation;;73
DI99990D71N300;3;2022-10-06;;ANC;c.C-24.2;513;CO;EN;Ensemble de véhicules routiers;Permis spécial;;
DI99990D71N300;4;2022-10-06;;ANC;c.C-24.2;464;CO;HN;Véhicule hors normes;Permis spécial;;
DI99990D9PM300;1;2022-08-03;;ANC;c.C-24.2;37;AU;VR;Véhicule routier;Immatriculation;;
DI99990DCNM300;2;2022-07-21;;ANC;c.C-24.2;471;CO;VR;Véhicule routier;Arrimage;;
DI99990DCNM300;3;2022-07-21;;ANC;c.C-24.2;474;CO;VR;Véhicule routier;Dimension;;
DI99990DFLM300;1;2022-07-11;;ANC;c.C-24.2;406.1;CO;VR;Véhicule routier;Règles de circulation;;
DI99990DIJM300;2;2022-06-29;;ANC;c.C-24.2;519.3;CD;VL;Véhicule lourd;Ronde de sécurité;;
