IDENT_INTRT;NO_SEQ_DOCUM;DATE_ANC_COMMI;COD_MUNI_LIEU;TYP_DOCUM_INTRT;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;VL_CONF_PRMSE;VL_NCONF_CNTT;NO_ARTCL_L_R;CODE_LOI_REGLEMENT;DESCR_TYPE_VEH_INFRA;DESCN_CAT_INFRA 
DI9999N97QK300;2;2021-06-09;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N9DMK300;2;2021-05-20;;ANC;;;;;50.0.8;c.T-1;;Vignette IFTA
DI9999N9E8L300;1;2021-09-28;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N9E8L300;2;2021-09-28;;ANC;;;;;50.0.8;c.T-1;;Vignette IFTA
DI9999N9E8L300;3;2021-09-28;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N9FYJ300;1;2021-01-29;;ANC;CO;VR;;;359;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N9M4K300;2;2021-03-01;;ANC;;;;;50.0.8;c.T-1;;Vignette IFTA
DI9999N9MSK300;1;2021-06-22;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N9MSK300;2;2021-06-22;;ANC;EX;VL;;;225;c.C-24.2;Véhicule lourd;Équipement
DI9999N9Q0L300;3;2021-08-13;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N9Q0L300;4;2021-08-13;;ANC;PR;VR;;;210;c.C-24.2;Véhicule routier;Équipement
DI9999N9SCK300;1;2021-04-06;;ANC;;;;;50.0.8;c.T-1;;Vignette IFTA
DI9999N9VYK300;1;2021-08-02;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N9W8L300;2;2021-09-30;;ANC;CO;VR;;;474;c.C-24.2;Véhicule routier;Dimension
DI9999N9W8L300;3;2021-09-30;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N9W8L300;4;2021-09-30;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999NA33L300;1;2021-08-27;;ANC;CO;VR;;;370;c.C-24.2;Véhicule routier;Règles de circulation
DI9999NA33L300;2;2021-08-27;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NA33L300;3;2021-08-27;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NA4TJ300;1;2021-01-05;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI9999NA8PK300;1;2021-06-04;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999NA9BL300;4;2021-10-13;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999NA9BL300;5;2021-10-13;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NAH7K300;2;2021-03-15;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999NAHVK300;5;2021-07-12;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NAKTK300;1;2021-06-29;;ANC;AU;VR;;;396;c.C-24.2;Véhicule routier;Règles de circulation
DI9999NAL3L300;2;2021-09-01;;ANC;CD;VL;;;519.5;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NAMTJ300;1;2021-01-07;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999NAN3K300;1;2021-02-24;;ANC;EX;VL;;;474;c.C-24.2;Véhicule lourd;Dimension
DI9999NAQDK300;1;2021-04-10;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999NAQDK300;2;2021-04-10;;ANC;PR;VR;;;54;c.C-24.2;Véhicule routier;Immatriculation
DI9999NAVZJ300;1;2021-02-05;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999NAVZJ300;2;2021-02-05;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NAVZJ300;3;2021-02-05;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NAYXJ300;2;2021-01-27;;ANC;CO;HN;;;464;c.C-24.2;Véhicule hors normes;Permis spécial
DI9999NAYXJ300;3;2021-01-27;;ANC;PR;VR;;;30;c.C-24.2;Véhicule routier;Immatriculation
DI9999NB0IK300;1;2021-04-29;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999NB0IK300;2;2021-04-29;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999NB14L300;2;2021-09-02;;ANC;EX;VL;;;5;c.P-30.3;Véhicule lourd;Règlement sur les PEVL
DI9999NB2UJ300;2;2021-01-11;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NB6EK300;3;2021-04-13;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NBAML300;2;2021-12-12;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999NBAML300;3;2021-12-12;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NBCAK300;2;2021-03-25;;ANC;AU;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999NBFKK300;1;2021-05-11;;ANC;AU;VR;;;396;c.C-24.2;Véhicule routier;Règles de circulation
DI9999NBHWJ300;3;2021-01-20;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NBI6K300;1;2021-03-10;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI9999NBKUJ300;1;2021-01-13;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999NBKUJ300;2;2021-01-13;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999NBLGK300;1;2021-04-23;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999NBO2K300;2;2021-02-19;;ANC;PR;VR;;;518;c.C-24.2;Véhicule routier;Immatriculation
DI9999NBO2K300;3;2021-02-19;;ANC;PR;VR;;;518;c.C-24.2;Véhicule routier;Immatriculation
DI9999NBO2K300;4;2021-02-19;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N1Q4K300;8;2021-03-02;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N1QSK300;1;2021-06-23;;ANC;AU;VR;;;396;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N1T2K300;3;2021-02-19;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N1WCK300;4;2021-04-06;;ANC;CD;VL;;;519.8.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N1WCK300;5;2021-04-06;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N1WCK300;6;2021-04-06;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N1ZAK300;3;2021-03-27;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N1ZYK300;1;2021-08-03;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N237K300;4;2021-03-11;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N293K300;2;2021-02-23;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI9999N29RK300;1;2021-06-16;;ANC;CO;EN;;;513;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI9999N2CDK300;2;2021-04-08;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N2CDK300;3;2021-04-08;;ANC;PR;VR;;;210.1;c.C-24.2;Véhicule routier;Équipement
DI9999N2KXJ300;4;2021-01-26;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N2KXJ300;5;2021-01-26;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N2KXJ300;6;2021-01-26;;ANC;PR;VL;;;213;c.C-24.2;Véhicule lourd;Équipement
DI9999N2KXJ300;7;2021-01-26;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N2LVK300;1;2021-07-13;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999N2M5L300;2;2021-09-14;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N2M5L300;3;2021-09-14;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI9999N2M5L300;4;2021-09-14;;ANC;TR;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI9999N2M5L300;5;2021-09-14;;ANC;PR;VR;;;210;c.C-24.2;Véhicule routier;Équipement
DI9999N2NVJ300;2;2021-01-18;;ANC;PR;VR;;;225;c.C-24.2;Véhicule routier;Équipement
DI9999N2OTK300;3;2021-06-30;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N2OTK300;4;2021-06-30;;ANC;CO;VR;;;395;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N2QTJ300;2;2021-01-07;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI9999N2RFK300;4;2021-04-20;;ANC;CD;VL;;;519.5;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N2RFK300;5;2021-04-20;;ANC;CD;VL;;;519.6;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N2S1L300;2;2021-08-20;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N2S1L300;3;2021-08-20;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N2SDL300;3;2021-10-26;;ANC;CD;VL;;;519.8.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N2U1K300;1;2021-02-16;;ANC;CO;VR;;;330;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N2UPK300;2;2021-06-08;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999N2UPK300;3;2021-06-08;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N326L300;3;2021-09-15;;ANC;CD;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI9999N326L300;4;2021-09-15;;ANC;PR;VR;;;270;c.C-24.2;Véhicule routier;Équipement
DI9999N374K300;2;2021-02-26;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N37SK300;1;2021-06-21;;ANC;PR;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI9999N37SK300;2;2021-06-21;;ANC;XP;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI9999N382L300;2;2021-08-24;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N3A2K300;3;2021-02-17;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N3B0L300;4;2021-08-11;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N3B0L300;5;2021-08-11;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N3BCL300;3;2021-10-19;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N3DCK300;1;2021-04-01;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999N3DOK300;1;2021-06-01;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI9999N3GMK300;3;2021-05-20;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N3GMK300;4;2021-05-20;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N3H8L300;1;2021-09-28;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N3MUK300;1;2021-07-06;;ANC;AU;VR;;;28;c.C-24.2;Véhicule routier;Immatriculation
DI9999N3MUK300;2;2021-07-06;;ANC;CO;VR;;110;328;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N3MUK300;3;2021-07-06;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N3PSK300;3;2021-06-23;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N3PSK300;4;2021-06-23;;ANC;AU;VR;;;95;c.C-24.2;Véhicule routier;Permis de conduire
DI9999N3YYK300;2;2021-08-03;;ANC;CO;EN;;;513;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI9999N42VK300;1;2021-07-08;;ANC;CO;VR;;;443.1;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N42VK300;2;2021-07-08;;ANC;EX;VL;;;48;c.P-30.3;Véhicule lourd;Règlement sur les PEVL
DI9999N455K300;1;2021-03-03;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999N46FL300;1;2021-11-02;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI9999N47TJ300;1;2021-01-05;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N47TJ300;2;2021-01-05;;ANC;CO;VR;;;368;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N491L300;2;2021-08-18;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N491L300;3;2021-08-18;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N4BDK300;3;2021-04-08;;ANC;;;;;50.0.6;c.T-1;;Permis IFTA
DI9999N4CBL300;5;2021-10-13;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI9999N4CBL300;6;2021-10-13;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N4ENK300;3;2021-05-26;;ANC;AU;VR;;;37;c.C-24.2;Véhicule routier;Immatriculation
DI9999N4EZK300;1;2021-08-05;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N4EZK300;2;2021-08-05;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N4FLL300;2;2021-12-07;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI9999N4I7L300;1;2021-09-23;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N4I7L300;2;2021-09-23;;ANC;EX;VL;;;519.20;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N4K7K300;2;2021-03-15;;ANC;CD;VL;;;519.5;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N4L5L300;1;2021-09-14;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999N4N5K300;1;2021-03-05;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI9999N4NTK300;1;2021-06-30;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N4NTK300;2;2021-06-30;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N4NTK300;3;2021-06-30;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N4Q3K300;3;2021-02-24;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N4R1L300;1;2021-08-20;;ANC;EX;VL;;;519.15.1;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N4R1L300;2;2021-08-20;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N4R1L300;3;2021-08-20;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999N4R1L300;4;2021-08-20;;ANC;PR;VL;;;523;c.C-24.2;Véhicule lourd;Vérification mécanique (fréquence)
DI9999N50KK300;2;2021-05-07;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N50KK300;3;2021-05-07;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N544L300;1;2021-09-02;;ANC;EX;VL;;;257.1;c.C-24.2;Véhicule lourd;Équipement
DI9999N55UJ300;2;2021-01-11;;ANC;EX;VL;4,15;4,24;463;c.C-24.2;Véhicule lourd;Dimension
DI9999N55UJ300;3;2021-01-11;;ANC;EX;VL;;;473;c.C-24.2;Véhicule lourd;Dimension
DI9999N56GK300;1;2021-04-21;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N56SK300;2;2021-06-21;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N56SK300;3;2021-06-21;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N592K300;2;2021-02-17;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N592K300;3;2021-02-17;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N5ACL300;1;2021-10-19;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N5COK300;1;2021-06-01;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N5IWK300;2;2021-07-16;;ANC;TR;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI9999N5JIL300;2;2021-11-19;;ANC;CO;VR;;;443.1;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N5KWJ300;2;2021-01-21;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N5L6K300;3;2021-03-10;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N5L6K300;4;2021-03-10;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N5LUK300;1;2021-07-06;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI9999N5LUK300;2;2021-07-06;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N5NUJ300;1;2021-01-13;;ANC;PR;VR;;;30;c.C-24.2;Véhicule routier;Immatriculation
DI9999N5NUJ300;2;2021-01-13;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N5RQK300;2;2021-06-14;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N5RQK300;3;2021-06-14;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N5RQK300;4;2021-06-14;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N5RQK300;5;2021-06-14;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N5XAK300;5;2021-03-26;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N5ZYJ300;1;2021-02-02;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N61VK300;1;2021-07-08;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N65FL300;1;2021-11-02;;ANC;PR;VR;;;210;c.C-24.2;Véhicule routier;Équipement
DI9999N67RK300;1;2021-06-15;;ANC;CO;VR;;;423;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N6FZJ300;1;2021-02-03;;ANC;AU;VR;;;266;c.C-24.2;Véhicule routier;Équipement
DI9999N6IXJ300;2;2021-01-26;;ANC;CD;VL;;;519.4;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N6MHK300;3;2021-04-28;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999N6MTK300;3;2021-06-29;;ANC;PR;VR;;;270;c.C-24.2;Véhicule routier;Équipement
DI9999N6NFL300;1;2021-11-04;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI9999N6NFL300;2;2021-11-04;;ANC;PR;VR;;;6;c.C-24.2;Véhicule routier;Immatriculation
DI9999N6OTJ300;3;2021-01-07;;ANC;PR;VR;;;30;c.C-24.2;Véhicule routier;Immatriculation
DI9999N6TBL300;3;2021-10-15;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N6WLL300;1;2021-12-09;;ANC;CO;VR;;;361;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N726K300;1;2021-03-08;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N72UK300;1;2021-07-02;;ANC;CO;VR;;;361;c.C-24.2;Véhicule routier;Règles de circulation
DI9999N75GK300;3;2021-04-21;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N782K300;1;2021-02-17;;ANC;AU;VR;;;37;c.C-24.2;Véhicule routier;Immatriculation
DI9999N78EK300;1;2021-04-13;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N78EK300;2;2021-04-13;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N78EK300;3;2021-04-13;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N78EK300;4;2021-04-13;;ANC;PR;VL;;;5;c.P-30.3;Véhicule lourd;Règlement sur les PEVL
DI9999N7FKL300;2;2021-12-01;;ANC;CO;EN;;;513;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI9999N7FKL300;3;2021-12-01;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI9999N7GYJ300;1;2021-01-29;;ANC;PR;VR;;;30;c.C-24.2;Véhicule routier;Immatriculation
DI9999N7H8K300;6;2021-03-18;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N7H8K300;7;2021-03-18;;ANC;PR;VL;;;270;c.C-24.2;Véhicule lourd;Équipement
DI9999N7H8K300;8;2021-03-18;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N7HWK300;2;2021-07-16;;ANC;PR;VL;;;5;c.P-30.3;Véhicule lourd;Règlement sur les PEVL
DI9999N7HWK300;3;2021-07-16;;ANC;PR;VL;;;519.40;c.C-24.2;Véhicule lourd;Immatriculation
DI9999N7LGL300;1;2021-11-09;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N7N4K300;4;2021-03-02;;ANC;CD;VL;;;519.5;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N7NSK300;1;2021-06-22;;ANC;CD;VL;;;519.4;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N7NSK300;2;2021-06-22;;ANC;XP;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI9999N7NSK300;3;2021-06-22;;ANC;EX;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI9999N7NSK300;4;2021-06-22;;ANC;EX;VL;;;519.20;c.C-24.2;Véhicule lourd;Autres
DI9999N7NSK300;6;2021-06-22;;ANC;AU;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N7OEL300;4;2021-10-31;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI9999N7TCK300;1;2021-04-06;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI9999N7UML300;2;2021-12-15;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N7UML300;3;2021-12-15;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999N7WMK300;1;2021-05-25;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N7WYK300;3;2021-08-02;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N7WYK300;4;2021-08-02;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N7WYK300;5;2021-08-02;;ANC;PR;VL;;;523;c.C-24.2;Véhicule lourd;Vérification mécanique (fréquence)
DI9999N7WYK300;6;2021-08-02;;ANC;EX;VL;;;4;c.T-12;Véhicule lourd;Documents d'expédition
DI9999N7YYJ300;2;2021-02-02;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N7Z8K300;1;2021-03-19;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N7Z8K300;2;2021-03-19;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999N83HK300;1;2021-04-27;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999N83TK300;1;2021-06-25;;ANC;PR;VR;;;32;c.C-24.2;Véhicule routier;Immatriculation
DI9999N891K300;1;2021-02-11;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999NBO2K300;5;2021-02-19;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999NBOQK300;1;2021-06-12;;ANC;PR;VL;2,6;3;463;c.C-24.2;Véhicule lourd;Dimension
DI9999NBOQK300;2;2021-06-12;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI9999NBSAL300;1;2021-10-10;;ANC;AU;VR;;;37;c.C-24.2;Véhicule routier;Immatriculation
DI9999NBUYK300;2;2021-08-02;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NBWYJ300;1;2021-02-02;;ANC;EX;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999NBWYJ300;2;2021-02-02;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999NBXKK300;2;2021-05-13;;ANC;CD;VL;;;519.6;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NBXWK300;1;2021-07-20;;ANC;CO;VO;;;474;c.C-24.2;Véhicule outil;Règles de circulation
DI9999NBXWK300;2;2021-07-20;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI9999NC1TK300;3;2021-06-25;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999NC1TK300;4;2021-06-25;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NC3TJ300;2;2021-01-05;;ANC;CO;VR;;;443.1;c.C-24.2;Véhicule routier;Règles de circulation
DI9999NC5DL300;4;2021-10-22;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999NC5DL300;5;2021-10-22;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
