IDENT_INTRT;NO_SEQ_DOCUM;DATE_ANC_COMMI;COD_MUNI_LIEU;TYP_DOCUM_INTRT;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;VL_CONF_PRMSE;VL_NCONF_CNTT;NO_ARTCL_L_R;CODE_LOI_REGLEMENT;DESCR_TYPE_VEH_INFRA;DESCN_CAT_INFRA
DI999904V4K300;2;2021-03-02;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999904V4K300;3;2021-03-02;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI999904V4K300;4;2021-03-02;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI999904YQK300;2;2021-06-15;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999052BK300;3;2021-03-27;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999052BK300;4;2021-03-27;;ANC;PR;VL;;;225;c.C-24.2;Véhicule lourd;Équipement
DI99990539L300;1;2021-09-30;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999055XK300;3;2021-07-21;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999055XK300;4;2021-07-21;;ANC;PR;VR;;;518;c.C-24.2;Véhicule routier;Immatriculation
DI99990567L300;1;2021-09-22;;ANC;CO;VO;;;474;c.C-24.2;Véhicule outil;Règles de circulation
DI99990567L300;2;2021-09-22;;ANC;CO;VO;;;474;c.C-24.2;Véhicule outil;Règles de circulation
DI99990567L300;3;2021-09-22;;ANC;PR;VL;;;225;c.C-24.2;Véhicule lourd;Équipement
DI99990595L300;1;2021-09-11;;ANC;CQ;AQ;;;58;c.T-11.2;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile
DI999905B5K300;1;2021-03-04;;ANC;CQ;AQ;;;55;c.T-11.2;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile
DI999905DTJ300;1;2021-01-06;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI999905E3K300;3;2021-02-23;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI999905EFK300;2;2021-04-19;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999905F1L300;3;2021-08-18;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI999905INL300;1;2021-12-20;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI999905INL300;2;2021-12-20;;ANC;PR;VR;;;30;c.C-24.2;Véhicule routier;Immatriculation
DI999905NXK300;1;2021-07-23;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI999905PXJ300;2;2021-01-26;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999905PXJ300;3;2021-01-26;;ANC;PR;VL;;;213;c.C-24.2;Véhicule lourd;Équipement
DI999905R5L300;2;2021-09-14;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI999905R5L300;3;2021-09-14;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999905R5L300;4;2021-09-14;;ANC;EX;VL;;;519.15.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999905R5L300;5;2021-09-14;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999905R5L300;6;2021-09-14;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999905R5L300;8;2021-09-14;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI999905VTJ300;1;2021-01-08;;ANC;CO;VR;;;359;c.C-24.2;Véhicule routier;Règles de circulation
DI999905WFK300;4;2021-04-20;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI999905WFK300;5;2021-04-20;;ANC;PR;VL;;;543.8;c.C-24.2;Véhicule lourd;Vérification mécanique
DI999905ZPK300;1;2021-06-09;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI999905ZPK300;2;2021-06-09;;ANC;CO;VO;;;474;c.C-24.2;Véhicule outil;Règles de circulation
DI9999063AK300;2;2021-03-24;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999063AK300;3;2021-03-24;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999063MK300;1;2021-05-19;;ANC;PR;VR;;;30;c.C-24.2;Véhicule routier;Immatriculation
DI9999065YJ300;3;2021-01-28;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999066KK300;1;2021-05-10;;ANC;EX;VL;;;262;c.C-24.2;Véhicule lourd;Équipement
DI9999066WK300;2;2021-07-15;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99990676L300;4;2021-09-16;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI99990696K300;1;2021-03-09;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99990696K300;2;2021-03-09;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99990696K300;3;2021-03-09;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99990696K300;4;2021-03-09;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99990696K300;5;2021-03-09;;ANC;PR;VL;;;519.15;c.C-24.2;Véhicule lourd;Vérification mécanique
DI999906A4L300;4;2021-09-06;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI999906A4L300;5;2021-09-06;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI999906A4L300;6;2021-09-06;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999906A4L300;7;2021-09-06;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999906G0L300;2;2021-08-12;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999906I0K300;1;2021-02-09;;ANC;AU;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI999906ICK300;1;2021-04-02;;ANC;CQ;AQ;;;55;c.T-11.2;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile
DI999906QWJ300;1;2021-01-21;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI999906R6K300;4;2021-03-10;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI999906TUJ300;1;2021-01-14;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999906UGK300;1;2021-04-26;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI999906XEK300;1;2021-04-15;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999071NK300;1;2021-05-25;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999071NK300;2;2021-05-25;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999071ZK300;2;2021-08-03;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999071ZK300;3;2021-08-03;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999073ZJ300;1;2021-02-02;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999074XK300;1;2021-07-20;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99990777K300;1;2021-03-12;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI9999077VK300;2;2021-07-09;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999077VK300;3;2021-07-09;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI999907B3L300;1;2021-08-30;;ANC;AU;VA;;;172;c.T-11.2;Véhicule automobile;Loi concernant le transpt. rémunéré de pers. par automobile
DI999907E1L300;2;2021-08-18;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999907E1L300;3;2021-08-18;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999907G1K300;5;2021-02-12;;ANC;CD;VL;;;519.5;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999907JZK300;1;2021-08-05;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI999907MXK300;2;2021-07-22;;ANC;CO;VR;;;326.1;c.C-24.2;Véhicule routier;Règles de circulation
DI999907S5K300;3;2021-03-07;;ANC;EX;VL;;;519.25;c.C-24.2;Véhicule lourd;Heures de conduite
DI999907T3L300;2;2021-09-01;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI999907T3L300;3;2021-09-01;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI999907T3L300;4;2021-09-01;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI999907UTJ300;1;2021-01-08;;ANC;PR;VR;;;54;c.C-24.2;Véhicule routier;Immatriculation
DI999907UTJ300;2;2021-01-08;;ANC;PR;VL;;;5;c.P-30.3;Véhicule lourd;Règlement sur les PEVL
DI999907UTJ300;3;2021-01-08;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999907UTJ300;4;2021-01-08;;ANC;CO;VR;;;441;c.C-24.2;Véhicule routier;Équipement
DI999907VFK300;2;2021-04-20;;ANC;CO;VR;;112;328;c.C-24.2;Véhicule routier;Règles de circulation
DI999907Y1K300;1;2021-02-16;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999907Y1K300;2;2021-02-16;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999907ZNL300;1;2021-12-22;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI999907ZNL300;2;2021-12-22;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999082MK300;1;2021-05-19;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999082YK300;1;2021-07-27;;ANC;CQ;AQ;;;55;c.T-11.2;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile
DI9999082YK300;2;2021-07-27;;ANC;AU;VA;;;172;c.T-11.2;Véhicule automobile;Loi concernant le transpt. rémunéré de pers. par automobile
DI99990858K300;3;2021-03-17;;ANC;CD;VL;;;519.5;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999085KK300;2;2021-05-10;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI99990886K300;1;2021-03-09;;ANC;PR;VL;;;239;c.C-24.2;Véhicule lourd;Équipement
DI99990886K300;2;2021-03-09;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99990894L300;1;2021-09-04;;ANC;CQ;AQ;;;55;c.T-11.2;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile
DI99990894L300;2;2021-09-04;;ANC;CU;AQ;;;63;c.T-11.2;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile
DI999908AUJ300;2;2021-01-12;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI999908AUJ300;3;2021-01-12;;ANC;PR;VL;;;473;c.C-24.2;Véhicule lourd;Dimension
DI999908AUJ300;4;2021-01-12;;ANC;PR;VL;;;523;c.C-24.2;Véhicule lourd;Vérification mécanique (fréquence)
DI999908B4K300;1;2021-02-27;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
