NAC,Nom_collection,AR,TI,DFP,MED,MA,SUP,TF,Tirage,Hauteur,Hauteur_exterieur,Largeur,Largeur_exterieur,Profondeur,Profondeur_exterieur,Diametre_exterieur
"2003.020.27","Collection permanente","Vermette, Claude","Première","1973","encre","","papier","imprimé","33/40","105.2","","75","","","",""
"2003.020.28","Collection permanente","Vermette, Claude","Non titré","1975","encre","","papier","double papier; frange","E/A 4/4","104.5","","37.2","","","",""
"2003.020.29","Collection permanente","Vermette, Claude","Non titré","1975","encre","","papier","double papier; frange","E/A 4/4","104.6","","37.2","","","",""
"cdo.2003.001","Collection documentaire","Vermette, Claude","Affiche d'exposition","1974","encre","","papier","double papier; frange","","89","","58.6","","","",""
"2003.021.1","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","34.3","49.7","37","46.5","","4.8",""
"2003.021.2","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","29.2","","42.2","","","",""
"2003.021.3","Collection permanente","Vermette, Claude","Non titré","1984","aquarelle","","carton","","","52.5","65.1","33.5","46","","4.8",""
"2003.021.4","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","38.3","","36","","","",""
"2003.021.5","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","25.2","","42.8","","","",""
"2003.021.6","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","35.8","","33.5","","","",""
"2003.021.7","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","50.2","","32.6","","","",""
"2003.021.8","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","42.9","","31.5","","","",""
"2003.021.9","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","38.1","","34.1","","","",""
"2003.021.10","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","47.3","","34","","","",""
"2003.021.11","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","39.7","","30.7","","","",""
"2003.021.12","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","55.3","","27.4","","","",""
"2003.021.13","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","63.7","","29.1","","","",""
"2003.021.14","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","51.2","","49.3","","","",""
"2003.021.15","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","61.9","","38","","","",""
"2003.021.16","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","papier","","","56.7","","25.5","","","",""
"2003.021.17","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","52.4","64.8","46.7","58.8","","4.8",""
"2003.021.18","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","55.5","","39.7","","","",""
"2003.021.19","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","51.4","","45","","","",""
"2003.021.20","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","53.1","","49","","","",""
"2003.021.21","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","64.9","77.5","37.9","50.5","","4.8",""
"2003.021.22","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","60.2","","20.7","","","",""
"2003.021.23","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","57.7","","42.4","","","",""
"2003.021.24","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","papier","","","60","72.5","35.5","48","","4.8",""
"2003.021.25","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","65.7","","33.5","","","",""
"2003.021.26","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","44.2","","43.2","","","",""
"2003.021.27","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","52.1","64.1","31.4","43.2","","4.8",""
"2003.021.28","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","49.8","62","43.8","56.2","","4.8",""
"2003.021.29","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","49.4","61.5","26.3","39","","4.8",""
"2003.021.30","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","43.7","56.2","38.7","51.2","","4.8",""
"2003.021.31","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","61.5","","50.2","","","",""
"2003.021.32","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","49.9","","43","","","",""
"2003.021.33","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","37.2","","34.1","","","",""
"2003.021.34","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","36.2","49.7","34.3","46.5","","4.8",""
"2003.021.35","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","40.3","","38.8","","","",""
"2003.021.36","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","38.5","","35.3","","","",""
"2003.021.37","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","38.5","51","32.5","43.5","","4.8",""
"2003.021.38","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","33.8","46.2","40.9","53.4","","4.8",""
"2003.021.39","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","35.5","47.8","40.2","53","","4.8",""
"2003.021.40","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","37.2","","39.8","","","",""
"2003.021.41","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","34.4","","36.3","","","",""
"2003.021.42","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","28.9","","29.6","","","",""
"2003.021.43","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","44.1","","32.3","","","",""
"2003.021.44","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","38.4","","57.4","","","",""
"2003.021.45","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","35.4","48","40.6","53","","4.8",""
"2003.021.46","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","33.2","","29.1","","","",""
"2003.021.47","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","36.7","","30.5","","","",""
"2003.021.48","Collection permanente","Vermette, Claude","Non titré","1981","aquarelle","","carton","","","41.4","","45.1","","","",""
"2003.021.49","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","32.4","","27.5","","","",""
"2003.021.50","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","41.7","","35.6","","","",""
"2003.021.51","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","38.4","","49.2","","","",""
"2003.021.52","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","29.4","","29.3","","","",""
"2003.021.53","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle; huile","","carton","","","48","","47.6","","","",""
"2003.021.54","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","48.6","61","44.8","57.2","","4.8",""
"2003.021.55","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","37.2","","36.9","","","",""
"2003.021.56","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","48.8","61.5","48.2","60.3","","4.8",""
"2003.021.57","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","42.4","54.8","40.5","52.6","","4.8",""
"2003.021.58","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","49.8","","44.2","","","",""
"2003.021.59","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","40.5","","34.2","","","",""
"2003.021.60","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","42.1","","33.2","","","",""
"2003.021.61","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","31.2","","29.4","","","",""
"2003.021.62","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","33.2","","32.2","","","",""
"2003.021.63","Collection permanente","Vermette, Claude","Non titré","1979","aquarelle","","carton","","","33.6","","30.3","","","",""
"2003.021.64","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","42.7","","35.3","","","",""
"2003.021.65","Collection permanente","Vermette, Claude","Non titré","1982","aquarelle","","carton","","","32","","33.1","","","",""
"2003.021.66","Collection permanente","Vermette, Claude","Non titré","1980","aquarelle","","carton","","","30.3","","33","","","",""
"2003.022.1-18","Collection permanente","Vermette, Claude","Blanc-seing","1974","","","","imprimé; taille-douce","","","","","","","",""
"2003.022.1","Collection permanente","Vermette, Claude","Non titré","1974","","bois; fibre","","","","58.6","","39.8","","5.8","",""
"2003.022.2","Collection permanente","Vermette, Claude","Vermette","1974","","","papier","","","20.3","","20.2","","","",""
"2003.022.3","Collection permanente","Vermette, Claude","Vermette","1974","","","papier","","","11.1","","20.5","","","",""
"2003.022.4","Collection permanente","Vermette, Claude","Blanc-seing ","1974","","","papier ","","","53.1","","38","","","",""
"2003.022.5-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.4","","37.4","","","",""
"2003.022.6-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier ","taille-douce","41/100","52.7","","37.5","","","",""
"2003.022.7-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.6","","37.5","","","",""
"2003.022.8-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier ","taille-douce","41/100","37.6","","52.7","","","",""
"2003.022.9-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.7","","37.4","","","",""
"2003.022.10-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.7","","37.4","","","",""
"2003.022.11-1.2","Collection permanente","Vermette, Claude","Non titré","1974","","","papier","taille-douce","41/100","52.3","","37.6","","","",""
"2003.022.12-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.6","","37.2","","","",""
"2003.022.13-1.2","Collection permanente","Vermette, Claude","Non titré","1974","","","papier","taille-douce","41/100","52.7","","37.5","","","",""
"2003.022.14-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.6","","37.5","","","",""
"2003.022.15-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.6","","37.4","","","",""
"2003.022.16-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.6","","37.5","","","",""
"2003.022.17-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.7","","37","","","",""
"2003.022.18-1.2","Collection permanente","Vermette, Claude","Non titré","1974","encre","","papier","taille-douce","41/100","52.5","","37.5","","","",""
"p.2003.002","Collection permanente","Aird-Bélanger, Jocelyne","Oublier l'éphémère","1991","encre","","papier","photogravure; eau-forte; itaglio","b.g. : 2/10","57.4","","76","","","",""
"p.2003.003","Collection de prêt","Aird-Bélanger, Jocelyne","Qui? Toi?","2002","encre","","papier","photogravure; eau-forte","b.g. : 7/10","32.9","","50.1","","","",""
"2003.004.1-4","Collection permanente","Aird-Bélanger, Jocelyne","Rituels d'Amériques","1990","","","papier","photogravure; eau-forte","","5.2","","42.7","","32.5","",""
"2003.005.1-9","Collection permanente","Aird-Bélanger, Jocelyne","Fusions","1993","","","papier","","b.g. : 7/10","8","","52.1","","34.5","",""
"2003.006.1-3","Collection permanente","Aird-Bélanger, Jocelyne","Anonyma","2001","","","papier","photogravure; eau-forte","Rabat intérieur de l'estampe, b.g. : 4/5","63.6","","50.5","","","",""
"2003.007","Collection permanente","Bruneau, Kittie","Tempête de Saints","2001","acrylique; peinture","","toile; plastique; papier","peint; collé","","","169.9","","140.8","","",""
"2003.008","Collection permanente","Connolly, Reynald","La beauté du diable","1996","acrylique","","toile","","","144.9","","265.5","","","",""
"cdi.2003.001","Collection didactique","Desrosiers J., Lucie ","Lucy for ever","2003","huile; plaque électronique; plastique; coton; contre-plaqué","","toile","","","167.6","","123.5","","","",""
"2003.010","Collection permanente","Leblanc, Pierre","Emprisonnement no V","1979","","métal, acier; métal, bronze; métal, fer ?","","","","24.5","","37","","29.5","",""
"2003.012","Collection permanente","Lefebvre, Martial","1 888 505 1010","2002","acrylique","","toile","","","180","","300","","","",""
"2003.013","Collection permanente","Morin, Michel","Sans titre","1975","huile","","carton","","","101.6","","66.3","","","",""
"2003.014","Collection permanente","Morin, Michel","Fraction II","1981","pastel; crayon de couleur","","carton","","","101.6","","66.3","","","",""
"2003.015","Collection permanente","Morin, Michel","Non titré","1988","huile; crayon gras","","mylar; géofilm","","","","132.5","","102","","4",""
"2003.016","Collection permanente","Morin, Michel","Rayère sur l'azure","1996","papier; acrylique; film plastique","","toile","","","152.6","","134.8","","","",""
"2003.017","Collection permanente","Morin, Michel","Sans titre","2003","mixte-média","","mylar; géofilm","","","106.7","","76.2","","","",""
"cdi.2003.002","Collection didactique","Nadeau, Raymond","Scaphandrier en péril","2003","","bois; fibre, synthétique; papier; plastique","","collé; assemblé; peint","","153.2","","129","","59","",""
"2003.009.1-3","Collection permanente","Pellerin, Josée","Quand le cauchemar sera passé, il ne restera que la couleur","1987","acrylique; pastel","","papier","","","75.1","","75.6","","","",""
"p.2004.001","Collection de prêt","Bruneau, Kittie","Bison","1974","encre","","papier","pointe-sèche","20/50","56","63.5","76","81.5","","3",""
"p.2004.002","Collection de prêt","Bruneau, Kittie","Pêche aux harengs","1974","encre","","papier","pointe-sèche","20/50","56","68.7","76","83.7","","3",""
"p.2004.003","Collection de prêt","Bruneau, Kittie","Complainte du Grand'nord","1974","encre","","papier","pointe-sèche","20/50","76","81.3","56","61.7","","3",""
"p.2004.004","Collection de prêt","Bruneau, Kittie","Porc-épic","1974","encre","","papier","pointe-sèche","20/50","76","","56","","","",""
"p.2004.005","Collection de prêt","Bruneau, Kittie","Les fougères","1974","encre","","papier","pointe-sèche","20/50","56","","76","","","",""
"2003.025","Collection permanente","Derouin, René","Lac Manitou","1981","encre","","papier","gravure sur bois","10/15","116.7","","80.2","","","",""
"2003.019","Collection permanente","Derouin, René","Paraiso II La dualité du Baroque","1998","encre","","papier","gravure sur bois","b.g. : EC II/II","56.7","","76","","","",""
"p.2003.023","Collection de prêt","Derouin, René","La réserve de Sainte-Lucie","1976","encre","","papier","sérigraphie","b.g. : H.C.  ","101.6","","65.5","","","",""
"2004.006","Collection permanente","Derouin, René","Mi-juillet ","1967","encre","","papier","gravure sur bois","2/25","66.2","","52","","","",""
"p.2004.006","Collection de prêt","Derouin, René","La chute du Nord","1978","encre","","papier","gravure sur bois","15/25","56.2","","75.7","","","",""
"p.2004.007","Collection de prêt","Derouin, René","Radisson","1978","encre","","papier","gravure sur bois","12/25","75.7","","56","","","",""
"2004.010","Collection permanente","Derouin, René","L.G. III Baie de James","1978","encre","","papier","gravure sur bois","HC IV/IV","75.7","","56","","","",""
"2004.009","Collection permanente","Derouin, René","L.G. II Baie de James","1978","encre","","papier","gravure sur bois","EA I/III","75.7","","56","","","",""
"p.2004.008","Collection de prêt","Derouin, René","Calcaire","1978","","","papier","gravure sur bois","B.A.T.","76","","56.2","","","",""
"2004.012","Collection permanente","Derouin, René","Hommage à Posada","1990","encre","","papier","gravure sur bois","b.g. : 9/50","119.5","139.6","82.6","102","","3.3",""
"p.2003.001.1","Collection de prêt","Aird-Bélanger, Jocelyne","Beausoleil-1948...","1986","encre","","papier","photogravure; eau-forte; intaglio","08-juil","76","","56","","","",""
"p.2003.001.2","Collection de prêt","Aird-Bélanger, Jocelyne","Nicole Brossard","1986","encre","","papier","photogravure; eau-forte; intaglio; collé","08-mai","56","","76","","","",""
"p.2003.001.3","Collection de prêt","Aird-Bélanger, Jocelyne","Yves Gabriel Brunet-1938","1986","encre","","papier","photogravure; eau-forte; intaglio; collé","b.g. : Épreuve A","76","87.5","56.3","67.8","","5",""
"p.2003.001.4","Collection de prêt","Aird-Bélanger, Jocelyne","Chamberland-1939","1986","encre","","papier","photogravure; eau-forte; intaglio; collé","08-mars","76","","56.3","","","",""
"p.2003.001.5","Collection de prêt","Aird-Bélanger, Jocelyne","Daoust","1986","encre","","papier","photogravure; eau-forte; intaglio; rehaussé","E/A","76","","56.2","","","",""
"p.2003.001.6","Collection de prêt","Aird Bélanger, Jocelyne","Lalonde 1937","1985","encre","","papier","photogravure; eau-forte; intaglio; collé","08-janv","76.3","","56.3","","","",""
"p.2003.001.7","Collection de prêt","Aird-Bélanger, Jocelyne","Gaston Miron-1928","1986","encre","","papier","photogravure; eau-forte; intaglio; collé","b.g. : 2/8","56.2","67.8","76","87.5","","5",""
"p.2003.001.8","Collection de prêt","Aird-Bélanger, Jocelyne","Pierre Morency-1942","1986","encre","","papier","photogravure; eau-forte; intaglio; collé; rehaussé","08-janv","56.1","","76","","","",""
"2003.026.1","Collection permanente","Derouin, René","Nouveau-Québec IV-A","1980","encre","","papier","gravure sur bois","b.g. : 2/7","116.2","","80.3","","","",""
"2003.026.2","Collection permanente","Derouin, René","Nouveau-Québec VII","1980","encre","","papier","gravure sur bois","b.g. : 7/8","116.5","131.5","80.1","104.5","","3.5",""
"2003.026.3","Collection permanente","Derouin, René","Nouveau-Québec VIII","1980","encre","","papier","gravure sur bois","b.g. : 7/10","116","131.5","80.3","104.5","","3.5",""
"2003.026.4","Collection permanente","Derouin, René","Nouveau-Québec IX","1980","encre","","papier","gravure sur bois","b.g. : 9/10","115.6","131.5","80.2","104.5","","3.5",""
"2003.026.5","Collection permanente","Derouin, René","Nouveau-Québec XV","1980","encre","","papier","gravure sur bois","b.g. : 8/10","115","131.5","80.5","104.5","","3.5",""
"2003.024.1","Collection permanente","Bruneau, Kittie","Cree-Lac-Lubicon I","1987","acrylique","","toile","","","150.7","","149.5","","","",""
"2003.024.2","Collection permanente","Bruneau, Kittie","Cree-Lac-Lubicon II","1987","acrylique","","toile","","","151","","151.5","","","",""
"2003.024.3","Collection permanente","Bruneau, Kittie","Cree-Lac-Lubicon III","1987","acrylique","","toile","","","161","","151","","","",""
"2003.024.4","Collection permanente","Bruneau, Kittie","Cree-Lac-Lubicon IV","1987","acrylique","","toile","","","174","","151","","","",""
"2003.024.5","Collection permanente","Bruneau, Kittie","Cree-Lac-Lubicon V","1987","acrylique","","toile","","","150.5","","215.5","","","",""
"1999.001","Collection permanente","Parodi, Roberto","Non titré","1999","encre","","papier","","","61.4","","99.1","","","",""
"1999.002","Collection permanente","Parodi, Roberto","Non titré","1999","encre","","papier","","","61.5","","99.8","","","",""
"1999.003","Collection permanente","Parodi, Roberto","Non titré","1999","encre","","papier","","","61.5","","99.3","","","",""
"1999.004","Collection permanente","Montoya, Tatiana","Non titré","1999","encre","","papier","","","80","","107","","","",""
"1999.005","Collection permanente","Montoya, Tatiana","Non titré","1999","encre","","papier","","","106.3","","80","","","",""
"2004.014","Collection permanente","Nadeau, Guy","...si loin si...","1996","","métal, acier galvanisé; métal, laiton; béton; métal, acier","","","","60","","500","","300","",""
"2004.015","Collection permanente","Boissonnet, Philippe","Efflorescence","2003","","","","","","30","","600","","600","",""
"2004.016","Collection permanente","Fauteux-Massé, Henriette","Hiver","1970","acrylique","","toile","","","54","","54","","","",""
"p.2005.006","Collection de prêt","Derouin, René","Gaspésie XI","1976","encre","","papier","gravure sur bois","19/40","29","","24","","","",""
"p.2005.007","Collection de prêt","Derouin, René","Gaspésie IV","1976","encre","","papier","gravure sur bois","20/40","28.5","","24","","","",""
"p.2005.008","Collection de prêt","Derouin, René","Latitude 50 ","1982","encre","","papier","gravure sur bois","14/30","37","","33","","","",""
"p.2005.003","Collection de prêt","Derouin, René","Oka II","1981","encre","","papier","gravure sur bois","16/40","44.5","","38","","","",""
"p.2005.004","Collection de prêt","Derouin, René","Oka III","1981","encre","","papier","gravure sur bois","14/40","44.5","","38","","","",""
"p.2005.005","Collection de prêt","Derouin, René","Oka IV","1981","encre","","papier","gravure sur bois","9/40","44.5","","38","","","",""
"p.2005.001","Collection de prêt","Bruneau, Kittie","Génération ","1988","encre","","papier","gravure sur bois; eau-forte; pointe sèche","État I","92.5","94","90","90","","3.5",""
"2005.008","Collection permanente","Bruneau, Kittie","Falaise au coin du banc","1999","","","papier","","","79","","64.5","","","",""
"p.2005.002","Collection de prêt","Bruneau Kittie","Avalanche","1980","encre","","papier","pointe-sèche","","76","","56","","","",""
"cdi.2005.004","Collection didactique","Nair, Indira","Tintin","1988","encre à l'huile","","aluminium","peint; assemblé","","133","","96","","","",""
"2005.011","Collection permanente","Fauteux-Massé, Henriette","Fanum","1959","caséine","","carton","","","101.5","","76","","","",""
"2005.012","Collection permanente","Fauteux-Massé, Henriette","Mirage","1957","gouache","","masonite","","","76","","51","","","",""
"2005.013","Collection permanente","Fauteux-Massé, Henriette","Danse des soldats","","gouache; gesso","","carton","","","76","","50.7","","","",""
