ï»¿ID,RUE_1,RUE_2,LONGITUDE,LATITUDE,MUNICIPALITE,GEOM
1383,Rue de la Paix,Boulevard Lacombe,-73.45827,45.76236,Repentigny,Point
1388,Rue Saint-Paul,Boulevard Pierre-Le Gardeur,-73.47514,45.75471,Repentigny,Point
1452,Boulevard Brien,Rue Leclerc,-73.45463,45.74432,Repentigny,Point
1432,Rue Cherrier,Boulevard Iberville,-73.4603,45.731,Repentigny,Point
1431,Rue Cherrier,Boulevard Iberville,-73.46017,45.73113,Repentigny,Point
1461,Boulevard Brien,Boulevard Iberville,-73.45016,45.74211,Repentigny,Point
984,Boulevard de L'Assomption,Rue Valmont,-73.44912,45.76892,Repentigny,Point
1445,Boulevard Brien,Boulevard de L'Assomption,-73.46511,45.74954,Repentigny,Point
987,Rue Valmont,Boulevard Basile-Routhier,-73.44623,45.768,Repentigny,Point
1428,Rue Lebel,Rue Notre-Dame,-73.44798,45.73772,Repentigny,Point
1425,Rue Notre-Dame,Rue Sarto,-73.45102,45.73476,Repentigny,Point
1423,Rue de l'Aqueduc,Rue Notre-Dame,-73.45401,45.73232,Repentigny,Point
1413,Rue du Bord-de-l'Eau,Rue Notre-Dame,-73.46388,45.72116,Repentigny,Point
955,Boulevard Iberville,Rue Notre-Dame,-73.46823,45.71866,Repentigny,Point
1449,Boulevard Brien,Rue Leclerc,-73.45485,45.7441,Repentigny,Point
1450,Boulevard Brien,Rue Leclerc,-73.45449,45.74397,Repentigny,Point
976,Rue Masson,Rue Valmont,-73.43671,45.76578,Repentigny,Point
962,Boulevard Brien,,-73.46056,45.74687,Repentigny,Point
980,Rue Valmont,,-73.44407,45.76692,Repentigny,Point
1395,Boulevard Lacombe,,-73.48334,45.73564,Repentigny,Point
1396,Boulevard Lacombe,,-73.48324,45.73586,Repentigny,Point
1462,Boulevard Brien,,-73.45273,45.74352,Repentigny,Point
1463,Boulevard Brien,,-73.45257,45.74345,Repentigny,Point
1464,Boulevard Brien,,-73.45273,45.74324,Repentigny,Point
1465,Boulevard Brien,,-73.45298,45.74334,Repentigny,Point
1471,Rue Notre-Dame,,-73.44282,45.74143,Repentigny,Point
1500,Boulevard Louis-Philippe-Picard,,-73.41355,45.79327,Repentigny,Point
1507,Boulevard Industriel,,-73.44717,45.75647,Repentigny,Point
979,Rue Valmont,,-73.44401,45.76711,Repentigny,Point
958,Boulevard Brien,,-73.46072,45.74665,Repentigny,Point
1436,Boulevard de La Rochelle,,-73.46802,45.73554,Repentigny,Point
1437,Boulevard de La Rochelle,,-73.46823,45.7355,Repentigny,Point
1438,Boulevard de La Rochelle,,-73.46831,45.7357,Repentigny,Point
1397,Boulevard Lacombe,,-73.48352,45.73591,Repentigny,Point
1394,Boulevard Lacombe,,-73.48358,45.73567,Repentigny,Point
1501,Boulevard Louis-Philippe-Picard,,-73.41372,45.7934,Repentigny,Point
1472,Rue Notre-Dame,,-73.44267,45.74131,Repentigny,Point
1506,Boulevard Industriel,,-73.44738,45.75657,Repentigny,Point
978,Rue Valmont,,-73.44377,45.76703,Repentigny,Point
