code_alea,alea,code_municipalite,municipalite,precision_localisation,info_compl_localisation,severite,date_signalement,date_debut,date_debut_imprecise,commentaire_date_debut,date_fin,coord_x,coord_y
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-10-16,,Oui,,2021-01-29,-73.437942,45.828497
"156",Accident de voiture,"60028",L'Assomption,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-01-19,2022-01-19,Non,,2022-01-31,-73.42725,45.848084
"156",Accident de voiture,"60028",L'Assomption,Très précise,,Menace possible à la vie ou à la propriété,2021-02-05,2021-02-05,Non,,2021-03-23,-73.408095,45.805114
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Menace possible à la vie ou à la propriété,2021-09-20,,Oui,,2022-03-21,-73.423275,45.836484
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2021-03-24,,Oui,,2021-10-26,-73.446459,45.839521
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2022-04-27,2022-04-21,Non,,2022-12-07,-73.411776,45.844426
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2022-04-22,2022-04-21,Non,,2022-12-07,-73.411776,45.844426
"8",Inondation,"60028",L'Assomption,Imprécise,,Menace possible à la vie ou à la propriété,2022-09-14,2022-09-13,Non,,2022-10-11,-73.42725,45.848084
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,,Gravité inconnue,2022-04-08,,Oui,,2022-12-07,-73.432017,45.897261
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,Fissures en bordure de route,Menace possible à la vie ou à la propriété,2023-04-03,2023-04-03,Non,,2023-08-24,-73.411289,45.829796
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,glissement de terrain,Menace faible ou non-existante à la vie ou la propriété,2023-06-28,2023-04-05,Non,,2023-08-11,-73.423692,45.81916
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,Agrandissement du mouvement de sol de 2021,Menace faible ou non-existante à la vie ou la propriété,2023-04-11,2023-04-11,Oui,,2023-08-11,-73.446459,45.839521
"101",Mouvement de terrain,"60028",L'Assomption,Très précise,Mouvement de sol,Menace faible ou non-existante à la vie ou la propriété,2022-11-17,2022-11-08,Non,,2024-07-25,-73.414312,45.838391
