Coups de cœur culturels ,Latitude,Longitude,Étiquette
Cinéma Beaubien,45.548128,-73.59218,Coup de cœur
Cinéma NDG,45.4705466,-73.6126145,Coup de cœur
Cinémathèque québécoise,45.513932,-73.562704,Coup de cœur
Circuit Est,45.513932,-73.562704,Coup de cœur
"Cité historia, Musée du Sault-au-Récollet ",45.574653,-73.660397,Coup de cœur
Club Balattou,45.519207,-73.584489,Coup de cœur
Cocréation de murales avec les jeunes dans les écoles avec MU ,45.513232,-73.563188,Présenté le 23 septembre
Co-design de la bibliothèque de Pierrefonds,45.495245,-73.84725,Présenté le 23 septembre
Complexe environnemental Saint-Michel,45.563451,-73.627388,Coup de cœur
Culture Montréal,45.511579,-73.576241,Coup de cœur
DHC/ART,45.502464,-73.557062,Coup de cœur
Dînette Triple Crown,45.531322,-73.613178,Coup de cœur
DynamO Théâtre et Immigrant de l'intérieur,45.541754,-73.61314,Présenté le 23 septembre
ÉchoFab,45.494811,-73.561408,Présenté le 23 septembre
École de cirque de Verdun,45.454288,-73.566167,Coup de cœur
École Paul-Gérin-Lajoie d'Outremont,45.519779,-73.605965,Coup de cœur
Écomusée du fier monde,45.520304,-73.563733,Coup de cœur
Édifice Belgo,45.505768,-73.567305,Coup de cœur
Édifice Belgo,45.505768,-73.567305,Coup de cœur
Église catholique Notre-Dame-de-la-Défense,45.5349642,-73.6111094,Coup de cœur
Église de la Visitation-de-la Bienheureuse Vierge Marie,45.570225,-73.660458,Coup de cœur
Église Sainte-Brigide de Kildare (Le Cube),45.520034,-73.5512371,Coup de cœur
Église Sainte-Geneviève de Pierrefonds ,45.4798874,-73.871738,Coup de cœur
Église Saint-Laurent (Saint-Laurent en mouvement),45.5138953,-73.6744091,Présenté le 23 septembre
"Empreintes citoyennes, places Pascal et Del Sol, Montréal-Nord",45.617224,-73.621405,Présenté le 23 septembre
Entrepôt - Complexe Guy-Descary,45.433546,-73.68992,Coup de cœur
Épitaphe des deux guerres au parc Outremont,45.518242, -73.604929,Coup de cœur
Espace 4001- Geordie Productions,45.521591,-73.574378,Coup de cœur
Espace culturel Centre-Nord La Cenne,45.537618,-73.626369,Coup de cœur
Espace Lafontaine,45.5251509,-73.5697693,Coup de cœur
Espace projet art contemporain + design,45.5401341,-73.6234106,Coup de cœur
Exeko,45.526674,-73.595126,Présenté le 23 septembre
"Festival de marionnettes plein la rue, Érablière, Panache sur la promenade Wellington ",45.5401341,-73.6234106,Présenté le 23 septembre
Festival MURAL sur le boulevard Saint-Laurent,45.515797,-73.576841,Présenté le 23 septembre
Fonderie Darling,45.497714,-73.556688,Coup de cœur
Galerie Art-Mûr,45.533364,-73.596996,Coup de cœur
Galerie d'art d'Outremont,45.533364,-73.596996,Coup de cœur
Galerie Espace verre,45.489252,-73.551767,Coup de cœur
Galerie Goncourt de la bibliothèque du Haut-Anjou,45.6012889,-73.575989,Coup de cœur
Galerie Simon Blais,45.525257,-73.597721,Coup de cœur
Graffiti de Zilon au coin des rues Marianne et St-Dominique ,45.519608,-73.583636,Coup de cœur
Graffitis de la ruelle Boisbriand,45.512552,-73.562575,Coup de cœur
