"Annee_imposition","Genre","Age","Region_administrative","Nombre_de_particuliers","Credit_moyen"
2021,"Masculin","40 à 54 ans","12 - Chaudière-Appalaches",252,1504.57
2021,"Masculin","40 à 54 ans","13 - Laval",767,1509.70
2021,"Masculin","40 à 54 ans","14 - Lanaudière",553,1488.83
2021,"Masculin","40 à 54 ans","15 - Laurentides",533,1468.67
2021,"Masculin","40 à 54 ans","16 - Montérégie",1211,1531.33
2021,"Masculin","55 à 64 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",271,1424.83
2021,"Masculin","55 à 64 ans","02 - Saguenay - Lac-Saint-Jean",173,1423.34
2021,"Masculin","55 à 64 ans","03 - Capitale-Nationale",305,1376.87
2021,"Masculin","55 à 64 ans","04+17 - Mauricie + Centre-du-Québec",291,1355.19
2021,"Masculin","55 à 64 ans","05 - Estrie",211,1419.00
2021,"Masculin","55 à 64 ans","06 - Montréal",1308,1406.08
2021,"Masculin","55 à 64 ans","07 - Outaouais",218,1399.96
2021,"Masculin","55 à 64 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",154,1442.75
2021,"Masculin","55 à 64 ans","12 - Chaudière-Appalaches",227,1382.64
2021,"Masculin","55 à 64 ans","13 - Laval",488,1437.12
2021,"Masculin","55 à 64 ans","14 - Lanaudière",410,1383.34
2021,"Masculin","55 à 64 ans","15 - Laurentides",382,1385.31
2021,"Masculin","55 à 64 ans","16 - Montérégie",834,1401.86
2021,"Masculin","65 ans et plus","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",72,1383.31
2021,"Masculin","65 ans et plus","02 - Saguenay - Lac-Saint-Jean",64,1335.23
2021,"Masculin","65 ans et plus","03 - Capitale-Nationale",83,1342.30
2021,"Masculin","65 ans et plus","04+17 - Mauricie + Centre-du-Québec",65,1266.00
2021,"Masculin","65 ans et plus","05 - Estrie",65,1295.22
2021,"Masculin","65 ans et plus","06 - Montréal",414,1306.09
2021,"Masculin","65 ans et plus","07 - Outaouais",49,1445.84
2021,"Masculin","65 ans et plus","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",39,1347.15
2021,"Masculin","65 ans et plus","12 - Chaudière-Appalaches",62,1296.63
2021,"Masculin","65 ans et plus","13 - Laval",123,1338.05
2021,"Masculin","65 ans et plus","14 - Lanaudière",85,1343.60
2021,"Masculin","65 ans et plus","15 - Laurentides",106,1307.65
2021,"Masculin","65 ans et plus","16 - Montérégie",248,1326.81
2022,"Féminin","Moins de 40 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",28,1577.36
2022,"Féminin","Moins de 40 ans","02 - Saguenay - Lac-Saint-Jean",21,1422.71
2022,"Féminin","Moins de 40 ans","03 - Capitale-Nationale",50,1411.02
2022,"Féminin","Moins de 40 ans","04+17 - Mauricie + Centre-du-Québec",35,1373.23
2022,"Féminin","Moins de 40 ans","05 - Estrie",35,1595.91
2022,"Féminin","Moins de 40 ans","06 - Montréal",449,1529.00
2022,"Féminin","Moins de 40 ans","07 - Outaouais",32,1319.30
2022,"Féminin","Moins de 40 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",40,1493.85
2022,"Féminin","Moins de 40 ans","12 - Chaudière-Appalaches",23,1468.43
2022,"Féminin","Moins de 40 ans","13 - Laval",159,1454.23
2022,"Féminin","Moins de 40 ans","14 - Lanaudière",88,1461.38
2022,"Féminin","Moins de 40 ans","15 - Laurentides",85,1421.14
2022,"Féminin","Moins de 40 ans","16 - Montérégie",230,1459.96
2022,"Féminin","40 à 54 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",287,1536.47
2022,"Féminin","40 à 54 ans","02 - Saguenay - Lac-Saint-Jean",143,1504.52
2022,"Féminin","40 à 54 ans","03 - Capitale-Nationale",377,1455.78
2022,"Féminin","40 à 54 ans","04+17 - Mauricie + Centre-du-Québec",305,1471.32
2022,"Féminin","40 à 54 ans","05 - Estrie",244,1495.98
2022,"Féminin","40 à 54 ans","06 - Montréal",2183,1563.46
2022,"Féminin","40 à 54 ans","07 - Outaouais",322,1488.50
2022,"Féminin","40 à 54 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",157,1547.22
2022,"Féminin","40 à 54 ans","12 - Chaudière-Appalaches",177,1500.82
2022,"Féminin","40 à 54 ans","13 - Laval",767,1520.96
2022,"Féminin","40 à 54 ans","14 - Lanaudière",680,1470.90
2022,"Féminin","40 à 54 ans","15 - Laurentides",615,1482.76
2022,"Féminin","40 à 54 ans","16 - Montérégie",1383,1536.78
2022,"Féminin","55 à 64 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",303,1416.90
2022,"Féminin","55 à 64 ans","02 - Saguenay - Lac-Saint-Jean",165,1393.47
2022,"Féminin","55 à 64 ans","03 - Capitale-Nationale",344,1414.37
2022,"Féminin","55 à 64 ans","04+17 - Mauricie + Centre-du-Québec",298,1455.92
2022,"Féminin","55 à 64 ans","05 - Estrie",230,1400.66
2022,"Féminin","55 à 64 ans","06 - Montréal",1364,1428.78
2022,"Féminin","55 à 64 ans","07 - Outaouais",300,1401.36
2022,"Féminin","55 à 64 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",178,1386.57
2022,"Féminin","55 à 64 ans","12 - Chaudière-Appalaches",190,1401.38
2022,"Féminin","55 à 64 ans","13 - Laval",497,1424.46
2022,"Féminin","55 à 64 ans","14 - Lanaudière",449,1393.02
2022,"Féminin","55 à 64 ans","15 - Laurentides",469,1384.22
2022,"Féminin","55 à 64 ans","16 - Montérégie",1005,1420.12
2022,"Féminin","65 ans et plus","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",83,1345.95
2022,"Féminin","65 ans et plus","02 - Saguenay - Lac-Saint-Jean",60,1311.91
2022,"Féminin","65 ans et plus","03 - Capitale-Nationale",102,1337.11
2022,"Féminin","65 ans et plus","04+17 - Mauricie + Centre-du-Québec",105,1311.38
2022,"Féminin","65 ans et plus","05 - Estrie",94,1354.28
2022,"Féminin","65 ans et plus","06 - Montréal",507,1336.68
2022,"Féminin","65 ans et plus","07 - Outaouais",81,1315.04
2022,"Féminin","65 ans et plus","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",58,1343.79
2022,"Féminin","65 ans et plus","12 - Chaudière-Appalaches",59,1310.01
2022,"Féminin","65 ans et plus","13 - Laval",143,1358.05
2022,"Féminin","65 ans et plus","14 - Lanaudière",121,1368.04
2022,"Féminin","65 ans et plus","15 - Laurentides",162,1347.11
2022,"Féminin","65 ans et plus","16 - Montérégie",273,1356.10
2022,"Masculin","Moins de 40 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",56,1542.56
2022,"Masculin","Moins de 40 ans","02 - Saguenay - Lac-Saint-Jean",33,1535.18
2022,"Masculin","Moins de 40 ans","03 - Capitale-Nationale",66,1391.27
2022,"Masculin","Moins de 40 ans","04+17 - Mauricie + Centre-du-Québec",68,1490.03
2022,"Masculin","Moins de 40 ans","05 - Estrie",38,1538.29
2022,"Masculin","Moins de 40 ans","06 - Montréal",486,1495.45
2022,"Masculin","Moins de 40 ans","07 - Outaouais",39,1465.54
2022,"Masculin","Moins de 40 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",51,1614.84
2022,"Masculin","Moins de 40 ans","12 - Chaudière-Appalaches",34,1490.03
2022,"Masculin","Moins de 40 ans","13 - Laval",160,1566.92
2022,"Masculin","Moins de 40 ans","14 - Lanaudière",109,1442.01
2022,"Masculin","Moins de 40 ans","15 - Laurentides",85,1512.95
2022,"Masculin","Moins de 40 ans","16 - Montérégie",260,1513.83
2022,"Masculin","40 à 54 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",400,1584.89
2022,"Masculin","40 à 54 ans","02 - Saguenay - Lac-Saint-Jean",196,1543.39
2022,"Masculin","40 à 54 ans","03 - Capitale-Nationale",393,1535.33
2022,"Masculin","40 à 54 ans","04+17 - Mauricie + Centre-du-Québec",372,1550.42
2022,"Masculin","40 à 54 ans","05 - Estrie",238,1571.90
2022,"Masculin","40 à 54 ans","06 - Montréal",2066,1598.73
2022,"Masculin","40 à 54 ans","07 - Outaouais",265,1514.68
2022,"Masculin","40 à 54 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",172,1529.35
2022,"Masculin","40 à 54 ans","12 - Chaudière-Appalaches",256,1567.93
2022,"Masculin","40 à 54 ans","13 - Laval",779,1557.37
