ID,Lieu,Type,Arrondissement,Zone active,Latitude,Longitude,X,Y
326,Rue Jeanne-Mance / Rue Sherbrooke O,Intersection,Le Plateau-Mont-Royal,,45.509243,-73.570972,299254.428213835,5041038.28771169
334,Rue Peel / Boul. de Maisonneuve O,Intersection,Ville-Marie,X,45.500809,-73.574847,298950.772189968,5040101.28766596
335,Boul. St-Laurent / Boul. de Maisonneuve O,Intersection,Ville-Marie,X,45.510713,-73.565426,299687.911636543,5041201.28177116
341,Boul. Robert-Bourassa / Boul. de Maisonneuve O,Intersection,Ville-Marie,X,45.503943,-73.571633,299202.254072947,5040449.34158459
344,Av. McGill College / Rue Sainte-Catherine,Intersection,Ville-Marie,X,45.50208,-73.571011,299250.677107111,5040242.26231972
219,Atwater / Notre-Dame O,Intersection,Le Sud-Ouest,,45.48113,-73.577893,298710.609701605,5037914.58165716
317,Rue Guy / Rue Sainte-Catherine,Intersection,Ville-Marie,X,45.495099,-73.577653,298730.872355021,5039466.94127245
347,Rue Sherbrooke O / Rue McTavish,Intersection,Ville-Marie,X,45.502674,-73.575599,298892.199102594,5040308.60101943
377,Viger / Sqaure-Victoria,Intersection,Ville-Marie,,45.502083,-73.563237,299858.195019984,5040242.08805243
419,Rue Cathedrale / Boul. Rene-Levesque O,Intersection,Ville-Marie,X,45.499453,-73.569817,299343.731331594,5039950.2408398
421,Rue Peel / Boul. Rene-Levesque O,Intersection,Ville-Marie,X,45.498453,-73.570288,299306.824973104,5039839.14252623
422,Rue St-Alexandre / Boul. Rene- Levesque O,Intersection,Ville-Marie,X,45.50424,-73.565245,299701.46981375,5040481.9220253
353,Rue St-Urbain / Boul. de Maisonneuve O,Intersection,Ville-Marie,X,45.509678,-73.567208,299548.578061157,5041086.37653525
354,Boul. St-Laurent / Rue Ontario O,Intersection,Ville-Marie,,45.511321,-73.56665,299592.329947271,5041268.92784176
356,Rue Peel / Rue Sainte-Catherine,Intersection,Ville-Marie,X,45.500112,-73.572982,299096.449940312,5040023.69563867
357,Rue Peel / Rue Sherbrooke O,Intersection,Ville-Marie,X,45.501878,-73.576788,298799.198295468,5040220.22929452
360,Rue Sainte-Catherine / Rue Saint-Alexandre,Intersection,Ville-Marie,,45.5052833,-73.567743,299506.36293232,5040598.02609696
361,Boul. St-Laurent / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.509815,-73.563968,299801.753604445,5041101.39469428
366,Rue Sainte-Catherine / Av Union,Intersection,Ville-Marie,X,45.503442,-73.569495,299369.279468708,5040393.51843048
367,Rue Sainte-Catherine / Rue Robert-Bourassa,Intersection,Ville-Marie,X,45.503169,-73.569872,299339.792230577,5040363.20536219
368,Boul. St-Laurent / Rue Sherbrooke O,Intersection,Le Plateau-Mont-Royal,X,45.512444,-73.569618,299360.534681568,5041393.92431104
371,Rue Saint-Urbain / Rue Sherbrooke O,Intersection,Le Plateau-Mont-Royal,X,45.511068,-73.570202,299314.771329791,5041241.04823792
374,Boul. Robert-Bourassa / Rue Sherbrooke O,Intersection,Le Plateau-Mont-Royal,X,45.504987,-73.573254,299075.687173163,5040565.47609136
376,Cote du Beaver Hall / Rue de la Gauchetiere O,Intersection,Ville-Marie,X,45.502157,-73.564468,299762.002213158,5040250.38817657
382,Duke / Wellington,Intersection,Le Sud-Ouest,X,45.496175,-73.555783,300440.249562877,5039585.09800275
384,Mansfield / Gauchetiere,Intersection,Ville-Marie,X,45.498986,-73.56688,299573.217622014,5039898.14764316
385,Canadiens-de-Montreal / Peel,Intersection,Ville-Marie,X,45.497915,-73.56857,299441.039740651,5039779.2383304
386,Robert-Bourassa / Gauchetiere,Intersection,Ville-Marie,X,45.500571,-73.565216,299703.404966815,5040074.18245225
388,Saint-Antoine / Mansfield,Intersection,Ville-Marie,X,45.498361,-73.565247,299700.782852696,5039828.58618471
392,St-Jacques / Square-Victoria,Intersection,Ville-Marie,X,45.501236,-73.56054,300068.887524698,5040147.79816479
393,Mcgill / Saint-Maurice,Intersection,Ville-Marie,X,45.500559,-73.558521,300226.614611535,5040072.44591945
395,McGill / Wellington,Intersection,Ville-Marie,X,45.499303,-73.554805,300516.922829383,5039932.66125148
396,de la Montagne / Saint-Antoine,Intersection,Ville-Marie,X,45.495045,-73.569326,299381.680737993,5039460.34489428
397,de la Montagne / Saint-Jacques,Intersection,Ville-Marie,X,45.494189,-73.567517,299522.986988282,5039365.09691787
402,Peel / Saint-Antoine,Intersection,Ville-Marie,X,45.496752,-73.566755,299582.780276185,5039649.87422249
403,Peel / Saint-Jacques,Intersection,Ville-Marie,,45.496058,-73.565272,299698.621092921,5039572.65450928
405,Peel / William,Intersection,Le Sud-Ouest,X,45.494659,-73.56128,300010.500057203,5039416.93741698
406,Robert-Bourassa / Saint-Antoine,Intersection,Ville-Marie,X,45.499604,-73.563747,299818.121240924,5039966.62716899
407,Robert-Bourassa / Saint-Jacques,Intersection,Ville-Marie,X,45.499282,-73.562549,299911.718030515,5039930.76957483
410,Cote du Beaver Hall / Boul. Rene-Levesque O,Intersection,Ville-Marie,X,45.503069,-73.566141,299631.345294361,5040351.84546744
411,Rue De Bleury / Boul. Rene-Levesque O,Intersection,Ville-Marie,X,45.505134,-73.56478,299737.887075695,5040581.24330442
416,Rue Guy / Boul. Rene-Levesque O,Intersection,Ville-Marie,X,45.493714,-73.575119,298928.778344168,5039312.83746478
417,Rue Jeanne-Mance / Boul. Rene Levesque O,Intersection,Ville-Marie,X,45.506179,-73.564278,299777.207867979,5040697.34320861
420,Rue de la Montagne / Boul. Rene-Levesque O,Intersection,Ville-Marie,X,45.496451,-73.572195,299157.588428685,5039616.79166904
428,Boul. Robert-Bourassa / Boul. Rene-Levesque O,Intersection,Ville-Marie,X,45.501988,-73.567072,299558.491058503,5040231.77374309
434,Av Viger E / Rue Berri,Intersection,Ville-Marie,X,45.512366,-73.55493,300508.146698727,5041384.36626921
437,Viger / Jean-Paul-Riopelle,Intersection,Ville-Marie,X,45.503849,-73.561786,299971.737805106,5040438.25625813
API000438,Bonsecours / Notre-Dame,Intersection,Ville-Marie,X,45.51004,-73.552445,300702.138755627,5041125.7465794
439,Av. de l'Hotel-de-Ville / Boul. Rene-Levesque E,Intersection,Ville-Marie,X,45.510736,-73.560227,300094.139629049,5041203.52000804
441,Rue Saint-Denis / Boul. Rene-Levesque E,Intersection,Ville-Marie,X,45.512862,-73.558294,300245.346830601,5041439.67235924
443,Boul. St-Laurent / Boul. Rene-Levesque,Intersection,Ville-Marie,X,45.509006,-73.561684,299980.148706684,5041011.35042554
447,Viger / Jeanne-Mance,Intersection,Ville-Marie,X,45.504752,-73.56103,300030.891612146,5040538.56195117
448,Rue Saint-Denis / Rue de la Gauchetiere E,Intersection,Ville-Marie,X,45.512232,-73.55702,300344.837867505,5041369.5885707
452,Notre-Dame / Jacques Cartier,Intersection,Ville-Marie,X,45.508415,-73.554033,300577.936732957,5040945.24157999
454,Notre-Dames / Sainte-Anne-de-Bellevue,Intersection,Ville-Marie,X,45.506085,-73.555617,300453.98588658,5040686.39182471
456,Rue Saint-Denis / Rue St-Antoine,Intersection,Ville-Marie,X,45.511004,-73.554632,300531.327414816,5041232.9904259
460,Sainte-Anne-de-Bellevue / Saint-Antoine,Intersection,Ville-Marie,X,45.506918,-73.557117,300336.838971612,5040779.04583724
461,Saint-Antoine / Saint-Urbain,Intersection,Ville-Marie,X,45.504601,-73.559114,300180.602539864,5040521.6692681
467,Viger / Saint-Urbain,Intersection,Ville-Marie,X,45.506447,-73.559559,300145.980627848,5040726.84193584
468,Rue Sanguinet / Av. Viger E,Intersection,Ville-Marie,X,45.510499,-73.556619,300376.033561805,5041176.97697817
472,Rue Amherst / Rue Ontario E,Intersection,Ville-Marie,X,45.520318,-73.562939,299883.070978691,5042268.53720803
474,Rue Amherst / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.517409,-73.557227,300329.074231166,5041944.92382859
478,Rue Berri / Boul. de Maisonneuve E,Intersection,Ville-Marie,X,45.515446,-73.561142,300023.04422871,5041726.99957381
479,Rue Berri / Rue Ontario E,Intersection,Ville-Marie,X,45.516866,-73.564666,299747.84513821,5041885.02089295
481,Rue Berri / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.514536,-73.559875,300121.958118038,5041625.7960298
482,Rue Berri / Rue Sherbrooke E,Intersection,Ville-Marie,X,45.518044,-73.566781,299582.71558497,5042016.0681764
487,Av. de l'Hotel-de-ville / Rue Ontario E,Intersection,Ville-Marie,X,45.513425,-73.566166,299630.339716931,5041502.71551333
488,Av. de l'Hotel-de-Ville / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.511635,-73.562179,299941.696687442,5041303.54268934
489,Av. de l'Hotel-de-ville / Rue Sherbrooke E,Intersection,Ville-Marie,X,45.514604,-73.568366,299458.561572619,5041633.88258471
491,Boul. de Maisonneuve E,Intersection,Ville-Marie,X,45.512338,-73.56371,299822.135278047,5041381.76130062
493,Rue Saint-Denis / Boul. de Maisonneuve E,Intersection,Ville-Marie,X,45.514407,-73.562102,299947.951221133,5041611.5923014
494,Rue St-Hubert / Boul. de Maisonneuve E,Intersection,Ville-Marie,X,45.516066,-73.560502,300073.098617201,5041795.86276423
497,Rue St-Denis / Rue Ontario E,Intersection,Ville-Marie,X,45.515913,-73.565108,299713.227181123,5041779.14118611
498,Rue St-Hubert / Rue Ontario E,Intersection,Ville-Marie,X,45.517835,-73.564415,299767.541369039,5041992.69085161
499,Rue Sanguinet / Rue Ontario E,Intersection,Ville-Marie,X,45.514783,-73.565532,299679.99834095,5041653.59040125
506,Rue Saint-Denis / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.513793,-73.560321,300087.050059854,5041543.25198803
507,Rue St-Hubert / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.515569,-73.558931,300195.797204191,5041740.53951753
508,Rue Sanguinet / Rue Sainte-Catherine Est,Intersection,Ville-Marie,X,45.512891,-73.561307,300009.936213632,5041443.07043654
510,Rue Saint-Denis / Rue Sherbrooke,Intersection,Le Plateau-Mont-Royal,X,45.516793,-73.56764,299515.488872107,5041877.09974486
524,Av. du Parc / ch. De la Cote Ste Catherine,Intersection,Ville-Marie,X,45.516145,-73.58826,297904.430748538,5041806.65070641
538,Av. du Parc / Av du Mont Royal O.,Intersection,Le Plateau-Mont-Royal,X,45.516774,-73.588946,297850.912423732,5041876.61108215
614,Alexandre-De-Seve / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.521131,-73.553804,300596.777209275,5042358.36783438
633,Av. Papineau / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.522733,-73.552346,300710.79369539,5042536.32419369
636,Rue Ontario E / Rue de Bordeaux,Intersection,Ville-Marie,X,45.5275245,-73.557907,300276.759104875,5043069.10625347
642,Av. Papineau / Rue Ontario E,Intersection,Ville-Marie,X,45.525776,-73.559572,300146.558192589,5042874.88892521
815,Georges-Vanier / Notre-Dame O,Intersection,Le Sud-Ouest,X,45.484947,-73.57162,299201.388008514,5038338.30903123
969,Duke / William,Intersection,Ville-Marie,X,45.497358,-73.55888,300198.298216065,5039716.737968
1384,Av. du Docteur-Penfield / Rue McTavish,Intersection,Ville-Marie,X,45.503954,-73.578547,298661.962177576,5040451.06910065
1391,Saint Jacques / Places d'Armes,Intersection,Ville-Marie,X,45.504722,-73.557919,300273.994174769,5040535.04803244
1396,Rue Saint-Urbain / Rue de la Gauchetiere O,Intersection,Ville-Marie,X,45.506892,-73.560961,300036.464019365,5040776.37722801
1404,Guy / Saint-Jacques,Intersection,Le Sud-Ouest,,45.491424,-73.570161,299316.068138589,5039057.99872948
1423,Duke / Ottawa,Intersection,Ville-Marie,X,45.496917,-73.557138,300334.407456267,5039667.63116222
1462,Notre-Dames / Places d'Armes,Intersection,Ville-Marie,X,45.504857,-73.556598,300377.232592833,5040549.97706824
1508,Rue Panet / Rue Ontario E,Intersection,Ville-Marie,X,45.52297,-73.561184,300020.39988091,5042563.15027875
1510,Rue Atwater / Rue Lionel-Groulx,Intersection,Le Sud-Ouest,X,45.483009,-73.579271,298603.088690707,5038123.50043047
1551,Bren / Prince,Intersection,Ville-Marie,X,45.496135,-73.55293,300663.224386111,5039580.50191799
1557,Av. du Parc / Rachel,Intersection,Ville-Marie,X,45.5146,-73.58484,298171.446810774,5041634.66575922
1566,Canadiens-de-Montreal / de la Montagne,Intersection,Ville-Marie,X,45.495893,-73.571052,299246.864927936,5039554.70128512
1573,Saint-Antoine / Square-Victoria,Intersection,Ville-Marie,X,45.501404,-73.562104,299946.677646565,5040166.56138648
1574,Saint-Antoine / Hotel de ville,Intersection,Ville-Marie,X,45.508826,-73.555707,300447.164386949,5040991.00561648
1589,Saint-Antoine / Saint-Francois-Xavier,Intersection,Ville-Marie,X,45.504684,-73.55924,300170.763213435,5040530.90035553
1602,Av. du Parc / Bretelle Parc,Intersection,Ville-Marie,X,45.511945,-73.579497,298588.603590343,5041339.18666412
1615,Av. du Parc / Av. Duluth,Intersection,Ville-Marie,X,45.513363,-73.582317,298368.42801516,5041496.99193223
1733,Wellington / de la Montagne,Intersection,Le Sud-Ouest,X,45.491654,-73.558547,300223.861515027,5039082.83156573
1816,Richmond / Notre-Dame,Intersection,Le Sud-Ouest,X,45.488527,-73.568366,299456.095180009,5038735.93347734
1860,Rue Beaudry / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.518934,-73.555844,300437.240561771,5042114.32221574
2027,Sainte-Anne-de-Bellevue / Commune,Intersection,Ville-Marie,X,45.505339,-73.553378,300628.890348252,5040603.36973007
436,Saint-Antoine / Saint-Piere,Intersection,Ville-Marie,X,45.503163,-73.560534,300069.517796115,5040361.94623977
2028,Peel / Notre-Dame O,Intersection,Le Sud-Ouest,X,45.495344,-73.56323,299858.152581738,5039493.1797998
2035,Rue St-Denis / Rue emery,Intersection,Ville-Marie,X,45.515026,-73.56318,299863.78085985,5041680.44791144
2038,Saint-Paul / St-Pierre,Intersection,Ville-Marie,X,45.501224,-73.556254,300403.831221824,5040146.22110301
2232,Av. du Parc / Av. des Pins,Intersection,Ville-Marie,X,45.510896,-73.578857,298638.494711033,5041222.5613083
2313,Bonsecours / commune,Intersection,Ville-Marie,X,45.509548,-73.550867,300825.403298482,5041070.9910114
2392,Av. des Pins / Rue McTavish,Intersection,Ville-Marie,X,45.505239,-73.581127,298460.492884346,5040594.07221081
2398,Dominion / Sainte-Cunegonde,Intersection,Le Sud-Ouest,X,45.48296,-73.57166,299198.064238184,5038117.49627123
2437,Saint-Antoine / Saint-Andre,Intersection,Ville-Marie,X,45.514213,-73.552578,300692.050216322,5041589.50166295
2451,Av. Papineau / Rue Logan,Intersection,Ville-Marie,X,45.523941,-73.5551,300495.746660774,5042670.71424418
2490,Commune / Place Jacques Cartier,Intersection,Ville-Marie,X,45.50697,-73.552106,300728.405649334,5040784.558397
2730,Saint-Antoine / Richmond,Intersection,Le Sud-Ouest,X,45.491749,-73.573401,299062.85589846,5039094.34232619
2750,Parc Champs de Mars,Intersection,Ville-Marie,X,45.507668,-73.555985,300425.352312345,5040862.33149137
2760,Saint Paul / Jean-Baptiste,Intersection,Ville-Marie,X,45.505896,-73.553572,300613.771917806,5040665.27953539
2811,Commune / Queen,Intersection,Ville-Marie,X,45.496687,-73.553086,300651.072649782,5039641.85392358
2869,McGill / Commune,Intersection,Ville-Marie,X,45.498631,-73.552734,300678.724965032,5039857.87327916
3106,Richmond / Saint-Jacques,Intersection,Le Sud-Ouest,X,45.490689,-73.570811,299265.190776713,5038976.36256212
3885,Vinet / Workman,Intersection,Le Sud-Ouest,X,45.483857,-73.574836,298949.877034991,5038217.40630277
4032,Rue St-Urbain / Rue de Montigny,Intersection,Ville-Marie,,45.509529,-73.566348,299615.762079858,5041069.76220261
4081,McGill / Place d'youville,Intersection,Ville-Marie,X,45.499895,-73.55605,300419.670474611,5039998.51759795
4201,Saint Paul / Place Jacques Cartier,Intersection,Ville-Marie,X,45.507558,-73.552384,300706.725178343,5040849.91730541
4362,Rue Sainte-Catherine / Rue City Councillors,Intersection,Ville-Marie,X,45.504996,-73.568163,299473.515804334,5040566.12606018
4368,Saint-Paul / Bonsecours,Intersection,Ville-Marie,X,45.508665,-73.551897,300744.85874483,5040972.91416799
4375,Berri / Commune,Intersection,Ville-Marie,X,45.511126,-73.550169,300880.052490642,5041246.32085046
4413,Boul. St-Laurent / Rue Saint Norbert,Intersection,Ville-Marie,X,45.511898,-73.567976,299488.777760535,5041333.13706665
4427,Cresent / Rue Sherbrooke O,Intersection,Ville-Marie,X,45.498833,-73.579364,298597.555629568,5039882.03277016
4493,King / Wellington,Intersection,Ville-Marie,X,45.498229,-73.555214,300484.876949308,5039813.32907977
4677,Duvernay / Vinet,Intersection,Le Sud-Ouest,X,45.482832,-73.573558,299049.677312216,5038103.40569137
4691,Calliere / Commune,Intersection,Ville-Marie,X,45.501711,-73.553779,300597.285126078,5040200.20916816
4799,Commune / Marche Bonsecours,Intersection,Ville-Marie,X,45.508841,-73.551319,300790.035155746,5040992.44413477
4813,Duke / Notre-Dame O,Intersection,Ville-Marie,X,45.498709,-73.561291,300009.983706671,5039867.01606639
4902,Saint-Antoine / Gosford,Intersection,Ville-Marie,X,45.509889,-73.55491,300509.52116404,5041109.09457766
5095,Rue Berger / Rue Sainte-Catherine E,Intersection,Ville-Marie,X,45.510771,-73.563155,299865.362255559,5041207.58530826
5115,Place Royale/ Commune,Intersection,Ville-Marie,X,45.503205,-73.553983,300581.454536524,5040366.24880139
5118,Notre-Dame / Saint-Vincent,Intersection,Ville-Marie,X,45.507542,-73.554497,300541.614593917,5040848.24907067
5186,Saint-Suplice / Commune,Intersection,Ville-Marie,X,45.503927,-73.553814,300594.714933118,5040446.47616329
5195,Nazareth / de laCommune O,Intersection,Ville-Marie,X,45.494628,-73.553018,300656.236170392,5039413.0330254
5355,Berri / Notre Dame,Intersection,Ville-Marie,X,45.511263,-73.551753,300756.296692381,5041261.62428072
5935,Rue Saint-dominique / Rue de Boisbriand,Intersection,Ville-Marie,X,45.510974,-73.563888,299808.106992955,5041230.19012666
6155,Charlevoix / Rufus-Rockhead,Intersection,Le Sud-Ouest,X,45.480937,-73.573802,299030.409441159,5037892.83168144
6180,Rue de Boisbriand,Intersection,Ville-Marie,X,45.511616,-73.562946,299881.766139923,5041301.47788955
6464,Bassin / Seminaire,Intersection,Le Sud-Ouest,X,45.490463,-73.560489,300071.971665089,5038950.58787479
6561,St-Andre / Commune,Intersection,Ville-Marie,X,45.512838,-73.549098,300963.851227523,5041436.52483974
6857,Le Royer / St-Laurent,Intersection,Ville-Marie,X,45.505777,-73.554668,300528.119186121,5040652.11270565
6877,St-Cunegonde / Vinet,Intersection,Le Sud-Ouest,X,45.482224,-73.573151,299081.43261782,5038035.8095503
7650,Saint-Antoine / Agnes,Intersection,Le Sud-Ouest,X,45.480211,-73.587238,297979.940861132,5037813.20377792
7979,Rue Quesnel / Rue Canning,Intersection,Le Sud-Ouest,X,45.488112,-73.574325,298990.260624349,5038690.22805388
8145,De la Commune O / Smith / Peel,Intersection,Le Sud-Ouest,X,45.492913,-73.556243,300404.044231248,5039222.61594238
8147,Commune / Margerite D'Youville,Intersection,Ville-Marie,X,45.500157,-73.553199,300642.496526139,5040027.48226407
8932,Le royer / Jacques Cartier,Intersection,Ville-Marie,X,45.507928,-73.553385,300628.53457723,5040891.08712229
9284,Boul. St-Laurent / Juliette Beliveau,Intersection,Ville-Marie,X,45.509294,-73.562084,299948.918331475,5041043.38012353
9606,Saint-Andre / du Glacis,Intersection,Ville-Marie,X,45.513477,-73.550871,300825.367311668,5041507.62356786
NA,Rue Sainte-Catherine O / Rue Balmoral,Intersection,Ville-Marie,X,45.5069,-73.56666,299591.140839201,5040777.62005729
NA,Rue Sainte-Catherine O / Rue Jeanne-Mance,Intersection,Ville-Marie,X,45.50714,-73.56608,299636.484388268,5040804.25394455
NA,Rue Mayor / Rue Balmoral,Intersection,Ville-Marie,X,45.50732,-73.56766,299513.039455936,5040824.36023462
NA,Boul. de Maisonneuve O / Rue Balmoral,Intersection,Ville-Marie,X,45.50769,-73.56843,299452.9065951,5040865.52952161
NA,Rue Sainte-Catherine O / Escalier de la place des spectacles,Intersection,Ville-Marie,X,45.50777,-73.56554,299678.737316339,5040874.23163662
NA,Rue Sainte-Catherine / Rue Saint-Urbain - 2,Intersection,Ville-Marie,X,45.50842,-73.56502,299719.428330383,5040946.43349702
NA,Rue Sainte-Catherine / Rue Saint-Urbain - 1,Intersection,Ville-Marie,X,45.50887,-73.56464,299749.161244397,5040996.41830141
18,12600 Avenue Rita-Levi-Montalcini / 12600 Avenue Alexis-Carrel,Parc,Rivière-des-Prairies–Pointe-aux-Trembles,X,45.644356,-73.5885,297901.399028227,5056055.01621719
43,10555 Rue Lajeunesse,Parc,Ahuntsic-Cartierville,X,45.55497,-73.66551,291877.945207079,5046130.85225841
66,4020 Avenue du Parc-La Fontaine,Parc,Mercier–Hochelaga-Maisonneuve,X,45.54676,-73.543473,301405.387619964,5045206.0578872
85,5252 avenue Decelles,Parc,Côte-des-Neiges–Notre-Dame-de-Grâce,X,45.497265,-73.619835,295434.411748791,5039711.70180895
98,4200 Rue Ontario E,Maison de la culture,Mercier–Hochelaga-Maisonneuve,X,45.551212,-73.540375,301647.545479898,5045700.68848914
100,4120 RUE ONTARIO EST,Bibliotheque,Mercier–Hochelaga-Maisonneuve,X,45.550632,-73.54063,301627.602611402,5045636.24230778
129,3533 avenue de Kent,Parc,Côte-des-Neiges–Notre-Dame-de-Grâce,X,45.50227,-73.633,294406.434852968,5040269.52870812
131,6262 Chemin Hudson,Parc,Côte-des-Neiges–Notre-Dame-de-Grâce,X,45.50581,-73.62985,294653.234189746,5040662.52795708
164,3501 avenue Marcil / 3500 avenue Girouard,Parc,Côte-des-Neiges–Notre-Dame-de-Grâce,X,45.4729,-73.61482,295822.484972424,5037003.44352668
174,3603 avenue Laval,Parc,Le Plateau-Mont-Royal,X,45.516563,-73.57106,299248.27187463,5041851.77040793
181,3150 Rue Hochelaga,Parc,Mercier–Hochelaga-Maisonneuve,X,45.542336,-73.551765,300757.585324309,5044714.7971267
185,1275 rue Alexandre DeSeve,Parc,Ville-Marie,X,45.52107,-73.552505,300698.251967604,5042351.5216799
228,2330 St-catherine ouest,Espace vie,Ville-Marie,X,45.49048,-73.58315,298300.711918317,5038954.06042728
230,1115 avenue Laurier Est,PArc,Le Plateau-Mont-Royal,X,45.532333,-73.58676,298023.566393796,5043605.51011283
315,10560 rue Saint-Hubert,Aréna,Ahuntsic-Cartierville,X,45.5572,-73.663994,291996.812049846,5046378.43257533
328,6975 avenue de Chester,Parc,Côte-des-Neiges–Notre-Dame-de-Grâce,X,45.4663,-73.64928,293126.773624586,5036274.4136259
333,12195 Avenue Jean Yves Bigras,Parc,Rivière-des-Prairies–Pointe-aux-Trembles,X,45.64964,-73.56836,299471.818901342,5056640.70803418
