Circonscriptions,Population_totale_1911,Canadiens_francais_1911,Population_totale_1921,Canadiens_francais_1921,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal_01,Autres_liberal_02,Autres_independants,Autres_ouvrier,Autres_nationaliste,Autres_ministeriel
Montcalm,13862,12904,13987,12955,3326,2736,25,2711,590,1285,1426,,,,,,
Montmagny,17356,17226,21997,21792,3932,2960,65,2895,972,1394,,,,,,1501,
Montmorency,13215,12953,14008,13798,3119,2654,11,2643,465,1441,,,,,,1202,
Napierville,7712,7426,7994,7822,2022,1429,9,1420,593,827,,593,,,,,
Nicolet,30055,29741,29695,29367,7337,5814,32,5782,1523,3045,2737,,,,,,
Pontiac,20893,7453,19997,7536,5928,3245,246,2999,2683,1495,1504,,,,,,
Portneuf,30529,29292,32960,31753,7384,5169,38,5131,2215,3159,1972,,,,,,
Québec-Centre,21143,16945,21143,16945,4713,3432,17,3415,1281,1906,1509,,,,,,
Québec-Comté,25844,22428,29434,26596,6003,4897,51,4846,1106,2529,2317,,,,,,
Québec-Est,24673,23183,24673,23183,5010,3429,53,3376,1581,2088,1288,,,,,,
Québec-Ouest,9618,5465,9618,5465,2893,2095,24,2071,798,1072,999,,,,,,
Richelieu,20686,20384,19548,19114,5290,3769,44,3725,1521,2011,1714,,,,,,
Richmond,21282,14961,23745,18107,5522,3775,30,3745,1747,2605,1140,,,,,,
Rimouski,23951,23460,27520,27325,3953,3071,29,3042,882,1616,1426,,,,,,
Rouville,13131,12737,13656,13067,3531,2688,25,2663,843,1540,1123,,,,,,
Saint-Georges,48638,14230,48638,14230,8177,2568,15,2553,5609,697,1856,,,,,,
Saint-Hyacinthe,22342,22094,23098,22928,5812,4510,44,4466,1302,2278,2188,,,,,,
Saint-Jacques,44057,38384,44057,38384,11151,5057,47,5010,6094,2885,2125,,,,,,
Saint-Jean,12389,10673,14219,12537,3413,2336,28,2308,1077,1347,961,,,,,,
Saint-Laurent,25030,4785,25030,4785,6607,2700,35,2665,3907,1399,1266,,,,,,
Saint-Louis,30821,13522,30821,13522,6281,3187,67,3120,3094,1505,595,621,399,,,,
Saint-Maurice,21712,20941,27597,26213,5197,3994,52,3942,1203,2088,1854,,,,,,
Saint-Sauveur,22756,22487,22756,22487,5094,3275,33,3242,1819,,1059,,,276,1907,,
Sainte-Anne,21676,6539,21676,6539,9514,4241,40,4201,5273,2013,2188,,,,,,
Sainte-Marie,54910,45941,54910,45941,12775,5641,59,5582,7134,3801,1781,,,,,,
Shefford,23976,19214,25734,21965,6702,4941,24,4917,1761,2589,2328,,,,,,
Sherbrooke,23211,13947,31356,21216,6339,4379,35,4344,1960,2377,1967,,,,,,
Soulanges,9400,8949,10065,9266,2517,1995,9,1986,522,1059,927,,,,,,
Stanstead,20765,10655,23380,14230,5943,3931,40,3891,2012,2060,1831,,,,,,
Témiscamingue,8523,6817,26204,22501,1573,1072,11,1061,501,636,425,,,,,,
Témiscouata,36430,35628,44310,43470,7843,5952,75,5877,1891,2835,3042,,,,,,
Terrebonne,29018,26715,33908,31136,7185,3628,42,3586,3557,2238,1348,,,,,,
Trois-Rivières,14441,13836,23248,21898,3043,2453,30,2423,590,1360,1063,,,,,,
Vaudreuil,11039,9861,11555,9946,3254,2251,10,2241,1003,1409,832,,,,,,
Verchères,12004,11698,12719,12331,3002,2428,26,2402,574,1301,1101,,,,,,
Westmount,27763,7810,32724,7282,8705,3233,9,3224,5472,1370,1854,,,,,,
Wolfe,18209,16976,18181,17182,4304,3173,22,3151,1131,1661,1490,,,,,,
Yamaska,19511,19059,18056,17787,4836,3668,41,3627,1168,1969,1658,,,,,,
