Circonscriptions,Anglophones_1996,Francophones_1996,Allophones_1996,Anglophones_2001,Francophones_2001,Allophones_2001,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Bloc_quebecois,Nouveau_parti_democratique,Alliance_canadienne,Autres_independants_01,Autres_independants_02,Autres_parti_marijuana,Autres_parti_vert,Autres_parti_de_la_loi_naturelle,Autres_parti_marxiste-leniniste,Autres_parti_communiste_canadien,Autres_action_canadienne
Drummond,1432,80573,470,1149,84521,725,66084,43342,1434,41908,22742,14335,6559,18970,423,1621,,,,,,,,
Frontenac-Mégantic,1022,66533,265,908,65937,225,54559,37885,740,37145,16674,17069,1497,15703,427,1751,,,698,,,,,
Gatineau,7922,107793,4035,7648,111252,4795,91031,51426,970,50456,39605,25960,3619,12817,1763,5069,389,228,,,472,139,,
Hochelaga-Maisonneuve,3377,74513,13225,3183,76812,14795,75947,44574,1385,43189,31373,16143,1751,21250,767,1502,,,1227,,,275,274,
Hull-Aylmer,16491,71839,7900,16780,74320,9580,74742,44203,651,43552,30539,22385,4181,10051,1521,3639,184,,892,,426,106,,167
Joliette,844,89006,905,883,93687,975,73908,47571,2329,45242,26337,14820,2730,23615,1085,2432,,,,,,,560,
Jonquière,607,65463,235,542,65678,385,54137,33705,1375,32330,20432,11574,,16189,1139,3428,,,,,,,,
Kamouraska-Rivière-du-Loup-Témiscouata-Les-Basques,291,86344,85,235,84040,125,67208,39931,1057,38874,27277,11794,1382,23319,836,1373,,,,,,170,,
Lac-Saint-Jean-Saguenay,225,68610,135,260,67745,160,52895,33217,890,32327,19678,7536,535,21391,417,1536,912,,,,,,,
Lac-Saint-Louis,54477,30908,19670,53479,32761,22655,82507,59146,470,58676,23361,43515,4411,3913,1464,4223,,,1031,,,119,,
Lasalle-Émard,23040,51830,21735,22882,51338,24310,75961,49816,1043,48773,26145,32069,1111,11805,837,1806,,,765,,273,,107,
Laurentides,5072,116848,1800,5048,123622,2100,100045,62536,1740,60796,37509,23619,3094,30337,720,2269,,,,,757,,,
Laurier-Sainte-Marie,5896,74879,13170,6079,77681,13600,79109,45683,1215,44468,33426,11451,1879,23473,2111,960,,,2156,2169,,269,,
Laval-Centre,4861,84524,16670,5001,87384,18085,87535,56457,1675,54782,31078,23704,2778,23746,832,2437,,,,1285,,,,
Laval-Est,3822,86778,14395,4558,86777,17395,86759,59650,1535,58115,27109,26018,2459,24726,573,2354,255,,892,660,,178,,
Laval-Ouest,11874,75786,27680,11189,77321,31285,93243,63429,1525,61904,29814,31758,3613,19975,764,4631,,,,983,,180,,
Lévis-et-Chutes-de-la-Chaudière,1344,119191,610,1018,123017,575,97982,65071,1992,63079,32911,21522,4222,26398,1411,9152,,,,,,,374,
Longueuil,2306,73914,6280,2115,75745,6280,68927,41122,1181,39941,27805,12991,2210,20868,655,2066,,,968,,,183,,
Lotbinière-L'Érable,554,67096,475,406,66864,480,52350,34776,1140,33636,17574,12563,2357,15351,538,2827,,,,,,,,
Louis-Hébert,3028,90492,4255,2379,90741,4025,83217,58919,1326,57593,24298,23695,5189,21240,1200,5887,,,,,,382,,
Manicouagan,5094,44091,5350,4598,41727,5730,40059,22451,673,21778,17608,7770,830,11595,386,1197,,,,,,,,
Matapédia-Matane,2209,69796,910,2418,65697,800,55320,32506,1035,31471,22814,14402,1456,14678,935,,,,,,,,,
Mercier,2829,81791,7435,2658,82837,7370,76437,48361,1543,46818,28076,15416,1629,24755,480,1684,,,937,1813,,104,,
Mont-Royal,35474,18581,39735,33959,21266,41000,68605,41103,335,40768,27502,33118,2489,1740,1034,1444,,,,681,122,,140,
Notre-Dame-de-Grâce-Lachine,38616,37859,22605,35939,41151,24170,75657,47361,710,46651,28296,28328,3352,8449,2208,2022,,,897,1031,205,159,,
Outremont,12453,47427,34610,12667,49858,34905,68115,40090,668,39422,28025,18796,3190,11151,2199,1283,,,1013,1478,,194,118,
Papineau-Saint-Denis,6378,46507,52105,5269,48041,54775,73360,45382,1102,44280,27978,23955,1215,11779,1983,2114,738,,886,1128,,482,,
Pierrefonds-Dollard,43212,37793,28475,41580,37750,31725,80160,54648,624,54024,25512,39357,2991,5937,1109,3481,,,1149,,,,,
Pontiac-Gatineau-Labelle,21049,78396,1280,20998,78097,1610,78429,46160,771,45389,32269,20590,1791,14552,840,6587,98,,,654,184,93,,
Portneuf,1759,85751,445,1431,88379,480,69432,45373,1534,43839,24059,17877,3819,15444,,6699,,,,,,,,
Québec,2115,92070,3330,1796,93794,3770,88320,54059,1575,52484,34261,18619,3171,22793,1704,3980,,,1480,,482,255,,
Québec-Est,1561,104464,1850,1409,105191,2040,91015,58409,1917,56492,32606,21813,3727,21166,1192,8594,,,,,,,,
Repentigny,2481,115464,2200,2139,122231,2205,95534,60701,2525,58176,34833,15635,3122,33627,831,2964,,,1997,,,,,
Richmond-Arthabaska,3503,92662,635,3086,93419,785,76250,50631,1094,49537,25619,10416,18430,18067,319,1930,,,,,375,,,
Rimouski-Neigette-et-la-Mitis,536,70724,200,411,69104,180,56694,34013,831,33182,22681,9795,1150,19759,525,1280,,,,,673,,,
Rivière-des-Mille-Îles,7297,100363,4330,6778,104387,5020,87100,55585,1941,53644,31515,18456,2935,26508,739,3677,,,,1329,,,,
Roberval,431,70674,635,395,67425,1065,54041,31547,802,30745,22494,10680,870,16928,437,1830,,,,,,,,
Rosemont-Petite-Patrie,3393,76302,21250,3116,79699,19155,82336,48829,1377,47452,33507,16052,2006,23315,1417,1354,114,,1486,1475,,,233,
Saint-Bruno-Saint-Hubert,9445,83910,6810,8321,84289,6145,77145,52093,1580,50513,25052,19743,2673,22217,1029,3305,,,1546,,,,,
Saint-Hyacinthe-Bagot,882,90713,945,687,90123,1050,71626,48395,1622,46773,23231,16265,1932,25916,499,2161,,,,,,,,
Saint-Jean,2823,87092,1325,2770,89585,1700,72281,49667,1842,47825,22614,17262,2764,22686,698,3169,,,1246,,,,,
Saint-Lambert,12156,66679,8345,10883,66007,8085,70288,44662,1317,43345,25626,19679,2704,16519,,3066,,,1377,,,,,
Saint-Laurent-Cartierville,15922,34313,45335,15368,34202,49780,71836,45300,642,44658,26536,32861,2308,5838,1070,1909,,,,,,234,206,232
Saint-Léonard-Saint-Michel,6794,42231,53965,6114,39656,56365,73898,47038,866,46172,26860,35396,1057,6679,528,1750,,,635,,,127,,
Saint-Maurice,767,76668,315,642,74193,360,61810,44815,1640,43175,16995,23345,966,16821,359,1461,,,,,,,223,
Shefford,3179,87941,830,2956,89299,895,68698,46358,1271,45087,22340,20707,1498,19816,380,1867,,,819,,,,,
Sherbrooke,5510,85830,3280,4662,85408,3615,81592,51880,1248,50632,29712,21182,1955,23559,677,2284,294,,,,495,186,,
Témiscamingue,3976,79239,620,3113,75372,645,61709,38481,987,37494,23228,16028,804,18801,493,1368,,,,,,,,
Terrebonne-Blainville,4928,103107,3480,4945,112300,4075,89796,58193,2458,55735,31603,17668,3089,28933,1111,3741,,,,,1193,,,
Trois-Rivières,1310,88755,1070,1024,86991,1095,75168,49824,1819,48005,25344,20606,1599,22405,512,2161,,,,,538,184,,
Vaudreuil-Soulanges,19542,71543,3545,19875,77625,3785,74800,52394,1403,50991,22406,26292,2020,17587,904,4188,,,,,,,,
Verchères-Les-Patriotes,1912,98618,1610,1860,103120,1715,81810,56555,1673,54882,25255,16740,3859,28696,1074,2870,,,1643,,,,,
Verdun-Saint-Henri-Saint-Paul-Pointe-Saint-Charles,18660,61810,9580,16617,60988,12645,71085,41974,1200,40774,29111,20905,2670,11976,1003,2098,117,,924,933,,,148,
Westmount-Ville-Marie,35299,28561,28905,33768,27482,30720,70801,38695,331,38364,32106,23093,4597,4110,1990,1697,694,,692,1245,96,150,,
