Circonscriptions,Anglophones_2011,Francophones_2011,Allophones_2011,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Coalition_avenir_quebec,Quebec_solidaire,Parti_vert,Autres_option_nationale,Autres_independants_01,Autres_independants_02,Autres_parti_conservateur,Autres_coalition_pour_la_constituante,Autres_parti_nul,Autres_equipe_autonomiste,Autres_union_citoyenne,Autres_parti_de_la_classe_moyenne,Autres_parti_marxiste-leniniste,Autres_parti_independantiste,Autres_parti_unite_nationale,Autres_bloc_pot,Autres_quebec_revolution_democratique,Autres_parti_equitable
Nicolet-Bécancour,397,47368,530,39304,30896,450,30446,8408,6840,5644,9745,,,7869,,,348,,,,,,,,,,,
Notre-Dame-de-Grâce,23889,15631,18775,39652,26940,187,26753,12712,16761,2217,3643,2291,1531,236,,,,,,,,,74,,,,,
Orford,7347,41698,820,40443,31588,291,31297,8855,11448,9560,7558,1687,554,356,,,,134,,,,,,,,,,
Outremont,9919,30696,23100,39022,26616,245,26371,12406,10949,6119,3691,4751,,451,,,,47,243,,120,,,,,,,
Papineau,4701,69599,1450,56794,37786,399,37387,19008,12996,12829,8218,1963,,574,246,,,,446,,,,115,,,,,
Pointe-aux-Trembles,1174,45516,4905,40691,31075,422,30653,9616,4732,15406,7425,1811,,672,425,,,,,,,,73,109,,,,
Pontiac,24365,42825,7665,48697,30255,267,29988,18442,16981,4835,5417,1565,906,223,,,,,,,,,61,,,,,
Portneuf,486,47994,215,40339,31386,375,31011,8953,10402,5568,12605,932,,534,567,,403,,,,,,,,,,,
René-Lévesque,246,40399,2570,34575,23050,204,22846,11525,4160,13634,3643,892,,517,,,,,,,,,,,,,,
Repentigny,1036,58344,3600,50547,41682,500,41182,8865,6217,16762,15525,1730,,948,,,,,,,,,,,,,,
Richelieu,517,52243,590,44088,34253,629,33624,9835,6128,14474,10873,1084,,1065,,,,,,,,,,,,,,
Richmond,5417,53037,3122,57423,45512,553,44959,11911,15962,15693,9751,1858,684,810,,,,201,,,,,,,,,,
Rimouski,346,53624,415,44073,33303,251,33052,10770,7258,15979,5684,2409,630,910,,,,,182,,,,,,,,,
Rivière-du-Loup-Témiscouata,316,62514,250,50795,37874,430,37444,12921,15317,12870,6949,1116,647,410,,,,135,,,,,,,,,,
Robert-Baldwin,28786,16524,30355,54033,37333,231,37102,16700,27904,1978,4817,1083,988,194,,,,,,,138,,,,,,,
Roberval,185,55795,440,45012,32675,407,32268,12337,9157,15069,6252,1302,,488,,,,,,,,,,,,,,
Rosemont,2268,51332,17130,51073,38869,446,38423,12204,7836,16780,6657,5564,,1079,,,,160,,,,,127,,,220,,
Rousseau,2651,73244,1495,60795,44100,686,43414,16695,5186,18112,16996,2163,,536,232,,,,,,,,,189,,,,
Rouyn-Noranda-Témiscamingue,3027,52838,680,44179,30490,359,30131,13689,7983,11082,7140,2941,451,534,,,,,,,,,,,,,,
Saint-François,5429,63866,2375,55274,42697,581,42116,12577,15238,15303,7607,2103,809,932,,,,,,,,,,,124,,,
Saint-Henri-Sainte-Anne,14086,41844,19415,53934,36734,612,36122,17200,13894,11587,5573,4084,,827,,,,,,,,,,,157,,,
Saint-Hyacinthe,557,68278,2115,57142,44962,686,44276,12180,10552,16082,13962,2198,,803,,,306,,,129,149,,,,95,,,
Saint-Jean,2123,71222,1610,58282,45656,718,44938,12626,8955,18304,14457,1886,,770,,,267,,,,109,,,190,,,,
Saint-Jérôme,1011,64754,1915,54345,40984,495,40489,13361,5087,15282,16179,2903,506,532,,,,,,,,,,,,,,
Saint-Laurent,12780,26595,45235,53585,34571,337,34234,19014,22481,3878,4902,1718,684,384,,,,,,,,,91,,96,,,
Saint-Maurice,542,59153,325,36598,26917,565,26352,9681,7158,9395,7498,1250,,519,442,,,,,,,,,,90,,,
Sainte-Marie-Saint-Jacques,7143,39687,12610,42283,28828,305,28523,13455,5531,10199,4216,7253,,880,123,31,,,,,87,143,60,,,,,
Sainte-Rose,3444,48771,14840,49539,39193,445,38748,10346,11054,13508,11470,1689,,764,263,,,,,,,,,,,,,
Sanguinet,2147,45738,2815,38464,30922,482,30440,7542,6072,12384,9857,1056,,401,315,,288,,,,,,67,,,,,
Sherbrooke,2123,58592,6375,48799,38112,344,37768,10687,13267,15909,4457,2586,407,1069,,,,,,,,,,73,,,,
Soulanges,10700,48545,2575,46809,36979,473,36506,9830,12795,11281,10234,1323,,495,378,,,,,,,,,,,,,
Taillon,1746,56404,8865,50864,39045,476,38569,11819,7470,15508,10772,2874,590,932,183,,,175,,,,,65,,,,,
Taschereau,1435,55220,3560,49350,38180,418,37762,11170,9697,13994,6311,4416,,2804,,,,110,358,72,,,,,,,,
Terrebonne,1491,65884,4610,54100,43391,554,42837,10709,5646,19077,15429,1380,635,510,,,,160,,,,,,,,,,
Trois-Rivières,719,52821,1720,43279,32553,534,32019,10726,11255,10254,7447,1615,,1121,217,,,,,110,,,,,,,,
Ungava,1707,14753,25305,26098,10861,198,10663,15237,3701,4854,1176,655,,277,,,,,,,,,,,,,,
Vachon,4227,49703,7735,48326,38021,571,37450,10305,7966,14824,11095,1890,808,670,,,,197,,,,,,,,,,
Vanier-Les Rivières,698,66837,3105,55380,43570,503,43067,11810,15002,8038,16333,1371,569,924,322,,362,,,146,,,,,,,,
Vaudreuil,20374,46546,10045,56822,43430,437,42993,13392,19375,8902,11013,2099,1067,444,,,,,,,93,,,,,,,
Verchères,1151,71494,1585,56169,47262,608,46654,8907,6419,22052,14682,1900,,1035,297,,,269,,,,,,,,,,
Verdun,10887,40343,14160,47694,34039,389,33650,13655,11920,11373,6373,2449,825,525,,,,,,,127,,58,,,,,
Viau,2527,27108,38585,40605,25318,384,24934,15287,11788,5900,3103,2873,530,740,,,,,,,,,,,,,,
Vimont,3730,39495,14970,44122,35007,393,34614,9115,12973,10564,8544,1373,,688,253,,219,,,,,,,,,,,
Westmount-Saint-Louis,23285,15305,25380,39462,23456,154,23302,16006,15774,1739,3056,1493,916,230,94,,,,,,,,,,,,,
