Circonscriptions,Anglophones_1996,Francophones_1996,Allophones_1996,Anglophones_2001,Francophones_2001,Allophones_2001,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Action_democratique_du_quebec,Autres_independants_01,Autres_independants_02,Autres_parti_de_la_democratie_socialiste,Autres_equality_party,Autres_bloc_pot,Autres_parti_de_la_loi_naturelle,Autres_parti_marxiste-leniniste,Autres_parti_ innovateur,Autres_parti_communiste_du_quebec
Champlain,647,57478,360,481,56409,235,44747,36885,396,36489,7862,12990,17254,5962,146,,137,,,,,,
Chapleau,5418,74057,3030,5085,76230,3460,58194,41468,456,41012,16726,24288,12600,3617,,,281,,,167,59,,
Charlesbourg,879,58321,870,598,57547,1015,48118,39549,564,38985,8569,15952,15985,6309,296,,273,,,170,,,
Charlevoix,281,40444,65,191,38904,65,31920,24416,305,24111,7504,8322,13648,1800,158,,183,,,,,,
Châteauguay,13241,41569,2685,12077,42543,2535,42587,35848,355,35493,6739,16655,15291,3217,,,114,216,,,,,
Chauveau,2272,77208,720,1947,82208,740,59862,47050,515,46535,12812,17374,20204,8203,,,519,,,235,,,
Chicoutimi,381,61364,415,386,58339,380,47102,35242,350,34892,11860,9955,19980,4653,127,,177,,,,,,
Chomedey,8844,32776,26370,8544,32206,28930,51554,40852,359,40493,10702,28293,8869,2768,,,195,368,,,,,
Chutes-de-la-Chaudière,1007,73673,435,768,77132,400,56002,45900,397,45503,10102,13796,22577,8486,286,,358,,,,,,
Crémazie,2636,45964,17895,2228,46517,18375,38175,31050,282,30768,7125,13644,13953,2579,,,218,,214,88,,39,33
D'Arcy-McGee,31558,9602,21810,27935,9775,22115,42409,32304,228,32076,10105,29065,1002,400,,,135,1397,,77,,,
Deux-Montagnes,6233,70602,1620,5683,73577,1570,57907,46952,529,46423,10955,14378,21831,9628,,,141,121,324,,,,
Drummond,870,62445,305,682,65873,565,49875,39760,561,39199,10115,13334,20521,5007,337,,,,,,,,
Dubuc,387,49588,100,311,48259,145,37116,27721,321,27400,9395,8154,16388,2858,,,,,,,,,
Duplessis,5069,42651,5350,4622,40418,5695,37765,26224,253,25971,11541,8395,15406,2170,,,,,,,,,
Fabre,4928,57517,6865,4572,60458,8510,51851,43648,430,43218,8203,17507,19859,5696,,,156,,,,,,
Frontenac,447,44518,220,479,42761,125,35653,29279,329,28950,6374,11987,12890,4073,,,,,,,,,
Gaspé,3669,35216,80,2955,33680,90,29684,22149,235,21914,7535,9795,11047,1072,,,,,,,,,
Gatineau,8788,43952,1815,10045,42545,2295,41285,30313,279,30034,10972,18481,9259,1794,,,202,,,208,90,,
Gouin,1922,43988,13815,1793,46317,11430,41676,31005,450,30555,10671,10273,16097,3276,61,,624,,,,149,,75
Groulx,3805,52780,3715,3694,55471,4595,44137,35530,400,35130,8607,12464,17041,5263,,,171,,,,,191,
Hochelaga-Maisonneuve,1380,40515,4080,1116,43239,5055,31855,21665,345,21320,10190,5444,12922,2454,,,292,,,,133,,75
Hull,5143,50597,5815,5599,52451,7180,45422,32191,366,31825,13231,18873,10191,2126,,,291,,,266,78,,
Iberville,2057,60693,805,2004,60426,770,46793,38033,492,37541,8760,13245,17657,6412,,,,,,,227,,
Îles-de-la-Madeleine,719,12976,35,711,11829,45,10364,9076,70,9006,1288,4144,4732,130,,,,,,,,,
Jacques-Cartier,36084,17621,11200,35699,18461,11540,49643,39527,177,39350,10116,32924,3315,1392,,,217,1502,,,,,
Jeanne-Mance,4083,23357,29745,3902,21528,30995,37356,29588,265,29323,7768,22669,4779,1596,,,78,139,,,,62,
Jean-Talon,2121,42699,1795,1556,43399,1960,33584,28561,288,28273,5023,12817,12661,2298,171,,326,,,,,,
Johnson,1895,47580,285,1333,47652,375,36940,29906,337,29569,7034,11163,14292,3824,,,290,,,,,,
Joliette,387,56123,515,482,56388,600,44396,35822,588,35234,8574,9636,19784,5310,,,504,,,,,,
Jonquière,552,56798,235,502,55143,315,44415,34158,302,33856,10257,6552,20475,1686,5023,,,,,120,,,
Kamouraska-Témiscouata,95,45800,25,75,44055,35,35058,26195,304,25891,8863,11259,11149,3149,,,334,,,,,,
La Peltrie,1431,71869,775,1084,72856,1060,54119,45661,451,45210,8458,16134,20996,7382,,,492,,,206,,,
Labelle,1313,47907,330,1363,49237,460,38734,29443,397,29046,9291,9024,17023,2781,,,218,,,,,,
Lac-Saint-Jean,196,53004,115,226,52429,125,40129,30811,343,30468,9318,5792,21498,3178,,,,,,,,,
Lafontaine,4203,45592,23570,4494,47466,24380,50305,40275,362,39913,10030,22984,12116,4476,,,161,,,,,176,
Lapinière,9751,37289,18615,9122,36788,18750,47027,37949,327,37622,9078,22849,11113,3330,78,52,125,,,,,75,
Laporte,12260,43105,5365,10917,43128,5755,46639,37443,378,37065,9196,19587,13227,3431,,,317,188,,,,315,
Laprairie,4166,69094,3305,4612,74603,3235,56866,47074,462,46612,9792,14436,23580,8354,,,242,,,,,,
L'Assomption,984,65851,1090,777,66583,1180,50513,41314,397,40917,9199,10326,21071,8941,,,214,,365,,,,
Laurier-Dorion,5356,31699,39270,4339,32081,39750,45792,34899,560,34339,10893,19471,10868,2561,113,,490,,474,,203,,159
Laval-des-Rapides,2050,48000,8020,1560,42140,7975,39279,30970,327,30643,8309,12497,13938,3771,,,117,,223,,,97,
Laviolette,642,42258,2555,412,40053,3015,34067,26937,315,26622,7130,9291,14411,2758,,,,,,162,,,
Lévis,386,50004,185,285,50620,195,39803,31809,295,31514,7994,11083,15473,4553,149,,196,,,,60,,
Limoilou,662,62788,1450,518,57512,1640,44378,33380,483,32897,10998,13929,12631,5576,234,73,345,,,,109,,
Lotbinière,374,39501,225,216,39314,225,30007,24445,315,24130,5562,9148,11496,3486,,,,,,,,,
Louis-Hébert,1499,48921,3375,1046,45069,2470,40064,32402,306,32096,7662,12967,14805,3977,,,169,,,108,70,,
Marguerite-Bourgeoys,17115,25655,14835,17032,25808,16550,43070,34424,333,34091,8646,23234,7724,2263,,,161,417,,292,,,
Marguerite-d'Youville,1355,55815,1350,1254,59611,1390,45548,39478,376,39102,6070,11941,21224,5370,,,240,,327,,,,
Marie-Victorin,1709,49081,4985,1367,47723,5005,40940,30801,439,30362,10139,9876,15692,4054,,,245,,316,,,179,
Marquette,13068,32852,6750,11993,33942,7150,38248,29765,346,29419,8483,16606,9761,2615,,,,264,,,173,,
Maskinongé,677,56953,565,472,57728,320,45470,36656,470,36186,8814,13230,17423,5225,,,,,,308,,,
Masson,1607,62173,1080,1368,65872,900,45949,27637,261,27376,18312,4453,17529,4914,42,,143,,295,,,,
Matane,210,37095,55,153,34987,60,28527,20815,258,20557,7712,6993,11847,1544,,,,,,173,,,
Matapédia,162,41188,85,85,35380,35,30993,23060,221,22839,7933,7410,13125,1882,,,238,,,184,,,
Mégantic-Compton,3359,39306,205,2948,39557,340,31736,25354,250,25104,6382,12675,10339,1835,,,174,81,,,,,
Mercier,4715,43425,10905,4003,43607,7515,42755,32184,493,31691,10571,9005,17552,2818,158,,873,,985,154,79,,67
Mille-Îles,2156,56169,7400,2593,55937,9325,47928,40446,395,40051,7482,16600,17465,5440,,,156,,322,,,68,
Montmagny-L'Islet,235,40695,65,80,39930,40,32296,24325,307,24018,7971,11047,9242,3729,,,,,,,,,
Montmorency,531,73249,420,496,73654,435,55300,44644,481,44163,10656,14818,19946,7154,1774,,267,,,,204,,
Mont-Royal,16571,18989,36430,16351,20849,37765,42186,30698,329,30369,11488,24367,3869,1076,,,167,575,,,190,,125
Nelligan,34271,35259,17865,31594,35331,20490,59403,47469,295,47174,11934,35698,7492,2848,140,,156,840,,,,,
Nicolet-Yamaska,286,43644,410,256,42709,515,33777,28573,372,28201,5204,10369,14166,3509,,,157,,,,,,
Notre-Dame-de-Grâce,28787,14543,16185,24411,15324,15755,39725,29364,213,29151,10361,22627,3886,980,,,256,1163,,140,55,,44
Orford,7622,58103,700,7326,65929,755,51560,41928,396,41532,9632,21164,16248,3624,,,352,,,144,,,
Outremont,10578,34387,24345,9543,33142,20635,42345,31245,290,30955,11100,18050,9878,1667,,,545,212,454,,65,,84
Papineau,4409,46151,455,4135,48950,430,39395,29518,263,29255,9877,16025,11177,1604,114,,126,,,128,81,,
Poite-aux-Trembles,1756,54474,4080,1581,53914,4175,38030,29962,338,29624,8068,9110,15946,4205,,,205,,,,,158,
Pontiac,22368,29927,2300,21485,30415,2705,39566,29512,184,29328,10054,22076,4143,963,112,,108,1757,,100,69,,
Portneuf,586,51044,140,562,51233,150,40728,32866,414,32452,7862,12299,15572,4283,,,298,,,,,,
Prévost,983,61102,695,1091,64459,820,47827,37252,454,36798,10575,11254,19663,5372,,,229,,213,67,,,
Richelieu,361,50354,425,356,48099,320,39762,32202,689,31513,7560,8718,17745,4543,261,,246,,,,,,
Richmond,2040,41455,390,2310,41865,415,33463,27406,346,27060,6057,14358,9704,2998,,,,,,,,,
Rimouski,381,50029,130,300,53260,140,39582,29857,251,29606,9725,9617,16687,2710,,,192,,357,43,,,
Rivière-du-Loup,195,39600,60,140,38955,65,30942,23763,250,23513,7179,5952,6308,10897,98,,61,,197,,,,
Robert-Baldwin,34027,21083,23065,32232,20823,25705,48552,37902,196,37706,10650,31702,3494,1173,,,,1042,295,,,,
Roberval,225,59545,520,195,57275,530,44472,32516,340,32176,11956,7978,19288,4616,,,294,,,,,,
Rosemont,2352,44688,11485,2030,43365,10530,38592,29854,413,29441,8738,11448,14116,3029,,,263,,296,199,,,90
Rousseau,2300,55225,935,2040,57570,810,43604,33114,457,32657,10490,9533,18076,4805,,,243,,,,,,
Rouyn-Noranda-Témiscamingue,3816,54889,575,3023,52107,530,42952,32749,448,32301,10203,12391,15922,3628,,,360,,,,,,
Saguenay,366,46799,2175,276,43424,2475,35727,24821,206,24615,10906,5001,15419,4036,,,159,,,,,,
Saint-François,5141,49319,1595,4608,49137,1930,42031,33457,301,33156,8574,16908,13229,2575,,,296,,,106,42,,
Saint-Henri-Sainte-Anne,8547,39598,8405,8427,38408,9370,40514,29881,432,29449,10633,14240,11933,2570,126,,205,124,,,173,,78
Saint-Hyacinthe,546,59119,735,431,58239,725,46484,37996,586,37410,8488,13448,18555,5112,,,295,,,,,,
Saint-Jean,2326,64729,1070,2380,67325,1420,51634,41943,391,41552,9691,15792,19562,5778,,,,,420,,,,
Saint-Laurent,13157,25653,33180,12198,24337,34455,47630,36570,327,36243,11060,28280,5729,1468,,,129,472,,,,,165
Saint-Maurice,492,44268,170,382,42853,160,35616,28735,571,28164,6881,10219,13947,3998,,,,,,,,,
Sainte-Marie-Saint-Jacques,4683,46032,10345,4913,47217,11065,46950,31694,470,31224,15256,9722,16530,3171,38,,629,77,715,107,120,,115
Salaberry-Soulanges,2249,63681,685,2195,62415,575,50967,42295,638,41657,8672,14932,21588,4884,,,253,,,,,,
Sauvé,2044,31586,13170,2303,29757,15935,32122,24498,332,24166,7624,14125,7413,2084,,,172,,,57,,123,192
Shefford,2793,65097,670,2567,66603,755,52403,42246,659,41587,10157,15503,15430,10220,90,,,,,171,173,,
Sherbrooke,2038,47077,2325,1803,46107,2540,40224,32074,236,31838,8150,15093,14186,2171,169,,,,166,53,,,
Taillon,1863,63592,5620,1950,65510,5190,51831,40404,509,39895,11427,12372,21154,5877,,,345,,,,,147,
Taschereau,1185,42280,1640,1059,43811,1925,33217,24527,425,24102,8690,8793,11327,3033,352,76,521,,,,,,
Terrebonne,1111,58029,1270,1130,61905,1430,44671,36196,462,35734,8475,8195,21252,6077,,,210,,,,,,
Trois-Rivières,717,45993,565,623,43602,825,37526,29610,471,29139,7916,11972,13495,3477,82,,,,,113,,,
Ungava,1240,18770,17810,1302,16923,20280,21997,13622,180,13442,8375,5517,6482,1443,,,,,,,,,
Vachon,5915,53865,4980,4356,49679,3705,42239,34571,412,34159,7668,11755,16993,5147,161,,,,,,,103,
Vanier,772,68308,1785,709,65891,1555,50426,39231,487,38744,11195,14408,16885,7022,,,429,,,,,,
Vaudreuil,18453,50682,3275,18885,54720,3655,54485,44562,390,44172,9923,22934,16223,4420,,,218,377,,,,,
Verchères,652,50498,320,678,51502,410,38244,31825,401,31424,6419,7287,19055,4747,,,335,,,,,,
Verdun,12481,40644,5625,10759,40426,8305,44169,33437,377,33060,10732,17441,11670,3105,66,,151,171,204,201,,,51
Viau,2313,28047,30755,2015,30285,30905,37936,27900,1111,26789,10036,18774,,5214,,,426,174,1668,,,326,207
Viger,3562,33443,21555,3115,30500,21495,36405,29234,351,28883,7171,18715,7496,2369,,,168,,,,,135,
Vimont,3450,69990,12365,3678,66897,12570,54946,46536,402,46134,8410,19085,20938,5604,,,215,,292,,,,
Westmount-Saint-Louis,28490,21900,24310,26917,20538,24305,50395,33391,241,33150,17004,26244,4609,1150,,,224,648,,130,56,,89
