Circonscriptions,Population_totale_1891,Canadiens_francais_1891,Population_totale_1901,Canadiens_francais_1901,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants,Autres_ouvrier
Montréal-No. 6 (Sainte-Anne),24685,6712,23368,7439,8610,5069,83,4986,3541,2534,2452,,,,
Napierville,10101,9671,8576,8161,2133,1575,25,1550,558,877,673,,,,
Nicolet,28735,28374,26590,26121,6428,4829,26,4803,1599,2222,2581,,,,
Ottawa,63560,42285,75731,54599,13426,6639,33,6606,6787,3616,2990,,,,
Pontiac,22084,6663,25722,9397,4702,4702,,,,Élu sans opposition,,,,,
Portneuf,25813,24102,27159,25669,5322,4405,23,4382,917,2302,2080,,,,
Québec-Centre,12936,9577,20366,15297,3877,3119,24,3095,758,1721,1374,,,,
Québec-Comté,19503,16373,22101,18710,4232,2313,27,2286,1919,1693,593,,,,
Québec-Est,17511,16473,18894,17331,4054,2542,10,2532,1512,1729,803,,,,
Québec-Ouest,13954,7421,9149,4911,2238,1671,33,1638,567,502,726,410,,,
Richelieu,21354,21098,18576,18189,4266,3127,39,3088,1139,1610,1478,,,,
Richmond,16329,8644,17821,10812,4690,3336,36,3300,1354,1552,1748,,,,
Rimouski,18809,18686,19701,19303,2714,2200,37,2163,514,1202,961,,,,
Rouville,16012,15644,15990,15458,3445,2671,16,2655,774,1327,1328,,,,
Saint-Hyacinthe,21433,21169,21543,21302,5155,3962,41,3921,1193,2329,1592,,,,
Saint-Jean,12282,10234,9863,8957,2695,1976,34,1942,719,1164,778,,,,
Saint-Maurice,12267,12087,15428,14962,3078,,,,,,Élu sans opposition,,,,
Saint-Sauveur,18689,17802,20431,19477,2967,2195,34,2161,772,1773,,,,,388
Shefford,23263,17888,23628,18086,5942,4403,24,4379,1539,2373,2006,,,,
Sherbrooke,16088,8672,18426,10645,3894,2094,27,2067,1800,784,1283,,,,
Soulanges,9608,8909,9928,9269,2388,1910,41,1869,478,1056,813,,,,
Stanstead,18067,6933,18998,8744,4866,3566,48,3518,1300,1721,1797,,,,
Témiscouata,25698,25189,29185,28320,4762,3693,48,3645,1069,2217,1409,19,,,
Terrebonne,23128,21770,26816,25424,5178,4019,23,3996,1159,1853,2143,,,,
Trois-Rivières,8834,8373,10739,10219,1564,1259,9,1250,305,513,737,,,,
Vaudreuil,10792,9539,10445,9352,2747,1857,20,1837,890,1091,746,,,,
Verchères,12257,12176,11539,11343,2657,2059,10,2049,598,1089,912,48,,,
Wolfe,15018,13424,16316,14885,3496,2355,12,2343,1141,821,1522,,,,
Yamaska,16058,15712,16204,15767,4339,3514,33,3481,825,1739,1742,,,,
