Circonscriptions,Anglophones_1991,Francophones_1991,Allophones_1991,Anglophones_1996,Francophones_1996,Allophones_1996,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Action_democratique_du_quebec,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_independants_04,Autres_independants_05,Autres_independants_06,Autres_independants_07,Autres_nouveau_parti_democratique,Autres_parti_de_la_loi_naturelle,Autres_equality_party,Autres_parti_de_la_souverainete_du_quebec,Autres_parti_vert,Autres_parti_citron,Autres_canada,Autres_parti_pour_la_republique_du_canada,Autres_developpement_quebec,Autres_parti_economique,Autres_parti_innovateur,Autres_parti_marxiste-leniniste,Autres_parti_communiste
Berthier,621,54209,1555,649,59911,1720,44574,36559,770,35789,8015,12990,19206,2984,,,,,,,,,253,,,356,,,,,,,,
Bertrand,2927,40263,840,3364,48691,1045,38854,32393,478,31915,6461,14558,14412,2486,221,,,,,,,,238,,,,,,,,,,,
Blainville,1800,45020,1400,1863,53987,1790,36530,30457,744,29713,6073,9460,15273,4188,,,,,,,,,322,,470,,,,,,,,,
Bonaventure,5317,34423,830,5255,33965,870,29626,23810,189,23621,5816,10105,12411,925,,,,,,,,,180,,,,,,,,,,,
Borduas,2813,41772,825,2369,44966,830,33126,28487,801,27686,4639,10651,15461,,1037,,,,,,,,,,537,,,,,,,,,
Bourassa,2146,37589,12330,1903,32932,14615,31793,26480,506,25974,5313,12963,10423,2210,,,,,,,,,246,,,,,,,,,132,,
Bourget,2102,48163,5485,1828,43037,6275,33761,28510,609,27901,5251,11687,12669,3176,,,,,,,,,273,,,,,,,,,,96,
Brome-Missisquoi,13230,35645,1370,13030,37405,1305,36354,30564,456,30108,5790,18402,8972,2037,,,,,,,,,274,423,,,,,,,,,,
Chambly,5940,55400,1690,5039,62236,1945,47620,41652,1130,40522,5968,19393,19800,,,,,,,,,,519,,336,,,,,474,,,,
Champlain,538,57852,255,647,57478,360,42908,35890,562,35328,7018,10943,14929,8953,,,,,,,,,274,,,,,,,229,,,,
Chapleau,4790,68800,2130,5418,74057,3030,54005,40306,519,39787,13699,25181,12563,,219,,,,,,,984,222,,,,618,,,,,,,
Charlesbourg,641,59164,630,879,58321,870,45931,38915,825,38090,7016,10413,17908,6022,804,561,508,346,186,156,,811,375,,,,,,,,,,,
Charlevoix,166,41309,45,281,40444,65,30604,23362,370,22992,7242,8986,12091,,1915,,,,,,,,,,,,,,,,,,,
Châteauguay,12257,40233,2700,13241,41569,2685,39950,34764,787,33977,5186,17426,15504,,,,,,,,,,623,,424,,,,,,,,,
Chauveau,2239,69821,565,2272,77208,720,54351,44105,908,43197,10246,13787,20106,5427,2229,1052,,,,,,,596,,,,,,,,,,,
Chicoutimi,432,61878,365,381,61364,415,44767,35040,384,34656,9727,9021,22025,2619,,,,,,,,706,285,,,,,,,,,,,
Chomedey,10412,34548,23270,8844,32776,26370,47051,38668,435,38233,8383,25885,9239,1997,,,,,,,,,150,353,,,,212,154,,243,,,
