Circonscriptions,Anglophones_2001,Francophones_2001,Allophones_2001,Anglophones_2006,Francophones_2006,Allophones_2006,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_progressiste-conservateur,Bloc_quebecois,Nouveau_parti_democratique,Parti_vert,Autres_independants_01,Autres_independants_02,Autres_parti_marijuana,Autres_parti_marxiste-leniniste,Autres_parti_communiste_canadien,Autres_christian_heritage_party,Autres_parti_libertarien,Autres_action_canadienne
Nunavik-Eeyou,2320,55135,21970,2263,52792,24895,57196,28373,565,27808,28823,12006,1265,12578,1097,862,,,,,,,,
Outremont,13937,43623,38170,15109,40656,38830,68855,38645,359,38286,30210,15675,2284,12730,5382,1643,,,452,120,,,,
Papineau,4721,47609,50965,5056,45564,49755,73187,41769,670,41099,31418,16892,1961,16424,3603,1058,250,,490,169,252,,,
Pierrefonds-Dollard,38312,33648,29575,37629,31131,35900,79872,46930,365,46565,32942,29601,5010,7426,2545,1401,,,511,71,,,,
Pontiac,22176,65589,1535,23127,73488,2340,76313,40478,444,40034,35835,15358,8869,11685,2317,1673,,,,132,,,,
Portneuf,1763,83592,450,1675,89115,1270,71703,44229,1179,43050,27474,11863,9251,18471,1540,1925,,,,,,,,
Québec,1719,86471,3095,1576,86224,4930,80916,49176,1040,48136,31740,12982,5330,24373,2670,2046,,,512,223,,,,
Repentigny,1108,100637,1465,1344,104031,3435,81617,52457,1203,51254,29160,9353,2447,35907,1526,1482,,,539,,,,,
Richelieu,647,89198,815,732,87683,1220,75702,50012,1308,48704,25690,11045,3726,31497,1017,839,,,580,,,,,
Richmond-Arthabaska,3096,91379,855,3201,93779,1430,77650,48296,1112,47184,29354,12809,4925,26211,1540,1699,,,,,,,,
Rimouski-Témiscouata,335,81955,185,511,81069,930,67686,39293,747,38546,28393,9161,3445,22215,2717,1008,,,,,,,,
Rivière-des-Mille-Îles,6004,82226,4075,5938,85587,5055,72104,46734,1132,45602,25370,11025,3064,27993,1559,1961,,,,,,,,
Rivière-du-Loup-Montmagny,275,94300,155,330,94260,585,78473,45206,877,44329,33267,13124,4040,25327,876,962,,,,,,,,
Rivière-du-Nord,1796,85774,1175,2071,95874,2265,75459,45053,1027,44026,30406,9509,2435,29204,1290,1129,,,459,,,,,
Roberval,240,79020,570,250,76825,805,63497,35454,687,34767,28043,8064,3011,20655,1777,1260,,,,,,,,
Rosemont-La Petite-Patrie,3121,79699,19165,3601,79799,21080,83480,51370,847,50523,32110,11572,1561,31224,3876,2145,,,,,145,,,
Saint-Bruno-Saint-Hubert,8321,84289,6150,8290,82460,9725,78656,51994,1100,50894,26662,15457,3189,28050,2253,1349,,,596,,,,,
Saint-Hyacinthe-Bagot,687,90123,1045,702,91173,2055,75575,48952,1213,47739,26623,10558,5240,29789,1204,948,,,,,,,,
Saint-Jean,2765,89585,1700,2631,96329,2505,77851,50406,1351,49055,27445,12729,3856,29485,1687,1298,,,,,,,,
Saint-Lambert,11109,71976,9225,11011,70079,12380,76119,45957,861,45096,30162,16654,2739,22024,2130,1404,,,,145,,,,
Saint-Laurent-Cartierville,15367,34198,49785,15763,33102,58410,78238,42464,400,42064,35774,28107,2606,7261,2630,875,,,298,125,78,,,84
Saint-Léonard-Saint-Michel,6114,39656,56370,7358,35802,61335,75864,41362,855,40507,34502,25884,2138,8852,2422,944,,,,267,,,,
Saint-Maurice-Champlain,878,91612,3240,707,89933,3930,80188,48245,1372,46873,31943,14320,4129,25918,1104,855,,,547,,,,,
Shefford,2956,89299,915,3072,92853,2225,77134,48556,1414,47142,28578,18725,3732,21968,1146,1571,,,,,,,,
Sherbrooke,2486,89044,3365,2281,90909,5985,80945,50723,804,49919,30222,15482,2142,29323,1463,1509,,,,,,,,
Terrebonne-Blainville,1889,86551,2605,2594,99311,4970,74197,47175,1252,45923,27022,9048,2582,31288,1451,1554,,,,,,,,
Trois-Rivières,1054,88191,1000,902,89343,1850,76927,47825,1390,46435,29102,12703,4381,26240,1635,1476,,,,,,,,
Vaudreuil-Soulanges,19870,77625,3785,25100,86740,7630,84849,56694,985,55709,28155,21613,4558,24675,2175,2103,,,585,,,,,
Verchères-Les Patriotes,1423,85722,1115,1480,92950,2255,72082,50214,920,49294,21868,9958,2750,33333,1815,975,,,463,,,,,
Westmount-Ville-Marie,36949,28941,29410,36404,28171,33530,77404,40253,254,39999,37151,22337,4027,5922,4795,2419,,,396,103,,,,
