Circonscriptions,Population_totale_1921,Canadiens_francais_1921,Population_totale_1931,Canadiens_francais_1931,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants,Autres_ouvrier,Autres_socialiste,Autres_protectionniste
Maisonneuve,64933,47826,112263,82327,32236,21361,150,21211,10875,16045,5166,,,,,,
Matane,36303,35632,45272,44143,16425,12669,62,12607,3756,8880,3727,,,,,,
Mégantic,33633,30044,35492,32685,14017,9794,68,9726,4223,6483,3243,,,,,,
Montmagny,21997,21792,20239,20072,9975,7691,60,7631,2284,3985,3646,,,,,,
Montmorency,31241,29250,39417,37268,15106,11774,74,11700,3332,6433,5267,,,,,,
Mont-Royal,19688,2133,88941,16987,26911,18828,80,18748,8083,4499,14249,,,,,,
Nicolet,29695,29367,28673,28471,13220,10439,60,10379,2781,6597,3782,,,,,,
Pontiac,46201,30037,65542,44669,28583,17406,119,17287,11177,11166,6121,,,,,,
Portneuf,34686,33221,38497,36832,16445,11647,67,11580,4798,6308,,5272,,,,,
Québec-Est,38330,36439,38330,36439,20038,15901,93,15808,4137,9370,6438,,,,,,
Québec-Ouest,37993,36943,37993,36943,16970,14076,80,13996,2894,7501,6495,,,,,,
Québec-Sud,27706,19675,27706,19675,16129,12324,121,12203,3805,6527,4901,,775,,,,
Richelieu,19548,19114,21483,21169,9546,7867,47,7820,1679,4893,2927,,,,,,
Richmond-Wolfe,41926,35289,41867,35709,18848,13963,75,13888,4885,8788,5100,,,,,,
Rimouski,27520,27325,33151,32255,12563,9008,42,8966,3555,5623,2926,,,417,,,
Saint-Antoine,32394,10395,34279,9892,16572,12854,90,12764,3718,6159,6605,,,,,,
Saint-Denis,78920,60219,135016,105249,43070,26562,202,26360,16508,21497,4863,,,,,,
Saint-Henri,45316,35511,48441,38806,17878,12306,159,12147,5572,9995,,2152,,,,,
Saint-Hyacinthe-Rouville,36754,35995,39630,38653,17732,9260,77,9183,8472,7325,1858,,,,,,
Saint-Jacques,42443,37491,74504,56157,23194,15120,188,14932,8074,12740,,,,,2192,,
Saint-Jean-Iberville,23518,21475,27051,24648,11435,9154,18,9136,2281,4802,328,4006,,,,,
Saint-Laurent-Saint-George,36912,7321,34026,7708,13072,9688,137,9551,3384,3826,5725,,,,,,
Sainte-Anne,52049,16211,36733,14898,27370,20972,260,20712,6398,11238,9474,,,,,,
Sainte-Marie,63975,55720,75350,66170,24088,17820,191,17629,6268,14793,2836,,,,,,
Shefford,25734,21965,28262,24449,13238,10043,64,9979,3195,6374,3605,,,,,,
Sherbrooke,31356,21216,37386,26842,17227,12308,86,12222,4919,7582,4640,,,,,,
Stanstead,23380,14230,25118,16622,11939,8897,22,8875,3042,5135,3740,,,,,,
Témiscouata,44310,43470,50294,49536,19320,15030,86,14944,4290,8431,6513,,,,,,
Terrebonne,33908,31136,38611,35772,15582,9399,69,9330,6183,7060,2270,,,,,,
Trois-Rivières-Saint-Maurice,50845,48111,69095,65284,25081,17263,142,17121,7818,11384,5737,,,,,,
Vaudreuil-Soulanges,21620,19212,21114,19012,10794,7266,27,7239,3528,5391,1848,,,,,,
Wright,28639,16247,27747,18121,15007,11127,72,11055,3880,5950,5105,,,,,,
Yamaska,18056,17787,16820,16521,7534,6618,36,6582,916,3500,3082,,,,,,
