Circonscriptions,Anglophones_2006,Francophones_2006,Allophones_2006,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Bloc_quebecois,Nouveau_parti_democratique,Parti_vert,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_independants_04,Autres_parti_marxiste-leniniste,Autres_parti_progressiste,Autres_parti_marijuana,Autres_parti_libertarien,Autres_action_canadienne,Autres_parti_communiste_canadien,Autres_christian_heritage_party
Chambly-Borduas,4344,108806,2535,88601,62381,762,61619,26220,6933,12703,33703,5167,3113,,,,,,,,,,,
Charlesbourg-Haute-Saint-Charles,897,90748,1890,77036,50220,503,49717,26816,4364,20406,19034,3084,1262,1567,,,,,,,,,,
Châteauguay-Saint-Constant,14024,86141,5815,82326,55940,912,55028,26386,10295,11219,28274,2865,2375,,,,,,,,,,,
Chicoutimi-Le Fjord,571,93344,1195,78073,50529,575,49954,27544,14581,12350,19226,2571,1226,,,,,,,,,,,
Compton-Stanstead,12147,83608,3240,75670,50429,586,49843,25241,11126,12131,21316,3099,2171,,,,,,,,,,,
Drummond,1169,87406,2470,71725,46195,761,45434,25530,7437,10134,22575,2870,2418,,,,,,,,,,,
Gaspésie-Îles-de-la-Madeleine,8574,71006,1420,68494,41884,474,41410,26610,7977,13347,17678,1225,1183,,,,,,,,,,,
Gatineau,6749,94286,7115,83480,54160,417,53743,29320,16826,9014,21093,5354,1456,,,,,,,,,,,
Haute-Gaspésie-La Mitis-Matane-Matapédia,375,70765,525,59403,34529,384,34145,24874,4463,10157,15721,2116,910,778,,,,,,,,,,
Hochelaga,3390,76570,18810,80142,46730,723,46007,33412,7932,5617,25570,4101,2235,,,,,220,,332,,,,
Honoré-Mercier,6944,59186,38065,80122,51979,650,51329,28143,19622,8952,17879,3191,1502,,,,,183,,,,,,
Hull-Aylmer,17385,79110,13035,84233,54117,323,53794,30116,17576,9284,15788,8334,2687,,,,,125,,,,,,
Jeanne-Le Ber,20800,66250,23675,86427,50933,673,50260,35494,17118,5951,20213,4621,2357,,,,,,,,,,,
Joliette,1942,100303,4245,84494,53880,982,52898,30614,5245,14192,28630,2745,2086,,,,,,,,,,,
Jonquière-Alma,696,94504,1005,78153,52772,435,52337,25381,1550,27262,20569,2028,928,,,,,,,,,,,
La Pointe-de-l'Île,2530,83695,10425,79135,49315,739,48576,29820,6855,7402,29368,3407,1544,,,,,,,,,,,
Lac-Saint-Louis,50438,28832,25005,80536,53398,275,53123,27138,25588,14164,4064,5702,3605,,,,,,,,,,,
LaSalle-Émard,22379,46906,29885,76647,47595,599,46996,29052,22751,5994,13501,2805,1512,281,,,,152,,,,,,
Laurentides-Labelle,5044,97111,2425,86438,53093,669,52424,33345,7616,10666,28217,3382,2543,,,,,,,,,,,
Laurier-Sainte-Marie,8145,73775,16970,80549,49345,392,48953,31204,6095,3124,26773,8165,4064,157,,,,137,,338,,,100,
Laval,5795,70480,25030,80699,50499,820,49679,30200,12698,9236,22032,4047,1666,,,,,,,,,,,
Laval-Les Îles,12135,59280,39605,84662,53735,709,53026,30927,20849,9055,17537,3817,1557,,,,,211,,,,,,
Lévis-Bellechasse,962,101573,1085,85635,56453,551,55902,29182,4581,25940,16223,2590,2293,4275,,,,,,,,,,
Longueuil-Pierre-Boucher,2326,84714,9715,76473,50303,622,49681,26170,6260,9331,27425,4273,1995,,,,,,,397,,,,
Lotbinière-Chutes-de-la-Chaudière,917,97403,1170,76764,52478,513,51965,24286,2820,28236,15402,3529,1978,,,,,,,,,,,
Louis-Hébert,2394,92546,5560,82671,59395,414,58981,23276,8852,20332,20101,5351,2517,1147,565,,,,,,,,,116
Louis-Saint-Laurent,1409,92316,1700,78209,50064,467,49597,28145,3180,28606,11997,2848,1468,1498,,,,,,,,,,
Manicouagan,4653,68747,9155,64537,36789,388,36401,27748,5214,6910,18601,4657,824,195,,,,,,,,,,
Marc-Aurèle-Fortin,5874,90151,10160,80351,54987,798,54189,25364,8407,11098,27638,4313,2733,,,,,,,,,,,
Mégantic-L'Érable,924,83486,1075,69617,47785,543,47242,21832,4912,23550,15410,1836,1534,,,,,,,,,,,
Montcalm,2334,116396,3595,90186,57351,1193,56158,32835,4645,10818,34975,3766,1954,,,,,,,,,,,
Montmagny-L'Islet-Kamouraska-Rivière-du-Loup,330,94260,585,78382,46659,672,45987,31723,6466,11529,24117,2107,1768,,,,,,,,,,,
Montmorency-Charlevoix-Haute-Côte-Nord,551,87259,1095,74190,45651,511,45140,28539,3989,14559,22169,2896,1527,,,,,,,,,,,
Mount-Royal,31800,20790,44315,70492,37230,241,36989,33262,24248,6621,2112,2479,1423,,,,,106,,,,,,
Notre-Dame-de-Grâce-Lachine,35864,38156,28990,76534,46580,433,46147,29954,20235,8048,9385,5455,2754,,,,,118,,,152,,,
Outremont,15109,40656,38830,67253,40875,282,40593,26378,14282,5168,11778,6984,1957,101,85,34,22,88,94,,,,,
Papineau,5056,45564,49755,72319,44187,565,43622,28132,16785,3630,17775,3358,1572,,,,,317,,,,185,,
Pierrefonds-Dollard,37629,31131,35900,80211,48038,331,47707,32173,24388,11013,5901,3664,2645,,,,,96,,,,,,
Pontiac,23127,73488,2340,77772,48033,327,47706,29739,11561,16069,13698,4759,1512,,,,,107,,,,,,
Portneuf-Jacques-Cartier,1675,89115,1270,73483,51017,417,50600,22466,2489,11472,13094,1956,1431,20158,,,,,,,,,,
Québec,1576,86224,4930,80576,50793,603,50190,29783,5743,14943,20845,4629,2372,813,,,,,520,,325,,,
Repentigny,1344,104031,3435,84312,56873,865,56008,27439,4847,10124,34958,4337,1742,,,,,,,,,,,
Richmond-Arthabaska,3201,93779,1430,78478,51755,668,51087,26723,5294,16465,24466,2507,2355,,,,,,,,,,,
Rimouski-Neigette-Témiscouata-Les Basques,511,81069,930,67793,43227,529,42698,24566,8254,9481,19804,4186,973,,,,,,,,,,,
Rivière-des-Mille-Îles,5938,85587,5055,73369,49558,813,48745,23811,6239,10173,26272,3418,2643,,,,,,,,,,,
Rivière-du-Nord,2071,95874,2265,79116,47820,782,47038,31296,4365,9769,27789,3393,1722,,,,,,,,,,,
Roberval-Lac-Saint-Jean,250,76825,805,63236,39300,397,38903,23936,3014,14463,17586,2151,1689,,,,,,,,,,,
Rosemont-La Petite-Patrie,3601,79799,21080,82790,53000,605,52395,29790,8259,4873,29336,6051,3457,,,,,,,419,,,,
Saint-Bruno-Saint-Hubert,8290,82460,9725,78608,53461,748,52713,25147,8643,10451,26509,4359,2364,387,,,,,,,,,,
Saint-Hyacinthe-Bagot,702,91173,2055,76101,50520,827,49693,25581,4884,12323,27838,2723,1925,,,,,,,,,,,
Saint-Jean,2631,96329,2505,79885,52864,859,52005,27021,6426,11516,28070,3622,2371,,,,,,,,,,,
Saint-Lambert,11011,70079,12380,75114,46804,562,46242,28310,10777,9097,20949,3404,1819,,,,,196,,,,,,
Saint-Laurent-Cartierville,15763,33102,58410,77419,42831,371,42460,34588,25412,5590,6192,3279,1810,,,,,177,,,,,,
Saint-Léonard-Saint-Michel,7358,35802,61335,73869,42103,640,41463,31766,23705,5975,7772,2831,961,,,,,219,,,,,,
Saint-Maurice-Champlain,707,89933,3930,79959,49534,973,48561,30425,5612,16028,21532,3684,1705,,,,,,,,,,,
Shefford,3072,92853,2225,78345,52295,867,51428,26050,12043,12734,22159,2431,2061,,,,,,,,,,,
Sherbrooke,2281,90909,5985,81896,52526,589,51937,29370,6863,10763,27112,4646,2238,315,,,,,,,,,,
Terrebonne-Blainville,2594,99311,4970,77964,51916,886,51030,26048,4576,10212,30197,3829,2216,,,,,,,,,,,
Trois-Rivières,902,89343,1850,76988,49379,699,48680,27609,5268,15423,22331,3774,1513,,,,,,,371,,,,
Vaudreuil-Soulanges,25100,86740,7630,89306,63176,671,62505,26130,17774,11888,26925,3468,2450,,,,,,,,,,,
Verchères-Les Patriotes,1480,92950,2255,74053,53414,743,52671,20639,4602,11479,30250,4293,2047,,,,,,,,,,,
Westmount-Ville-Marie,36404,28171,33530,77486,41602,262,41340,35884,18884,7295,5191,6356,3451,,,,,94,,,,,69,
