No.,Circonscription,Date,Jour,Mois,Annee,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Parti_liberal,Parti conservater,Parti_quebecois,Credit_social,Action_democratique,Quebec_solidaire,Parti_vert,Liberal_independant_01,Liberal_independant_02,Liberal_independant_03,Liberal_independant_04,Liberal_independant_05,Conservateur_indepedant_01,Conservateur_indepedant_02,Autres_01,Autres_02,Autres_03,Autres_04,Autres_05,Autres_06,Autres_07,Autres_08,Autres_09
39,Bagot,7 juillet 1876,7,juillet,1876,3454,2464,,1127,1337,,,,,,,,,,,,,,,,,,,,,
40,Nicolet,18 août 1876,18,août,1876,3682,2415,,,1131,,,,,,,,,,,,,1105,179,,,,,,,
41,Montmagny,30 novembre 1876,30,novembre,1876,2004,1549,,793,756,,,,,,,,,,,,,,,,,,,,,
42,Bonaventure,22 février 1877,22,février,1877,2610,1505,,417,965,,,,,,123,,,,,,,,,,,,,,,
43,Kamouraska,19 mars 1877,19,mars,1877,2862,835,,418,417,,,,,,,,,,,,,,,,,,,,,
44,Gaspé,2 juillet 1877,2,juillet,1877,3101,1885,,901,984,,,,,,,,,,,,,,,,,,,,,
45,Québec-Ouest,17 décembre 1877,17,décembre,1877,2036,1339,,649,690,,,,,,,,,,,,,,,,,,,,,
46,Saint-Hyacinthe,2 juin 1878,3,juin,1879,3392,2653,,1480,1173,,,,,,,,,,,,,,,,,,,,,
47,Rouville,18 juin 1879,18,juin,1879,2990,2161,,1203,958,,,,,,,,,,,,,,,,,,,,,
48,Chambly,26 juin 1879,26,juin,1879,2199,1717,,889,828,,,,,,,,,,,,,,,,,,,,,
49,Verchères,17 juillet 1879,17,juillet,1879,2129,475,,258,217,,,,,,,,,,,,,,,,,,,,,
50,Terrebonne,13 novembre 1879,13,novembre,1879,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
51,Laval,13 novembre 1879,13,novembre,1879,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
52,Brôme,20 novembre 1879,20,novembre,1879,0,0,,,,,,,,,,,,,,,,,,,,,,,,
53,Lévis,20 novembre 1879,20,novembre,1879,4937,3711,,,2160,,,,,,,,,,,1551,,,,,,,,,,
54,Sherbrooke,20 novembre 1879,20,novembre,1879,2046,1122,,243,879,,,,,,,,,,,,,,,,,,,,,
55,Gaspé,6 décembre 1879,6,décembre,1879,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
56,Rimouski,3 mars 1880,3,mars,1880,4599,2127,,959,608,,,,,,,,,,,560,,,,,,,,,,
57,Chicoutimi-Saguenay,27 mars 1880,27,mars,1880,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
58,L'Assomption,4 juin 1880,4,juin,1880,2388,687,,215,472,,,,,,,,,,,,,,,,,,,,,
59,Berthier,30 décembre 1880,30,décembre,1880,3082,2202,,1007,1195,,,,,,,,,,,,,,,,,,,,,
60,Yamaska,6 février 1882,6,février,1882,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
61,Pontiac,6 mars 1882,6,mars,1882,3563,1746,,619,669,,,,,,,,,,,458,,,,,,,,,,
62,Beauce,14 août 1882,14,août,1882,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
63,Terrebonne,19 août 1882,19,août,1882,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
64,Jacques-Cartier,26 août 1882,26,août,1882,2437,1309,,,860,,,,,,,,,,,449,,,,,,,,,,
65,Deux-Montagnes,21 octobre 1882,21,octobre,1882,2570,1898,,,1037,,,,,,,,,,,861,,,,,,,,,,
66,Vaudreuil,30 octobre 1882,30,octobre,1882,2259,1500,,578,740,,,,,,,,,,,182,,,,,,,,,,
67,Laval,30 octobre 1882,30,octobre,1882,1577,1142,,467,675,,,,,,,,,,,,,,,,,,,,,
68,Bonaventure,31 octobre 1882,31,octobre,1882,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
69,Kamouraska,30 janvier 1883,30,janvier,1883,3048,2349,,1205,,,,,,,,,,,,1144,,,,,,,,,,
70,Nicolet,5 février 1883,5,février,1883,4408,873,,,316,,,,,,,,,,,557,,,,,,,,,,
71,Laval,13 juin 1883,13,juin,1883,1577,1115,,579,536,,,,,,,,,,,,,,,,,,,,,
72,Jacques-Cartier,26 septembre 1883,26,septembre,1883,2437,1550,,,796,,,,,,,,,,,754,,,,,,,,,,
73,Lévis,16 novembre 1883,16,novembre,1883,4899,3464,,1750,1714,,,,,,,,,,,,,,,,,,,,,
74,Sherbrooke,9 février 1994,9,février,1884,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
75,Montréal-Est,9 février 1994,9,février,1884,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
76,Châteauguay,26 mars 1884,26,mars,1884,2603,1557,,854,703,,,,,,,,,,,,,,,,,,,,,
77,Deux-Montagnes,26 mars 1884,26,mars,1884,2569,1652,,747,905,,,,,,,,,,,,,,,,,,,,,
78,Trois-Rivières,26 mars 1884,26,mars,1884,1148,834,,509,325,,,,,,,,,,,,,,,,,,,,,
79,Jacques-Cartier,26 mars 1884,26,mars,1884,2437,1520,,539,372,,,,,,,,,,,322,287,,,,,,,,,
80,Gaspé,2 avril 1884,2,avril,1884,4306,1444,,228,1216,,,,,,,,,,,,,,,,,,,,,
81,Vaudreuil,19 juin 1884,19,juin,1884,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
82,Laval,14 juillet 1884,14,juillet,1884,1577,1225,,559,666,,,,,,,,,,,,,,,,,,,,,
83,Mégantic,29 octobre 1884,29,octobre,1884,4575,2465,,1249,1216,,,,,,,,,,,,,,,,,,,,,
84,Joliette,24 septembre 1885,24,septembre,1885,3464,2594,,1290,1304,,,,,,,,,,,,,,,,,,,,,
85,Lotbinière,30 janvier 1886,30,janvier,1886,3382,2359,,1210,1149,,,,,,,,,,,,,,,,,,,,,
86,Drummond-Arthabaska,24 mars 1886,24,mars,1886,6485,3921,,2164,1757,,,,,,,,,,,,,,,,,,,,,
87,Verchères,5 mais 1886,5,mai,1886,2279,1805,,973,832,,,,,,,,,,,,,,,,,,,,,
88,Iberville,11 décembre 1886,11,décembre,1886,2359,1563,,,556,,,,,,,,,,,,,1007,,,,,,,,
89,Montcalm,11 décembre 1886,11,décembre,1886,2696,1942,23,,1243,,,,,,,,,,,,,676,,,,,,,,
90,Iberville,12 février 1887,12,février,1887,,,,,,,,,,,,,,,,,,Élu sans opposition,,,,,,,,
91,Kamouraska,12 février 1887,12,février,1887,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
92,Québec-Est,12 février 1887,12,février,1887,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
93,Saint-Hyacinthe,12 février 1887,12,février,1887,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
94,Montréal-Centre,12 février 1887,12,février,1887,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
95,Laprairie,30 juillet 1887,30,juillet,1887,1738,1417,13,,658,,,,,,,,,,,,,746,,,,,,,,
96,Ottawa,14 septembre 1887,14,septembre,1887,8082,5626,236,3313,2077,,,,,,,,,,,,,,,,,,,,,
97,Dorchester,14 janvier 1888,14,janvier,1888,,,,,,,,,,,,,,,,,,Élu sans opposition,,,,,,,,
98,Maskinongé,28 avril 1888,28,avril,1888,2791,2100,26,,1008,,,,,,,,,,,,,1066,,,,,,,,
99,Missisquoi,28 avril 1888,28,avril,1888,4393,3315,28,1598,1689,,,,,,,,,,,,,,,,,,,,,
100,Hochelaga,28 avril 1888,28,avril,1888,10891,6381,171,3199,3011,,,,,,,,,,,,,,,,,,,,,
101,Laval,8 mai 1888,8,mai,1888,1704,1430,19,652,759,,,,,,,,,,,,,,,,,,,,,
102,Shefford,18 mai 1888,18,mai,1888,4947,3443,32,1838,1573,,,,,,,,,,,,,,,,,,,,,
103,Trois-Rivières,25 mai 1888,25,mai,1888,1236,1031,8,607,416,,,,,,,,,,,,,,,,,,,,,
104,Chicoutimi-Saguenay,18 juin 1888,18,juin,1888,5789,3202,27,1146,,,,,,,,,,,,,,1455,574,,,,,,,
105,Nicolet,17 juillet 1888,17,juillet,1888,5014,3187,47,1406,1734,,,,,,,,,,,,,,,,,,,,,
106,L'Assomption,27 décembre 1888,27,décembre,1888,2690,1936,14,971,951,,,,,,,,,,,,,,,,,,,,,
107,Mégantic,27 décembre 1888,27,décembre,1888,3907,2881,51,1464,1366,,,,,,,,,,,,,,,,,,,,,
108,Laprairie,24 janvier 1889,24,janvier,1889,1692,1425,25,,664,,,,,,,,,,,,,736,,,,,,,,
109,Joliette,23 octobre 1889,23,octobre,1889,3957,2813,19,1496,1298,,,,,,,,,,,,,,,,,,,,,
110,Brôme,28 octobre 1889,28,novembre,1889,3327,2408,34,1129,1245,,,,,,,,,,,,,,,,,,,,,
111,Rimouski,4 décembre 1889,4,décembre,1889,5053,3453,47,1786,1620,,,,,,,,,,,,,,,,,,,,,
112,Québec-Ouest,30 décembre 1889,30,décembre,1889,1928,1263,17,720,526,,,,,,,,,,,,,,,,,,,,,
113,Berthier,15 janvier 1890,15,janvier,1890,3642,2373,32,1289,1052,,,,,,,,,,,,,,,,,,,,,
114,Montmorency,12 juillet 1890,12,juillet,1890,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
115,Vaudreuil,22 novembre 1890,22,novembre,1890,2752,1938,,976,962,,,,,,,,,,,,,,,,,,,,,
116,Beauharnois,7 juin 1892,7,juin,1892,3492,1877,364,1170,253,,,,,,,,,,,90,,,,,,,,,,
117,Matane,3 novembre 1892,3,novembre,1892,2894,1977,40,977,960,,,,,,,,,,,,,,,,,,,,,
118,Trois-Rivières,3 novembre 1892,3,novembre,1892,1347,1102,8,538,556,,,,,,,,,,,,,,,,,,,,,
119,Chambly,31 décebre 1892,31,décembre,1892,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
120,Compton,19 octobre 1894,19,octobre,1894,5511,2673,41,972,1660,,,,,,,,,,,,,,,,,,,,,
121,Bonaventure,11 décembre 1894,11,décembre,1894,3435,2745,34,1448,1263,,,,,,,,,,,,,,,,,,,,,
122,Stanstead,21 mars 1895,21,mars,1895,4342,3034,46,1131,1857,,,,,,,,,,,,,,,,,,,,,
123,Montréal-No. 6,22 octobre 1895,22,octobre,1895,7704,4643,113,2892,1638,,,,,,,,,,,,,,,,,,,,,
124,Montréal-No. 4,4 juin 1896,4,juin,1896,,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,
125,Montmorency,23 juin 1896,23,juin,1896,2280,2177,28,1010,1139,,,,,,,,,,,,,,,,,,,,,
126,Bellechasse,12 juin 1897,12,juin,1897,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
127,Châteauguay,12 juin 1897,12,juin,1897,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
128,L'Islet,12 juin 1897,12,juin,1897,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
129,Saint-Sauveur,12 juin 1897,12,juin,1897,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
130,Saint-Jean,12 juin 1897,12,juin,1897,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
131,Brôme,19 juin 1897,19,juin,1897,3886,2775,32,1647,1096,,,,,,,,,,,,,,,,,,,,,
132,Yamaska,16 novembre 1897,16,novembre,1897,4339,3457,,1838,1619,,,,,,,,,,,,,,,,,,,,,
133,Bonaventure,22 décembre 1897,22,décembre,1897,3995,2598,,1516,,,,,,,1082,,,,,,,,,,,,,,,
134,Lévis,22 décembre 1897,22,décembre,1897,5532,3681,,2075,,,,,,,1606,,,,,,,,,,,,,,,
135,Yamaska,22 décembre 1897,22,décembre,1897,4339,3509,,1790,1719,,,,,,,,,,,,,,,,,,,,,
136,Beauharnois,19 decembre 1898,19,décembre,1898,3957,2900,,1427,1473,,,,,,,,,,,,,,,,,,,,,
137,Lévis,19 decembre 1898,19,décembre,1898,5532,3766,,1680,1582,,,,,,504,,,,,,,,,,,,,,,
138,Missisquoi,19 decembre 1898,19,décembre,1898,4673,2889,,1451,1438,,,,,,,,,,,,,,,,,,,,,
139,Verchères,19 decembre 1898,19,décembre,1898,2657,1788,,1008,780,,,,,,,,,,,,,,,,,,,,,
140,Matane,11 janvier 1899,11,janvier,1899,4067,2558,,1283,997,,,,,,278,,,,,,,,,,,,,,,
141,Lévis,24 octobre 1901,24,octobre,1901,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
142,Drummond,31 octobre 1901,31,octobre,1901,3765,1483,,1157,326,,,,,,,,,,,,,,,,,,,,,
143,Québec-Comté,31 octobre 1901,31,octobre,1901,4161,2956,,1794,,,,,,,1119,43,,,,,,,,,,,,,,
144,Vaudreuil,31 octobre 1901,31,octobre,1901,2919,1617,,835,782,,,,,,,,,,,,,,,,,,,,,
145,Beauce,31 janvier 1902,31,janvier,1902,8599,5458,46,3159,2253,,,,,,,,,,,,,,,,,,,,,
146,Québec-Centre,11 juillet 1902,11,juillet,1902,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
147,L'Islet,26 septembre 1902,26,septembre,1902,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
148,Soulanges,3 octobre 1902,3,octobre,1902,2331,1696,19,828,849,,,,,,,,,,,,,,,,,,,,,
149,Stanstead,3 octobre 1902,3,octobre,1902,4974,2723,15,1231,1477,,,,,,,,,,,,,,,,,,,,,
150,Brôme,29 octobre 1903,29,octobre,1903,3685,2816,22,1566,1228,,,,,,,,,,,,,,,,,,,,,
151,Berthier,10 mars 1904,10,mars,1904,4336,3341,41,1727,1573,,,,,,,,,,,,,,,,,,,,,
152,Maskinongé,10 mars 1904,10,mars,1904,3572,2421,39,1154,1228,,,,,,,,,,,,,,,,,,,,,
153,Portneuf,10 mars 1904,10,mars,1904,5950,4739,32,2256,2451,,,,,,,,,,,,,,,,,,,,,
154,Shefford,10 mars 1904,10,mars,1904,5925,3135,29,1510,,,,,,,1090,,,,,,,506,,,,,,,,
155,Bellechasse,3 avril 1905,3,avril,1905,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
156,Kamouraska,3 avril 1905,3,avril,1905,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
157,Rimouski,3 avril 1905,3,avril,1905,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
158,Montréal-No. 2,10 avril 1905,10,avril,1905,8950,3924,,3420,,,,,,,,,,,,,,504,,,,,,,,
159,Yamaska,20 juin 1905,20,juin,1905,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
160,Terrebonne,17 juillet 1905,17,juillet,1905,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
161,Montréal-No. 4,7 octobre 1905,7,octobre,1905,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
162,Saint-Sauveur,14 octobre 1905,14,octobre,1905,3787,2822,70,1770,982,,,,,,,,,,,,,,,,,,,,,
163,Napierville,14 décecembre 1905,14,décembre,1905,2070,1454,,904,550,,,,,,,,,,,,,,,,,,,,,
164,Argenteuil,10 septembre 1906,10,septembre,1906,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
165,Brôme,10 septembre 1906,10,septembre,1906,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
166,L'Assomption,29 octobre 1906,29,octobre,1906,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
167,Iberville,5 novembre 1906,5,novembre,1906,2504,1979,21,1057,901,,,,,,,,,,,,,,,,,,,,,
168,Îles-de-la-Madeleine,20 novembre 1906,20,novembre,1906,1320,1081,4,429,,,,,,,331,317,,,,,,,,,,,,,,
169,Montréal-No. 5,24 janvier 1906,24,janvier,1907,11206,3102,13,1062,2027,,,,,,,,,,,,,,,,,,,,,
170,Bellechasse,4 novembre 1907,4,novembre,1907,3991,3213,28,1967,,,,,,,,,,,,,,1218,,,,,,,,
171,Montmorency,4 novembre 1907,4,novembre,1907,2835,2008,16,1416,576,,,,,,,,,,,,,,,,,,,,,
172,Nicolet,4 novembre 1907,4,novembre,1907,6750,5026,16,2671,2339,,,,,,,,,,,,,,,,,,,,,
173,Rimouski,4 novembre 1907,4,novembre,1907,3434,2607,30,1334,,,,,,,1243,,,,,,,,,,,,,,,
174,Châteauguay,16 décembre 1907,16,décembre,1907,3329,2256,32,1049,816,,,,,,359,,,,,,,,,,,,,,,
175,Lac-Saint-Jean,14 octobre 1908,14,octobre,1908,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
176,Rouville,26 octobre 1908,26,octobre,1908,3461,2790,17,1481,1292,,,,,,,,,,,,,,,,,,,,,
177,Montréal-No. 1,21 décembre 1908,21,décembre,1908,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
178,Châteauguay,28 décembre 1908,28,décembre,1908,3628,2822,13,1419,1390,,,,,,,,,,,,,,,,,,,,,
179,Québec-Centre,28 décembre 1908,28,décembre,1908,4238,2879,11,1526,1342,,,,,,,,,,,,,,,,,,,,,
180,Laval,28 décembre 1908,28,décembre,1908,2650,2276,22,1193,1061,,,,,,,,,,,,,,,,,,,,,
181,Montréal-No. 6,28 décembre 1908,28,décembre,1908,8283,4458,36,2277,2145,,,,,,,,,,,,,,,,,,,,,
182,Bellechasse,2 février 1909,2,février,1909,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
183,Hochelaga,2 février 1909,2,février,1909,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
184,Chambly,12 novembre 1909,12,novembre,1909,3980,2343,22,1448,,,,,,,,,,,,,,873,,,,,,,,
185,Saint-Sauveur,12 novembre 1909,12,novembre,1909,4323,3456,51,1415,,,,,,,,,,,,,,1990,,,,,,,,
186,Montréal-No. 2,12 novembre 1909,12,novembre,1909,10142,6166,44,3204,,,,,,,,,,,,,,2918,,,,,,,,
187,L'Islet,29 novembre 1909,29,novembre,1909,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
188,Kamouraska,6 décembre 1909,6,décembre,1909,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
189,Richmond,27 janvier 1910,27,janvier,1910,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
190,Gaspé,24 février 1910,24,février,1910,4599,2875,36,1776,1063,,,,,,,,,,,,,,,,,,,,,
191,Argenteuil,5 mars 1910,5,mars,1910,3821,2620,35,1332,1253,,,,,,,,,,,,,,,,,,,,,
192,Drummond,5 mars 1910,5,mars,1910,4115,2768,12,1515,1241,,,,,,,,,,,,,,,,,,,,,
193,Saint-Jean,29 décemebre 1910,29,décembre,1910,3181,2381,12,1507,,,,,,,,,,,,,,862,,,,,,,,
194,Sherbrooke,17 août 1911,17,août,1911,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
195,Lévis,21 septembre 1911,21,septembre,1911,6236,4903,59,2711,2133,,,,,,,,,,,,,,,,,,,,,
196,Verchères,16 octobre 1912,16,octobre,1912,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
197,Bagot,16 janvier 1913,16,janvier,1913,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
198,Stanstead,16 janvier 1913,16,janvier,1913,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
199,Dorchester,2 juin 1913,2,juin,1913,5517,4890,36,2484,2370,,,,,,,,,,,,,,,,,,,,,
200,Nicolet,2 juin 1913,2,juin,1913,7040,4438,14,2647,1777,,,,,,,,,,,,,,,,,,,,,
201,Huntingdon,10 novembre 1913,10,novembre,1913,3100,2474,51,1292,1131,,,,,,,,,,,,,,,,,,,,,
202,Saint-Jean,10 novembre 1913,10,novembre,1913,3427,2403,21,938,,,,,,,819,616,,,,,,9,,,,,,,,
203,Trois-Rivières,14 mars 1914,18,mars,1914,3943,3335,27,1792,1516,,,,,,,,,,,,,,,,,,,,,
204,Bonaventure,7 mai 1914,7,mai,1914,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
205,Châteauguay,9 mai 1914,9,mai,1914,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
206,Richmond,21 novembre 1914,21,novembre,1914,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
207,Brôme,12 novembre 1917,12,novembre,1917,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
208,Montcalm,12 novembre 1917,12,novembre,1917,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
209,Dorchester,15 décembre 1917,15,décembre,1917,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
210,Ottawa,15 décembre 1917,15,décembre,1917,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
211,Labelle,15 décembre 1917,15,décembre,1917,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
212,Nicolet,15 décembre 1917,15,décembre,1917,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
213,Matane,27 décembre 1918,27,décembre,1918,8013,4511,68,2417,,,,,,,2026,,,,,,,,,,,,,,,
214,Napierville,27 décembre 1918,27,décembre,1918,1844,1591,28,575,,,,,,,530,253,205,,,,,,,,,,,,,
215,Saint-Laurent,27 décembre 1918,27,décembre,1918,3460,1439,40,911,,,,,,,,,,,,,,488,,,,,,,,
216,Arthabaska,6 septembre 1919,6,septembre,1919,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
217,Bellechasse,6 septembre 1919,6,septembre,1919,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
218,Terrebonne,6 septembre 1919,6,septembre,1919,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
219,Portneuf,11 octobre 1920,11,octobre,1920,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
220,Kamouraska,19 octobre 1920,19,octobre,1920,4807,3286,22,1744,,,,,,,1520,,,,,,,,,,,,,,,
221,Saint-Maurice,19 octobre 1920,19,octobre,1920,6566,4622,48,2324,,,,,,,2250,,,,,,,,,,,,,,,
222,Beauce,15 décembre 1921,15,décembre,1921,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
223,Richmond,15 décembre 1921,15,décembre,1921,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
224,Trois-Rivières,15 décembre 1921,15,décembre,1921,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
225,Wolfe,15 décembre 1921,15,décembre,1921,,,,Élu sans opposition,,,,,,,,,,,,,,,,,,,,,,
226,Témiscouata,22 décembre 1921,22,décembre,1921,9228,4459,9,3426,,,,,,,1024,,,,,,,,,,,,,,,
