Circonscriptions,Population_totale_1931,Canadiens_francais_1931,Population_totale_1941,Canadiens_francais_1941,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur,Autres_independants,Autres_conservateur_ministeriel,Autres_independant_ministeriel,Autres_ouvrier_opposition,Autres_independant_opposition,Autres_ouvrier
Rimouski,33151,32255,44233,43228,5367,4712,13,4699,655,2455,2244,,,,,,,,
Rivière-du-Loup,32965,32517,34493,33969,7275,5939,64,5875,1336,3777,2098,,,,,,,,
Roberval,30031,28811,39061,38000,5926,5215,50,5165,711,2732,2433,,,,,,,,
Rouville,13776,13112,15842,14757,3552,3128,18,3110,424,1548,1562,,,,,,,,
Saint-Georges,36905,7757,41495,10193,5578,3083,60,3023,2495,1470,1553,,,,,,,,
Saint-Henri,57631,43543,60137,47784,8857,6622,19,6603,2235,3956,2501,,,146,,,,,
Saint-Hyacinthe,25854,25541,31645,31277,6115,5311,12,5299,804,3115,2184,,,,,,,,
Saint-Jacques,42925,37731,45698,41431,8801,6498,138,6360,2303,3583,2777,,,,,,,,
Saint-Jean,17649,15657,20584,18704,4513,3372,147,3225,1141,2387,838,,,,,,,,
Saint-Laurent,20545,5309,20534,7404,4715,3933,113,3820,782,2635,1185,,,,,,,,
Saint-Louis,34861,12037,41375,17931,5802,3602,36,3566,2200,2789,712,,,,,,,,65
Saint-Maurice,32446,30950,36464,34732,7576,6241,15,6226,1335,3571,2655,,,,,,,,
Saint-Sauveur,—,—,—,—,9078,7797,,7797,1281,3886,3911,,,,,,,,
Sainte-Anne,66238,32976,65082,35602,5458,3869,64,3805,1589,2069,1386,,350,,,,,,
Sainte-Marie,75350,66170,80127,72333,13210,9788,272,9516,3422,4989,4474,,,,,,53,,
Shefford,28262,24449,33387,29290,6861,5709,63,5646,1152,2989,2657,,,,,,,,
Sherbrooke,37386,26842,46574,35388,10262,7870,36,7834,2392,4114,3720,,,,,,,,
Soulanges,9099,8590,9328,8861,2334,1916,14,1902,418,1120,782,,,,,,,,
Stanstead,25118,16622,27972,19543,6226,5024,62,4962,1202,2907,2055,,,,,,,,
Témiscamingue,20609,14923,40471,31889,4468,3472,43,3429,996,2062,1367,,,,,,,,
Témiscouata,17329,17019,23182,22892,3670,3214,28,3186,456,1671,1515,,,,,,,,
Terrebonne,38611,35772,46864,43233,8970,7279,80,7199,1691,4749,2450,,,,,,,,
Trois-Rivières,36649,34334,43888,40886,9174,7611,28,7583,1563,3771,3812,,,,,,,,
Vaudreuil,12015,10422,13170,11353,2999,2514,6,2508,485,1385,1123,,,,,,,,
Verchères,12603,12050,14214,13489,3064,2712,9,2703,352,1623,1080,,,,,,,,
Verdun,60745,23277,67349,28242,21420,13838,,13838,7582,5942,7074,822,,,,,,,
Westmount,126865,34036,159305,43786,29885,13461,215,13246,16424,4302,8944,,,,,,,,
Wolfe,16911,16096,17492,16765,3930,3342,,3342,588,1907,1435,,,,,,,,
Yamaska,16820,16521,16516,16078,4162,3677,13,3664,485,1755,1909,,,,,,,,
