Communautes,CGT,Population_totale_1971,Anglophones_1971,Francophones_1971,Allophones_1971,Population_totale_1981,Anglophones_1981,Francophones_1981,Allophones_1981,Population_totale_1986,Anglophones_1986,Francophones_1986,Allophones_1986,Population_totale_1991,Anglophones_1991,Francophones_1991,Allophones_1991,Population_totale_1996,Anglophones_1996,Francophones_1996,Allophones_1996,Population_totale_2001,Anglophones_2001,Francophones_2001,Allophones_2001,Population_totale_2006,Anglophones_2006,Francophones_2006,Allophones_2006,Population_totale_2011,Anglophones_2011,Francophones_2011,Allophones_2011,Electeurs_inscrits_1970,Votes_exprimes_1970,Bulletins_rejetes_1970,Parti_liberal_1970,Parti_quebecois_1970,Union_nationale_1970,Ralliement_creditiste_1970,Autres_1970,Electeurs_inscrits_1973,Votes_exprimes_1973,Bulletins_rejetes_1973,Parti_liberal_1973,Parti_quebecois_1973,Union_nationale_1973,Ralliement_creditiste_1973,Autres_1973,Electeurs_inscrits_1976,Votes_exprimes_1976,Bulletins_rejetes_1976,Parti_liberal_1976,Parti_quebecois_1976,Union_nationale_1976,Ralliement_creditiste_1976,Autres_1976,Electeurs_inscrits_1980,Votes_exprimes_1980,Bulletins_rejetes_1980,Non_1980,Oui_1980,Electeurs inscrits_1981,Votes_exprimes_1981,Bulletins_rejetes_1981,Parti_liberal_1981,Parti_quebecois_1981,Union_nationale_1981,Autres_1981,Electeurs_inscrits_1985,Votes_exprimes_1985,Bulletins_rejetes_1985,Parti_liberal_1985,Parti_quebecois_1985,Autres_1985,Electeurs_inscrits_1989,Votes_exprimes_1989,Bulletins_rejetes_1989,Parti_liberal_1989,Parti_quebecois_1989,Autres_1989,Electeurs_inscrits_1992,Votes_exprimes_1992,Bulletins_rejetes_1992,Oui_1992,Non_1992,Electeurs_inscrits_1994,Votes_exprimes_1994,Bulletins_rejetes_1994,Parti_liberal_1994,Parti_quebecois_1994,Action_democratique_1994,Autres_1994,Electeurs_inscrits_1995,Votes_exprimes_1995,Bulletins_rejetes_1995,Non_1995,Oui_1995,Electeurs_inscrits_1998,Votes_exprimes_1998,Bulletins_rejetes_1998,Parti_liberal_1998,Parti_quebecois_1998,Action_democratique_1998,Autres_1998,Electeurs_inscrits_2003,Votes_exprimes_2003,Bulletins_rejetes_2003,Parti_liberal_2003,Parti_quebecois_2003,Action_democratique_2003,Autres_2003,Electeurs_inscrits_2007,Votes_exprimes_2007,Bulletins_rejetes_2007,Parti_liberal_2007,Parti_quebecois_2007,Action_democratique_2007,Quebec_solidaire_2007,Parti_vert_2007,Autres_2007,Electeurs_inscrits_2008,Votes_exprimes_2008,Bulletins_rejetes_2008,Parti_liberal_2008,Parti_quebecois_2008,Action_democratique_2008,Quebec_solidaire_2008,Parti_vert_2008,Autres_2008,Electeurs_inscrits_2012,Votes_exprimes_2012,Bulletins_rejetes_2012,Parti_liberal_2012,Parti_quebecois_2012,Coalition_avenir_quebec_2012,Quebec_solidaire_2012,Parti_vert_2012,Option_nationale_2012,Autres_2012
Montagnais – RI Mingan,98808,240,0,0,0,274,0,70,205,351,0,5,345,365,0,15,350,431,0,0,425,391,0,0,385,407,0,10,405,453,0,10,440,133,121,5,76,3,26,11,0,142,85,0,61,23,1,0,0,164,121,2,66,22,22,2,7,181,15,0,6,9,179,83,1,54,23,4,1,223,94,3,39,50,2,228,133,1,60,69,3,228,4,0,1,3,16,12,0,2,10,0,0,20,18,0,12,6,29,14,0,1,12,1,0,43,5,0,1,3,1,0,99,3,0,0,0,1,0,2,0,124,8,0,3,4,1,0,0,0,173,12,0,4,3,2,2,0,0,1
Montagnais – RI Natashquan,98806,338,0,0,0,415,0,5,410,491,0,15,480,598,0,10,590,639,0,0,635,761,0,20,740,810,0,20,795,841,0,10,830,205,181,1,149,9,22,0,0,243,156,3,142,7,1,0,3,218,124,0,78,36,4,1,5,265,99,1,65,33,279,137,1,38,95,3,0,235,101,1,21,75,4,269,164,4,124,34,2,348,56,3,18,35,368,141,6,101,34,0,0,234,175,0,167,8,275,147,0,127,12,8,0,322,131,0,97,28,5,1,377,120,0,96,13,7,2,2,0,410,88,0,73,11,4,0,0,0,492,89,0,53,28,1,6,0,0,1
Montagnais – RI Pakuashipi,98802,0,0,0,0,0,0,0,0,0,0,0,0,211,0,5,210,242,0,15,225,228,0,10,220,289,0,10,275,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,15,0,14,1,69,55,2,35,7,4,7,107,21,0,14,7,0,103,17,1,11,3,2,129,52,1,22,29,135,55,0,39,16,0,0,142,99,0,84,15,151,79,3,65,6,5,0,103,7,0,2,0,2,3,149,38,2,26,6,4,0,0,0,141,10,0,5,0,0,0,5,0,175,33,0,14,3,10,5,0,0,1
Naskapis – VK Kawawachikamach,97806,0,0,0,0,0,0,0,0,354,0,0,350,405,10,0,395,487,10,10,475,540,0,0,525,569,15,10,550,586,20,5,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,104,0,76,21,7,227,91,1,65,20,5,193,71,1,55,15,246,91,0,82,9,0,0,278,225,10,209,6,257,128,0,124,2,2,0,242,87,0,77,7,0,3,290,81,1,75,1,2,0,2,0,309,56,0,46,4,0,1,5,0,363,63,0,46,3,2,7,0,0,5
Inuits - VN Akulivik,99125,0,0,0,0,256,0,0,255,337,0,5,330,375,5,10,360,411,0,10,390,472,0,15,455,507,0,10,500,615,20,10,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,81,0,77,4,121,83,0,65,18,0,0,153,91,0,30,51,10,185,56,1,33,22,0,186,147,0,131,16,227,135,4,83,31,0,17,204,175,2,165,8,205,135,1,99,22,13,0,225,124,1,83,25,15,0,239,74,0,50,9,10,5,0,0,252,84,2,71,7,2,2,0,0,297,102,0,50,21,11,15,0,5,0
Inuits – VN Aupaluk,99105,0,0,0,0,102,5,0,100,110,5,5,105,131,5,5,130,159,0,10,155,159,0,0,150,174,10,10,160,195,5,10,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,22,0,1,0,0,0,21,21,21,0,21,0,48,37,1,26,10,0,0,58,51,0,24,18,9,60,53,0,32,21,0,67,66,0,53,13,59,37,0,31,4,0,2,71,62,0,61,1,80,56,0,37,13,6,0,77,37,1,12,24,0,0,81,36,0,26,6,3,1,0,0,76,27,0,18,2,4,2,0,1,95,16,1,6,3,0,4,0,2,0
Inuits – VN Inukjuak,99085,525,0,0,0,661,10,10,640,778,25,25,730,1044,45,30,970,1184,35,25,1130,1294,35,60,1200,1597,50,45,1335,1597,33,33,1535,0,0,0,0,0,0,0,0,257,18,1,4,10,1,2,0,273,228,7,3,17,2,2,197,351,270,7,242,21,343,223,4,165,54,0,0,436,139,7,44,68,20,486,193,0,163,30,0,578,448,2,404,42,633,363,0,283,57,0,23,621,532,6,498,28,618,401,2,316,54,29,0,660,234,6,170,33,25,0,784,232,2,139,32,40,19,0,0,763,180,1,131,17,13,13,0,5,924,289,1,133,49,38,45,0,23,0
Inuits – VN Ivujivik,99140,120,0,0,0,0,0,0,0,208,5,5,205,263,0,5,250,274,0,10,270,298,10,15,280,349,0,0,340,370,5,15,355,0,0,0,0,0,0,0,0,79,14,0,7,5,1,1,0,77,33,1,4,6,1,0,21,78,3,0,1,2,94,18,0,4,14,0,0,127,51,0,16,33,2,139,43,2,20,21,0,122,83,0,70,13,149,78,1,57,11,0,9,130,105,2,93,10,116,63,0,46,13,4,0,120,41,5,24,5,7,0,144,56,1,28,16,11,0,0,0,151,54,0,26,9,9,7,0,3,190,24,0,12,5,3,2,0,2,0
Inuits – VN Kangiqsualujjuaq,99090,231,0,0,0,149,10,0,135,383,0,0,375,529,108,108,310,648,20,25,600,710,10,30,670,735,20,10,695,874,30,30,830,0,0,0,0,0,0,0,0,103,10,1,4,4,1,0,0,117,99,0,3,1,1,0,94,150,122,1,109,12,159,59,4,29,26,0,0,245,147,2,56,68,21,288,150,3,93,54,0,310,264,2,235,27,323,136,1,89,32,0,14,345,299,3,281,15,373,186,1,117,36,32,0,328,136,10,80,34,12,0,388,146,2,104,12,22,6,0,0,401,94,3,44,13,8,21,0,5,485,130,2,75,14,19,17,0,3,0
Inuits – VN Kangiqsujuaq,99130,227,0,0,0,229,5,5,220,337,0,5,330,404,5,10,385,479,10,20,445,536,15,20,500,605,15,20,565,696,15,25,660,0,0,0,0,0,0,0,0,103,14,0,2,11,1,0,0,66,55,0,0,1,1,1,52,145,98,16,75,7,144,81,0,63,18,0,0,162,108,0,29,65,14,178,96,2,57,37,0,219,170,2,139,29,243,159,3,115,28,0,13,253,182,2,150,30,244,132,3,89,31,9,0,264,113,1,68,26,18,0,307,175,1,67,52,27,28,0,0,311,82,1,42,8,7,17,0,7,384,77,4,25,15,12,16,0,5,0
