Circonscriptions,Population_totale_1871,Canadiens_francais_1871,Population_totale_1881,Canadiens_francais_1881,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_conservateur_01,Autres_conservateur_02,Autres_conservateur_03
Montréal-Est,46291,35569,67506,54002,12144,7849,131,7718,4295,3794,3924,,,
Montréal-Ouest,55670,18063,68606,21584,12527,5642,113,5529,6885,2926,2603,,,
Napierville,11688,10815,10511,9859,1893,1226,8,1218,667,590,331,162,,135
Nicolet,23262,22621,26611,25868,3936,2740,21,2719,1196,1334,1385,,,
Ottawa,38629,21514,49432,30433,7446,3718,40,3678,3728,1713,1965,,,
Pontiac,15810,3455,19939,5054,3266,1868,31,1837,1398,806,1031,,,
Portneuf,22569,20296,25175,23103,3946,3183,14,3169,763,1613,1556,,,
Québec-Centre,18188,11827,17898,11803,2567,1477,46,1431,1090,1067,364,,,
Québec-Comté,19607,14681,20278,16110,3294,2806,49,2757,488,1560,1197,,,
Québec-Est,28305,24202,31900,28794,4489,3039,107,2932,1450,1995,937,,,
Québec-Ouest,13206,4861,12648,5847,1981,1504,18,1486,477,832,654,,,
Richelieu,20048,19317,20218,19689,3412,2278,6,2272,1134,1042,1230,,,
Richmond-Wolfe,20036,11222,26339,15198,4223,2659,17,2642,1564,1159,1483,,,
Rimouski,27418,25957,33791,32032,4240,3377,,3377,863,1689,1688,,,
Rouville,17634,16954,18547,17885,2944,1757,36,1721,1187,779,942,,,
Saint-Hyacinthe,18310,18075,20631,20328,3139,2268,12,2256,871,1162,1094,,,
Saint-Jean,12122,9415,12265,9811,2189,1588,6,1582,601,927,655,,,
Saint-Maurice,11085,10716,12986,12591,1867,1293,6,1287,574,,761,526,,
Shefford,19077,12683,23233,16494,4558,2683,23,2660,1875,1393,1267,,,
Sherbrooke,8516,3544,12221,5828,2037,,,,,,Élu sans opposition,,,
Soulanges,10808,9724,10220,9344,1885,1458,11,1447,427,,883,564,,
Stanstead,13138,3212,15556,4749,3270,2105,,2105,1165,1184,921,,,
Témiscouata,22491,21809,25484,24687,2668,1996,10,1986,672,805,1181,,,
Terrebonne,19591,18151,21892,20429,3149,2506,16,2490,643,1135,1355,,,
Trois-Rivières,8414,7687,9296,8537,1549,,,,,,,Élu sans opposition,,
Vaudreuil,11003,9392,11485,10089,2036,1390,21,1369,646,491,878,,,
Verchères,12717,12617,12449,12376,2114,1677,14,1663,437,834,829,,,
Yamaska,16317,15800,17091,16568,3288,2061,19,2042,1227,616,1426,,,
