Circonscriptions,Anglophones_1986,Francophones_1986,Allophones_1986,Anglophones_1991,Francophones_1991,Allophones_1991,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_quebecois,Equality_party,Unity_party,Autres_parti_quebecois,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_parti_vert,Autres_nouveau_parti_democratique,Autres_parti_citron,Autres_parti_des_travailleurs_du_quebec,Autres_parti_conservateur,Autres_parti_independantiste,Autres_parti_marxiste-leniniste,Autres_parti_51,Autres_credit_social_uni,Autres_mouvement_socialiste,Autres_republicain-commonwealth,Autres_parti_communiste_du_quebec,Autres_parti_libertarien
Orford,7202,47775,395,7292,53973,460,41452,30748,760,29988,10704,17236,9601,,1696,,,,,,861,,,,,,594,,,,,
Outremont,11107,37391,17225,10973,35977,21240,31672,24130,536,23594,7542,11774,8810,,,,,,,1893,649,,52,,168,48,,,,136,64,
Papineau,3732,36236,325,4148,41158,340,31328,22654,330,22324,8674,11313,10701,,,,,,,,,,,,,310,,,,,,
Pointe-aux-Trembles,2220,56819,2795,2091,57399,3920,37759,28154,926,27228,9605,11968,13725,,,,,,,,,,659,549,,,,327,,,,
Pontiac,20208,25989,1660,21328,28157,2170,32218,20623,189,20434,11595,9514,3624,,6259,,,,,,956,,,,,81,,,,,,
Portneuf,360,43515,110,425,44965,95,33247,25988,858,25130,7259,17768,7362,,,,,,,,,,,,,,,,,,,
Prévost,1605,53177,695,1983,63362,860,44419,33361,1432,31929,11058,17676,14253,,,,,,,,,,,,,,,,,,,
Richelieu,505,52088,380,462,52558,395,38675,30848,1260,29588,7827,15790,12502,,,,1296,,,,,,,,,,,,,,,
Richmond,2494,42313,290,2366,41704,330,30819,24581,473,24108,6238,16578,6259,,506,,,,,555,,,,,,,210,,,,,
Rimouski,261,55797,130,286,56494,165,40610,29618,1158,28460,10992,16019,12441,,,,,,,,,,,,,,,,,,,
Rivière-du-Loup,140,40451,65,155,40085,60,28916,21558,785,20773,7358,11317,8736,,,,,,,,,,,,,720,,,,,,
Robert-Baldwin,34631,22980,13280,35252,21903,19400,37557,28029,514,27515,9528,12671,3557,11287,,,,,,,,,,,,,,,,,,
Roberval,245,60812,555,210,60060,545,39695,28544,538,28006,11151,14931,12424,,,,,,,,,,,,,,,,651,,,
Rosemont,3197,52333,8060,2862,48063,9770,38102,28795,862,27933,9307,13121,12988,,,,,,,,620,,256,298,278,79,,92,67,134,,
Rousseau,2682,47153,1015,3204,55826,1120,41814,29921,1219,28702,11893,17292,11410,,,,,,,,,,,,,,,,,,,
Rouyn-Noranda-Témiscamingue,3117,52077,775,3373,54387,675,39931,28902,1418,27484,11029,13709,13775,,,,,,,,,,,,,,,,,,,
Saguenay,430,48266,1930,412,47138,2065,33781,21885,545,21340,11896,9273,8771,,,,,,,3296,,,,,,,,,,,,
Saint-François,5352,49461,705,5387,51978,1000,39891,29885,1099,28786,10006,14961,10492,,1881,,,,,,884,,,,,,568,,,,,
Saint-Henri,3965,38281,5025,5059,35141,5940,33382,23533,662,22871,9849,10765,10286,,,,,,,978,530,,180,,,66,,,,,66,
Saint-Hyacinthe,368,57356,430,386,59484,510,43267,33632,989,32643,9635,17306,13956,,,,,,,,1381,,,,,,,,,,,
Saint-Jean,2616,58689,1220,3148,66602,1265,47753,37299,1101,36198,10454,19412,14222,,782,,,,,,1463,,,,,,,319,,,,
Saint-Laurent,17337,30970,20810,15462,27838,28720,40778,30199,479,29720,10579,15493,5559,7101,,,158,,,864,248,150,147,,,,,,,,,
Saint-Louis,18208,34741,16525,17070,32201,19480,34626,22634,374,22260,11992,9034,6659,3815,,,133,,,1804,457,,101,,,114,,,,143,,
Saint-Maurice,433,45474,170,423,45622,175,34063,26095,1023,25072,7968,12853,10414,,,,,,,1805,,,,,,,,,,,,
Sainte-Anne,11763,32419,3795,12106,34114,6650,33679,22631,559,22072,11048,9089,7977,3057,,,177,170,,941,218,,78,141,,70,,68,42,,44,
Sainte-Marie-Saint-Jacques,2092,55204,4010,2854,49931,5610,40679,28575,561,28014,12104,10039,15489,,,,109,,,1488,332,,189,,148,81,,,,57,82,
Salaberry-Soulanges,1948,57553,535,2243,61437,600,45295,35834,2027,33807,9461,19285,14522,,,,,,,,,,,,,,,,,,,
Sauvé,2312,41580,10040,2235,36700,11345,35171,24962,851,24111,10209,14091,9084,,,,,,,,,,936,,,,,,,,,
Shefford,2840,56829,585,2981,63594,770,45587,36250,1116,35134,9337,14059,19984,,1091,,,,,,,,,,,,,,,,,
Sherbrooke,2638,46616,1035,2372,48188,1875,38128,29097,680,28417,9031,14604,11290,,,,,,,1578,521,,,,,50,315,,,,59,
Taillon,2071,59385,2995,2156,64399,4330,46562,34841,892,33949,11721,12562,18983,,,,,,,1362,508,,302,,232,,,,,,,
Taschereau,818,39717,1060,819,37386,1460,28267,20931,756,20175,7336,10176,8741,,,,,,,,1258,,,,,,,,,,,
Terrebonne,1686,49815,1020,1992,61883,1345,40977,31075,915,30160,9902,12753,15693,,,,,,,1714,,,,,,,,,,,,
Trois-Rivières,863,48796,465,772,48088,565,38023,28672,831,27841,9351,15181,11619,,,,412,,,,413,,,,,216,,,,,,
Ungava,936,21407,13735,1307,20394,14590,25087,12966,325,12641,12121,6199,6442,,,,,,,,,,,,,,,,,,,
Vachon,7174,55431,3580,7162,61723,5150,47393,34955,957,33998,12438,15468,15354,,,,979,,,1216,620,,,,,,223,138,,,,
Vanier,564,58595,615,645,61475,1070,42541,31524,776,30748,11017,16650,11836,,,,962,,,,1131,,,,,169,,,,,,
Vaudreuil,12043,39564,1825,16503,46437,2630,42007,32241,831,31410,9766,16146,10475,,2852,,,,,1766,,,,,,,,171,,,,
Verchères,3224,58368,850,3002,63943,995,45539,35965,1104,34861,9574,15952,16651,,,,1100,,,,,1158,,,,,,,,,,
Verdun,13360,26623,1985,12401,25104,2195,29488,22176,673,21503,7312,8295,6928,4857,,,,,,664,387,,266,,,106,,,,,,
Viau,2893,41140,23420,2677,34139,25700,33768,23324,608,22716,10444,13965,7184,,,,,,,,954,,,,409,204,,,,,,
Viger,4225,40186,18365,3997,37464,19750,37307,28431,690,27741,8876,16847,8075,1831,,,,,,877,,,,,,111,,,,,,
Vimont,2359,57410,4410,3140,67925,8805,47919,37387,979,36408,10532,17650,17067,,,,,,,,1138,,,,553,,,,,,,
Westmount,27433,17595,11800,25736,16929,15070,29927,21969,311,21658,7958,8288,2376,8801,,,,,,1620,430,,,143,,,,,,,,
