Circonscriptions,Population_totale_1901,Canadiens_francais_1901,Population_totale_1911,Canadiens_francais_1911,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Parti_conservateur,Autres_liberal,Autres_conservateur_01,Autres_conservateur_02,Autres_ouvrier
Saint-Hyacinthe,21543,21302,22342,22094,5503,4504,54,4450,999,2295,2155,,,,
Saint-Jacques,42618,37081,44057,38384,11153,7954,132,7822,3199,4668,3154,,,,
Saint-Jean-Iberville,19536,18141,21882,19632,5543,3390,23,3367,2153,2638,729,,,,
Saint-Laurent,48808,22278,55860,18307,11783,8401,152,8249,3382,4469,3421,,,,359
Sainte-Anne,23368,7439,21676,6539,8036,6032,147,5885,2004,2566,3319,,,,
Sainte-Marie,40631,32850,54910,45941,11640,8251,150,8101,3389,5089,2912,,,,100
Shefford,23628,18086,23976,19214,6210,4776,260,4516,1434,2271,2245,,,,
Sherbrooke,18426,10645,23211,13947,5877,4653,50,4603,1224,2321,2282,,,,
Soulanges,9928,9269,9400,8949,2434,1962,14,1948,472,1045,903,,,,
Stanstead,18998,8744,20765,10655,5869,4457,41,4416,1412,2310,2106,,,,
Témiscouata,29185,28320,36430,35628,7002,5665,51,5614,1337,2913,2701,,,,
Terrebonne,26816,25424,29018,26715,6434,4875,47,4828,1559,2101,2727,,,,
Trois-Rivières-Saint-Maurice,26167,25181,36153,34777,8074,6507,206,6301,1567,3155,3146,,,,
Vaudreuil,10445,9352,11039,9861,3156,2496,21,2475,660,1345,1130,,,,
Wright,44800,29946,48332,34373,10282,6888,66,6822,3394,4003,2819,,,,
Yamaska,16204,15767,19511,19059,4664,3651,4,3647,1013,1777,1870,,,,
