Circonscriptions,Anglophones_1941,Francophones_1941,Allophones_1941,Anglophones_1951,Francophones_1951,Allophones_1951,Electeurs_inscrits,Votes_exprimes,Bulletins_rejetes,Votes_valides,Abstentions,Parti_liberal,Union_nationale,Autres_union_des_electeurs,Autres_liberal_01,Autres_liberal_02,Autres_union_nationale,Autres_independants_01,Autres_independants_02,Autres_independants_03,Autres_commonwealth_cooperative_federation_01,Autres_ouvrier_progressiste,Autres_ouvrier,Autres_commonwealth_cooperative_federation_02
Jacques-Cartier,—,—,—,40549,51501,3914,44947,29690,403,29287,15257,14524,10450,1088,,,3225,,,,,,,
Jeanne-Mance,—,—,—,19915,105832,10542,62871,39327,512,38815,23544,14965,21456,1424,,,,,,,970,,,
Joliette,444,31036,233,463,36611,177,18829,16280,151,16129,2549,5452,10482,195,,,,,,,,,,
Kamouraska,39,25470,26,68,26578,26,13420,11214,151,11063,2206,5065,5519,479,,,,,,,,,,
Labelle,159,22629,186,226,26794,177,12199,10564,116,10448,1635,2567,6694,1187,,,,,,,,,,
Lac-Saint-Jean,483,24658,104,605,30454,69,12318,11497,110,11387,821,4616,6277,494,,,,,,,,,,
L'Assomption,365,16999,179,1159,21900,146,11469,9698,117,9581,1771,3242,5971,233,87,48,,,,,,,,
Laurier,—,—,—,4220,52321,6445,45800,29953,570,29383,15847,10058,17234,1236,855,,,,,,,,,
Laval,—,—,—,18237,147945,4980,68379,46459,622,45837,21920,13461,29043,3033,300,,,,,,,,,
Laviolette,1616,65986,455,2260,83040,445,20150,16088,154,15934,4062,4146,8612,3176,,,,,,,,,,
Lévis,469,37618,32,430,43156,39,23577,20055,362,19693,3522,5810,10322,3561,,,,,,,,,,
L'Islet,17,20563,9,54,22921,21,11407,9801,89,9712,1606,4334,4374,1004,,,,,,,,,,
Lotbinière,374,26286,4,381,27584,20,13429,12057,71,11986,1372,5232,5900,854,,,,,,,,,,
Maisonneuve,—,—,—,13129,83733,2267,53563,35623,535,35088,17940,13365,18493,2744,,,,,,,486,,,
Maskinongé,102,17870,234,95,19115,268,10249,9388,77,9311,861,4060,5184,67,,,,,,,,,,
Matane,370,25095,23,335,29894,14,18792,16486,102,16384,2306,6336,9405,643,,,,,,,,,,
Matapédia,103,29790,33,133,33784,22,14800,12968,119,12849,1832,5263,6039,1547,,,,,,,,,,
Mégantic,2237,37954,166,1592,43602,131,21574,19286,112,19174,2288,6677,9787,2710,,,,,,,,,,
Mercier,—,—,—,4763,69430,1151,51919,31270,348,30922,20649,11400,17844,1347,331,,,,,,,,,
Missisquoi,5927,15190,325,5699,18584,406,13444,11136,161,10975,2308,4813,5899,263,,,,,,,,,,
Montcalm,644,14340,224,962,16391,167,9227,7946,79,7867,1281,3179,4645,43,,,,,,,,,,
Montmagny,40,21983,26,28,24475,11,12561,10728,120,10608,1833,4582,5284,742,,,,,,,,,,
Montmorency,244,18346,12,254,21114,21,10555,9275,119,9156,1280,3773,4018,1365,,,,,,,,,,
Napierville-Laprairie,855,18976,2228,1647,23468,2727,12667,11105,215,10890,1562,3691,7080,119,,,,,,,,,,
Nicolet,75,30007,3,95,30224,16,16512,13851,153,13698,2661,6603,6810,285,,,,,,,,,,
Notre-Dame-de-Grâce,—,—,—,59717,15207,6761,47153,24997,257,24740,22156,18834,5597,309,,,,,,,,,,
Outremont,—,—,—,59922,34857,24153,44089,21746,241,21505,22343,15115,5978,412,,,,,,,,,,
Papineau,3895,23335,321,4136,25028,217,19991,16565,209,16356,3426,3980,10129,2247,,,,,,,,,,
Pontiac,11546,7588,718,11450,8463,783,11098,8502,73,8429,2596,3377,4723,329,,,,,,,,,,
Portneuf,858,38068,70,941,42461,51,22383,19124,213,18911,3259,5282,10506,3123,,,,,,,,,,
Québec-Centre,—,—,—,2120,25768,188,23499,17277,125,17152,6222,7770,8174,1208,,,,,,,,,,
Québec-Comté,2566,49461,98,1009,64148,65,29428,24122,266,23856,5306,7546,,4503,,,,11807,,,,,,
Québec-Est,—,—,—,1220,62963,213,34621,27864,176,27688,6757,8994,14998,3696,,,,,,,,,,
Québec-Ouest,—,—,—,6416,35834,331,18911,14075,104,13971,4836,6190,7034,747,,,,,,,,,,
Richelieu,292,23316,83,542,30187,72,16594,14019,132,13887,2575,6270,6647,970,,,,,,,,,,
Richmond,4884,22501,108,5277,28683,142,16978,14380,111,14269,2598,4351,7135,2783,,,,,,,,,,
Rimouski,202,43996,35,319,52821,80,20594,17632,181,17451,2962,6380,7819,3252,,,,,,,,,,
Rivière-du-Loup,159,34312,22,176,37184,15,18600,16671,166,16505,1929,6809,9391,305,,,,,,,,,,
Roberval,259,38374,428,355,50198,325,19735,17727,106,17621,2008,5913,9695,2013,,,,,,,,,,
Rouville,1036,14769,37,1735,17694,77,10305,9073,44,9029,1232,3954,4946,129,,,,,,,,,,
Rouyn-Noranda,5504,31907,3060,7625,44755,2722,15639,12681,111,12570,2958,3263,5245,4062,,,,,,,,,,
Saguenay,2430,22110,4879,7397,52789,10846,15511,11656,160,11496,3855,2519,4726,1274,,,2713,264,,,,,,
Saint-Henri,—,—,—,9125,57032,3774,48363,33297,313,32984,15066,11414,17754,1625,246,,166,,,,1779,,,
Saint-Hyacinthe,242,31326,77,383,37616,102,20657,16404,199,16205,4253,6767,7973,1465,,,,,,,,,,
Saint-Jacques,—,—,—,1182,42375,1061,33429,20629,271,20358,12800,5924,12328,1008,,,,,,,,,1098,
Saint-Jean,1458,18925,201,2575,25856,271,14137,11702,157,11545,2435,3587,7535,423,,,,,,,,,,
Saint-Louis,—,—,—,18553,53494,38840,59458,29628,873,28755,29830,11032,10386,845,,,,,,,1593,4899,,
Saint-Maurice,1156,36935,254,1469,46130,182,26491,22512,360,22152,3979,3983,11830,6339,,,,,,,,,,
Saint-Sauveur,—,—,—,309,46880,185,26382,22070,234,21836,4312,6888,10149,4799,,,,,,,,,,
Sainte-Anne,—,—,—,28240,41132,5845,35180,19797,280,19517,15383,6445,2632,556,,,1120,8216,182,,366,,,
Sainte-Marie,—,—,—,2399,70865,2806,47812,29409,373,29036,18403,8315,16108,1639,1101,,,1075,575,223,,,,
Shefford,3900,28888,599,4372,39140,210,21751,18097,165,17932,3654,6797,9375,1760,,,,,,,,,,
Sherbrooke,10113,35901,560,11199,50454,513,31589,24372,240,24132,7217,5511,13818,4525,,,,,,,278,,,
Stanstead,8575,19236,161,8537,25940,165,18109,12932,110,12822,5177,4272,6869,1681,,,,,,,,,,
Témiscamingue,5504,31907,3060,7625,44755,2722,8928,7726,49,7677,1202,2516,3374,1787,,,,,,,,,,
Témiscouata,92,23082,8,134,28030,11,12212,10674,110,10564,1538,3885,4779,1900,,,,,,,,,,
Terrebonne,2538,43430,2896,3955,62509,973,33999,28331,295,28036,5668,8894,16805,2337,,,,,,,,,,
Trois-Rivières,2100,39657,250,1983,43900,191,26114,21183,253,20930,4931,3836,16097,997,,,,,,,,,,
Vaudreuil-Soulanges,2077,20312,109,3511,22915,185,13981,11495,152,11343,2486,4913,6272,158,,,,,,,,,,
Verchères,535,13600,79,1083,16567,79,8920,7714,117,7597,1206,3796,3450,351,,,,,,,,,,
Verdun,—,—,—,38995,35811,2585,42805,24509,542,23967,18296,12639,6622,1052,,,,,,,3544,,,110
Westmount,—,—,—,37614,13394,4489,38703,18556,174,18382,20147,13947,4068,367,,,,,,,,,,
Wolfe,636,16816,40,565,17559,29,8818,8071,53,8018,747,3300,4205,513,,,,,,,,,,
Yamaska,58,16456,2,61,15963,47,8409,7007,56,6951,1402,2372,4326,253,,,,,,,,,,
